Nr	TID	PID	x [micron]	y [micron]	t [sec]	c [idx]	I [val]	Len [micron]	D2S [micron]	D2R [micron]	D2P [micron]	v [micron/sec]	? [deg]	?? [deg]
1	1	1	5.387	11.566	0	2	194	0	0	NA	NA	NA	NA	NA
2	1	2	6.646	11.49	0	2	33	1.261	1.261	NA	1.261	NA	-3.468	NA
3	1	3	6.951	11.528	0	2	255	1.568	1.564	NA	0.308	NA	7.125	10.593
4	1	4	7.066	11.528	0	2	228	1.683	1.679	NA	0.114	NA	0	-7.125
5	1	5	6.646	11.681	0	2	120	2.129	1.264	NA	0.446	NA	160.017	160.017
6	1	6	6.112	11.681	0	2	127	2.663	0.734	NA	0.534	NA	180	19.983
7	1	7	6.15	11.07	0	2	53	3.275	0.91	NA	0.611	NA	-86.424	93.576
8	1	8	6.722	11.109	0	2	221	3.848	1.411	NA	0.573	NA	3.814	90.238
9	1	9	6.608	11.109	0	2	114	3.963	1.304	NA	0.114	NA	180	176.186
10	1	10	6.608	10.918	0	2	147	4.153	1.382	NA	0.191	NA	-90	90
11	1	11	6.684	10.956	0	2	214	4.239	1.433	NA	0.085	NA	26.565	116.565
12	1	12	6.417	11.299	0	2	73	4.673	1.064	NA	0.435	NA	127.875	101.31
13	1	13	5.426	11.986	0	2	26	5.88	0.421	NA	1.206	NA	145.305	17.43
14	1	14	4.663	11.948	0	2	134	6.643	0.819	NA	0.764	NA	-177.138	37.558
15	1	15	4.396	11.91	0	2	67	6.913	1.049	NA	0.27	NA	-171.87	5.268
16	1	16	4.396	11.681	0	2	114	7.142	0.998	NA	0.229	NA	-90	81.87
17	1	17	4.586	11.719	0	2	167	7.336	0.815	NA	0.194	NA	11.31	101.31
18	1	18	4.739	11.719	0	2	80	7.489	0.666	NA	0.153	NA	0	-11.31
19	1	19	4.663	11.566	0	2	53	7.66	0.725	NA	0.171	NA	-116.565	-116.565
20	1	20	4.51	11.566	0	2	80	7.812	0.877	NA	0.153	NA	180	-63.435
21	1	21	3.824	11.49	0	2	60	8.503	1.566	NA	0.691	NA	-173.66	6.34
22	1	22	4.091	11.337	0	2	73	8.81	1.317	NA	0.308	NA	-29.745	143.915
23	1	23	4.205	11.566	0	2	20	9.066	1.182	NA	0.256	NA	63.435	93.18
24	1	24	4.51	11.604	0	2	73	9.374	0.878	NA	0.308	NA	7.125	-56.31
25	1	25	4.663	11.528	0	2	67	9.544	0.726	NA	0.171	NA	-26.565	-33.69
26	1	26	5.311	11.528	0	2	201	10.193	0.085	NA	0.648	NA	0	26.565
27	1	27	5.426	11.986	0	2	167	10.664	0.421	NA	0.472	NA	75.964	75.964
28	1	28	5.464	11.719	0	2	181	10.934	0.171	NA	0.27	NA	-81.87	-157.834
29	1	29	5.311	11.643	0	2	201	11.105	0.108	NA	0.171	NA	-153.435	-71.565
30	1	30	4.701	11.528	0	2	73	11.726	0.688	NA	0.621	NA	-169.38	-15.945
31	1	31	4.777	11.528	0	2	140	11.802	0.611	NA	0.076	NA	0	169.38
32	1	32	4.892	11.91	0	2	127	12.2	0.603	NA	0.398	NA	73.301	73.301
33	1	33	4.739	12.024	0	2	114	12.391	0.794	NA	0.191	NA	143.13	69.829
34	1	34	4.663	12.024	0	2	93	12.467	0.857	NA	0.076	NA	180	36.87
35	1	35	5.197	12.329	0	2	160	13.082	0.786	NA	0.615	NA	29.745	-150.255
36	1	36	5.349	12.329	0	2	174	13.235	0.764	NA	0.153	NA	0	-29.745
37	1	37	5.273	12.329	0	2	194	13.311	0.771	NA	0.076	NA	180	180
38	1	38	5.502	12.253	0	2	174	13.552	0.696	NA	0.241	NA	-18.435	161.565
39	1	39	5.54	12.1	0	2	114	13.709	0.555	NA	0.157	NA	-75.964	-57.529
40	1	40	5.273	12.062	0	2	181	13.979	0.509	NA	0.27	NA	-171.87	-95.906
41	2	1	4.93	13.13	0	2	160	0	0	NA	NA	NA	NA	NA
42	2	2	4.853	13.321	0	2	174	0.205	0.205	NA	0.205	NA	111.801	NA
43	2	3	4.815	13.359	0	2	134	0.259	0.256	NA	0.054	NA	135	23.199
44	2	4	4.892	13.359	0	2	140	0.336	0.232	NA	0.076	NA	0	-135
45	2	5	5.006	13.245	0	2	154	0.497	0.138	NA	0.162	NA	-45	-45
46	2	6	5.12	13.245	0	2	107	0.612	0.222	NA	0.114	NA	0	45
47	2	7	4.777	13.245	0	2	201	0.955	0.191	NA	0.343	NA	180	180
48	2	8	4.892	13.245	0	2	154	1.07	0.121	NA	0.114	NA	0	-180
49	2	9	5.006	13.245	0	2	255	1.184	0.138	NA	0.114	NA	0	0
50	2	10	5.006	13.245	0	2	255	1.184	0.138	NA	0	NA	0	0
51	2	11	5.006	13.206	0	2	207	1.222	0.108	NA	0.038	NA	-90	-90
52	2	12	5.006	13.206	0	2	160	1.222	0.108	NA	0	NA	0	90
53	2	13	5.159	13.206	0	2	46	1.375	0.241	NA	0.153	NA	0	0
54	2	14	5.273	13.206	0	2	194	1.489	0.352	NA	0.114	NA	0	0
55	2	15	5.502	13.245	0	2	100	1.721	0.583	NA	0.232	NA	9.462	9.462
56	2	16	5.578	13.206	0	2	20	1.806	0.653	NA	0.085	NA	-26.565	-36.027
57	2	17	5.502	13.206	0	2	40	1.883	0.577	NA	0.076	NA	180	-153.435
