Nr	CID	TID	PID	x [micron]	y [micron]	t [sec]	c [idx]	I [val]	Len [micron]	D2S [micron]	D2R [micron]	D2P [micron]	v [micron/sec]	? [deg]	?? [deg]
1	1	1	1	32.514	13.836	0	2	23	0	0	NA	NA	NA	NA	NA
2	1	1	2	32.514	13.836	0	2	0	0	0	NA	0	NA	0	NA
3	1	1	3	32.568	13.836	0	2	11	0.053	0.053	NA	0.053	NA	0	0
4	1	1	4	32.727	13.463	0	2	23	0.458	0.429	NA	0.405	NA	-66.801	-66.801
5	1	1	5	32.408	13.623	0	2	23	0.815	0.238	NA	0.357	NA	153.435	-139.764
6	1	1	6	32.674	13.038	0	2	58	1.458	0.814	NA	0.643	NA	-65.556	141.009
7	1	1	7	32.993	12.984	0	2	11	1.782	0.977	NA	0.324	NA	-9.462	56.094
8	1	1	8	33.1	13.038	0	2	34	1.901	0.99	NA	0.119	NA	26.565	36.027
9	1	1	9	32.94	12.612	0	2	34	2.356	1.296	NA	0.455	NA	-110.556	-137.121
10	1	1	10	32.993	12.559	0	2	34	2.431	1.364	NA	0.075	NA	-45	65.556
11	1	1	11	33.472	12.559	0	2	0	2.91	1.596	NA	0.479	NA	0	45
12	1	1	12	33.1	12.559	0	2	0	3.283	1.405	NA	0.373	NA	180	180
13	1	1	13	32.78	12.665	0	2	11	3.619	1.201	NA	0.337	NA	161.565	-18.435
14	1	1	14	32.78	12.665	0	2	11	3.619	1.201	NA	0	NA	0	-161.565
15	1	1	15	32.355	12.665	0	2	0	4.045	1.182	NA	0.426	NA	180	180
16	1	1	16	32.78	12.665	0	2	11	4.471	1.201	NA	0.426	NA	0	-180
17	1	1	17	32.78	12.665	0	2	23	4.471	1.201	NA	0	NA	0	0
18	1	1	18	32.94	12.559	0	2	23	4.662	1.346	NA	0.192	NA	-33.69	-33.69
19	1	1	19	33.1	12.559	0	2	0	4.822	1.405	NA	0.16	NA	0	33.69
20	1	1	20	33.1	12.559	0	2	0	4.822	1.405	NA	0	NA	0	0
21	1	1	21	33.1	12.293	0	2	0	5.088	1.651	NA	0.266	NA	-90	-90
22	1	1	22	32.727	12.718	0	2	23	5.654	1.138	NA	0.566	NA	131.186	-138.814
23	1	1	23	32.674	12.612	0	2	11	5.773	1.234	NA	0.119	NA	-116.565	112.249
24	1	1	24	32.674	12.612	0	2	23	5.773	1.234	NA	0	NA	0	116.565
25	1	1	25	32.621	12.825	0	2	11	5.992	1.017	NA	0.219	NA	104.036	104.036
26	1	1	26	32.727	12.825	0	2	46	6.099	1.033	NA	0.106	NA	0	-104.036
27	1	1	27	32.461	12.878	0	2	0	6.37	0.959	NA	0.271	NA	168.69	168.69
28	1	1	28	32.514	13.038	0	2	11	6.538	0.798	NA	0.168	NA	71.565	-97.125
29	1	1	29	32.514	13.038	0	2	0	6.538	0.798	NA	0	NA	0	-71.565
30	1	1	30	32.195	13.251	0	2	0	6.922	0.667	NA	0.384	NA	146.31	146.31
31	1	1	31	32.195	13.357	0	2	11	7.028	0.576	NA	0.106	NA	90	-56.31
32	1	1	32	32.461	13.517	0	2	0	7.339	0.324	NA	0.31	NA	30.964	-59.036
33	1	2	1	31.769	12.612	0	2	23	0	0	NA	NA	NA	NA	NA
34	1	2	2	31.769	12.878	0	2	23	0.266	0.266	NA	0.266	NA	90	NA
35	1	2	3	31.397	12.612	0	2	0	0.724	0.373	NA	0.458	NA	-144.462	125.538
36	1	2	4	31.397	12.612	0	2	46	0.724	0.373	NA	0	NA	0	144.462
37	1	2	5	32.035	12.506	0	2	0	1.371	0.287	NA	0.647	NA	-9.462	-9.462
38	1	2	6	31.769	12.346	0	2	11	1.682	0.266	NA	0.31	NA	-149.036	-139.574
39	1	2	7	31.716	12.293	0	2	0	1.757	0.324	NA	0.075	NA	-135	14.036
40	1	2	8	31.769	12.293	0	2	34	1.81	0.319	NA	0.053	NA	0	135
41	1	2	9	32.089	12.506	0	2	11	2.194	0.337	NA	0.384	NA	33.69	33.69
42	1	2	10	31.823	12.825	0	2	0	2.609	0.219	NA	0.416	NA	129.806	96.116
43	1	2	11	31.823	12.612	0	2	11	2.822	0.053	NA	0.213	NA	-90	140.194
44	1	2	12	31.716	12.665	0	2	23	2.941	0.075	NA	0.119	NA	153.435	-116.565
45	1	2	13	31.769	12.825	0	2	11	3.109	0.213	NA	0.168	NA	71.565	-81.87
46	1	2	14	31.769	12.825	0	2	0	3.109	0.213	NA	0	NA	0	-71.565
47	1	2	15	31.503	12.772	0	2	11	3.381	0.31	NA	0.271	NA	-168.69	-168.69
48	1	2	16	31.397	12.559	0	2	0	3.619	0.376	NA	0.238	NA	-116.565	52.125
49	1	2	17	31.557	12.665	0	2	11	3.811	0.219	NA	0.192	NA	33.69	150.255
50	1	2	18	31.769	12.346	0	2	0	4.194	0.266	NA	0.384	NA	-56.31	-90
51	1	2	19	31.663	12.346	0	2	0	4.301	0.287	NA	0.106	NA	180	-123.69
52	1	2	20	31.769	12.133	0	2	23	4.539	0.479	NA	0.238	NA	-63.435	116.565
53	1	2	21	31.823	11.814	0	2	11	4.863	0.8	NA	0.324	NA	-80.538	-17.103
54	1	2	22	31.823	11.814	0	2	11	4.863	0.8	NA	0	NA	0	80.538
55	1	2	23	31.663	12.346	0	2	11	5.418	0.287	NA	0.556	NA	106.699	106.699
56	1	2	24	31.929	12.506	0	2	0	5.728	0.192	NA	0.31	NA	30.964	-75.735
57	1	2	25	31.982	12.186	0	2	11	6.052	0.476	NA	0.324	NA	-80.538	-111.501
58	1	2	26	31.982	12.346	0	2	11	6.212	0.341	NA	0.16	NA	90	170.538
59	1	2	27	31.982	12.559	0	2	0	6.425	0.219	NA	0.213	NA	90	0
60	1	2	28	32.248	12.559	0	2	0	6.691	0.482	NA	0.266	NA	0	-90
61	1	3	1	32.993	12.399	0	2	23	0	0	NA	NA	NA	NA	NA
62	1	3	2	32.78	12.772	0	2	11	0.429	0.429	NA	0.429	NA	119.745	NA
63	1	3	3	32.302	12.559	0	2	11	0.953	0.71	NA	0.524	NA	-156.038	84.218
64	1	3	4	32.461	12.559	0	2	0	1.113	0.556	NA	0.16	NA	0	156.038
65	1	3	5	32.514	12.665	0	2	11	1.232	0.548	NA	0.119	NA	63.435	63.435
66	1	3	6	32.568	12.559	0	2	11	1.351	0.455	NA	0.119	NA	-63.435	-126.87
67	1	3	7	32.727	12.399	0	2	23	1.577	0.266	NA	0.226	NA	-45	18.435
68	1	3	8	32.727	12.399	0	2	23	1.577	0.266	NA	0	NA	0	45
69	1	3	9	32.621	12.559	0	2	0	1.768	0.405	NA	0.192	NA	123.69	123.69
70	1	3	10	32.621	12.718	0	2	11	1.928	0.491	NA	0.16	NA	90	-33.69
71	1	3	11	32.408	12.878	0	2	0	2.194	0.756	NA	0.266	NA	143.13	53.13
72	1	3	12	32.195	13.463	0	2	0	2.817	1.33	NA	0.623	NA	109.983	-33.147
73	1	3	13	32.089	13.463	0	2	0	2.923	1.397	NA	0.106	NA	180	70.017
74	1	4	1	29.321	9.738	0	2	23	0	0	NA	NA	NA	NA	NA
75	1	4	2	29.481	9.845	0	2	0	0.192	0.192	NA	0.192	NA	33.69	NA
76	1	4	3	29.534	9.845	0	2	0	0.245	0.238	NA	0.053	NA	0	-33.69
77	1	4	4	29.588	9.951	0	2	0	0.364	0.341	NA	0.119	NA	63.435	63.435
78	1	4	5	29.588	9.951	0	2	0	0.364	0.341	NA	0	NA	0	-63.435
79	1	4	6	29.534	9.738	0	2	11	0.583	0.213	NA	0.219	NA	-104.036	-104.036
80	1	4	7	29.534	9.738	0	2	0	0.583	0.213	NA	0	NA	0	104.036
81	1	4	8	29.481	9.632	0	2	0	0.702	0.192	NA	0.119	NA	-116.565	-116.565
82	1	4	9	29.588	9.579	0	2	11	0.821	0.31	NA	0.119	NA	-26.565	90
