Nr	TID	PID	x [micron]	y [micron]	t [sec]	c [idx]	I [val]	Len [micron]	D2S [micron]	D2R [micron]	D2P [micron]	v [micron/sec]	? [deg]	?? [deg]
1	1	1	32.047	46.835	0	2	0	0	0	NA	NA	NA	NA	NA
2	1	2	32.864	46.835	0	2	0	0.816	0.816	NA	0.816	NA	0	NA
3	1	3	31.957	46.563	0	2	0	1.764	0.287	NA	0.947	NA	-163.301	-163.301
4	1	4	32.319	46.563	0	2	0	2.127	0.385	NA	0.363	NA	0	163.301
5	1	5	32.229	46.563	0	2	0	2.217	0.327	NA	0.091	NA	180	180
6	1	6	32.229	46.563	0	2	0	2.217	0.327	NA	0	NA	0	-180
7	1	7	31.594	46.381	0	2	0	2.878	0.641	NA	0.66	NA	-164.055	-164.055
8	1	8	31.866	46.381	0	2	0	3.15	0.489	NA	0.272	NA	0	164.055
9	1	9	32.319	46.653	0	2	0	3.679	0.327	NA	0.529	NA	30.964	30.964
10	1	10	32.773	46.653	0	2	0	4.132	0.748	NA	0.454	NA	0	-30.964
11	1	11	32.773	46.653	0	2	0	4.132	0.748	NA	0	NA	0	0
12	1	12	31.866	46.291	0	2	0	5.11	0.574	NA	0.977	NA	-158.199	-158.199
13	1	13	31.957	46.018	0	2	0	5.396	0.822	NA	0.287	NA	-71.565	86.634
14	1	14	31.957	46.018	0	2	0	5.396	0.822	NA	0	NA	0	71.565
15	1	15	31.594	44.295	0	2	0	7.158	2.58	NA	1.761	NA	-101.889	-101.889
16	1	16	30.777	43.206	0	2	0	8.519	3.845	NA	1.361	NA	-126.87	-24.981
17	1	17	30.686	42.934	0	2	0	8.806	4.132	NA	0.287	NA	-108.435	18.435
18	1	18	30.596	43.025	0	2	0	8.934	4.077	NA	0.128	NA	135	-116.565
19	1	19	30.233	43.841	0	2	0	9.827	3.501	NA	0.894	NA	113.962	-21.038
20	1	20	30.414	43.932	0	2	0	10.03	3.331	NA	0.203	NA	26.565	-87.397
21	1	21	30.051	42.662	0	2	0	11.351	4.626	NA	1.321	NA	-105.945	-132.51
22	1	22	30.777	42.117	0	2	0	12.258	4.885	NA	0.907	NA	-36.87	69.075
23	1	23	30.233	42.39	0	2	0	12.867	4.801	NA	0.609	NA	153.435	-169.695
24	1	24	30.142	42.299	0	2	0	12.995	4.92	NA	0.128	NA	-135	71.565
25	1	25	29.779	42.027	0	2	0	13.449	5.316	NA	0.454	NA	-143.13	-8.13
26	1	26	29.507	40.938	0	2	11	14.571	6.421	NA	1.122	NA	-104.036	39.094
27	1	27	28.872	40.031	0	2	0	15.678	7.509	NA	1.107	NA	-124.992	-20.956
28	1	28	28.781	39.214	0	2	0	16.5	8.291	NA	0.822	NA	-96.34	28.652
29	1	29	27.421	38.851	0	2	0	17.908	9.227	NA	1.408	NA	-165.069	-68.728
30	1	30	25.788	36.856	0	2	11	20.487	11.78	NA	2.579	NA	-129.289	35.779
31	2	1	55.998	39.577	0	2	0	0	0	NA	NA	NA	NA	NA
32	2	2	55	38.761	0	2	0	1.289	1.289	NA	1.289	NA	-140.711	NA
33	2	3	55.816	38.761	0	2	0	2.106	0.836	NA	0.816	NA	0	140.711
34	2	4	55.181	38.761	0	2	0	2.741	1.155	NA	0.635	NA	180	180
35	2	5	55.181	38.761	0	2	0	2.741	1.155	NA	0	NA	0	-180
36	2	6	55.363	38.579	0	2	0	2.998	1.183	NA	0.257	NA	-45	-45
37	2	7	54.818	38.307	0	2	0	3.606	1.733	NA	0.609	NA	-153.435	-108.435
38	2	8	54.818	38.216	0	2	0	3.697	1.801	NA	0.091	NA	-90	63.435
39	2	9	55	37.944	0	2	0	4.024	1.914	NA	0.327	NA	-56.31	33.69
40	2	10	55.091	38.398	0	2	0	4.487	1.488	NA	0.463	NA	78.69	135
41	2	11	55.091	37.944	0	2	0	4.94	1.868	NA	0.454	NA	-90	-168.69
42	2	12	54.909	38.126	0	2	0	5.197	1.814	NA	0.257	NA	135	-135
43	2	13	55.091	38.126	0	2	0	5.378	1.712	NA	0.181	NA	0	-135
44	2	14	54.455	37.944	0	2	0	6.039	2.246	NA	0.66	NA	-164.055	-164.055
45	2	15	54.637	38.035	0	2	0	6.241	2.057	NA	0.203	NA	26.565	-169.38
46	2	16	54.546	37.853	0	2	0	6.444	2.253	NA	0.203	NA	-116.565	-143.13
47	2	17	54.637	37.763	0	2	0	6.573	2.268	NA	0.128	NA	-45	71.565
48	2	18	54.728	37.763	0	2	0	6.663	2.215	NA	0.091	NA	0	45
49	2	19	54.909	36.946	0	2	0	7.5	2.847	NA	0.836	NA	-77.471	-77.471
50	2	20	54.274	36.039	0	2	0	8.607	3.936	NA	1.107	NA	-124.992	-47.521
51	2	21	54.546	35.313	0	2	0	9.382	4.504	NA	0.775	NA	-69.444	55.548
52	2	22	54.818	36.856	0	2	0	10.948	2.966	NA	1.566	NA	79.992	149.436
53	2	23	54.365	39.033	0	2	0	13.172	1.721	NA	2.224	NA	101.768	21.776
54	2	24	54.728	39.396	0	2	0	13.686	1.283	NA	0.513	NA	45	-56.768
55	2	25	54.818	38.67	0	2	0	14.417	1.488	NA	0.731	NA	-82.875	-127.875
