Nr	TID	PID	x [micron]	y [micron]	t [sec]	c [idx]	I [val]	Len [micron]	D2S [micron]	D2R [micron]	D2P [micron]	v [micron/sec]	? [deg]	?? [deg]
1	1	1	45.746	19.981	0	2	0	0	0	NA	NA	NA	NA	NA
2	1	2	46.018	20.072	0	2	0	0.287	0.287	NA	0.287	NA	18.435	NA
3	1	3	46.018	20.072	0	2	0	0.287	0.287	NA	0	NA	0	-18.435
4	1	4	46.018	20.072	0	2	0	0.287	0.287	NA	0	NA	0	0
5	1	5	46.018	20.072	0	2	0	0.287	0.287	NA	0	NA	0	0
6	1	6	45.837	19.981	0	2	0	0.49	0.091	NA	0.203	NA	-153.435	-153.435
7	1	7	46.018	19.891	0	2	0	0.693	0.287	NA	0.203	NA	-26.565	126.87
8	1	8	45.837	19.8	0	2	0	0.895	0.203	NA	0.203	NA	-153.435	-126.87
9	1	9	45.746	19.709	0	2	0	1.024	0.272	NA	0.128	NA	-135	18.435
10	1	10	45.746	19.709	0	2	0	1.024	0.272	NA	0	NA	0	135
11	1	11	45.928	19.709	0	2	0	1.205	0.327	NA	0.181	NA	0	0
12	1	12	45.928	19.709	0	2	0	1.205	0.327	NA	0	NA	0	0
13	1	13	45.928	19.709	0	2	11	1.205	0.327	NA	0	NA	0	0
14	1	14	45.928	19.709	0	2	0	1.205	0.327	NA	0	NA	0	0
15	1	15	45.928	19.709	0	2	0	1.205	0.327	NA	0	NA	0	0
16	1	16	45.928	19.709	0	2	0	1.205	0.327	NA	0	NA	0	0
17	1	17	46.291	19.981	0	2	0	1.659	0.544	NA	0.454	NA	36.87	36.87
18	1	18	45.837	19.891	0	2	0	2.121	0.128	NA	0.463	NA	-168.69	154.44
19	1	19	46.018	19.8	0	2	0	2.324	0.327	NA	0.203	NA	-26.565	142.125
20	1	20	46.018	19.8	0	2	0	2.324	0.327	NA	0	NA	0	26.565
21	1	21	46.381	19.709	0	2	0	2.698	0.691	NA	0.374	NA	-14.036	-14.036
22	1	22	46.472	19.709	0	2	0	2.789	0.775	NA	0.091	NA	0	14.036
23	1	23	46.2	19.346	0	2	0	3.243	0.78	NA	0.454	NA	-126.87	-126.87
24	1	24	46.835	19.346	0	2	0	3.878	1.26	NA	0.635	NA	0	126.87
25	1	25	46.472	19.437	0	2	0	4.252	0.907	NA	0.374	NA	165.964	165.964
