Nr	TID	PID	x [micron]	y [micron]	t [sec]	c [idx]	I [val]	Len [micron]	D2S [micron]	D2R [micron]	D2P [micron]	v [micron/sec]	? [deg]	?? [deg]
1	1	1	27.122	27.831	0	2	23	0	0	NA	NA	NA	NA	NA
2	1	2	26.909	28.754	0	2	34	0.947	0.947	NA	0.947	NA	102.995	NA
3	1	3	26.696	29.109	0	2	11	1.36	1.346	NA	0.414	NA	120.964	17.969
4	1	4	26.058	29.676	0	2	11	2.215	2.13	NA	0.854	NA	138.366	17.403
5	1	5	26.483	30.315	0	2	11	2.982	2.564	NA	0.767	NA	56.31	-82.057
6	1	6	25.632	30.953	0	2	11	4.047	3.459	NA	1.064	NA	143.13	86.82
7	1	7	25.49	30.812	0	2	11	4.247	3.398	NA	0.201	NA	-135	81.87
8	1	8	25.632	31.024	0	2	46	4.503	3.523	NA	0.256	NA	56.31	-168.69
9	1	9	24.639	31.734	0	2	23	5.724	4.626	NA	1.221	NA	144.462	88.152
10	1	10	24.71	32.089	0	2	0	6.086	4.893	NA	0.362	NA	78.69	-65.772
11	1	11	24.213	32.443	0	2	46	6.696	5.453	NA	0.61	NA	144.462	65.772
12	1	12	24	32.372	0	2	23	6.92	5.511	NA	0.224	NA	-161.565	53.973
13	1	13	23.858	32.514	0	2	46	7.121	5.708	NA	0.201	NA	135	-63.435
14	1	14	24.142	32.585	0	2	11	7.414	5.611	NA	0.293	NA	14.036	-120.964
15	2	1	23.574	34.146	0	2	11	0	0	NA	NA	NA	NA	NA
16	2	2	24.142	34.217	0	2	11	0.572	0.572	NA	0.572	NA	7.125	NA
17	2	3	24.426	34.217	0	2	0	0.856	0.854	NA	0.284	NA	0	-7.125
18	2	4	24.426	34.217	0	2	11	0.856	0.854	NA	0	NA	0	0
19	2	5	24.284	34.146	0	2	11	1.015	0.71	NA	0.159	NA	-153.435	-153.435
20	2	6	24.284	34.217	0	2	23	1.085	0.713	NA	0.071	NA	90	-116.565
21	2	7	24.568	34.359	0	2	11	1.403	1.016	NA	0.317	NA	26.565	-63.435
22	2	8	23.787	34.501	0	2	11	2.196	0.414	NA	0.793	NA	169.695	143.13
23	2	9	24.355	34.217	0	2	34	2.831	0.784	NA	0.635	NA	-26.565	163.74
24	2	10	24.78	34.217	0	2	0	3.256	1.208	NA	0.426	NA	0	26.565
25	3	1	30.812	26.98	0	2	34	0	0	NA	NA	NA	NA	NA
26	3	2	31.024	26.98	0	2	46	0.213	0.213	NA	0.213	NA	0	NA
27	3	3	30.599	27.477	0	2	46	0.867	0.54	NA	0.654	NA	130.601	130.601
28	3	4	30.102	28.044	0	2	34	1.621	1.279	NA	0.754	NA	131.186	0.585
29	3	5	30.031	28.47	0	2	23	2.053	1.682	NA	0.432	NA	99.462	-31.724
30	3	6	30.031	28.612	0	2	0	2.195	1.809	NA	0.142	NA	90	-9.462
31	3	7	29.889	29.463	0	2	11	3.058	2.649	NA	0.863	NA	99.462	9.462
32	3	8	29.747	29.038	0	2	23	3.507	2.317	NA	0.449	NA	-108.435	152.103
33	4	1	33.792	27.193	0	2	0	0	0	NA	NA	NA	NA	NA
34	4	2	32.727	28.044	0	2	34	1.363	1.363	NA	1.363	NA	141.34	NA
35	4	3	32.585	28.47	0	2	23	1.812	1.757	NA	0.449	NA	108.435	-32.905
36	4	4	31.805	28.825	0	2	11	2.669	2.571	NA	0.857	NA	155.556	47.121
