Nr	TID	PID	x [micron]	y [micron]	t [sec]	c [idx]	I [val]	Len [micron]	D2S [micron]	D2R [micron]	D2P [micron]	v [micron/sec]	? [deg]	?? [deg]
1	1	1	13.17	28.319	0	2	4	0	0	NA	NA	NA	NA	NA
2	1	2	13.045	27.696	0	2	0	0.636	0.636	NA	0.636	NA	-101.31	NA
3	1	3	13.045	27.758	0	2	0	0.698	0.575	NA	0.062	NA	90	-168.69
4	1	4	13.232	27.758	0	2	4	0.885	0.565	NA	0.187	NA	0	-90
5	1	5	13.295	27.758	0	2	0	0.947	0.575	NA	0.062	NA	0	0
6	1	6	13.17	28.194	0	2	4	1.401	0.125	NA	0.454	NA	105.945	105.945
7	1	7	13.544	28.07	0	2	4	1.796	0.45	NA	0.394	NA	-18.435	-124.38
8	1	8	13.544	28.007	0	2	0	1.858	0.487	NA	0.062	NA	-90	-71.565
9	1	9	13.482	28.007	0	2	0	1.92	0.441	NA	0.062	NA	180	-90
10	1	10	13.731	28.132	0	2	0	2.199	0.591	NA	0.279	NA	26.565	-153.435
11	1	11	14.043	28.194	0	2	0	2.517	0.882	NA	0.318	NA	11.31	-15.255
12	1	12	14.043	28.194	0	2	0	2.517	0.882	NA	0	NA	0	-11.31
13	1	13	14.105	28.257	0	2	9	2.605	0.937	NA	0.088	NA	45	45
14	1	14	14.666	28.194	0	2	0	3.17	1.501	NA	0.565	NA	-6.34	-51.34
15	1	15	14.541	28.194	0	2	4	3.294	1.377	NA	0.125	NA	180	-173.66
16	1	16	14.417	28.693	0	2	0	3.808	1.302	NA	0.514	NA	104.036	-75.964
17	1	17	14.728	28.506	0	2	4	4.172	1.57	NA	0.364	NA	-30.964	-135
18	1	18	14.666	28.444	0	2	4	4.26	1.501	NA	0.088	NA	-135	-104.036
19	1	19	15.04	28.444	0	2	4	4.634	1.874	NA	0.374	NA	0	135
20	1	20	14.978	28.381	0	2	0	4.722	1.809	NA	0.088	NA	-135	-135
21	1	21	15.102	28.381	0	2	4	4.847	1.934	NA	0.125	NA	0	135
22	1	22	15.29	28.194	0	2	4	5.112	2.123	NA	0.264	NA	-45	-45
23	1	23	15.227	28.194	0	2	0	5.174	2.061	NA	0.062	NA	180	-135
24	1	24	15.227	28.194	0	2	0	5.174	2.061	NA	0	NA	0	-180
25	2	1	22.771	28.444	0	2	0	0	0	NA	NA	NA	NA	NA
26	2	2	21.648	29.192	0	2	0	1.349	1.349	NA	1.349	NA	146.31	NA
27	2	3	20.028	29.13	0	2	0	2.971	2.827	NA	1.622	NA	-177.797	35.893
28	2	4	17.908	30.065	0	2	0	5.288	5.126	NA	2.317	NA	156.194	-26.009
29	2	5	17.97	29.878	0	2	0	5.485	5.01	NA	0.197	NA	-71.565	132.241
30	2	6	17.783	29.753	0	2	0	5.709	5.156	NA	0.225	NA	-146.31	-74.745
31	2	7	17.596	29.441	0	2	0	6.073	5.27	NA	0.364	NA	-120.964	25.346
32	2	8	17.16	29.254	0	2	4	6.548	5.669	NA	0.475	NA	-156.801	-35.838
33	2	9	15.227	29.254	0	2	0	8.48	7.587	NA	1.933	NA	180	-23.199
34	2	10	15.664	28.88	0	2	0	9.055	7.12	NA	0.575	NA	-40.601	139.399
35	2	11	15.664	28.88	0	2	0	9.055	7.12	NA	0	NA	0	40.601
36	2	12	15.664	28.88	0	2	0	9.055	7.12	NA	0	NA	0	0
37	2	13	15.664	28.943	0	2	0	9.118	7.125	NA	0.062	NA	90	90
38	2	14	15.664	28.943	0	2	9	9.118	7.125	NA	0	NA	0	-90
39	2	15	15.664	28.943	0	2	0	9.118	7.125	NA	0	NA	0	0
40	2	16	15.664	29.13	0	2	0	9.305	7.14	NA	0.187	NA	90	90
41	2	17	15.539	29.192	0	2	0	9.444	7.27	NA	0.139	NA	153.435	63.435
42	2	18	15.414	29.441	0	2	0	9.723	7.424	NA	0.279	NA	116.565	-36.87
43	2	19	15.539	29.441	0	2	0	9.847	7.3	NA	0.125	NA	0	-116.565
44	2	20	15.539	29.504	0	2	0	9.91	7.309	NA	0.062	NA	90	90
45	2	21	15.539	29.504	0	2	0	9.91	7.309	NA	0	NA	0	-90
46	2	22	15.539	29.504	0	2	0	9.91	7.309	NA	0	NA	0	0
47	2	23	14.791	29.192	0	2	0	10.72	8.015	NA	0.81	NA	-157.38	-157.38
48	2	24	15.102	29.13	0	2	0	11.038	7.699	NA	0.318	NA	-11.31	146.07
49	2	25	15.165	29.13	0	2	0	11.1	7.637	NA	0.062	NA	0	11.31
50	2	26	15.477	28.88	0	2	0	11.5	7.307	NA	0.399	NA	-38.66	-38.66
51	2	27	15.29	29.13	0	2	4	11.811	7.512	NA	0.312	NA	126.87	165.53
52	2	28	14.978	29.13	0	2	0	12.123	7.823	NA	0.312	NA	180	53.13
53	2	29	14.853	28.943	0	2	4	12.348	7.933	NA	0.225	NA	-123.69	56.31
54	2	30	14.853	28.943	0	2	0	12.348	7.933	NA	0	NA	0	123.69
55	3	1	21.212	28.444	0	2	0	0	0	NA	NA	NA	NA	NA
56	3	2	21.212	28.444	0	2	0	0	0	NA	0	NA	0	NA
