Nr	TID	PID	x [micron]	y [micron]	t [sec]	c [idx]	I [val]	Len [micron]	D2S [micron]	D2R [micron]	D2P [micron]	v [micron/sec]	? [deg]	?? [deg]
1	1	1	19.406	13.957	0	2	27	0	0	NA	NA	NA	NA	NA
2	1	2	18.263	15.367	0	2	27	1.815	1.815	NA	1.815	NA	129.036	NA
3	1	3	17.958	16.853	0	2	65	3.332	3.238	NA	1.517	NA	101.592	-27.443
4	1	4	17.996	16.853	0	2	37	3.37	3.221	NA	0.038	NA	0	-101.592
5	1	5	17.272	17.691	0	2	65	4.478	4.301	NA	1.108	NA	130.815	130.815
6	1	6	16.777	19.101	0	2	46	5.973	5.777	NA	1.494	NA	109.359	-21.456
7	2	1	17.272	11.632	0	2	55	0	0	NA	NA	NA	NA	NA
8	2	2	17.386	11.632	0	2	65	0.114	0.114	NA	0.114	NA	0	NA
9	2	3	17.196	11.632	0	2	46	0.305	0.076	NA	0.191	NA	180	180
10	2	4	17.653	11.67	0	2	27	0.764	0.383	NA	0.459	NA	4.764	-175.236
11	2	5	17.119	11.708	0	2	65	1.299	0.17	NA	0.535	NA	175.914	171.151
12	2	6	17.462	11.403	0	2	27	1.757	0.298	NA	0.459	NA	-41.634	142.452
13	2	7	17.158	11.251	0	2	93	2.098	0.398	NA	0.341	NA	-153.435	-111.801
14	2	8	17.31	11.251	0	2	121	2.251	0.383	NA	0.152	NA	0	153.435
15	2	9	17.158	11.175	0	2	0	2.421	0.471	NA	0.17	NA	-153.435	-153.435
16	2	10	16.472	11.594	0	2	74	3.225	0.801	NA	0.804	NA	148.57	-57.995
17	2	11	15.786	12.051	0	2	55	4.049	1.544	NA	0.824	NA	146.31	-2.261
18	3	1	4.735	18.453	0	2	27	0	0	NA	NA	NA	NA	NA
19	3	2	6.069	17.577	0	2	55	1.596	1.596	NA	1.596	NA	-33.311	NA
20	3	3	6.45	17.386	0	2	27	2.022	2.02	NA	0.426	NA	-26.565	6.746
21	3	4	6.145	17.462	0	2	37	2.336	1.723	NA	0.314	NA	165.964	-167.471
22	3	5	6.488	17.501	0	2	27	2.681	1.995	NA	0.345	NA	6.34	-159.624
23	3	6	6.183	17.386	0	2	46	3.007	1.799	NA	0.326	NA	-159.444	-165.784
24	3	7	6.793	16.853	0	2	130	3.817	2.607	NA	0.81	NA	-41.186	118.258
25	3	8	7.212	16.586	0	2	93	4.314	3.102	NA	0.497	NA	-32.471	8.715
26	3	9	6.64	16.891	0	2	102	4.962	2.464	NA	0.648	NA	151.928	-175.601
27	3	10	6.869	16.624	0	2	65	5.313	2.811	NA	0.351	NA	-49.399	158.674
28	3	11	6.259	16.815	0	2	27	5.952	2.238	NA	0.639	NA	162.646	-147.955
29	3	12	7.021	16.357	0	2	37	6.841	3.102	NA	0.889	NA	-30.964	166.39
30	3	13	7.212	16.281	0	2	74	7.046	3.294	NA	0.205	NA	-21.801	9.162
31	3	14	8.088	15.519	0	2	55	8.207	4.456	NA	1.161	NA	-41.009	-19.208
32	3	15	9.193	15.367	0	2	18	9.323	5.423	NA	1.116	NA	-7.853	33.156
33	4	1	21.502	14.376	0	2	9	0	0	NA	NA	NA	NA	NA
34	4	2	20.892	15.557	0	2	37	1.329	1.329	NA	1.329	NA	117.3	NA
35	4	3	19.025	17.234	0	2	46	3.839	3.782	NA	2.51	NA	138.077	20.778
36	4	4	18.568	17.234	0	2	46	4.296	4.096	NA	0.457	NA	180	41.923
37	4	5	18.148	17.767	0	2	27	4.975	4.769	NA	0.678	NA	128.157	-51.843
38	4	6	16.7	18.911	0	2	27	6.82	6.604	NA	1.845	NA	141.71	13.553
39	5	1	3.744	18.796	0	2	9	0	0	NA	NA	NA	NA	NA
40	5	2	5.116	18.301	0	2	27	1.459	1.459	NA	1.459	NA	-19.855	NA
41	5	3	5.84	17.272	0	2	83	2.717	2.592	NA	1.258	NA	-54.866	-35.011
42	5	4	5.878	17.272	0	2	27	2.755	2.622	NA	0.038	NA	0	54.866
43	5	5	6.107	17.196	0	2	18	2.996	2.854	NA	0.241	NA	-18.435	-18.435
44	5	6	6.526	16.929	0	2	37	3.493	3.35	NA	0.497	NA	-32.471	-14.036
45	5	7	6.64	16.929	0	2	27	3.607	3.446	NA	0.114	NA	0	32.471
46	5	8	7.174	16.281	0	2	37	4.446	4.253	NA	0.839	NA	-50.528	-50.528
47	5	9	7.44	16.281	0	2	9	4.713	4.471	NA	0.267	NA	0	50.528
48	6	1	17.615	10.908	0	2	18	0	0	NA	NA	NA	NA	NA
49	6	2	17.615	10.908	0	2	55	0	0	NA	0	NA	0	NA
50	6	3	17.92	10.908	0	2	9	0.305	0.305	NA	0.305	NA	0	0
51	6	4	17.958	10.756	0	2	27	0.462	0.375	NA	0.157	NA	-75.964	-75.964
52	6	5	18.072	10.565	0	2	27	0.684	0.572	NA	0.222	NA	-59.036	16.928
53	6	6	18.072	10.565	0	2	55	0.684	0.572	NA	0	NA	0	59.036
54	6	7	18.377	10.26	0	2	9	1.115	1	NA	0.431	NA	-45	-45
55	6	8	18.415	10.108	0	2	27	1.272	1.132	NA	0.157	NA	-75.964	-30.964
56	6	9	18.72	10.184	0	2	27	1.587	1.321	NA	0.314	NA	14.036	90
57	6	10	18.872	9.879	0	2	27	1.927	1.625	NA	0.341	NA	-63.435	-77.471
58	6	11	18.758	9.689	0	2	18	2.15	1.671	NA	0.222	NA	-120.964	-57.529
59	6	12	19.444	9.46	0	2	18	2.873	2.333	NA	0.723	NA	-18.435	102.529
60	6	13	18.834	9.841	0	2	18	3.592	1.62	NA	0.719	NA	147.995	166.43
61	6	14	18.72	9.803	0	2	9	3.712	1.563	NA	0.121	NA	-161.565	50.44
