Nr	TID	PID	x [micron]	y [micron]	t [sec]	c [idx]	I [val]	Len [micron]	D2S [micron]	D2R [micron]	D2P [micron]	v [micron/sec]	? [deg]	?? [deg]
1	1	1	34.355	40.839	0	2	37	0	0	NA	NA	NA	NA	NA
2	1	2	34.95	40.64	0	2	111	0.628	0.628	NA	0.628	NA	-18.435	NA
3	1	3	34.95	40.64	0	2	121	0.628	0.628	NA	0	NA	0	18.435
4	1	4	35.016	41.169	0	2	93	1.161	0.74	NA	0.533	NA	82.875	82.875
5	1	5	35.016	41.169	0	2	37	1.161	0.74	NA	0	NA	0	-82.875
6	1	6	35.281	41.368	0	2	102	1.492	1.067	NA	0.331	NA	36.87	36.87
7	1	7	35.744	41.103	0	2	130	2.025	1.414	NA	0.533	NA	-29.745	-66.615
8	1	8	35.81	41.103	0	2	83	2.091	1.479	NA	0.066	NA	0	29.745
9	1	9	35.81	41.302	0	2	74	2.29	1.527	NA	0.198	NA	90	90
10	1	10	35.943	41.169	0	2	93	2.477	1.622	NA	0.187	NA	-45	-135
11	1	11	36.207	41.169	0	2	46	2.742	1.882	NA	0.265	NA	0	45
12	1	12	35.81	41.103	0	2	121	3.144	1.479	NA	0.402	NA	-170.538	-170.538
13	1	13	35.479	41.633	0	2	65	3.768	1.377	NA	0.624	NA	122.005	-67.457
14	1	14	35.678	41.5	0	2	65	4.007	1.479	NA	0.239	NA	-33.69	-155.695
15	1	15	35.943	41.368	0	2	83	4.303	1.674	NA	0.296	NA	-26.565	7.125
16	1	16	35.347	41.368	0	2	46	4.898	1.125	NA	0.595	NA	180	-153.435
17	1	17	35.744	40.971	0	2	83	5.46	1.396	NA	0.561	NA	-45	135
18	1	18	35.546	40.772	0	2	0	5.74	1.193	NA	0.281	NA	-135	-90
19	1	19	35.546	40.772	0	2	37	5.74	1.193	NA	0	NA	0	135
20	1	20	35.281	41.103	0	2	93	6.164	0.963	NA	0.424	NA	128.66	128.66
21	1	21	35.413	41.566	0	2	18	6.646	1.285	NA	0.482	NA	74.055	-54.605
22	1	22	34.818	41.434	0	2	74	7.256	0.754	NA	0.61	NA	-167.471	118.474
23	1	23	34.884	41.831	0	2	55	7.658	1.125	NA	0.402	NA	80.538	-111.991
24	1	24	35.347	41.699	0	2	55	8.14	1.313	NA	0.482	NA	-15.945	-96.483
25	1	25	35.347	41.699	0	2	65	8.14	1.313	NA	0	NA	0	15.945
26	1	26	35.413	41.633	0	2	74	8.233	1.323	NA	0.094	NA	-45	-45
27	1	27	35.413	41.633	0	2	74	8.233	1.323	NA	0	NA	0	45
28	1	28	35.215	41.633	0	2	74	8.432	1.171	NA	0.198	NA	180	180
29	1	29	34.95	41.897	0	2	18	8.806	1.215	NA	0.374	NA	135	-45
30	1	30	34.752	41.963	0	2	121	9.015	1.193	NA	0.209	NA	161.565	26.565
31	1	31	35.149	41.963	0	2	74	9.412	1.377	NA	0.397	NA	0	-161.565
32	1	32	35.413	41.897	0	2	27	9.685	1.497	NA	0.273	NA	-14.036	-14.036
33	1	33	35.612	41.302	0	2	121	10.313	1.34	NA	0.628	NA	-71.565	-57.529
34	1	34	36.009	40.905	0	2	65	10.874	1.655	NA	0.561	NA	-45	26.565
35	1	35	35.612	40.706	0	2	55	11.318	1.264	NA	0.444	NA	-153.435	-108.435
36	1	36	36.009	41.236	0	2	46	11.98	1.701	NA	0.662	NA	53.13	-153.435
37	1	37	36.075	41.037	0	2	74	12.189	1.732	NA	0.209	NA	-71.565	-124.695
38	1	38	36.273	40.508	0	2	37	12.754	1.947	NA	0.565	NA	-69.444	2.121
39	1	39	36.472	39.979	0	2	74	13.319	2.285	NA	0.565	NA	-69.444	0
40	1	40	36.803	39.714	0	2	83	13.743	2.694	NA	0.424	NA	-38.66	30.784
41	1	41	36.803	39.912	0	2	37	13.942	2.617	NA	0.198	NA	90	128.66
42	1	42	37.266	40.177	0	2	27	14.475	2.985	NA	0.533	NA	29.745	-60.255
43	1	43	37.464	39.979	0	2	18	14.756	3.226	NA	0.281	NA	-45	-74.745
44	1	44	37.001	39.714	0	2	46	15.289	2.876	NA	0.533	NA	-150.255	-105.255
45	1	45	37.663	39.449	0	2	55	16.002	3.588	NA	0.713	NA	-21.801	128.454
46	1	46	37.663	39.383	0	2	46	16.068	3.614	NA	0.066	NA	-90	-68.199
47	1	47	37.597	39.449	0	2	74	16.161	3.527	NA	0.094	NA	135	-135
48	1	48	37.531	39.449	0	2	55	16.228	3.466	NA	0.066	NA	180	45
49	1	49	37.795	39.317	0	2	37	16.523	3.762	NA	0.296	NA	-26.565	153.435
50	1	50	37.531	39.383	0	2	27	16.796	3.493	NA	0.273	NA	165.964	-167.471
51	2	1	31.51	41.037	0	2	27	0	0	NA	NA	NA	NA	NA
52	2	2	32.502	40.111	0	2	37	1.358	1.358	NA	1.358	NA	-43.025	NA
53	2	3	33.495	39.714	0	2	18	2.426	2.386	NA	1.069	NA	-21.801	21.224
54	2	4	33.031	39.383	0	2	93	2.996	2.248	NA	0.569	NA	-144.462	-122.661
55	2	5	33.428	39.383	0	2	9	3.393	2.533	NA	0.397	NA	0	144.462
56	2	6	32.701	39.383	0	2	9	4.12	2.038	NA	0.728	NA	180	180
57	2	7	33.164	39.383	0	2	37	4.583	2.339	NA	0.463	NA	0	-180
58	2	8	33.627	39.383	0	2	65	5.047	2.687	NA	0.463	NA	0	0
59	2	9	34.024	39.118	0	2	74	5.524	3.163	NA	0.477	NA	-33.69	-33.69
60	2	10	34.487	39.052	0	2	46	5.992	3.578	NA	0.468	NA	-8.13	25.56
61	2	11	34.289	38.986	0	2	18	6.201	3.454	NA	0.209	NA	-161.565	-153.435
62	2	12	34.024	38.788	0	2	55	6.532	3.374	NA	0.331	NA	-143.13	18.435
63	3	1	34.289	39.052	0	2	18	0	0	NA	NA	NA	NA	NA
64	3	2	34.09	38.92	0	2	46	0.239	0.239	NA	0.239	NA	-146.31	NA
65	3	3	34.024	38.854	0	2	65	0.332	0.331	NA	0.094	NA	-135	11.31
66	3	4	34.289	39.118	0	2	46	0.706	0.066	NA	0.374	NA	45	180
67	3	5	33.825	39.052	0	2	55	1.174	0.463	NA	0.468	NA	-171.87	143.13
68	3	6	33.627	38.986	0	2	18	1.383	0.665	NA	0.209	NA	-161.565	10.305
69	3	7	33.759	38.721	0	2	46	1.679	0.624	NA	0.296	NA	-63.435	98.13
70	3	8	33.561	38.721	0	2	37	1.878	0.799	NA	0.198	NA	180	-116.565
71	3	9	33.428	38.457	0	2	46	2.174	1.046	NA	0.296	NA	-116.565	63.435
72	4	1	30.98	39.979	0	2	18	0	0	NA	NA	NA	NA	NA
73	4	2	31.774	39.185	0	2	55	1.123	1.123	NA	1.123	NA	-45	NA
74	4	3	32.701	39.251	0	2	27	2.051	1.868	NA	0.929	NA	4.086	49.086
75	4	4	33.098	39.118	0	2	46	2.47	2.285	NA	0.418	NA	-18.435	-22.521
76	4	5	32.701	39.118	0	2	65	2.867	1.923	NA	0.397	NA	180	-161.565
77	4	6	32.37	39.317	0	2	27	3.253	1.539	NA	0.386	NA	149.036	-30.964
78	4	7	30.782	39.449	0	2	46	4.846	0.565	NA	1.593	NA	175.236	26.2
79	4	8	29.393	39.846	0	2	46	6.291	1.593	NA	1.445	NA	164.055	-11.182
80	5	1	33.495	39.449	0	2	55	0	0	NA	NA	NA	NA	NA
81	5	2	34.686	39.714	0	2	55	1.22	1.22	NA	1.22	NA	12.529	NA
82	5	3	35.81	39.449	0	2	37	2.375	2.316	NA	1.155	NA	-13.241	-25.769
83	5	4	37.067	38.391	0	2	65	4.019	3.726	NA	1.643	NA	-40.101	-26.86
84	6	1	34.95	37.861	0	2	46	0	0	NA	NA	NA	NA	NA
85	6	2	34.95	37.795	0	2	46	0.066	0.066	NA	0.066	NA	-90	NA
86	6	3	34.818	37.663	0	2	9	0.253	0.239	NA	0.187	NA	-135	-45
87	6	4	34.553	37.597	0	2	27	0.526	0.477	NA	0.273	NA	-165.964	-30.964
88	6	5	34.95	37.464	0	2	18	0.945	0.397	NA	0.418	NA	-18.435	147.529
89	6	6	34.686	37.398	0	2	9	1.217	0.533	NA	0.273	NA	-165.964	-147.529
90	6	7	34.884	37.398	0	2	27	1.416	0.468	NA	0.198	NA	0	165.964
91	6	8	34.95	37.398	0	2	65	1.482	0.463	NA	0.066	NA	0	0
92	6	9	34.752	37.398	0	2	18	1.68	0.504	NA	0.198	NA	180	180
93	6	10	34.818	37.597	0	2	27	1.89	0.296	NA	0.209	NA	71.565	-108.435
94	6	11	35.413	37.2	0	2	0	2.605	0.808	NA	0.716	NA	-33.69	-105.255
95	7	1	41.368	38.523	0	2	27	0	0	NA	NA	NA	NA	NA
96	7	2	41.103	38.457	0	2	9	0.273	0.273	NA	0.273	NA	-165.964	NA
97	7	3	41.169	38.258	0	2	65	0.482	0.331	NA	0.209	NA	-71.565	94.399
98	7	4	41.302	38.126	0	2	55	0.669	0.402	NA	0.187	NA	-45	26.565
99	7	5	41.236	38.126	0	2	27	0.735	0.418	NA	0.066	NA	180	-135
100	7	6	41.434	38.721	0	2	46	1.363	0.209	NA	0.628	NA	71.565	-108.435
101	7	7	40.772	38.788	0	2	27	2.028	0.652	NA	0.665	NA	174.289	102.724
102	7	8	40.706	38.655	0	2	18	2.176	0.675	NA	0.148	NA	-116.565	69.146
