Nr	TID	PID	x [micron]	y [micron]	t [sec]	c [idx]	I [val]	Len [micron]	D2S [micron]	D2R [micron]	D2P [micron]	v [micron/sec]	? [deg]	?? [deg]
1	1	1	12.32	26.214	0	2	90	0	0	NA	NA	NA	NA	NA
2	1	2	12.212	27.842	0	2	20	1.632	1.632	NA	1.632	NA	93.814	NA
3	1	3	10.963	29.416	0	2	0	3.641	3.478	NA	2.009	NA	128.418	34.604
4	1	4	10.095	30.665	0	2	10	5.161	4.976	NA	1.521	NA	124.824	-3.594
5	2	1	6.079	31.859	0	2	30	0	0	NA	NA	NA	NA	NA
6	2	2	5.427	31.913	0	2	50	0.654	0.654	NA	0.654	NA	175.236	NA
7	2	3	5.265	32.076	0	2	60	0.884	0.843	NA	0.23	NA	135	-40.236
8	2	4	5.047	32.239	0	2	40	1.155	1.099	NA	0.271	NA	143.13	8.13
9	2	5	4.885	32.184	0	2	30	1.327	1.238	NA	0.172	NA	-161.565	55.305
10	2	6	5.102	32.184	0	2	100	1.544	1.03	NA	0.217	NA	0	161.565
11	2	7	4.776	32.51	0	2	40	2.004	1.456	NA	0.461	NA	135	135
12	2	8	4.83	32.836	0	2	40	2.335	1.585	NA	0.33	NA	80.538	-54.462
13	2	9	4.83	33.107	0	2	50	2.606	1.765	NA	0.271	NA	90	9.462
14	2	10	4.83	33.107	0	2	70	2.606	1.765	NA	0	NA	0	-90
15	2	11	4.722	33.161	0	2	160	2.727	1.881	NA	0.121	NA	153.435	153.435
16	2	12	5.102	33.324	0	2	80	3.141	1.761	NA	0.413	NA	23.199	-130.236
17	2	13	5.047	32.944	0	2	90	3.524	1.497	NA	0.384	NA	-98.13	-121.329
18	2	14	5.59	32.673	0	2	20	4.131	0.949	NA	0.607	NA	-26.565	71.565
19	2	15	5.373	32.347	0	2	40	4.523	0.858	NA	0.391	NA	-123.69	-97.125
20	2	16	4.993	32.13	0	2	30	4.96	1.119	NA	0.438	NA	-150.255	-26.565
21	2	17	5.156	32.347	0	2	10	5.232	1.044	NA	0.271	NA	53.13	-156.615
22	2	18	4.939	32.076	0	2	10	5.579	1.16	NA	0.348	NA	-128.66	178.21
23	2	19	4.776	32.184	0	2	120	5.775	1.343	NA	0.196	NA	146.31	-85.03
24	2	20	4.559	32.673	0	2	40	6.309	1.724	NA	0.535	NA	113.962	-32.347
25	2	21	4.288	32.836	0	2	20	6.626	2.04	NA	0.316	NA	149.036	35.074
26	2	22	4.016	33.541	0	2	10	7.382	2.662	NA	0.756	NA	111.038	-37.999
27	2	23	4.125	33.704	0	2	40	7.577	2.688	NA	0.196	NA	56.31	-54.728
28	2	24	3.908	33.596	0	2	50	7.82	2.78	NA	0.243	NA	-153.435	150.255
29	2	25	4.342	34.03	0	2	40	8.434	2.78	NA	0.614	NA	45	-161.565
30	2	26	4.233	34.572	0	2	20	8.988	3.282	NA	0.553	NA	101.31	56.31
31	3	1	4.613	35.278	0	2	40	0	0	NA	NA	NA	NA	NA
32	3	2	4.45	35.821	0	2	40	0.567	0.567	NA	0.567	NA	106.699	NA
33	3	3	4.505	35.821	0	2	10	0.621	0.553	NA	0.054	NA	0	-106.699
34	3	4	4.668	36.363	0	2	20	1.188	1.087	NA	0.567	NA	73.301	73.301
35	3	5	4.505	36.363	0	2	10	1.35	1.091	NA	0.163	NA	180	106.699
36	3	6	5.427	37.34	0	2	50	2.694	2.217	NA	1.344	NA	46.637	-133.363
