Nr	TID	PID	x [micron]	y [micron]	t [sec]	c [idx]	I [val]	Len [micron]	D2S [micron]	D2R [micron]	D2P [micron]	v [micron/sec]	? [deg]	?? [deg]
1	1	1	24.836	17.23	0	2	25	0	0	NA	NA	NA	NA	NA
2	1	2	24.702	17.163	0	2	41	0.149	0.149	NA	0.149	NA	-153.435	NA
3	1	3	24.635	17.163	0	2	33	0.216	0.211	NA	0.067	NA	180	-26.565
4	1	4	24.635	17.163	0	2	25	0.216	0.211	NA	0	NA	0	-180
5	1	5	24.502	17.163	0	2	66	0.349	0.34	NA	0.133	NA	180	180
6	1	6	24.435	17.163	0	2	41	0.416	0.406	NA	0.067	NA	180	0
7	1	7	24.435	17.163	0	2	8	0.416	0.406	NA	0	NA	0	-180
8	1	8	24.435	17.163	0	2	25	0.416	0.406	NA	0	NA	0	0
9	1	9	24.435	17.163	0	2	25	0.416	0.406	NA	0	NA	0	0
10	1	10	24.502	17.23	0	2	16	0.51	0.334	NA	0.094	NA	45	45
11	1	11	24.502	17.23	0	2	33	0.51	0.334	NA	0	NA	0	-45
12	1	12	24.502	17.23	0	2	25	0.51	0.334	NA	0	NA	0	0
13	1	13	24.502	17.23	0	2	0	0.51	0.334	NA	0	NA	0	0
14	1	14	24.502	17.23	0	2	41	0.51	0.334	NA	0	NA	0	0
15	1	15	24.502	17.163	0	2	41	0.577	0.34	NA	0.067	NA	-90	-90
16	1	16	24.502	17.163	0	2	83	0.577	0.34	NA	0	NA	0	90
17	1	17	24.902	17.297	0	2	25	0.999	0.094	NA	0.422	NA	18.435	18.435
18	1	18	24.902	17.297	0	2	33	0.999	0.094	NA	0	NA	0	-18.435
19	1	19	24.769	17.297	0	2	25	1.133	0.094	NA	0.133	NA	180	180
20	1	20	24.702	17.297	0	2	41	1.199	0.149	NA	0.067	NA	180	0
21	1	21	24.635	17.363	0	2	58	1.294	0.241	NA	0.094	NA	135	-45
22	1	22	24.635	17.43	0	2	41	1.36	0.283	NA	0.067	NA	90	-45
23	1	23	24.635	17.43	0	2	66	1.36	0.283	NA	0	NA	0	-90
24	1	24	24.635	17.43	0	2	66	1.36	0.283	NA	0	NA	0	0
25	1	25	24.635	17.964	0	2	58	1.894	0.761	NA	0.534	NA	90	90
26	1	26	24.369	18.03	0	2	50	2.169	0.927	NA	0.275	NA	165.964	75.964
27	1	27	24.302	18.03	0	2	16	2.236	0.962	NA	0.067	NA	180	14.036
28	1	28	24.035	17.897	0	2	33	2.534	1.042	NA	0.298	NA	-153.435	26.565
29	1	29	24.035	17.897	0	2	8	2.534	1.042	NA	0	NA	0	153.435
30	1	30	24.035	17.83	0	2	8	2.601	1.001	NA	0.067	NA	-90	-90
31	1	31	23.768	17.43	0	2	16	3.082	1.086	NA	0.481	NA	-123.69	-33.69
32	1	32	23.835	17.43	0	2	58	3.149	1.021	NA	0.067	NA	0	123.69
33	1	33	23.368	17.764	0	2	66	3.723	1.562	NA	0.574	NA	144.462	144.462
34	1	34	23.368	17.764	0	2	8	3.723	1.562	NA	0	NA	0	-144.462
35	1	35	23.368	18.231	0	2	50	4.19	1.776	NA	0.467	NA	90	90
36	1	36	23.101	18.231	0	2	16	4.457	2.003	NA	0.267	NA	180	90
37	1	37	23.435	18.231	0	2	33	4.79	1.722	NA	0.334	NA	0	-180
38	1	38	23.968	17.497	0	2	8	5.698	0.907	NA	0.907	NA	-53.973	-53.973
39	1	39	23.902	17.63	0	2	33	5.847	1.016	NA	0.149	NA	116.565	170.538
40	1	40	23.902	17.83	0	2	50	6.047	1.11	NA	0.2	NA	90	-26.565
41	1	41	23.768	18.03	0	2	25	6.288	1.334	NA	0.241	NA	123.69	33.69
42	1	42	23.435	17.964	0	2	33	6.628	1.582	NA	0.34	NA	-168.69	67.62
43	1	43	23.435	17.964	0	2	58	6.628	1.582	NA	0	NA	0	168.69
44	1	44	23.568	17.964	0	2	41	6.761	1.465	NA	0.133	NA	0	0
45	1	45	23.701	17.964	0	2	50	6.895	1.351	NA	0.133	NA	0	0
46	1	46	23.835	18.03	0	2	58	7.044	1.282	NA	0.149	NA	26.565	26.565
47	1	47	23.835	18.03	0	2	25	7.044	1.282	NA	0	NA	0	-26.565
48	2	1	28.372	18.698	0	2	0	0	0	NA	NA	NA	NA	NA
49	2	2	28.372	18.698	0	2	8	0	0	NA	0	NA	0	NA
50	2	3	28.372	18.698	0	2	16	0	0	NA	0	NA	0	0
51	2	4	28.505	18.764	0	2	0	0.149	0.149	NA	0.149	NA	26.565	26.565
52	2	5	28.972	18.964	0	2	8	0.657	0.657	NA	0.508	NA	23.199	-3.366
53	2	6	28.905	18.964	0	2	0	0.724	0.597	NA	0.067	NA	180	156.801
54	2	7	28.905	18.964	0	2	8	0.724	0.597	NA	0	NA	0	-180
55	2	8	28.905	18.964	0	2	8	0.724	0.597	NA	0	NA	0	0
56	2	9	28.905	18.964	0	2	0	0.724	0.597	NA	0	NA	0	0
57	2	10	28.905	18.964	0	2	0	0.724	0.597	NA	0	NA	0	0
58	2	11	28.972	18.964	0	2	0	0.791	0.657	NA	0.067	NA	0	0
59	2	12	28.905	19.231	0	2	0	1.066	0.755	NA	0.275	NA	104.036	104.036
60	2	13	28.905	19.165	0	2	0	1.133	0.709	NA	0.067	NA	-90	165.964
61	2	14	28.972	19.365	0	2	25	1.344	0.898	NA	0.211	NA	71.565	161.565
62	2	15	29.039	19.632	0	2	16	1.619	1.148	NA	0.275	NA	75.964	4.399
63	2	16	29.306	19.765	0	2	16	1.917	1.418	NA	0.298	NA	26.565	-49.399
64	2	17	29.106	19.765	0	2	8	2.117	1.295	NA	0.2	NA	180	153.435
65	2	18	29.573	19.365	0	2	8	2.732	1.374	NA	0.615	NA	-40.601	139.399
66	2	19	29.506	19.431	0	2	0	2.827	1.351	NA	0.094	NA	135	175.601
67	2	20	29.639	19.632	0	2	0	3.067	1.575	NA	0.241	NA	56.31	-78.69
68	2	21	29.506	19.632	0	2	0	3.201	1.469	NA	0.133	NA	180	123.69
69	2	22	29.573	19.698	0	2	8	3.295	1.563	NA	0.094	NA	45	-135
70	2	23	29.372	20.099	0	2	8	3.742	1.722	NA	0.448	NA	116.565	71.565
71	2	24	29.839	20.032	0	2	0	4.214	1.984	NA	0.472	NA	-8.13	-124.695
72	2	25	29.172	20.432	0	2	0	4.992	1.91	NA	0.778	NA	149.036	157.166
73	2	26	29.573	20.299	0	2	8	5.414	2.002	NA	0.422	NA	-18.435	-167.471
74	2	27	29.706	20.299	0	2	8	5.548	2.084	NA	0.133	NA	0	18.435
75	2	28	30.173	20.833	0	2	0	6.257	2.793	NA	0.709	NA	48.814	48.814
76	2	29	30.306	20.899	0	2	0	6.406	2.931	NA	0.149	NA	26.565	-22.249
77	2	30	30.373	20.699	0	2	0	6.617	2.831	NA	0.211	NA	-71.565	-98.13
78	2	31	30.773	21.767	0	2	0	7.757	3.897	NA	1.14	NA	69.444	141.009
79	3	1	31.107	20.632	0	2	0	0	0	NA	NA	NA	NA	NA
80	3	2	30.84	21.566	0	2	8	0.971	0.971	NA	0.971	NA	105.945	NA
81	3	3	32.508	22.834	0	2	16	3.066	2.61	NA	2.095	NA	37.235	-68.711
82	3	4	32.842	23.101	0	2	0	3.494	3.017	NA	0.427	NA	38.66	1.425
83	3	5	32.241	22.767	0	2	0	4.18	2.418	NA	0.687	NA	-150.945	170.395
84	3	6	32.975	23.635	0	2	0	5.317	3.536	NA	1.136	NA	49.764	-159.291
85	3	7	34.109	25.036	0	2	0	7.119	5.329	NA	1.803	NA	51.009	1.245
86	3	8	34.71	26.637	0	2	8	8.829	7.002	NA	1.71	NA	69.444	18.435
87	3	9	34.91	27.171	0	2	0	9.399	7.564	NA	0.57	NA	69.444	0
88	3	10	35.244	27.905	0	2	8	10.206	8.366	NA	0.806	NA	65.556	-3.888
89	4	1	38.313	24.502	0	2	8	0	0	NA	NA	NA	NA	NA
90	4	2	38.313	24.502	0	2	0	0	0	NA	0	NA	0	NA
91	4	3	38.78	24.569	0	2	0	0.472	0.472	NA	0.472	NA	8.13	8.13
92	4	4	38.846	24.302	0	2	0	0.747	0.57	NA	0.275	NA	-75.964	-84.094
93	4	5	38.313	24.302	0	2	0	1.281	0.2	NA	0.534	NA	180	-104.036
94	4	6	38.313	24.302	0	2	8	1.281	0.2	NA	0	NA	0	-180
95	4	7	38.913	25.236	0	2	0	2.391	0.948	NA	1.11	NA	57.265	57.265
96	4	8	38.913	25.903	0	2	0	3.058	1.524	NA	0.667	NA	90	32.735
97	4	9	39.113	26.57	0	2	0	3.755	2.218	NA	0.697	NA	73.301	-16.699
98	4	10	39.313	26.57	0	2	8	3.955	2.298	NA	0.2	NA	0	-73.301
99	4	11	40.047	27.104	0	2	8	4.862	3.127	NA	0.907	NA	36.027	36.027
100	4	12	39.313	26.971	0	2	0	5.608	2.664	NA	0.746	NA	-169.695	154.277
101	4	13	39.247	26.504	0	2	0	6.08	2.209	NA	0.472	NA	-98.13	71.565
102	4	14	39.513	26.637	0	2	8	6.378	2.45	NA	0.298	NA	26.565	124.695
103	4	15	39.513	26.637	0	2	0	6.378	2.45	NA	0	NA	0	-26.565
104	4	16	39.513	26.637	0	2	8	6.378	2.45	NA	0	NA	0	0
105	4	17	39.513	26.971	0	2	25	6.712	2.745	NA	0.334	NA	90	90
106	4	18	39.78	26.904	0	2	0	6.987	2.815	NA	0.275	NA	-14.036	-104.036
107	4	19	39.247	26.904	0	2	0	7.521	2.577	NA	0.534	NA	180	-165.964
108	4	20	38.379	25.77	0	2	0	8.949	1.269	NA	1.428	NA	-127.405	52.595
109	4	21	38.112	24.902	0	2	0	9.856	0.448	NA	0.907	NA	-107.103	20.303
110	4	22	37.712	24.369	0	2	8	10.523	0.615	NA	0.667	NA	-126.87	-19.767
111	4	23	37.779	23.835	0	2	0	11.061	0.854	NA	0.538	NA	-82.875	43.995
112	4	24	37.312	23.501	0	2	0	11.635	1.415	NA	0.574	NA	-144.462	-61.587
113	4	25	37.445	23.301	0	2	0	11.876	1.481	NA	0.241	NA	-56.31	88.152
114	4	26	37.312	23.902	0	2	8	12.491	1.167	NA	0.615	NA	102.529	158.839
115	4	27	37.445	23.835	0	2	0	12.64	1.094	NA	0.149	NA	-26.565	-129.094
116	4	28	37.378	23.835	0	2	0	12.707	1.148	NA	0.067	NA	180	-153.435
117	4	29	37.112	23.568	0	2	0	13.084	1.521	NA	0.377	NA	-135	45
118	4	30	36.911	23.701	0	2	0	13.325	1.614	NA	0.241	NA	146.31	-78.69
119	4	31	37.312	23.768	0	2	8	13.73	1.241	NA	0.406	NA	9.462	-136.848
120	4	32	37.245	23.635	0	2	8	13.88	1.375	NA	0.149	NA	-116.565	-126.027
121	4	33	36.978	23.968	0	2	0	14.307	1.437	NA	0.427	NA	128.66	-114.775
122	4	34	36.911	23.768	0	2	0	14.518	1.582	NA	0.211	NA	-108.435	122.905
123	5	1	40.381	27.638	0	2	0	0	0	NA	NA	NA	NA	NA
124	5	2	40.381	27.638	0	2	0	0	0	NA	0	NA	0	NA
125	5	3	40.047	27.638	0	2	0	0.334	0.334	NA	0.334	NA	180	180
126	5	4	40.047	28.038	0	2	0	0.734	0.521	NA	0.4	NA	90	-90
127	5	5	40.114	28.105	0	2	8	0.828	0.538	NA	0.094	NA	45	-45
128	5	6	39.98	28.105	0	2	0	0.962	0.615	NA	0.133	NA	180	135
129	5	7	39.714	27.838	0	2	0	1.339	0.697	NA	0.377	NA	-135	45
130	5	8	39.447	28.038	0	2	8	1.673	1.016	NA	0.334	NA	143.13	-81.87
