Nr	TID	PID	x [micron]	y [micron]	t [sec]	c [idx]	I [val]	Len [micron]	D2S [micron]	D2R [micron]	D2P [micron]	v [micron/sec]	? [deg]	?? [deg]
1	1	1	13.346	18.53	0	2	93	0	0	NA	NA	NA	NA	NA
2	1	2	12.482	17.666	0	2	37	1.222	1.222	NA	1.222	NA	-135	NA
3	1	3	12.297	17.975	0	2	37	1.582	1.187	NA	0.36	NA	120.964	-104.036
4	1	4	12.544	18.036	0	2	55	1.836	0.942	NA	0.254	NA	14.036	-106.928
5	1	5	12.976	18.221	0	2	55	2.306	0.482	NA	0.47	NA	23.199	9.162
6	1	6	12.914	18.407	0	2	27	2.501	0.449	NA	0.195	NA	108.435	85.236
7	1	7	13.161	18.468	0	2	55	2.756	0.195	NA	0.254	NA	14.036	-94.399
8	1	8	13.654	18.777	0	2	46	3.338	0.395	NA	0.582	NA	32.005	17.969
9	1	9	13.778	18.962	0	2	130	3.561	0.611	NA	0.223	NA	56.31	24.305
10	1	10	14.21	19.024	0	2	65	3.997	0.995	NA	0.436	NA	8.13	-48.18
11	1	11	13.963	18.962	0	2	46	4.251	0.753	NA	0.254	NA	-165.964	-174.094
12	1	12	13.963	18.962	0	2	65	4.251	0.753	NA	0	NA	0	165.964
13	1	13	13.593	18.839	0	2	74	4.642	0.395	NA	0.39	NA	-161.565	-161.565
14	1	14	14.025	18.777	0	2	83	5.078	0.722	NA	0.436	NA	-8.13	153.435
15	1	15	14.889	19.209	0	2	9	6.044	1.686	NA	0.966	NA	26.565	34.695
16	1	16	15.568	19.579	0	2	55	6.817	2.457	NA	0.773	NA	28.61	2.045
17	1	17	15.876	19.641	0	2	74	7.132	2.763	NA	0.315	NA	11.31	-17.301
18	1	18	15.753	19.826	0	2	65	7.355	2.734	NA	0.223	NA	123.69	112.38
19	1	19	15.383	19.826	0	2	27	7.725	2.414	NA	0.37	NA	180	56.31
20	1	20	15.383	19.888	0	2	55	7.787	2.448	NA	0.062	NA	90	-90
21	1	21	15.383	19.949	0	2	27	7.848	2.482	NA	0.062	NA	90	0
22	1	22	15.444	19.949	0	2	27	7.91	2.533	NA	0.062	NA	0	-90
23	1	23	16.432	19.949	0	2	65	8.898	3.397	NA	0.987	NA	0	0
24	1	24	16.987	19.764	0	2	37	9.483	3.845	NA	0.585	NA	-18.435	-18.435
25	1	25	17.419	19.764	0	2	65	9.915	4.256	NA	0.432	NA	0	18.435
26	1	26	17.604	19.764	0	2	55	10.1	4.434	NA	0.185	NA	0	0
27	1	27	17.666	19.764	0	2	46	10.162	4.493	NA	0.062	NA	0	0
28	1	28	17.604	19.888	0	2	55	10.3	4.47	NA	0.138	NA	116.565	116.565
29	1	29	17.296	19.579	0	2	46	10.736	4.087	NA	0.436	NA	-135	108.435
30	1	30	17.357	19.579	0	2	37	10.798	4.146	NA	0.062	NA	0	135
31	1	31	17.543	19.579	0	2	74	10.983	4.326	NA	0.185	NA	0	0
32	1	32	17.481	19.517	0	2	65	11.07	4.251	NA	0.087	NA	-135	-135
33	1	33	17.481	19.517	0	2	74	11.07	4.251	NA	0	NA	0	135
34	1	34	17.481	19.641	0	2	93	11.194	4.282	NA	0.123	NA	90	90
35	1	35	17.666	19.764	0	2	74	11.416	4.493	NA	0.223	NA	33.69	-56.31
36	1	36	17.666	19.764	0	2	93	11.416	4.493	NA	0	NA	0	-33.69
37	1	37	17.604	19.579	0	2	111	11.612	4.386	NA	0.195	NA	-108.435	-108.435
38	1	38	17.666	19.517	0	2	93	11.699	4.431	NA	0.087	NA	-45	63.435
39	1	39	17.666	19.517	0	2	74	11.699	4.431	NA	0	NA	0	45
40	1	40	17.913	19.394	0	2	37	11.975	4.648	NA	0.276	NA	-26.565	-26.565
41	1	41	18.345	19.332	0	2	130	12.411	5.063	NA	0.436	NA	-8.13	18.435
42	1	42	18.715	19.271	0	2	93	12.787	5.42	NA	0.375	NA	-9.462	-1.332
43	1	43	18.777	18.962	0	2	102	13.101	5.448	NA	0.315	NA	-78.69	-69.228
44	1	44	19.332	18.962	0	2	130	13.657	6.002	NA	0.555	NA	0	78.69
45	1	45	19.456	18.9	0	2	139	13.795	6.121	NA	0.138	NA	-26.565	-26.565
46	1	46	19.517	19.024	0	2	93	13.933	6.191	NA	0.138	NA	63.435	90
47	1	47	19.517	18.962	0	2	130	13.994	6.187	NA	0.062	NA	-90	-153.435
48	1	48	20.011	19.024	0	2	167	14.492	6.684	NA	0.498	NA	7.125	97.125
49	1	49	20.505	19.024	0	2	121	14.986	7.176	NA	0.494	NA	0	-7.125
50	1	50	20.505	18.839	0	2	139	15.171	7.166	NA	0.185	NA	-90	-90
51	2	1	16.74	19.024	0	2	83	0	0	NA	NA	NA	NA	NA
52	2	2	16.925	18.9	0	2	130	0.223	0.223	NA	0.223	NA	-33.69	NA
53	2	3	16	18.715	0	2	111	1.167	0.802	NA	0.944	NA	-168.69	-135
54	2	4	16.37	18.53	0	2	46	1.581	0.617	NA	0.414	NA	-26.565	142.125
55	2	5	16.74	18.653	0	2	255	1.971	0.37	NA	0.39	NA	18.435	45
56	2	6	17.234	18.839	0	2	139	2.498	0.527	NA	0.527	NA	20.556	2.121
57	2	7	16.802	18.715	0	2	177	2.947	0.315	NA	0.449	NA	-164.055	175.389
