Nr	TID	PID	x [micron]	y [micron]	t [sec]	c [idx]	I [val]	Len [micron]	D2S [micron]	D2R [micron]	D2P [micron]	v [micron/sec]	? [deg]	?? [deg]
1	1	1	10.599	16.773	0	2	0	0	0	NA	NA	NA	NA	NA
2	1	2	10.824	16.062	0	2	74	0.746	0.746	NA	0.746	NA	-72.474	NA
3	1	3	10.524	15.913	0	2	9	1.08	0.864	NA	0.335	NA	-153.435	-80.961
4	1	4	10.562	16.025	0	2	9	1.199	0.749	NA	0.118	NA	71.565	-135
5	1	5	10.973	16.062	0	2	65	1.612	0.803	NA	0.413	NA	5.194	-66.371
6	1	6	10.599	15.987	0	2	37	1.994	0.786	NA	0.382	NA	-168.69	-173.884
7	1	7	10.786	15.763	0	2	27	2.286	1.027	NA	0.292	NA	-50.194	118.496
8	1	8	10.861	15.538	0	2	9	2.522	1.262	NA	0.237	NA	-71.565	-21.371
9	1	9	10.936	15.426	0	2	37	2.657	1.389	NA	0.135	NA	-56.31	15.255
10	1	10	10.786	15.351	0	2	46	2.825	1.434	NA	0.167	NA	-153.435	-97.125
11	1	11	10.936	15.763	0	2	46	3.263	1.065	NA	0.438	NA	70.017	-136.548
12	1	12	11.198	15.314	0	2	18	3.783	1.577	NA	0.52	NA	-59.744	-129.76
13	1	13	11.048	15.463	0	2	9	3.994	1.385	NA	0.212	NA	135	-165.256
14	1	14	11.011	15.651	0	2	18	4.185	1.196	NA	0.191	NA	101.31	-33.69
15	1	15	10.936	15.651	0	2	18	4.26	1.172	NA	0.075	NA	180	78.69
16	1	16	11.048	15.276	0	2	18	4.65	1.563	NA	0.391	NA	-73.301	106.699
17	2	1	12.395	13.293	0	2	46	0	0	NA	NA	NA	NA	NA
18	2	2	12.732	12.919	0	2	55	0.503	0.503	NA	0.503	NA	-48.013	NA
19	2	3	13.331	12.47	0	2	18	1.252	1.246	NA	0.748	NA	-36.87	11.143
20	2	4	12.657	12.769	0	2	74	1.989	0.586	NA	0.737	NA	156.038	-167.093
21	2	5	12.769	12.657	0	2	46	2.148	0.738	NA	0.159	NA	-45	158.962
22	2	6	12.769	12.545	0	2	74	2.26	0.837	NA	0.112	NA	-90	-45
23	2	7	12.807	12.358	0	2	93	2.451	1.022	NA	0.191	NA	-78.69	11.31
24	2	8	12.807	12.32	0	2	74	2.488	1.056	NA	0.037	NA	-90	-11.31
25	2	9	12.769	12.283	0	2	111	2.541	1.077	NA	0.053	NA	-135	-45
26	2	10	12.732	12.32	0	2	0	2.594	1.03	NA	0.053	NA	135	-90
27	2	11	12.956	12.358	0	2	37	2.822	1.091	NA	0.228	NA	9.462	-125.538
28	3	1	11.534	13.78	0	2	18	0	0	NA	NA	NA	NA	NA
29	3	2	11.534	13.742	0	2	46	0.037	0.037	NA	0.037	NA	-90	NA
30	3	3	11.534	13.742	0	2	186	0.037	0.037	NA	0	NA	0	90
31	3	4	11.422	13.742	0	2	74	0.15	0.118	NA	0.112	NA	180	180
32	3	5	11.422	13.817	0	2	111	0.225	0.118	NA	0.075	NA	90	-90
33	3	6	11.31	13.705	0	2	74	0.383	0.237	NA	0.159	NA	-135	135
34	3	7	11.273	13.593	0	2	121	0.502	0.322	NA	0.118	NA	-108.435	26.565
35	3	8	11.31	13.368	0	2	149	0.729	0.469	NA	0.228	NA	-80.538	27.897
36	3	9	11.235	13.293	0	2	158	0.835	0.571	NA	0.106	NA	-135	-54.462
37	3	10	11.198	13.256	0	2	37	0.888	0.623	NA	0.053	NA	-135	0
38	4	1	11.273	13.106	0	2	55	0	0	NA	NA	NA	NA	NA
39	4	2	11.534	12.769	0	2	93	0.427	0.427	NA	0.427	NA	-52.125	NA
40	4	3	11.273	12.433	0	2	37	0.853	0.674	NA	0.427	NA	-127.875	-75.75
41	4	4	11.385	12.133	0	2	9	1.173	0.979	NA	0.32	NA	-69.444	58.431
42	4	5	11.198	11.796	0	2	37	1.558	1.312	NA	0.385	NA	-119.055	-49.611
43	4	6	11.235	11.497	0	2	27	1.86	1.609	NA	0.302	NA	-82.875	36.18
44	4	7	11.235	11.497	0	2	37	1.86	1.609	NA	0	NA	0	82.875
45	4	8	11.385	11.609	0	2	74	2.047	1.501	NA	0.187	NA	36.87	36.87
46	4	9	11.796	11.684	0	2	46	2.465	1.515	NA	0.418	NA	10.305	-26.565
47	4	10	11.572	11.722	0	2	27	2.693	1.417	NA	0.228	NA	170.538	160.233
48	4	11	12.021	11.722	0	2	55	3.142	1.574	NA	0.449	NA	0	-170.538
49	4	12	11.796	11.609	0	2	46	3.393	1.586	NA	0.251	NA	-153.435	-153.435
50	4	13	12.021	11.534	0	2	18	3.63	1.741	NA	0.237	NA	-18.435	135
51	5	1	10.412	16.474	0	2	0	0	0	NA	NA	NA	NA	NA
52	5	2	10.449	15.913	0	2	18	0.563	0.563	NA	0.563	NA	-86.186	NA
53	5	3	10.636	15.389	0	2	9	1.119	1.108	NA	0.556	NA	-70.346	15.84
54	5	4	10.861	14.678	0	2	46	1.864	1.851	NA	0.746	NA	-72.474	-2.128
55	5	5	11.085	14.753	0	2	27	2.101	1.848	NA	0.237	NA	18.435	90.909
56	5	6	11.385	15.239	0	2	46	2.672	1.572	NA	0.571	NA	58.392	39.958
57	5	7	11.609	15.651	0	2	37	3.141	1.453	NA	0.469	NA	61.39	2.997
58	5	8	11.347	15.95	0	2	46	3.539	1.072	NA	0.398	NA	131.186	69.796
59	5	9	11.198	16.174	0	2	18	3.809	0.841	NA	0.27	NA	123.69	-7.496
60	5	10	11.31	16.062	0	2	9	3.967	0.988	NA	0.159	NA	-45	-168.69
61	5	11	11.46	15.95	0	2	46	4.155	1.171	NA	0.187	NA	-36.87	8.13
62	5	12	11.235	15.95	0	2	74	4.379	0.976	NA	0.225	NA	180	-143.13
63	5	13	10.861	16.249	0	2	0	4.858	0.502	NA	0.479	NA	141.34	-38.66
64	5	14	10.599	15.987	0	2	18	5.229	0.521	NA	0.37	NA	-135	83.66
65	5	15	11.684	15.875	0	2	37	6.32	1.406	NA	1.091	NA	-5.906	129.094
66	5	16	11.684	15.875	0	2	18	6.32	1.406	NA	0	NA	0	5.906
67	5	17	11.235	15.613	0	2	65	6.839	1.191	NA	0.52	NA	-149.744	-149.744
68	5	18	11.572	15.576	0	2	37	7.178	1.467	NA	0.339	NA	-6.34	143.403
69	5	19	11.534	15.276	0	2	9	7.48	1.641	NA	0.302	NA	-97.125	-90.785
70	5	20	11.609	15.613	0	2	9	7.825	1.475	NA	0.345	NA	77.471	174.596
71	5	21	11.085	15.725	0	2	27	8.361	1.007	NA	0.536	NA	167.905	90.434
72	5	22	11.011	16.062	0	2	9	8.706	0.727	NA	0.345	NA	102.529	-65.376
73	5	23	11.048	16.212	0	2	18	8.86	0.688	NA	0.154	NA	75.964	-26.565
74	5	24	11.123	15.987	0	2	46	9.097	0.861	NA	0.237	NA	-71.565	-147.529
75	6	1	12.021	14.266	0	2	55	0	0	NA	NA	NA	NA	NA
