Nr	TID	PID	x [micron]	y [micron]	t [sec]	c [idx]	I [val]	Len [micron]	D2S [micron]	D2R [micron]	D2P [micron]	v [micron/sec]	? [deg]	?? [deg]
1	1	1	12.193	36.177	0	2	195	0	0	NA	NA	NA	NA	NA
2	1	2	12.193	36.177	0	2	186	0	0	NA	0	NA	0	NA
3	1	3	12.104	36.177	0	2	233	0.089	0.089	NA	0.089	NA	180	180
4	1	4	12.104	36.177	0	2	223	0.089	0.089	NA	0	NA	0	-180
5	1	5	12.104	36.177	0	2	255	0.089	0.089	NA	0	NA	0	0
6	1	6	12.104	36.177	0	2	186	0.089	0.089	NA	0	NA	0	0
7	1	7	12.104	36.177	0	2	242	0.089	0.089	NA	0	NA	0	0
8	1	8	12.104	36.177	0	2	255	0.089	0.089	NA	0	NA	0	0
9	1	9	12.104	36.177	0	2	255	0.089	0.089	NA	0	NA	0	0
10	1	10	12.104	36.177	0	2	255	0.089	0.089	NA	0	NA	0	0
11	1	11	12.104	36.177	0	2	233	0.089	0.089	NA	0	NA	0	0
12	1	12	12.104	36.177	0	2	242	0.089	0.089	NA	0	NA	0	0
13	1	13	12.104	36.177	0	2	255	0.089	0.089	NA	0	NA	0	0
14	1	14	12.104	36.177	0	2	251	0.089	0.089	NA	0	NA	0	0
15	1	15	12.104	36.177	0	2	223	0.089	0.089	NA	0	NA	0	0
16	1	16	11.477	36.804	0	2	251	0.975	0.951	NA	0.886	NA	135	135
17	1	17	11.477	36.804	0	2	149	0.975	0.951	NA	0	NA	0	-135
18	1	18	11.388	36.804	0	2	223	1.065	1.02	NA	0.089	NA	180	180
19	1	19	10.851	37.341	0	2	255	1.824	1.776	NA	0.759	NA	135	-45
20	1	20	10.851	37.43	0	2	186	1.914	1.836	NA	0.089	NA	90	-45
21	1	21	10.761	37.52	0	2	195	2.04	1.963	NA	0.127	NA	135	45
22	1	22	10.94	37.52	0	2	130	2.219	1.836	NA	0.179	NA	0	-135
23	1	23	10.94	37.52	0	2	111	2.219	1.836	NA	0	NA	0	0
24	1	24	10.94	37.52	0	2	214	2.219	1.836	NA	0	NA	0	0
25	1	25	10.94	37.52	0	2	167	2.219	1.836	NA	0	NA	0	0
26	1	26	10.94	37.52	0	2	177	2.219	1.836	NA	0	NA	0	0
27	1	27	10.94	37.52	0	2	177	2.219	1.836	NA	0	NA	0	0
28	1	28	10.94	37.52	0	2	130	2.219	1.836	NA	0	NA	0	0
29	1	29	10.94	37.52	0	2	130	2.219	1.836	NA	0	NA	0	0
30	1	30	10.94	37.52	0	2	149	2.219	1.836	NA	0	NA	0	0
31	1	31	10.94	37.162	0	2	214	2.577	1.593	NA	0.358	NA	-90	-90
32	1	32	10.851	37.072	0	2	177	2.704	1.613	NA	0.127	NA	-135	-45
33	1	33	10.851	37.072	0	2	186	2.704	1.613	NA	0	NA	0	135
34	1	34	10.851	37.072	0	2	130	2.704	1.613	NA	0	NA	0	0
35	1	35	10.672	37.251	0	2	214	2.957	1.862	NA	0.253	NA	135	135
36	1	36	10.403	37.251	0	2	130	3.225	2.087	NA	0.268	NA	180	45
37	1	37	10.225	37.251	0	2	121	3.404	2.243	NA	0.179	NA	180	0
38	1	38	10.314	37.341	0	2	167	3.531	2.21	NA	0.127	NA	45	-135
39	1	39	10.761	37.341	0	2	139	3.978	1.845	NA	0.447	NA	0	-45
40	1	40	10.761	37.341	0	2	158	3.978	1.845	NA	0	NA	0	0
41	1	41	10.761	37.341	0	2	177	3.978	1.845	NA	0	NA	0	0
42	1	42	10.761	37.341	0	2	167	3.978	1.845	NA	0	NA	0	0
43	1	43	10.761	37.341	0	2	242	3.978	1.845	NA	0	NA	0	0
44	1	44	10.851	37.341	0	2	149	4.068	1.776	NA	0.089	NA	0	0
45	1	45	10.851	37.43	0	2	255	4.157	1.836	NA	0.089	NA	90	90
46	1	46	10.761	37.52	0	2	186	4.284	1.963	NA	0.127	NA	135	45
47	1	47	10.761	37.52	0	2	186	4.284	1.963	NA	0	NA	0	-135
48	1	48	10.761	37.52	0	2	102	4.284	1.963	NA	0	NA	0	0
49	1	49	10.761	37.52	0	2	130	4.284	1.963	NA	0	NA	0	0
50	1	50	10.672	37.52	0	2	205	4.373	2.029	NA	0.089	NA	180	180
51	2	1	23.38	47.274	0	2	102	0	0	NA	NA	NA	NA	NA
52	2	2	23.38	47.274	0	2	111	0	0	NA	0	NA	0	NA
53	2	3	23.38	47.274	0	2	195	0	0	NA	0	NA	0	0
54	2	4	23.38	47.274	0	2	121	0	0	NA	0	NA	0	0
55	2	5	23.38	47.274	0	2	158	0	0	NA	0	NA	0	0
56	2	6	23.38	47.274	0	2	195	0	0	NA	0	NA	0	0
57	2	7	23.38	47.274	0	2	121	0	0	NA	0	NA	0	0
58	2	8	23.111	47.274	0	2	83	0.268	0.268	NA	0.268	NA	180	180
59	2	9	23.111	47.274	0	2	158	0.268	0.268	NA	0	NA	0	-180
60	2	10	22.038	47.185	0	2	46	1.346	1.345	NA	1.078	NA	-175.236	-175.236
61	2	11	21.948	47.274	0	2	37	1.473	1.432	NA	0.127	NA	135	-49.764
62	2	12	22.395	47.274	0	2	46	1.92	0.984	NA	0.447	NA	0	-135
63	2	13	22.395	47.274	0	2	55	1.92	0.984	NA	0	NA	0	0
64	2	14	22.395	47.274	0	2	55	1.92	0.984	NA	0	NA	0	0
65	2	15	22.485	47.274	0	2	83	2.01	0.895	NA	0.089	NA	0	0
66	2	16	22.574	47.543	0	2	111	2.293	0.849	NA	0.283	NA	71.565	71.565
67	2	17	22.664	47.543	0	2	139	2.382	0.765	NA	0.089	NA	0	-71.565
68	2	18	22.664	47.543	0	2	65	2.382	0.765	NA	0	NA	0	0
69	2	19	22.216	47.453	0	2	93	2.838	1.177	NA	0.456	NA	-168.69	-168.69
70	3	1	8.882	45.216	0	2	121	0	0	NA	NA	NA	NA	NA
