Nr	TID	PID	x [micron]	y [micron]	t [sec]	c [idx]	I [val]	Len [micron]	D2S [micron]	D2R [micron]	D2P [micron]	v [micron/sec]	? [deg]	?? [deg]
1	1	1	18.848	18.286	0	2	149	0	0	NA	NA	NA	NA	NA
2	1	2	18.942	18.192	0	2	74	0.133	0.133	NA	0.133	NA	-45	NA
3	1	3	18.942	18.052	0	2	158	0.273	0.252	NA	0.141	NA	-90	-45
4	1	4	18.989	18.099	0	2	83	0.339	0.234	NA	0.066	NA	45	135
5	1	5	19.176	18.427	0	2	102	0.717	0.357	NA	0.378	NA	60.255	15.255
6	1	6	19.13	18.474	0	2	167	0.783	0.338	NA	0.066	NA	135	74.745
7	1	7	19.223	18.427	0	2	130	0.888	0.4	NA	0.105	NA	-26.565	-161.565
8	1	8	19.223	18.427	0	2	83	0.888	0.4	NA	0	NA	0	26.565
9	1	9	19.411	18.286	0	2	102	1.122	0.562	NA	0.234	NA	-36.87	-36.87
10	1	10	19.598	18.146	0	2	37	1.357	0.763	NA	0.234	NA	-36.87	0
11	1	11	19.504	18.192	0	2	177	1.462	0.663	NA	0.105	NA	153.435	-169.695
12	1	12	19.504	18.192	0	2	46	1.462	0.663	NA	0	NA	0	-153.435
13	1	13	19.504	18.192	0	2	111	1.462	0.663	NA	0	NA	0	0
14	1	14	19.504	18.192	0	2	65	1.462	0.663	NA	0	NA	0	0
15	1	15	19.504	18.192	0	2	55	1.462	0.663	NA	0	NA	0	0
16	1	16	19.551	18.192	0	2	37	1.508	0.709	NA	0.047	NA	0	0
17	1	17	19.176	18.286	0	2	46	1.895	0.328	NA	0.386	NA	165.964	165.964
18	1	18	19.036	18.474	0	2	102	2.129	0.265	NA	0.234	NA	126.87	-39.094
19	1	19	19.176	18.146	0	2	37	2.486	0.357	NA	0.357	NA	-66.801	166.329
20	1	20	18.333	18.614	0	2	83	3.451	0.611	NA	0.965	NA	150.945	-142.253
21	1	21	18.474	18.708	0	2	55	3.62	0.564	NA	0.169	NA	33.69	-117.255
22	1	22	18.052	18.708	0	2	27	4.041	0.901	NA	0.422	NA	180	146.31
23	1	23	18.052	18.708	0	2	55	4.041	0.901	NA	0	NA	0	-180
24	1	24	17.958	18.755	0	2	27	4.146	1.006	NA	0.105	NA	153.435	153.435
25	1	25	17.958	18.755	0	2	37	4.146	1.006	NA	0	NA	0	-153.435
26	1	26	18.239	18.661	0	2	65	4.443	0.715	NA	0.296	NA	-18.435	-18.435
27	1	27	18.38	18.661	0	2	27	4.583	0.6	NA	0.141	NA	0	18.435
28	1	28	18.52	18.708	0	2	9	4.731	0.534	NA	0.148	NA	18.435	18.435
29	1	29	18.474	18.848	0	2	93	4.88	0.676	NA	0.148	NA	108.435	90
30	1	30	18.427	18.942	0	2	121	4.984	0.78	NA	0.105	NA	116.565	8.13
31	1	31	18.333	18.989	0	2	18	5.089	0.872	NA	0.105	NA	153.435	36.87
32	1	32	18.333	18.989	0	2	65	5.089	0.872	NA	0	NA	0	-153.435
33	1	33	18.333	19.036	0	2	18	5.136	0.91	NA	0.047	NA	90	90
34	1	34	18.427	18.989	0	2	46	5.241	0.82	NA	0.105	NA	-26.565	-116.565
35	1	35	18.474	18.661	0	2	0	5.572	0.53	NA	0.331	NA	-81.87	-55.305
36	1	36	18.895	18.427	0	2	27	6.054	0.148	NA	0.482	NA	-29.055	52.815
37	1	37	18.567	18.239	0	2	55	6.432	0.285	NA	0.378	NA	-150.255	-121.201
38	1	38	18.52	18.239	0	2	18	6.479	0.331	NA	0.047	NA	180	-29.745
