Nr	TID	PID	x [micron]	y [micron]	t [sec]	c [idx]	I [val]	Len [micron]	D2S [micron]	D2R [micron]	D2P [micron]	v [micron/sec]	? [deg]	?? [deg]
1	1	1	18.41	39.78	0	2	149	0	0	NA	NA	NA	NA	NA
2	1	2	18.211	39.714	0	2	255	0.209	0.209	NA	0.209	NA	-161.565	NA
3	1	3	18.079	39.714	0	2	111	0.342	0.337	NA	0.132	NA	180	-18.435
4	1	4	18.277	39.78	0	2	255	0.551	0.132	NA	0.209	NA	18.435	-161.565
5	1	5	18.476	39.78	0	2	149	0.749	0.066	NA	0.198	NA	0	-18.435
6	1	6	18.41	39.78	0	2	149	0.815	0	NA	0.066	NA	180	180
7	1	7	18.476	39.714	0	2	214	0.909	0.094	NA	0.094	NA	-45	135
8	1	8	18.674	39.714	0	2	255	1.107	0.273	NA	0.198	NA	0	45
9	1	9	18.542	39.648	0	2	186	1.255	0.187	NA	0.148	NA	-153.435	-153.435
10	1	10	18.74	39.846	0	2	65	1.536	0.337	NA	0.281	NA	45	-161.565
11	1	11	19.27	39.648	0	2	46	2.101	0.87	NA	0.565	NA	-20.556	-65.556
12	1	12	18.674	39.582	0	2	139	2.701	0.331	NA	0.599	NA	-173.66	-153.104
13	1	13	18.674	39.648	0	2	139	2.767	0.296	NA	0.066	NA	90	-96.34
14	1	14	18.079	40.111	0	2	223	3.521	0.468	NA	0.754	NA	142.125	52.125
15	1	15	18.145	39.979	0	2	149	3.669	0.331	NA	0.148	NA	-63.435	154.44
16	1	16	18.41	40.111	0	2	102	3.965	0.331	NA	0.296	NA	26.565	90
17	1	17	18.145	39.979	0	2	121	4.261	0.331	NA	0.296	NA	-153.435	-180
18	1	18	18.145	39.979	0	2	139	4.261	0.331	NA	0	NA	0	153.435
19	1	19	18.079	39.979	0	2	149	4.327	0.386	NA	0.066	NA	180	180
20	1	20	16.822	40.243	0	2	46	5.612	1.654	NA	1.285	NA	168.111	-11.889
21	1	21	16.756	40.243	0	2	74	5.678	1.718	NA	0.066	NA	180	11.889
22	1	22	16.888	40.177	0	2	65	5.826	1.573	NA	0.148	NA	-26.565	153.435
23	1	23	17.02	40.177	0	2	55	5.958	1.445	NA	0.132	NA	0	26.565
24	1	24	16.425	40.045	0	2	102	6.568	2.002	NA	0.61	NA	-167.471	-167.471
25	1	25	16.557	40.243	0	2	55	6.807	1.91	NA	0.239	NA	56.31	-136.219
26	1	26	16.557	40.243	0	2	83	6.807	1.91	NA	0	NA	0	-56.31
27	1	27	16.359	40.243	0	2	55	7.005	2.103	NA	0.198	NA	180	180
28	1	28	15.895	40.243	0	2	27	7.468	2.556	NA	0.463	NA	180	0
29	1	29	14.175	39.515	0	2	46	9.336	4.243	NA	1.868	NA	-157.068	22.932
30	1	30	14.109	39.714	0	2	74	9.545	4.301	NA	0.209	NA	108.435	-94.497
31	2	1	19.931	36.604	0	2	139	0	0	NA	NA	NA	NA	NA
32	2	2	19.799	36.472	0	2	83	0.187	0.187	NA	0.187	NA	-135	NA
33	2	3	19.865	37.001	0	2	74	0.721	0.402	NA	0.533	NA	82.875	-142.125
34	2	4	19.998	37.001	0	2	18	0.853	0.402	NA	0.132	NA	0	-82.875
35	2	5	19.998	37.067	0	2	83	0.919	0.468	NA	0.066	NA	90	90
36	2	6	20.196	37.067	0	2	37	1.118	0.533	NA	0.198	NA	0	-90
37	2	7	20.593	36.869	0	2	74	1.561	0.713	NA	0.444	NA	-26.565	-26.565
38	2	8	20.196	36.406	0	2	74	2.171	0.331	NA	0.61	NA	-130.601	-104.036
39	2	9	20.196	36.737	0	2	65	2.502	0.296	NA	0.331	NA	90	-139.399
40	2	10	20.659	36.869	0	2	65	2.984	0.774	NA	0.482	NA	15.945	-74.055
41	2	11	20.527	36.869	0	2	74	3.116	0.652	NA	0.132	NA	180	164.055
42	2	12	20.461	36.869	0	2	18	3.182	0.592	NA	0.066	NA	180	0
43	2	13	21.453	36.935	0	2	46	4.177	1.557	NA	0.995	NA	3.814	-176.186
44	2	14	21.453	36.869	0	2	18	4.243	1.545	NA	0.066	NA	-90	-93.814
