Nr	CID	TID	PID	x [micron]	y [micron]	t [sec]	c [idx]	I [val]	Len [micron]	D2S [micron]	D2R [micron]	D2P [micron]	v [micron/sec]	? [deg]	?? [deg]
1	1	1	1	8.682	18.15	0	2	139	0	0	NA	NA	NA	NA	NA
2	1	1	2	8.909	18.15	0	2	233	0.227	0.227	NA	0.227	NA	0	NA
3	1	1	3	8.758	17.847	0	2	149	0.566	0.312	NA	0.339	NA	-116.565	-116.565
4	1	1	4	8.834	17.847	0	2	111	0.642	0.339	NA	0.076	NA	0	116.565
5	1	1	5	8.834	17.923	0	2	149	0.717	0.273	NA	0.076	NA	90	90
6	1	1	6	8.909	17.847	0	2	93	0.825	0.379	NA	0.107	NA	-45	-135
7	1	1	7	9.629	17.544	0	2	139	1.605	1.124	NA	0.781	NA	-22.834	22.166
8	1	1	8	9.629	17.544	0	2	149	1.605	1.124	NA	0	NA	0	22.834
9	1	1	9	9.629	17.582	0	2	74	1.643	1.104	NA	0.038	NA	90	90
10	1	1	10	9.629	17.771	0	2	83	1.833	1.02	NA	0.189	NA	90	0
11	1	1	11	9.553	17.847	0	2	149	1.94	0.922	NA	0.107	NA	135	45
12	1	1	12	9.553	17.582	0	2	111	2.205	1.04	NA	0.265	NA	-90	135
13	1	1	13	9.667	17.582	0	2	158	2.318	1.137	NA	0.114	NA	0	90
14	1	1	14	9.78	17.62	0	2	205	2.438	1.22	NA	0.12	NA	18.435	18.435
15	1	1	15	9.818	17.544	0	2	130	2.523	1.288	NA	0.085	NA	-63.435	-81.87
16	1	1	16	9.818	17.468	0	2	121	2.599	1.325	NA	0.076	NA	-90	-26.565
17	1	1	17	10.083	17.468	0	2	93	2.864	1.558	NA	0.265	NA	0	90
18	1	1	18	10.5	17.43	0	2	83	3.282	1.955	NA	0.418	NA	-5.194	-5.194
19	1	1	19	10.5	17.43	0	2	130	3.282	1.955	NA	0	NA	0	5.194
20	1	1	20	10.5	17.279	0	2	102	3.433	2.016	NA	0.151	NA	-90	-90
21	1	1	21	10.462	17.241	0	2	102	3.487	1.999	NA	0.054	NA	-135	-45
22	1	1	22	10.424	17.241	0	2	83	3.525	1.965	NA	0.038	NA	180	-45
23	1	1	23	10.273	17.582	0	2	74	3.898	1.689	NA	0.373	NA	113.962	-66.038
24	1	1	24	10.159	17.847	0	2	93	4.186	1.508	NA	0.288	NA	113.199	-0.764
25	1	1	25	10.045	17.809	0	2	74	4.306	1.405	NA	0.12	NA	-161.565	85.236
26	1	1	26	9.439	18.036	0	2	121	4.953	0.766	NA	0.647	NA	159.444	-38.991
27	1	1	27	9.439	18.15	0	2	111	5.067	0.757	NA	0.114	NA	90	-69.444
28	1	1	28	9.364	18.112	0	2	37	5.151	0.683	NA	0.085	NA	-153.435	116.565
29	1	1	29	9.288	18.112	0	2	93	5.227	0.607	NA	0.076	NA	180	-26.565
30	1	1	30	9.25	18.074	0	2	55	5.281	0.573	NA	0.054	NA	-135	45
31	1	1	31	9.25	18.15	0	2	65	5.357	0.568	NA	0.076	NA	90	-135
32	1	1	32	9.25	18.15	0	2	55	5.357	0.568	NA	0	NA	0	-90
33	1	1	33	9.174	18.226	0	2	93	5.464	0.498	NA	0.107	NA	135	135
34	1	1	34	9.023	18.226	0	2	83	5.615	0.349	NA	0.151	NA	180	45
35	1	1	35	9.061	18.301	0	2	55	5.7	0.408	NA	0.085	NA	63.435	-116.565
36	1	1	36	9.061	18.301	0	2	111	5.7	0.408	NA	0	NA	0	-63.435
37	1	1	37	8.455	18.718	0	2	83	6.435	0.612	NA	0.735	NA	145.491	145.491
38	1	1	38	8.455	18.718	0	2	65	6.435	0.612	NA	0	NA	0	-145.491
39	1	1	39	8.417	18.718	0	2	65	6.473	0.627	NA	0.038	NA	180	180
40	1	1	40	8.531	18.756	0	2	83	6.593	0.625	NA	0.12	NA	18.435	-161.565
41	1	1	41	8.606	18.756	0	2	9	6.669	0.611	NA	0.076	NA	0	-18.435
42	1	1	42	8.606	18.756	0	2	130	6.669	0.611	NA	0	NA	0	0
43	1	1	43	8.493	18.907	0	2	93	6.858	0.781	NA	0.189	NA	126.87	126.87
44	1	1	44	8.417	18.907	0	2	83	6.934	0.802	NA	0.076	NA	180	53.13
45	1	1	45	8.341	18.907	0	2	55	7.009	0.831	NA	0.076	NA	180	0
46	1	1	46	8.303	18.945	0	2	83	7.063	0.881	NA	0.054	NA	135	-45
47	1	1	47	8.303	19.021	0	2	83	7.139	0.95	NA	0.076	NA	90	-45
48	1	1	48	8.303	19.097	0	2	46	7.214	1.02	NA	0.076	NA	90	0
49	1	1	49	8.19	19.135	0	2	55	7.334	1.101	NA	0.12	NA	161.565	71.565
