Nr	TID	PID	x [micron]	y [micron]	t [sec]	c [idx]	I [val]	Len [micron]	D2S [micron]	D2R [micron]	D2P [micron]	v [micron/sec]	? [deg]	?? [deg]
1	1	1	14.693	12.495	0	2	9	0	0	NA	NA	NA	NA	NA
2	1	2	15.855	12.993	0	2	37	1.264	1.264	NA	1.264	NA	23.199	NA
3	1	3	16.767	13.822	0	2	18	2.497	2.462	NA	1.233	NA	42.274	19.075
4	1	4	16.933	13.698	0	2	74	2.704	2.542	NA	0.207	NA	-36.87	-79.144
5	1	5	17.099	13.698	0	2	37	2.87	2.69	NA	0.166	NA	0	36.87
6	1	6	17.058	13.325	0	2	27	3.246	2.506	NA	0.376	NA	-96.34	-96.34
7	1	7	17.182	13.283	0	2	111	3.377	2.61	NA	0.131	NA	-18.435	77.905
8	1	8	17.016	13.076	0	2	46	3.642	2.394	NA	0.266	NA	-128.66	-110.225
9	1	9	16.809	13.076	0	2	46	3.85	2.194	NA	0.207	NA	180	-51.34
10	1	10	16.767	13.076	0	2	65	3.891	2.154	NA	0.041	NA	180	0
11	1	11	16.933	13.698	0	2	65	4.535	2.542	NA	0.644	NA	75.069	-104.931
12	1	12	16.892	13.242	0	2	37	4.993	2.322	NA	0.458	NA	-95.194	-170.263
13	1	13	16.435	12.951	0	2	27	5.534	1.801	NA	0.541	NA	-147.529	-52.334
14	1	14	15.274	12.993	0	2	9	6.696	0.765	NA	1.162	NA	177.955	-34.517
15	1	15	15.523	13.325	0	2	46	7.111	1.173	NA	0.415	NA	53.13	-124.824
16	1	16	16.228	13.864	0	2	27	7.999	2.056	NA	0.888	NA	37.405	-15.725
17	1	17	16.684	14.362	0	2	55	8.674	2.729	NA	0.675	NA	47.49	10.084
18	1	18	16.518	14.569	0	2	27	8.939	2.763	NA	0.266	NA	128.66	81.17
19	1	19	16.187	14.901	0	2	18	9.409	2.831	NA	0.469	NA	135	6.34
20	1	20	16.601	16.021	0	2	37	10.603	4.009	NA	1.194	NA	69.677	-65.323
21	1	21	16.435	15.191	0	2	9	11.449	3.21	NA	0.846	NA	-101.31	-170.987
22	1	22	16.435	14.071	0	2	65	12.569	2.349	NA	1.12	NA	-90	11.31
23	1	23	16.477	13.947	0	2	37	12.7	2.3	NA	0.131	NA	-71.565	18.435
24	1	24	16.477	13.615	0	2	18	13.032	2.106	NA	0.332	NA	-90	-18.435
25	1	25	16.85	13.491	0	2	27	13.425	2.375	NA	0.393	NA	-18.435	71.565
26	1	26	16.394	13.2	0	2	9	13.966	1.841	NA	0.541	NA	-147.529	-129.094
27	1	27	16.85	13.2	0	2	18	14.422	2.269	NA	0.456	NA	0	147.529
28	1	28	16.975	13.2	0	2	9	14.547	2.388	NA	0.124	NA	0	0
29	2	1	14.071	19.588	0	2	55	0	0	NA	NA	NA	NA	NA
30	2	2	14.403	19.754	0	2	27	0.371	0.371	NA	0.371	NA	26.565	NA
31	2	3	14.154	19.92	0	2	55	0.67	0.342	NA	0.299	NA	146.31	119.745
32	2	4	14.445	19.961	0	2	65	0.963	0.528	NA	0.293	NA	8.13	-138.18
33	2	5	14.445	19.961	0	2	65	0.963	0.528	NA	0	NA	0	-8.13
34	2	6	14.445	19.961	0	2	37	0.963	0.528	NA	0	NA	0	0
35	2	7	14.569	19.837	0	2	83	1.139	0.556	NA	0.176	NA	-45	-45
36	2	8	14.569	19.837	0	2	46	1.139	0.556	NA	0	NA	0	45
37	2	9	14.528	19.712	0	2	55	1.271	0.473	NA	0.131	NA	-108.435	-108.435
38	2	10	14.486	19.712	0	2	65	1.312	0.433	NA	0.041	NA	180	-71.565
39	2	11	13.449	19.795	0	2	9	2.352	0.656	NA	1.04	NA	175.426	-4.574
40	2	12	13.325	19.878	0	2	27	2.502	0.801	NA	0.15	NA	146.31	-29.116
41	2	13	12.91	19.837	0	2	9	2.919	1.188	NA	0.417	NA	-174.289	39.401
42	3	1	12.08	10.67	0	2	18	0	0	NA	NA	NA	NA	NA
43	3	2	12.288	10.753	0	2	46	0.223	0.223	NA	0.223	NA	21.801	NA
44	3	3	11.997	10.795	0	2	0	0.517	0.15	NA	0.293	NA	171.87	150.068
45	3	4	12.08	10.795	0	2	18	0.6	0.124	NA	0.083	NA	0	-171.87
46	3	5	11.997	10.712	0	2	27	0.717	0.093	NA	0.117	NA	-135	-135
47	3	6	12.039	10.96	0	2	37	0.969	0.293	NA	0.252	NA	80.538	-144.462
48	3	7	12.122	10.877	0	2	0	1.087	0.211	NA	0.117	NA	-45	-125.538
49	3	8	12.122	10.836	0	2	0	1.128	0.171	NA	0.041	NA	-90	-45
50	3	9	12.08	10.877	0	2	0	1.187	0.207	NA	0.059	NA	135	-135
51	3	10	11.79	10.919	0	2	27	1.48	0.382	NA	0.293	NA	171.87	36.87
52	3	11	11.79	10.919	0	2	18	1.48	0.382	NA	0	NA	0	-171.87
53	3	12	11.79	10.919	0	2	37	1.48	0.382	NA	0	NA	0	0
54	3	13	11.831	10.919	0	2	9	1.521	0.352	NA	0.041	NA	0	0
55	3	14	11.873	11.002	0	2	37	1.614	0.391	NA	0.093	NA	63.435	63.435
56	3	15	11.749	10.96	0	2	9	1.745	0.441	NA	0.131	NA	-161.565	135
57	3	16	11.997	10.96	0	2	18	1.994	0.302	NA	0.249	NA	0	161.565
58	3	17	12.163	11.458	0	2	18	2.519	0.792	NA	0.525	NA	71.565	71.565
59	3	18	12.537	11.417	0	2	27	2.894	0.875	NA	0.376	NA	-6.34	-77.905
60	3	19	12.454	11.417	0	2	0	2.977	0.835	NA	0.083	NA	180	-173.66
61	3	20	12.08	11.292	0	2	46	3.371	0.622	NA	0.393	NA	-161.565	18.435
62	3	21	12.246	11.5	0	2	0	3.636	0.846	NA	0.266	NA	51.34	-147.095
63	3	22	12.288	11.624	0	2	18	3.768	0.976	NA	0.131	NA	71.565	20.225
64	4	1	21.371	18.468	0	2	0	0	0	NA	NA	NA	NA	NA
65	4	2	21.454	18.095	0	2	18	0.382	0.382	NA	0.382	NA	-77.471	NA
66	4	3	21.537	18.053	0	2	27	0.475	0.447	NA	0.093	NA	-26.565	50.906
67	4	4	21.413	18.426	0	2	9	0.869	0.059	NA	0.393	NA	108.435	135
68	4	5	21.413	18.426	0	2	27	0.869	0.059	NA	0	NA	0	-108.435
69	4	6	21.496	18.178	0	2	27	1.131	0.316	NA	0.262	NA	-71.565	-71.565
