Nr	TID	PID	x [micron]	y [micron]	t [sec]	c [idx]	I [val]	Len [micron]	D2S [micron]	D2R [micron]	D2P [micron]	v [micron/sec]	? [deg]	?? [deg]
1	1	1	38.752	22.513	0	2	23	0	0	NA	NA	NA	NA	NA
2	1	2	38.925	22.252	0	2	23	0.313	0.313	NA	0.313	NA	-56.31	NA
3	1	3	39.012	22.079	0	2	0	0.507	0.506	NA	0.194	NA	-63.435	-7.125
4	1	4	39.012	22.079	0	2	11	0.507	0.506	NA	0	NA	0	63.435
5	1	5	39.36	21.992	0	2	0	0.865	0.801	NA	0.358	NA	-14.036	-14.036
6	1	6	39.36	21.992	0	2	0	0.865	0.801	NA	0	NA	0	14.036
7	1	7	39.446	21.992	0	2	11	0.952	0.868	NA	0.087	NA	0	0
8	1	8	39.446	21.992	0	2	11	0.952	0.868	NA	0	NA	0	0
9	1	9	39.446	21.992	0	2	23	0.952	0.868	NA	0	NA	0	0
10	1	10	39.446	21.992	0	2	0	0.952	0.868	NA	0	NA	0	0
11	1	11	39.273	21.992	0	2	0	1.126	0.737	NA	0.174	NA	180	180
12	1	12	39.186	21.992	0	2	0	1.213	0.678	NA	0.087	NA	180	0
13	1	13	38.839	22.079	0	2	0	1.571	0.443	NA	0.358	NA	165.964	-14.036
14	1	14	38.839	22.339	0	2	11	1.831	0.194	NA	0.261	NA	90	-75.964
15	1	15	38.839	22.339	0	2	11	1.831	0.194	NA	0	NA	0	-90
16	1	16	39.273	22.426	0	2	0	2.274	0.528	NA	0.443	NA	11.31	11.31
17	1	17	39.273	22.426	0	2	0	2.274	0.528	NA	0	NA	0	-11.31
18	1	18	39.273	22.426	0	2	11	2.274	0.528	NA	0	NA	0	0
19	1	19	39.36	22.426	0	2	0	2.361	0.614	NA	0.087	NA	0	0
20	1	20	39.36	22.426	0	2	11	2.361	0.614	NA	0	NA	0	0
21	1	21	39.36	22.426	0	2	0	2.361	0.614	NA	0	NA	0	0
22	1	22	39.36	22.426	0	2	0	2.361	0.614	NA	0	NA	0	0
23	1	23	39.36	22.426	0	2	0	2.361	0.614	NA	0	NA	0	0
24	1	24	39.012	22.252	0	2	11	2.749	0.368	NA	0.388	NA	-153.435	-153.435
25	1	25	39.62	22.252	0	2	0	3.357	0.907	NA	0.608	NA	0	153.435
26	1	26	39.707	21.992	0	2	11	3.632	1.088	NA	0.275	NA	-71.565	-71.565
27	1	27	39.446	21.992	0	2	11	3.892	0.868	NA	0.261	NA	180	-108.435
28	1	28	39.012	22.166	0	2	0	4.36	0.434	NA	0.468	NA	158.199	-21.801
29	1	29	39.273	22.252	0	2	0	4.634	0.583	NA	0.275	NA	18.435	-139.764
30	1	30	39.186	21.992	0	2	11	4.909	0.678	NA	0.275	NA	-108.435	-126.87
31	1	31	39.186	21.818	0	2	0	5.083	0.819	NA	0.174	NA	-90	18.435
32	1	32	39.186	21.818	0	2	11	5.083	0.819	NA	0	NA	0	90
33	1	33	39.36	21.645	0	2	0	5.328	1.06	NA	0.246	NA	-45	-45
34	1	34	39.62	21.645	0	2	34	5.589	1.228	NA	0.261	NA	0	45
35	1	35	39.446	21.558	0	2	11	5.783	1.181	NA	0.194	NA	-153.435	-153.435
36	1	36	39.533	21.645	0	2	23	5.906	1.168	NA	0.123	NA	45	-161.565
37	1	37	39.273	21.818	0	2	11	6.219	0.868	NA	0.313	NA	146.31	101.31
38	1	38	38.839	21.645	0	2	11	6.687	0.873	NA	0.468	NA	-158.199	55.491
39	1	39	39.099	22.079	0	2	0	7.193	0.556	NA	0.506	NA	59.036	-142.765
40	1	40	39.273	21.992	0	2	23	7.387	0.737	NA	0.194	NA	-26.565	-85.601
41	1	41	39.273	21.818	0	2	11	7.561	0.868	NA	0.174	NA	-90	-63.435
42	1	42	39.012	21.818	0	2	23	7.821	0.742	NA	0.261	NA	180	-90
43	1	43	38.925	21.992	0	2	11	8.016	0.549	NA	0.194	NA	116.565	-63.435
44	1	44	39.533	22.252	0	2	11	8.677	0.824	NA	0.661	NA	23.199	-93.366
45	1	45	39.533	22.339	0	2	0	8.764	0.801	NA	0.087	NA	90	66.801
46	1	46	39.186	22.339	0	2	11	9.111	0.468	NA	0.347	NA	180	90
47	1	47	39.186	22.252	0	2	0	9.198	0.506	NA	0.087	NA	-90	90
48	1	48	39.186	22.252	0	2	0	9.198	0.506	NA	0	NA	0	90
49	2	1	44.136	13.395	0	2	0	0	0	NA	NA	NA	NA	NA
50	2	2	44.136	13.395	0	2	0	0	0	NA	0	NA	0	NA
51	2	3	44.136	13.395	0	2	11	0	0	NA	0	NA	0	0
52	2	4	44.136	13.395	0	2	11	0	0	NA	0	NA	0	0
53	2	5	44.396	13.916	0	2	0	0.583	0.583	NA	0.583	NA	63.435	63.435
54	2	6	44.744	13.308	0	2	0	1.283	0.614	NA	0.7	NA	-60.255	-123.69
55	2	7	44.483	12.874	0	2	0	1.789	0.626	NA	0.506	NA	-120.964	-60.709
56	2	8	44.223	13.742	0	2	11	2.696	0.358	NA	0.907	NA	106.699	-132.337
57	2	9	44.396	14.09	0	2	0	3.084	0.742	NA	0.388	NA	63.435	-43.264
58	2	10	44.136	13.916	0	2	0	3.397	0.521	NA	0.313	NA	-146.31	150.255
59	2	11	44.744	14.871	0	2	11	4.529	1.597	NA	1.132	NA	57.529	-156.161
60	2	12	44.917	15.479	0	2	0	5.162	2.226	NA	0.632	NA	74.055	16.526
61	2	13	44.57	15.826	0	2	0	5.653	2.47	NA	0.491	NA	135	60.945
62	3	1	24.944	31.457	0	2	0	0	0	NA	NA	NA	NA	NA
63	3	2	25.292	31.457	0	2	0	0.347	0.347	NA	0.347	NA	0	NA
64	3	3	25.205	31.284	0	2	34	0.542	0.313	NA	0.194	NA	-116.565	-116.565
65	3	4	25.726	31.197	0	2	0	1.07	0.824	NA	0.528	NA	-9.462	107.103
66	3	5	25.031	31.197	0	2	11	1.764	0.275	NA	0.695	NA	180	-170.538
67	3	6	25.465	31.197	0	2	0	2.199	0.583	NA	0.434	NA	0	-180
68	3	7	25.465	31.197	0	2	0	2.199	0.583	NA	0	NA	0	0
69	3	8	25.465	31.197	0	2	0	2.199	0.583	NA	0	NA	0	0
70	3	9	25.379	31.197	0	2	11	2.285	0.506	NA	0.087	NA	180	180
71	3	10	25.292	31.284	0	2	0	2.408	0.388	NA	0.123	NA	135	-45
72	3	11	25.292	31.284	0	2	0	2.408	0.388	NA	0	NA	0	-135
73	3	12	25.292	31.284	0	2	0	2.408	0.388	NA	0	NA	0	0
74	3	13	25.292	31.284	0	2	11	2.408	0.388	NA	0	NA	0	0
75	3	14	24.944	30.849	0	2	0	2.964	0.608	NA	0.556	NA	-128.66	-128.66
76	3	15	24.944	30.763	0	2	0	3.051	0.695	NA	0.087	NA	-90	38.66
77	3	16	25.205	30.763	0	2	0	3.312	0.742	NA	0.261	NA	0	90
78	3	17	25.205	30.763	0	2	0	3.312	0.742	NA	0	NA	0	0
79	3	18	25.205	30.763	0	2	0	3.312	0.742	NA	0	NA	0	0
80	3	19	25.205	31.11	0	2	0	3.659	0.434	NA	0.347	NA	90	90
81	3	20	24.944	30.849	0	2	0	4.027	0.608	NA	0.368	NA	-135	135
82	3	21	25.031	30.589	0	2	0	4.302	0.873	NA	0.275	NA	-71.565	63.435
83	3	22	25.205	30.502	0	2	0	4.496	0.99	NA	0.194	NA	-26.565	45
84	3	23	25.9	30.589	0	2	0	5.196	1.291	NA	0.7	NA	7.125	33.69
85	3	24	25.031	31.11	0	2	0	6.209	0.358	NA	1.013	NA	149.036	141.911
86	3	25	25.465	31.284	0	2	0	6.677	0.549	NA	0.468	NA	21.801	-127.235
87	3	26	25.379	31.023	0	2	0	6.951	0.614	NA	0.275	NA	-108.435	-130.236
88	3	27	25.205	31.023	0	2	11	7.125	0.506	NA	0.174	NA	180	-71.565
89	3	28	25.205	31.023	0	2	11	7.125	0.506	NA	0	NA	0	-180
90	3	29	25.205	30.849	0	2	11	7.299	0.661	NA	0.174	NA	-90	-90
91	3	30	25.205	31.023	0	2	11	7.472	0.506	NA	0.174	NA	90	180
92	3	31	25.118	31.023	0	2	0	7.559	0.468	NA	0.087	NA	180	90
93	3	32	25.205	30.589	0	2	11	8.002	0.907	NA	0.443	NA	-78.69	101.31
94	3	33	25.118	30.936	0	2	23	8.36	0.549	NA	0.358	NA	104.036	-177.274
95	3	34	25.465	31.11	0	2	0	8.748	0.626	NA	0.388	NA	26.565	-77.471
96	3	35	25.552	30.676	0	2	11	9.191	0.99	NA	0.443	NA	-78.69	-105.255
97	3	36	25.118	31.11	0	2	0	9.805	0.388	NA	0.614	NA	135	-146.31
98	3	37	25.118	31.11	0	2	0	9.805	0.388	NA	0	NA	0	-135
99	3	38	25.118	31.11	0	2	11	9.805	0.388	NA	0	NA	0	0
100	3	39	25.292	31.11	0	2	0	9.979	0.491	NA	0.174	NA	0	0
101	3	40	25.379	31.11	0	2	0	10.066	0.556	NA	0.087	NA	0	0
102	3	41	25.379	31.11	0	2	11	10.066	0.556	NA	0	NA	0	0
103	3	42	25.205	31.197	0	2	0	10.26	0.368	NA	0.194	NA	153.435	153.435
104	3	43	25.292	31.197	0	2	0	10.347	0.434	NA	0.087	NA	0	-153.435
105	3	44	25.292	31.197	0	2	0	10.347	0.434	NA	0	NA	0	0
106	3	45	25.292	31.197	0	2	0	10.347	0.434	NA	0	NA	0	0
107	3	46	25.292	31.197	0	2	23	10.347	0.434	NA	0	NA	0	0
108	3	47	25.292	31.197	0	2	0	10.347	0.434	NA	0	NA	0	0
109	3	48	25.292	31.197	0	2	0	10.347	0.434	NA	0	NA	0	0
110	4	1	33.889	22.513	0	2	0	0	0	NA	NA	NA	NA	NA
111	4	2	34.497	22.513	0	2	0	0.608	0.608	NA	0.608	NA	0	NA
112	4	3	33.976	22.773	0	2	23	1.19	0.275	NA	0.583	NA	153.435	153.435
113	4	4	33.976	22.773	0	2	0	1.19	0.275	NA	0	NA	0	-153.435
114	4	5	34.236	22.773	0	2	23	1.451	0.434	NA	0.261	NA	0	0
115	4	6	33.976	22.86	0	2	0	1.726	0.358	NA	0.275	NA	161.565	161.565
116	4	7	34.236	22.773	0	2	23	2	0.434	NA	0.275	NA	-18.435	-180
117	4	8	33.889	24.163	0	2	11	3.432	1.65	NA	1.432	NA	104.036	122.471
118	4	9	33.628	24.684	0	2	0	4.015	2.187	NA	0.583	NA	116.565	12.529
119	5	1	33.889	23.381	0	2	11	0	0	NA	NA	NA	NA	NA
120	5	2	33.976	23.642	0	2	0	0.275	0.275	NA	0.275	NA	71.565	NA
121	5	3	34.062	23.468	0	2	11	0.469	0.194	NA	0.194	NA	-63.435	-135
122	5	4	33.541	23.468	0	2	11	0.99	0.358	NA	0.521	NA	180	-116.565
123	5	5	33.541	23.468	0	2	34	0.99	0.358	NA	0	NA	0	-180
124	5	6	34.062	22.947	0	2	11	1.727	0.468	NA	0.737	NA	-45	-45
125	5	7	33.976	22.86	0	2	11	1.849	0.528	NA	0.123	NA	-135	-90
126	5	8	33.628	22.773	0	2	11	2.208	0.661	NA	0.358	NA	-165.964	-30.964
127	5	9	33.541	22.773	0	2	0	2.294	0.7	NA	0.087	NA	180	-14.036
128	5	10	33.455	22.513	0	2	0	2.569	0.971	NA	0.275	NA	-108.435	71.565
129	5	11	33.628	22.513	0	2	0	2.743	0.907	NA	0.174	NA	0	108.435
130	5	12	33.976	22.773	0	2	0	3.177	0.614	NA	0.434	NA	36.87	36.87
131	5	13	34.236	22.513	0	2	23	3.545	0.935	NA	0.368	NA	-45	-81.87
132	5	14	33.802	22.687	0	2	11	4.013	0.7	NA	0.468	NA	158.199	-156.801
133	5	15	33.715	23.034	0	2	0	4.371	0.388	NA	0.358	NA	104.036	-54.162
134	5	16	33.976	22.86	0	2	11	4.684	0.528	NA	0.313	NA	-33.69	-137.726
135	5	17	33.455	23.034	0	2	34	5.233	0.556	NA	0.549	NA	161.565	-164.745
