Nr	TID	PID	x [micron]	y [micron]	t [sec]	c [idx]	I [val]	Len [micron]	D2S [micron]	D2R [micron]	D2P [micron]	v [micron/sec]	? [deg]	?? [deg]
1	1	1	30.282	50.243	0	2	0	0	0	NA	NA	NA	NA	NA
2	1	2	30.524	49.599	0	2	11	0.688	0.688	NA	0.688	NA	-69.444	NA
3	1	3	29.96	49.921	0	2	11	1.337	0.455	NA	0.649	NA	150.255	-140.301
4	1	4	29.317	49.438	0	2	0	2.141	1.257	NA	0.805	NA	-143.13	66.615
5	1	5	29.156	49.599	0	2	0	2.369	1.298	NA	0.228	NA	135	-81.87
6	1	6	29.075	49.84	0	2	0	2.624	1.273	NA	0.255	NA	108.435	-26.565
7	1	7	29.638	49.84	0	2	0	3.187	0.759	NA	0.563	NA	0	-108.435
8	1	8	30.202	49.76	0	2	11	3.756	0.49	NA	0.569	NA	-8.13	-8.13
9	1	9	30.363	49.84	0	2	0	3.936	0.41	NA	0.18	NA	26.565	34.695
10	1	10	30.524	49.84	0	2	0	4.097	0.469	NA	0.161	NA	0	-26.565
11	1	11	30.363	50.001	0	2	0	4.325	0.255	NA	0.228	NA	135	135
12	1	12	30.846	49.679	0	2	0	4.905	0.797	NA	0.58	NA	-33.69	-168.69
13	1	13	30.685	49.76	0	2	0	5.085	0.629	NA	0.18	NA	153.435	-172.875
14	1	14	30.846	49.518	0	2	0	5.375	0.918	NA	0.29	NA	-56.31	150.255
15	1	15	30.765	49.357	0	2	0	5.555	1.008	NA	0.18	NA	-116.565	-60.255
16	1	16	30.202	49.76	0	2	0	6.248	0.49	NA	0.692	NA	144.462	-98.973
17	1	17	29.96	49.518	0	2	0	6.589	0.793	NA	0.341	NA	-135	80.538
18	1	18	30.041	49.116	0	2	0	6.999	1.152	NA	0.41	NA	-78.69	56.31
19	1	19	29.478	49.277	0	2	0	7.585	1.257	NA	0.586	NA	164.055	-117.255
20	1	20	28.995	49.116	0	2	0	8.094	1.711	NA	0.509	NA	-161.565	34.38
21	1	21	29.478	49.438	0	2	0	8.675	1.138	NA	0.58	NA	33.69	-164.745
22	1	22	29.558	48.955	0	2	0	9.164	1.478	NA	0.49	NA	-80.538	-114.228
23	1	23	28.673	48.794	0	2	0	10.064	2.166	NA	0.9	NA	-169.695	-89.157
24	1	24	29.317	48.955	0	2	0	10.728	1.61	NA	0.664	NA	14.036	-176.269
25	1	25	29.397	49.196	0	2	0	10.982	1.371	NA	0.255	NA	71.565	57.529
26	1	26	29.558	49.196	0	2	0	11.143	1.273	NA	0.161	NA	0	-71.565
27	1	27	29.397	49.196	0	2	0	11.304	1.371	NA	0.161	NA	180	180
28	1	28	30.041	49.357	0	2	0	11.968	0.918	NA	0.664	NA	14.036	-165.964
29	1	29	30.041	49.035	0	2	0	12.29	1.231	NA	0.322	NA	-90	-104.036
30	1	30	29.558	48.874	0	2	0	12.799	1.548	NA	0.509	NA	-161.565	-71.565
31	1	31	29.317	48.794	0	2	0	13.053	1.741	NA	0.255	NA	-161.565	0
32	1	32	29.397	48.794	0	2	0	13.134	1.698	NA	0.08	NA	0	161.565
33	1	33	29.156	48.552	0	2	0	13.475	2.031	NA	0.341	NA	-135	-135
34	1	34	29.075	48.552	0	2	0	13.556	2.077	NA	0.08	NA	180	-45
35	1	35	29.397	48.552	0	2	0	13.878	1.908	NA	0.322	NA	0	-180
36	1	36	28.834	48.633	0	2	0	14.447	2.166	NA	0.569	NA	171.87	171.87
37	1	37	29.478	48.713	0	2	0	15.096	1.728	NA	0.649	NA	7.125	-164.745
38	1	38	28.834	48.472	0	2	0	15.783	2.288	NA	0.688	NA	-159.444	-166.569
39	1	39	28.512	48.552	0	2	0	16.115	2.448	NA	0.332	NA	165.964	-34.592
40	1	40	28.673	48.633	0	2	0	16.295	2.276	NA	0.18	NA	26.565	-139.399
41	1	41	28.914	48.713	0	2	0	16.55	2.052	NA	0.255	NA	18.435	-8.13
42	1	42	28.673	48.713	0	2	0	16.791	2.22	NA	0.241	NA	180	161.565
43	1	43	27.707	48.23	0	2	0	17.871	3.268	NA	1.08	NA	-153.435	26.565
44	1	44	28.351	48.23	0	2	0	18.515	2.789	NA	0.644	NA	0	153.435
45	1	45	29.075	47.989	0	2	11	19.279	2.557	NA	0.764	NA	-18.435	-18.435
46	1	46	28.673	47.989	0	2	0	19.681	2.769	NA	0.402	NA	180	-161.565
47	1	47	28.753	47.828	0	2	0	19.861	2.858	NA	0.18	NA	-63.435	116.565
48	1	48	28.512	47.908	0	2	0	20.115	2.93	NA	0.255	NA	161.565	-135
49	2	1	24.729	44.85	0	2	0	0	0	NA	NA	NA	NA	NA
50	2	2	24.729	44.85	0	2	0	0	0	NA	0	NA	0	NA
51	2	3	24.729	44.85	0	2	0	0	0	NA	0	NA	0	0
52	2	4	24.89	44.85	0	2	0	0.161	0.161	NA	0.161	NA	0	0
53	2	5	24.89	44.689	0	2	11	0.322	0.228	NA	0.161	NA	-90	-90
54	2	6	24.729	44.689	0	2	0	0.483	0.161	NA	0.161	NA	180	-90
55	2	7	24.568	44.77	0	2	0	0.663	0.18	NA	0.18	NA	153.435	-26.565
56	2	8	24.487	44.77	0	2	0	0.743	0.255	NA	0.08	NA	180	26.565
57	2	9	24.487	44.77	0	2	0	0.743	0.255	NA	0	NA	0	-180
58	2	10	24.487	44.77	0	2	0	0.743	0.255	NA	0	NA	0	0
59	2	11	24.487	44.85	0	2	0	0.824	0.241	NA	0.08	NA	90	90
60	2	12	24.729	44.609	0	2	0	1.165	0.241	NA	0.341	NA	-45	-135
61	2	13	24.729	44.609	0	2	0	1.165	0.241	NA	0	NA	0	45
62	2	14	24.729	44.609	0	2	0	1.165	0.241	NA	0	NA	0	0
63	2	15	24.729	44.609	0	2	0	1.165	0.241	NA	0	NA	0	0
64	2	16	24.729	44.609	0	2	0	1.165	0.241	NA	0	NA	0	0
65	2	17	24.568	44.609	0	2	0	1.326	0.29	NA	0.161	NA	180	180
66	2	18	24.326	44.367	0	2	0	1.668	0.629	NA	0.341	NA	-135	45
67	2	19	24.326	44.367	0	2	0	1.668	0.629	NA	0	NA	0	135
68	2	20	24.326	44.528	0	2	0	1.829	0.515	NA	0.161	NA	90	90
69	2	21	24.326	44.609	0	2	11	1.909	0.469	NA	0.08	NA	90	0
70	2	22	24.326	44.609	0	2	0	1.909	0.469	NA	0	NA	0	-90
71	2	23	24.487	44.528	0	2	11	2.089	0.402	NA	0.18	NA	-26.565	-26.565
72	2	24	24.487	44.528	0	2	0	2.089	0.402	NA	0	NA	0	26.565
73	2	25	24.487	44.528	0	2	0	2.089	0.402	NA	0	NA	0	0
74	2	26	24.166	44.448	0	2	11	2.421	0.692	NA	0.332	NA	-165.964	-165.964
75	2	27	24.166	44.448	0	2	0	2.421	0.692	NA	0	NA	0	165.964
76	2	28	24.407	44.448	0	2	0	2.662	0.515	NA	0.241	NA	0	0
77	2	29	24.648	44.448	0	2	0	2.904	0.41	NA	0.241	NA	0	0
78	2	30	24.648	44.448	0	2	0	2.904	0.41	NA	0	NA	0	0
79	2	31	24.89	44.367	0	2	0	3.158	0.509	NA	0.255	NA	-18.435	-18.435
80	2	32	24.648	44.287	0	2	0	3.413	0.569	NA	0.255	NA	-161.565	-143.13
81	2	33	24.246	44.287	0	2	0	3.815	0.742	NA	0.402	NA	180	-18.435
82	2	34	24.246	44.287	0	2	0	3.815	0.742	NA	0	NA	0	-180
83	2	35	24.246	44.287	0	2	0	3.815	0.742	NA	0	NA	0	0
84	2	36	24.166	44.287	0	2	0	3.896	0.797	NA	0.08	NA	180	180
85	2	37	23.924	44.287	0	2	0	4.137	0.982	NA	0.241	NA	180	0
86	2	38	24.005	44.287	0	2	0	4.218	0.918	NA	0.08	NA	0	-180
87	2	39	24.326	44.287	0	2	0	4.54	0.692	NA	0.322	NA	0	0
88	2	40	24.648	44.206	0	2	0	4.872	0.649	NA	0.332	NA	-14.036	-14.036
89	2	41	24.246	44.206	0	2	0	5.274	0.805	NA	0.402	NA	180	-165.964
90	2	42	24.407	44.206	0	2	0	5.435	0.72	NA	0.161	NA	0	-180
91	2	43	24.568	44.045	0	2	11	5.663	0.821	NA	0.228	NA	-45	-45
92	2	44	24.648	44.045	0	2	0	5.743	0.809	NA	0.08	NA	0	45
93	2	45	24.407	43.965	0	2	0	5.998	0.942	NA	0.255	NA	-161.565	-161.565
94	2	46	24.407	43.965	0	2	11	5.998	0.942	NA	0	NA	0	161.565
95	2	47	24.729	43.965	0	2	0	6.32	0.885	NA	0.322	NA	0	0
96	2	48	24.89	43.965	0	2	0	6.481	0.9	NA	0.161	NA	0	0
97	3	1	36.399	50.806	0	2	0	0	0	NA	NA	NA	NA	NA
98	3	2	36.319	50.886	0	2	0	0.114	0.114	NA	0.114	NA	135	NA
99	3	3	35.997	50.725	0	2	0	0.474	0.41	NA	0.36	NA	-153.435	71.565
100	3	4	35.997	50.564	0	2	0	0.635	0.469	NA	0.161	NA	-90	63.435
101	3	5	36.721	50.725	0	2	0	1.377	0.332	NA	0.742	NA	12.529	102.529
102	3	6	36.399	51.128	0	2	0	1.892	0.322	NA	0.515	NA	128.66	116.131
103	3	7	37.124	50.886	0	2	0	2.656	0.729	NA	0.764	NA	-18.435	-147.095
104	3	8	37.687	51.208	0	2	0	3.305	1.349	NA	0.649	NA	29.745	48.18
105	3	9	36.802	51.128	0	2	0	4.194	0.515	NA	0.889	NA	-174.806	155.45
106	3	10	36.802	50.886	0	2	0	4.435	0.41	NA	0.241	NA	-90	84.806
107	4	1	38.653	51.691	0	2	0	0	0	NA	NA	NA	NA	NA
