Nr	TID	PID	x [micron]	y [micron]	t [sec]	c [idx]	I [val]	Len [micron]	D2S [micron]	D2R [micron]	D2P [micron]	v [micron/sec]	? [deg]	?? [deg]
1	1	1	44.55	52.916	0	2	11	0	0	NA	NA	NA	NA	NA
2	1	2	45.386	53.25	0	2	81	0.901	0.901	NA	0.901	NA	21.801	NA
3	1	3	45.386	53.083	0	2	81	1.068	0.853	NA	0.167	NA	-90	-111.801
4	1	4	45.888	53.083	0	2	69	1.57	1.349	NA	0.502	NA	0	90
5	1	5	45.219	53.083	0	2	69	2.24	0.69	NA	0.669	NA	180	180
6	1	6	45.554	53.083	0	2	58	2.574	1.018	NA	0.335	NA	0	-180
7	1	7	45.888	53.083	0	2	23	2.909	1.349	NA	0.335	NA	0	0
8	1	8	45.888	53.083	0	2	23	2.909	1.349	NA	0	NA	0	0
9	1	9	46.558	53.083	0	2	11	3.578	2.015	NA	0.669	NA	0	0
10	1	10	46.558	53.083	0	2	11	3.578	2.015	NA	0	NA	0	0
11	1	11	46.558	53.083	0	2	11	3.578	2.015	NA	0	NA	0	0
12	1	12	46.056	53.083	0	2	23	4.08	1.515	NA	0.502	NA	180	180
13	1	13	46.725	53.083	0	2	58	4.749	2.182	NA	0.669	NA	0	-180
14	1	14	46.39	52.916	0	2	46	5.124	1.841	NA	0.374	NA	-153.435	-153.435
15	1	15	46.39	52.581	0	2	69	5.458	1.871	NA	0.335	NA	-90	63.435
16	1	16	46.558	52.581	0	2	23	5.626	2.036	NA	0.167	NA	0	90
17	1	17	46.892	52.414	0	2	104	6	2.396	NA	0.374	NA	-26.565	-26.565
18	1	18	47.227	52.414	0	2	69	6.334	2.724	NA	0.335	NA	0	26.565
19	1	19	46.725	52.414	0	2	0	6.836	2.232	NA	0.502	NA	180	180
20	1	20	46.558	52.749	0	2	116	7.211	2.015	NA	0.374	NA	116.565	-63.435
21	1	21	46.725	52.916	0	2	46	7.447	2.175	NA	0.237	NA	45	-71.565
22	1	22	46.39	52.916	0	2	151	7.782	1.841	NA	0.335	NA	180	135
23	1	23	46.223	52.916	0	2	139	7.949	1.673	NA	0.167	NA	180	0
24	1	24	46.223	52.749	0	2	128	8.116	1.682	NA	0.167	NA	-90	90
25	1	25	47.227	52.749	0	2	23	9.12	2.682	NA	1.004	NA	0	90
26	1	26	47.729	52.247	0	2	34	9.83	3.249	NA	0.71	NA	-45	-45
27	1	27	47.896	52.247	0	2	0	9.998	3.413	NA	0.167	NA	0	45
28	1	28	47.896	51.912	0	2	11	10.332	3.494	NA	0.335	NA	-90	-90
29	1	29	47.729	52.079	0	2	34	10.569	3.287	NA	0.237	NA	135	-135
30	1	30	47.394	52.247	0	2	23	10.943	2.922	NA	0.374	NA	153.435	18.435
31	1	31	46.39	52.414	0	2	11	11.961	1.908	NA	1.018	NA	170.538	17.103
32	1	32	47.227	52.414	0	2	23	12.797	2.724	NA	0.837	NA	0	-170.538
33	1	33	48.398	51.577	0	2	11	14.237	4.075	NA	1.439	NA	-35.538	-35.538
34	1	34	48.231	51.577	0	2	0	14.404	3.917	NA	0.167	NA	180	-144.462
35	1	35	48.231	51.745	0	2	11	14.571	3.863	NA	0.167	NA	90	-90
36	1	36	48.733	51.912	0	2	23	15.101	4.302	NA	0.529	NA	18.435	-71.565
37	1	37	48.733	51.912	0	2	0	15.101	4.302	NA	0	NA	0	-18.435
38	1	38	48.398	51.912	0	2	0	15.435	3.977	NA	0.335	NA	180	180
39	1	39	48.398	51.912	0	2	23	15.435	3.977	NA	0	NA	0	-180
40	1	40	48.9	51.912	0	2	0	15.937	4.465	NA	0.502	NA	0	0
41	1	41	47.729	51.745	0	2	11	17.12	3.388	NA	1.183	NA	-171.87	-171.87
42	1	42	48.063	52.079	0	2	34	17.594	3.612	NA	0.473	NA	45	-143.13
43	1	43	47.896	52.247	0	2	0	17.83	3.413	NA	0.237	NA	135	90
44	1	44	48.063	52.581	0	2	34	18.204	3.53	NA	0.374	NA	63.435	-71.565
45	1	45	48.9	52.247	0	2	69	19.105	4.402	NA	0.901	NA	-21.801	-85.236
46	1	46	48.063	51.745	0	2	0	20.081	3.704	NA	0.976	NA	-149.036	-127.235
47	1	47	48.398	51.912	0	2	11	20.455	3.977	NA	0.374	NA	26.565	175.601
48	1	48	48.231	51.912	0	2	11	20.623	3.816	NA	0.167	NA	180	153.435
49	2	1	40.032	59.609	0	2	11	0	0	NA	NA	NA	NA	NA
50	2	2	40.869	59.441	0	2	11	0.853	0.853	NA	0.853	NA	-11.31	NA
51	2	3	41.203	58.939	0	2	34	1.456	1.349	NA	0.603	NA	-56.31	-45
52	2	4	40.534	58.772	0	2	46	2.146	0.976	NA	0.69	NA	-165.964	-109.654
53	2	5	41.371	58.605	0	2	0	3	1.673	NA	0.853	NA	-11.31	154.654
54	2	6	40.869	58.605	0	2	11	3.502	1.307	NA	0.502	NA	180	-168.69
55	2	7	40.869	58.103	0	2	0	4.003	1.723	NA	0.502	NA	-90	90
56	2	8	41.538	58.27	0	2	11	4.693	2.015	NA	0.69	NA	14.036	104.036
57	2	9	41.538	58.27	0	2	23	4.693	2.015	NA	0	NA	0	-14.036
58	2	10	41.371	58.772	0	2	23	5.222	1.579	NA	0.529	NA	108.435	108.435
59	2	11	40.534	58.772	0	2	23	6.059	0.976	NA	0.837	NA	180	71.565
60	2	12	40.701	58.772	0	2	11	6.226	1.071	NA	0.167	NA	0	-180
61	2	13	41.203	58.103	0	2	0	7.063	1.908	NA	0.837	NA	-53.13	-53.13
62	3	1	39.195	57.768	0	2	81	0	0	NA	NA	NA	NA	NA
63	3	2	39.865	57.768	0	2	34	0.669	0.669	NA	0.669	NA	0	NA
64	3	3	39.865	57.768	0	2	58	0.669	0.669	NA	0	NA	0	0
65	3	4	40.032	57.434	0	2	46	1.043	0.901	NA	0.374	NA	-63.435	-63.435
66	3	5	39.363	57.434	0	2	34	1.713	0.374	NA	0.669	NA	180	-116.565
67	3	6	39.363	57.266	0	2	0	1.88	0.529	NA	0.167	NA	-90	90
68	3	7	40.032	57.601	0	2	23	2.628	0.853	NA	0.748	NA	26.565	116.565
69	3	8	39.363	57.099	0	2	11	3.465	0.69	NA	0.837	NA	-143.13	-169.695
70	3	9	39.53	57.099	0	2	34	3.632	0.748	NA	0.167	NA	0	143.13
71	3	10	39.363	57.099	0	2	11	3.8	0.69	NA	0.167	NA	180	180
72	3	11	38.861	57.099	0	2	11	4.302	0.748	NA	0.502	NA	180	0
73	3	12	38.861	57.099	0	2	58	4.302	0.748	NA	0	NA	0	-180
74	3	13	39.195	57.099	0	2	58	4.636	0.669	NA	0.335	NA	0	0
75	3	14	40.367	58.27	0	2	58	6.293	1.274	NA	1.656	NA	45	45
76	3	15	41.036	59.441	0	2	11	7.642	2.487	NA	1.349	NA	60.255	15.255
77	3	16	41.371	59.274	0	2	23	8.016	2.646	NA	0.374	NA	-26.565	-86.82
78	3	17	42.374	58.939	0	2	0	9.074	3.388	NA	1.058	NA	-18.435	8.13
79	3	18	43.044	58.27	0	2	11	10.021	3.881	NA	0.947	NA	-45	-26.565
80	4	1	47.562	52.916	0	2	11	0	0	NA	NA	NA	NA	NA
81	4	2	49.067	52.414	0	2	58	1.587	1.587	NA	1.587	NA	-18.435	NA
82	4	3	48.398	52.247	0	2	46	2.277	1.071	NA	0.69	NA	-165.964	-147.529
83	4	4	49.402	52.247	0	2	23	3.281	1.958	NA	1.004	NA	0	165.964
84	4	5	48.733	52.414	0	2	34	3.971	1.274	NA	0.69	NA	165.964	165.964
85	4	6	47.729	52.414	0	2	23	4.975	0.529	NA	1.004	NA	180	14.036
86	4	7	48.398	52.414	0	2	34	5.644	0.976	NA	0.669	NA	0	-180
87	4	8	48.063	52.247	0	2	58	6.018	0.837	NA	0.374	NA	-153.435	-153.435
88	4	9	48.565	52.079	0	2	34	6.548	1.307	NA	0.529	NA	-18.435	135
89	4	10	49.402	51.912	0	2	0	7.401	2.097	NA	0.853	NA	-11.31	7.125
90	4	11	50.406	51.745	0	2	11	8.419	3.076	NA	1.018	NA	-9.462	1.848
91	4	12	50.406	51.41	0	2	11	8.753	3.219	NA	0.335	NA	-90	-80.538
92	4	13	50.573	51.745	0	2	23	9.127	3.232	NA	0.374	NA	63.435	153.435
93	4	14	50.908	51.745	0	2	23	9.462	3.546	NA	0.335	NA	0	-63.435
94	4	15	50.406	51.577	0	2	0	9.991	3.144	NA	0.529	NA	-161.565	-161.565
95	4	16	51.41	51.745	0	2	69	11.009	4.023	NA	1.018	NA	9.462	171.027
96	4	17	51.243	51.577	0	2	11	11.246	3.917	NA	0.237	NA	-135	-144.462
97	4	18	51.745	51.745	0	2	104	11.775	4.344	NA	0.529	NA	18.435	153.435
98	4	19	51.075	51.912	0	2	34	12.465	3.654	NA	0.69	NA	165.964	147.529
99	4	20	51.41	51.745	0	2	34	12.839	4.023	NA	0.374	NA	-26.565	167.471
100	4	21	50.406	51.577	0	2	23	13.856	3.144	NA	1.018	NA	-170.538	-143.973
101	4	22	51.075	51.745	0	2	34	14.546	3.704	NA	0.69	NA	14.036	-175.426
102	4	23	50.741	51.745	0	2	34	14.881	3.388	NA	0.335	NA	180	165.964
103	4	24	51.577	51.912	0	2	23	15.734	4.139	NA	0.853	NA	11.31	-168.69
104	4	25	51.912	51.912	0	2	0	16.069	4.465	NA	0.335	NA	0	-11.31
105	4	26	52.414	51.41	0	2	11	16.779	5.081	NA	0.71	NA	-45	-45
106	4	27	52.247	51.577	0	2	0	17.015	4.873	NA	0.237	NA	135	-180
107	4	28	51.912	50.908	0	2	0	17.764	4.791	NA	0.748	NA	-116.565	108.435
108	5	1	90.229	49.737	0	2	11	0	0	NA	NA	NA	NA	NA
109	5	2	89.727	49.569	0	2	11	0.529	0.529	NA	0.529	NA	-161.565	NA
110	5	3	89.225	49.569	0	2	0	1.031	1.018	NA	0.502	NA	180	-18.435
111	5	4	89.225	50.239	0	2	0	1.7	1.122	NA	0.669	NA	90	-90
112	5	5	89.225	50.239	0	2	0	1.7	1.122	NA	0	NA	0	-90
113	5	6	89.225	50.406	0	2	0	1.868	1.207	NA	0.167	NA	90	90
