Nr	TID	PID	x [micron]	y [micron]	t [sec]	c [idx]	I [val]	Len [micron]	D2S [micron]	D2R [micron]	D2P [micron]	v [micron/sec]	? [deg]	?? [deg]
1	1	1	31.348	15.613	0	2	0	0	0	NA	NA	NA	NA	NA
2	1	2	30.997	15.893	0	2	0	0.45	0.45	NA	0.45	NA	141.34	NA
3	1	3	30.997	15.893	0	2	0	0.45	0.45	NA	0	NA	0	-141.34
4	1	4	30.997	15.893	0	2	0	0.45	0.45	NA	0	NA	0	0
5	1	5	31.067	15.823	0	2	0	0.549	0.351	NA	0.099	NA	-45	-45
6	1	6	30.645	15.683	0	2	11	0.993	0.706	NA	0.444	NA	-161.565	-116.565
7	1	7	30.716	15.683	0	2	23	1.064	0.636	NA	0.07	NA	0	161.565
8	1	8	30.926	15.823	0	2	0	1.317	0.471	NA	0.253	NA	33.69	33.69
9	1	9	30.926	15.893	0	2	0	1.387	0.507	NA	0.07	NA	90	56.31
10	1	10	30.926	15.964	0	2	11	1.457	0.549	NA	0.07	NA	90	0
11	1	11	30.926	15.964	0	2	0	1.457	0.549	NA	0	NA	0	-90
12	1	12	30.997	15.964	0	2	0	1.528	0.497	NA	0.07	NA	0	0
13	1	13	30.997	16.455	0	2	0	2.019	0.913	NA	0.492	NA	90	90
14	1	14	30.786	16.526	0	2	0	2.242	1.072	NA	0.222	NA	161.565	71.565
15	1	15	30.224	16.596	0	2	0	2.808	1.493	NA	0.566	NA	172.875	11.31
16	1	16	30.013	16.596	0	2	0	3.019	1.658	NA	0.211	NA	180	7.125
17	1	17	30.224	17.158	0	2	0	3.619	1.911	NA	0.6	NA	69.444	-110.556
18	1	18	30.154	17.158	0	2	0	3.689	1.953	NA	0.07	NA	180	110.556
19	1	19	30.364	17.158	0	2	0	3.9	1.832	NA	0.211	NA	0	-180
20	1	20	30.575	17.228	0	2	0	4.122	1.791	NA	0.222	NA	18.435	18.435
21	1	21	30.364	17.158	0	2	0	4.344	1.832	NA	0.222	NA	-161.565	-180
22	1	22	30.083	17.298	0	2	0	4.658	2.107	NA	0.314	NA	153.435	-45
