Nr	TID	PID	x [micron]	y [micron]	t [sec]	c [idx]	I [val]	Len [micron]	D2S [micron]	D2R [micron]	D2P [micron]	v [micron/sec]	? [deg]	?? [deg]
1	1	1	25.653	30.999	0	2	46	0	0	NA	NA	NA	NA	NA
2	1	2	25.48	31.229	0	2	55	0.287	0.287	NA	0.287	NA	126.87	NA
3	1	3	25.48	31.344	0	2	27	0.402	0.386	NA	0.115	NA	90	-36.87
4	1	4	25.193	31.344	0	2	37	0.69	0.575	NA	0.287	NA	180	90
5	1	5	25.595	31.401	0	2	83	1.096	0.406	NA	0.406	NA	8.13	-171.87
6	1	6	25.653	31.401	0	2	102	1.154	0.402	NA	0.057	NA	0	-8.13
7	1	7	25.825	31.401	0	2	74	1.326	0.438	NA	0.172	NA	0	0
8	1	8	25.825	31.401	0	2	83	1.326	0.438	NA	0	NA	0	0
9	1	9	25.883	31.459	0	2	18	1.408	0.514	NA	0.081	NA	45	45
10	1	10	26.228	32.034	0	2	83	2.078	1.184	NA	0.67	NA	59.036	14.036
11	1	11	26.17	31.746	0	2	46	2.371	0.909	NA	0.293	NA	-101.31	-160.346
12	1	12	26.17	31.746	0	2	65	2.371	0.909	NA	0	NA	0	101.31
13	1	13	25.94	31.631	0	2	93	2.628	0.695	NA	0.257	NA	-153.435	-153.435
14	1	14	26.285	31.574	0	2	46	2.978	0.855	NA	0.35	NA	-9.462	143.973
15	1	15	25.998	31.401	0	2	102	3.313	0.53	NA	0.335	NA	-149.036	-139.574
16	1	16	25.998	31.401	0	2	93	3.313	0.53	NA	0	NA	0	149.036
17	1	17	26.113	31.401	0	2	46	3.428	0.611	NA	0.115	NA	0	0
18	1	18	26.4	31.459	0	2	55	3.721	0.877	NA	0.293	NA	11.31	11.31
19	1	19	26.4	31.459	0	2	18	3.721	0.877	NA	0	NA	0	-11.31
20	1	20	25.998	31.459	0	2	55	4.123	0.575	NA	0.402	NA	180	180
21	1	21	25.94	31.574	0	2	130	4.252	0.643	NA	0.129	NA	116.565	-63.435
22	1	22	25.768	31.689	0	2	37	4.459	0.699	NA	0.207	NA	146.31	29.745
23	1	23	25.825	31.689	0	2	37	4.517	0.711	NA	0.057	NA	0	-146.31
24	1	24	25.94	31.689	0	2	0	4.632	0.747	NA	0.115	NA	0	0
25	1	25	25.825	31.631	0	2	46	4.76	0.655	NA	0.129	NA	-153.435	-153.435
26	1	26	26.055	31.631	0	2	46	4.99	0.75	NA	0.23	NA	0	153.435
27	1	27	26.055	31.631	0	2	65	4.99	0.75	NA	0	NA	0	0
28	1	28	26.055	31.631	0	2	83	4.99	0.75	NA	0	NA	0	0
29	1	29	26.17	31.574	0	2	37	5.119	0.773	NA	0.129	NA	-26.565	-26.565
30	1	30	26.228	31.574	0	2	9	5.176	0.813	NA	0.057	NA	0	26.565
31	1	31	26.343	31.229	0	2	27	5.54	0.727	NA	0.364	NA	-71.565	-71.565
32	1	32	26.228	31.229	0	2	55	5.655	0.619	NA	0.115	NA	180	-108.435
33	1	33	25.998	31.229	0	2	27	5.885	0.415	NA	0.23	NA	180	0
34	1	34	25.998	31.229	0	2	27	5.885	0.415	NA	0	NA	0	-180
35	1	35	25.998	31.229	0	2	37	5.885	0.415	NA	0	NA	0	0
36	1	36	25.998	31.229	0	2	27	5.885	0.415	NA	0	NA	0	0
37	1	37	25.825	31.114	0	2	37	6.092	0.207	NA	0.207	NA	-146.31	-146.31
38	1	38	25.71	31.114	0	2	37	6.207	0.129	NA	0.115	NA	180	-33.69
39	1	39	25.71	31.114	0	2	93	6.207	0.129	NA	0	NA	0	-180
40	1	40	25.71	31.114	0	2	27	6.207	0.129	NA	0	NA	0	0
41	1	41	25.538	30.826	0	2	83	6.542	0.207	NA	0.335	NA	-120.964	-120.964
42	1	42	25.423	30.826	0	2	37	6.657	0.287	NA	0.115	NA	180	-59.036
43	1	43	25.365	30.769	0	2	37	6.738	0.368	NA	0.081	NA	-135	45
44	1	44	25.25	30.711	0	2	55	6.867	0.495	NA	0.129	NA	-153.435	-18.435
45	1	45	25.25	30.654	0	2	55	6.924	0.53	NA	0.057	NA	-90	63.435
46	1	46	25.538	30.654	0	2	93	7.212	0.364	NA	0.287	NA	0	90
