Nr	TID	PID	x [micron]	y [micron]	t [sec]	c [idx]	I [val]	Len [micron]	D2S [micron]	D2R [micron]	D2P [micron]	v [micron/sec]	? [deg]	?? [deg]
1	1	1	11.582	18.136	0	2	60	0	0	NA	NA	NA	NA	NA
2	1	2	11.541	17.894	0	2	107	0.246	0.246	NA	0.246	NA	-99.462	NA
3	1	3	11.906	18.056	0	2	100	0.645	0.334	NA	0.398	NA	23.962	123.425
4	1	4	11.906	18.056	0	2	46	0.645	0.334	NA	0	NA	0	-23.962
5	1	5	11.784	18.056	0	2	53	0.766	0.218	NA	0.121	NA	180	180
6	1	6	11.38	18.258	0	2	20	1.218	0.236	NA	0.452	NA	153.435	-26.565
7	1	7	10.57	18.42	0	2	6	2.044	1.05	NA	0.825	NA	168.69	15.255
8	1	8	10.368	18.46	0	2	13	2.25	1.256	NA	0.206	NA	168.69	0
9	2	1	13.726	17.489	0	2	26	0	0	NA	NA	NA	NA	NA
10	2	2	12.998	17.772	0	2	26	0.781	0.781	NA	0.781	NA	158.749	NA
11	2	3	12.998	17.975	0	2	46	0.984	0.875	NA	0.202	NA	90	-68.749
12	2	4	13.079	18.015	0	2	33	1.074	0.834	NA	0.09	NA	26.565	-63.435
13	2	5	13.16	18.096	0	2	26	1.189	0.83	NA	0.114	NA	45	18.435
14	2	6	13.362	17.894	0	2	13	1.475	0.544	NA	0.286	NA	-45	-90
15	2	7	13.322	17.894	0	2	46	1.515	0.572	NA	0.04	NA	180	-135
16	2	8	13.322	17.853	0	2	40	1.556	0.544	NA	0.04	NA	-90	90
17	2	9	13.322	17.853	0	2	20	1.556	0.544	NA	0	NA	0	90
18	2	10	13.16	17.894	0	2	60	1.722	0.696	NA	0.167	NA	165.964	165.964
19	3	1	11.137	18.339	0	2	6	0	0	NA	NA	NA	NA	NA
20	3	2	11.258	18.339	0	2	20	0.121	0.121	NA	0.121	NA	0	NA
21	3	3	11.177	18.339	0	2	40	0.202	0.04	NA	0.081	NA	180	180
