Nr	TID	PID	x [micron]	y [micron]	t [sec]	c [idx]	I [val]	Len [micron]	D2S [micron]	D2R [micron]	D2P [micron]	v [micron/sec]	? [deg]	?? [deg]
1	1	1	16.443	23.505	0	2	130	0	0	NA	NA	NA	NA	NA
2	1	2	16.347	23.986	0	2	37	0.49	0.49	NA	0.49	NA	101.31	NA
3	1	3	16.491	23.938	0	2	74	0.642	0.435	NA	0.152	NA	-18.435	-119.745
4	1	4	16.491	23.89	0	2	111	0.69	0.387	NA	0.048	NA	-90	-71.565
5	1	5	16.443	24.514	0	2	0	1.316	1.009	NA	0.626	NA	94.399	-175.601
6	1	6	16.155	24.658	0	2	0	1.639	1.189	NA	0.322	NA	153.435	59.036
7	1	7	16.539	24.082	0	2	9	2.331	0.584	NA	0.693	NA	-56.31	150.255
8	1	8	16.587	24.034	0	2	18	2.399	0.548	NA	0.068	NA	-45	11.31
9	1	9	16.443	23.409	0	2	37	3.04	0.096	NA	0.641	NA	-102.995	-57.995
10	2	1	22.448	23.649	0	2	46	0	0	NA	NA	NA	NA	NA
11	2	2	22.881	23.793	0	2	9	0.456	0.456	NA	0.456	NA	18.435	NA
12	2	3	23.169	23.649	0	2	9	0.778	0.721	NA	0.322	NA	-26.565	-45
13	2	4	23.217	23.553	0	2	55	0.885	0.775	NA	0.107	NA	-63.435	-36.87
14	2	5	23.073	23.409	0	2	37	1.089	0.669	NA	0.204	NA	-135	-71.565
15	2	6	22.977	23.553	0	2	37	1.263	0.537	NA	0.173	NA	123.69	-101.31
16	2	7	23.313	22.977	0	2	46	1.93	1.096	NA	0.667	NA	-59.744	176.566
17	2	8	23.217	22.977	0	2	27	2.026	1.021	NA	0.096	NA	180	-120.256
18	2	9	23.217	22.881	0	2	9	2.122	1.087	NA	0.096	NA	-90	90
19	2	10	22.736	22.833	0	2	27	2.605	0.866	NA	0.483	NA	-174.289	-84.289
20	2	11	22.833	22.929	0	2	0	2.741	0.817	NA	0.136	NA	45	-140.711
21	2	12	22.736	22.929	0	2	0	2.837	0.776	NA	0.096	NA	180	135
22	2	13	22.881	22.929	0	2	0	2.981	0.84	NA	0.144	NA	0	-180
23	3	1	17.5	20.43	0	2	46	0	0	NA	NA	NA	NA	NA
24	3	2	18.797	20.671	0	2	9	1.319	1.319	NA	1.319	NA	10.491	NA
25	3	3	19.902	20.478	0	2	18	2.441	2.403	NA	1.122	NA	-9.866	-20.357
26	3	4	19.902	20.382	0	2	9	2.537	2.403	NA	0.096	NA	-90	-80.134
27	3	5	19.229	20.526	0	2	9	3.225	1.732	NA	0.688	NA	167.905	-102.095
28	3	6	18.893	20.286	0	2	9	3.638	1.401	NA	0.413	NA	-144.462	47.632
29	3	7	19.229	20.623	0	2	18	4.114	1.74	NA	0.476	NA	45	-170.538
30	3	8	19.229	20.767	0	2	9	4.258	1.762	NA	0.144	NA	90	45
