Nr	TID	PID	x [micron]	y [micron]	t [sec]	c [idx]	I [val]	Len [micron]	D2S [micron]	D2R [micron]	D2P [micron]	v [micron/sec]	? [deg]	?? [deg]
1	1	1	22.006	28.259	0	2	255	0	0	NA	NA	NA	NA	NA
2	1	2	22.006	28.259	0	2	255	0	0	NA	0	NA	0	NA
3	1	3	21.937	28.671	0	2	255	0.418	0.418	NA	0.418	NA	99.462	99.462
4	1	4	21.937	28.809	0	2	255	0.555	0.554	NA	0.137	NA	90	-9.462
5	1	5	21.937	28.809	0	2	186	0.555	0.554	NA	0	NA	0	-90
6	1	6	21.937	28.397	0	2	255	0.968	0.154	NA	0.412	NA	-90	-90
7	1	7	22.075	28.465	0	2	255	1.121	0.217	NA	0.154	NA	26.565	116.565
8	1	8	22.35	28.534	0	2	255	1.405	0.44	NA	0.283	NA	14.036	-12.529
9	1	9	22.35	28.534	0	2	255	1.405	0.44	NA	0	NA	0	-14.036
10	1	10	22.006	28.534	0	2	255	1.748	0.275	NA	0.344	NA	180	180
11	1	11	22.006	28.534	0	2	255	1.748	0.275	NA	0	NA	0	-180
12	1	12	21.869	28.534	0	2	255	1.886	0.307	NA	0.137	NA	180	180
13	1	13	21.8	28.534	0	2	255	1.954	0.344	NA	0.069	NA	180	0
14	1	14	21.731	28.534	0	2	255	2.023	0.389	NA	0.069	NA	180	0
15	1	15	21.731	28.534	0	2	255	2.023	0.389	NA	0	NA	0	-180
16	1	16	21.731	28.534	0	2	195	2.023	0.389	NA	0	NA	0	0
17	1	17	21.525	28.534	0	2	233	2.229	0.554	NA	0.206	NA	180	180
18	1	18	21.594	28.603	0	2	255	2.326	0.537	NA	0.097	NA	45	-135
19	1	19	21.663	28.671	0	2	205	2.424	0.537	NA	0.097	NA	45	0
20	1	20	22.075	28.671	0	2	205	2.836	0.418	NA	0.412	NA	0	-45
21	1	21	22.212	28.671	0	2	130	2.973	0.461	NA	0.137	NA	0	0
22	1	22	21.731	28.671	0	2	255	3.454	0.496	NA	0.481	NA	180	180
23	1	23	21.731	28.671	0	2	195	3.454	0.496	NA	0	NA	0	-180
24	1	24	21.8	28.74	0	2	223	3.552	0.523	NA	0.097	NA	45	45
25	1	25	21.937	28.809	0	2	195	3.705	0.554	NA	0.154	NA	26.565	-18.435
26	1	26	21.869	28.809	0	2	149	3.774	0.567	NA	0.069	NA	180	153.435
27	1	27	21.731	28.534	0	2	255	4.081	0.389	NA	0.307	NA	-116.565	63.435
28	1	28	21.937	28.534	0	2	255	4.287	0.283	NA	0.206	NA	0	116.565
29	1	29	21.937	28.534	0	2	242	4.287	0.283	NA	0	NA	0	0
30	1	30	21.937	28.603	0	2	255	4.356	0.35	NA	0.069	NA	90	90
31	1	31	21.937	28.671	0	2	167	4.425	0.418	NA	0.069	NA	90	0
32	1	32	21.937	28.74	0	2	255	4.493	0.486	NA	0.069	NA	90	0
33	1	33	21.937	28.74	0	2	251	4.493	0.486	NA	0	NA	0	-90
34	1	34	21.937	28.809	0	2	205	4.562	0.554	NA	0.069	NA	90	90
35	1	35	21.937	28.809	0	2	255	4.562	0.554	NA	0	NA	0	-90
36	1	36	21.937	28.809	0	2	195	4.562	0.554	NA	0	NA	0	0
37	1	37	21.937	28.809	0	2	255	4.562	0.554	NA	0	NA	0	0
38	1	38	21.937	28.809	0	2	214	4.562	0.554	NA	0	NA	0	0
39	1	39	21.937	28.809	0	2	233	4.562	0.554	NA	0	NA	0	0
40	1	40	21.937	28.809	0	2	177	4.562	0.554	NA	0	NA	0	0
41	1	41	21.937	28.809	0	2	223	4.562	0.554	NA	0	NA	0	0
42	1	42	21.937	28.878	0	2	195	4.631	0.622	NA	0.069	NA	90	90
43	1	43	21.937	29.084	0	2	121	4.837	0.827	NA	0.206	NA	90	0
44	1	44	21.8	29.084	0	2	93	4.974	0.85	NA	0.137	NA	180	90
