Nr	TID	PID	x [micron]	y [micron]	t [sec]	c [idx]	I [val]	Len [micron]	D2S [micron]	D2R [micron]	D2P [micron]	v [micron/sec]	? [deg]	?? [deg]
1	1	1	4.339	17.642	0	2	255	0	0	NA	NA	NA	NA	NA
2	1	2	4.269	17.712	0	2	177	0.099	0.099	NA	0.099	NA	135	NA
3	1	3	4.129	17.782	0	2	65	0.255	0.252	NA	0.156	NA	153.435	18.435
4	1	4	4.164	17.153	0	2	74	0.884	0.519	NA	0.629	NA	-86.82	119.745
5	1	5	4.234	17.084	0	2	167	0.983	0.568	NA	0.099	NA	-45	41.82
6	1	6	4.234	17.119	0	2	214	1.018	0.534	NA	0.035	NA	90	135
7	1	7	4.967	16.804	0	2	83	1.816	1.048	NA	0.798	NA	-23.199	-113.199
8	1	8	4.443	17.398	0	2	149	2.608	0.266	NA	0.792	NA	131.424	154.622
9	1	9	4.408	17.398	0	2	149	2.642	0.254	NA	0.035	NA	180	48.576
10	1	10	4.443	17.398	0	2	177	2.677	0.266	NA	0.035	NA	0	-180
11	1	11	4.129	17.468	0	2	74	2.999	0.273	NA	0.322	NA	167.471	167.471
12	1	12	4.339	17.119	0	2	46	3.407	0.524	NA	0.407	NA	-59.036	133.493
13	1	13	4.269	17.119	0	2	102	3.476	0.528	NA	0.07	NA	180	-120.964
14	1	14	4.269	17.223	0	2	121	3.581	0.425	NA	0.105	NA	90	-90
15	1	15	4.618	16.455	0	2	83	4.425	1.22	NA	0.844	NA	-65.556	-155.556
16	1	16	4.793	16.525	0	2	93	4.613	1.206	NA	0.188	NA	21.801	87.357
17	1	17	4.653	16.734	0	2	65	4.865	0.961	NA	0.252	NA	123.69	101.889
18	1	18	4.688	16.734	0	2	74	4.9	0.973	NA	0.035	NA	0	-123.69
19	1	19	4.793	16.769	0	2	46	5.01	0.984	NA	0.11	NA	18.435	18.435
20	1	20	4.793	16.769	0	2	37	5.01	0.984	NA	0	NA	0	-18.435
21	1	21	5.246	16.455	0	2	37	5.562	1.495	NA	0.552	NA	-34.695	-34.695
22	1	22	5.491	16.281	0	2	55	5.863	1.784	NA	0.3	NA	-35.538	-0.843
23	1	23	5.875	15.722	0	2	37	6.541	2.459	NA	0.678	NA	-55.491	-19.954
24	1	24	5.351	15.757	0	2	27	7.065	2.14	NA	0.525	NA	176.186	-128.323
25	1	25	5.351	16.036	0	2	9	7.345	1.899	NA	0.279	NA	90	-86.186
26	2	1	11.183	13.522	0	2	46	0	0	NA	NA	NA	NA	NA
27	2	2	11.602	12.928	0	2	102	0.727	0.727	NA	0.727	NA	-54.782	NA
28	2	3	11.741	11.881	0	2	121	1.783	1.734	NA	1.057	NA	-82.405	-27.623
29	2	4	11.427	11.287	0	2	205	2.455	2.248	NA	0.672	NA	-117.897	-35.492
30	2	5	12.021	10.135	0	2	205	3.751	3.489	NA	1.296	NA	-62.745	55.153
31	2	6	12.09	10.205	0	2	65	3.85	3.439	NA	0.099	NA	45	107.745
32	2	7	11.776	10.03	0	2	55	4.21	3.542	NA	0.36	NA	-150.945	164.055
33	2	8	11.567	11.113	0	2	149	5.312	2.44	NA	1.103	NA	100.954	-108.101
34	2	9	12.09	11.078	0	2	102	5.837	2.607	NA	0.525	NA	-3.814	-104.768
35	2	10	11.148	10.763	0	2	18	6.831	2.759	NA	0.994	NA	-161.565	-157.751
36	2	11	10.729	10.624	0	2	65	7.272	2.934	NA	0.442	NA	-161.565	0
37	2	12	11.497	10.868	0	2	195	8.079	2.672	NA	0.806	NA	17.65	179.215
38	2	13	11.217	10.763	0	2	27	8.377	2.759	NA	0.298	NA	-159.444	-177.094
39	2	14	11.043	10.344	0	2	223	8.831	3.181	NA	0.454	NA	-112.62	46.824
40	2	15	10.833	10.659	0	2	27	9.209	2.884	NA	0.378	NA	123.69	-123.69
41	2	16	10.938	10.414	0	2	18	9.475	3.117	NA	0.266	NA	-66.801	169.509
42	2	17	10.065	10.344	0	2	55	10.35	3.368	NA	0.876	NA	-175.426	-108.625
43	2	18	10.589	10.729	0	2	18	11	2.856	NA	0.65	NA	36.254	-148.32
44	2	19	9.297	10.903	0	2	37	12.303	3.227	NA	1.304	NA	172.304	136.05
45	3	1	12.719	16.49	0	2	93	0	0	NA	NA	NA	NA	NA
46	3	2	12.579	15.966	0	2	55	0.542	0.542	NA	0.542	NA	-104.931	NA
47	3	3	13.033	15.582	0	2	55	1.137	0.961	NA	0.595	NA	-40.236	64.695
48	3	4	13.836	14.814	0	2	111	2.248	2.014	NA	1.111	NA	-43.727	-3.491
49	3	5	13.836	14.884	0	2	111	2.318	1.957	NA	0.07	NA	90	133.727
50	3	6	14.604	14.604	0	2	149	3.135	2.667	NA	0.817	NA	-19.983	-109.983
51	4	1	12.335	15.093	0	2	93	0	0	NA	NA	NA	NA	NA
52	4	2	12.963	14.744	0	2	93	0.719	0.719	NA	0.719	NA	-29.055	NA
53	4	3	12.649	15.966	0	2	27	1.981	0.928	NA	1.262	NA	104.421	133.475
54	4	4	12.16	15.652	0	2	83	2.562	0.585	NA	0.581	NA	-147.265	108.314
55	4	5	12.125	15.373	0	2	93	2.844	0.349	NA	0.282	NA	-97.125	50.14
56	4	6	12.44	15.233	0	2	167	3.187	0.175	NA	0.344	NA	-23.962	73.163
57	4	7	12.998	14.744	0	2	37	3.93	0.75	NA	0.742	NA	-41.186	-17.223
58	4	8	13.941	14.151	0	2	111	5.044	1.862	NA	1.114	NA	-32.196	8.99
