Nr	TID	PID	x [micron]	y [micron]	t [sec]	c [idx]	I [val]	Len [micron]	D2S [micron]	D2R [micron]	D2P [micron]	v [micron/sec]	? [deg]	?? [deg]
1	1	1	24.58	19.77	0	2	111	0	0	NA	NA	NA	NA	NA
2	1	2	24.465	19.941	0	2	93	0.206	0.206	NA	0.206	NA	123.69	NA
3	1	3	24.58	19.712	0	2	139	0.463	0.057	NA	0.256	NA	-63.435	172.875
4	1	4	24.58	19.655	0	2	65	0.52	0.115	NA	0.057	NA	-90	-26.565
5	1	5	24.58	19.483	0	2	74	0.692	0.286	NA	0.172	NA	-90	0
6	1	6	24.637	19.483	0	2	83	0.749	0.292	NA	0.057	NA	0	90
7	1	7	25.439	19.77	0	2	93	1.6	0.859	NA	0.851	NA	19.654	19.654
8	1	8	26.527	19.369	0	2	27	2.76	1.988	NA	1.159	NA	-20.225	-39.879
9	1	9	26.641	19.025	0	2	83	3.122	2.192	NA	0.362	NA	-71.565	-51.34
10	1	10	26.355	19.369	0	2	83	3.569	1.82	NA	0.447	NA	129.806	-158.629
11	1	11	26.469	19.197	0	2	83	3.775	1.974	NA	0.206	NA	-56.31	173.884
12	1	12	26.126	19.254	0	2	74	4.124	1.63	NA	0.348	NA	170.538	-133.152
13	1	13	26.355	19.312	0	2	74	4.36	1.833	NA	0.236	NA	14.036	-156.501
14	1	14	26.412	19.312	0	2	55	4.417	1.889	NA	0.057	NA	0	-14.036
15	1	15	26.355	19.312	0	2	27	4.474	1.833	NA	0.057	NA	180	180
16	1	16	26.355	19.312	0	2	111	4.474	1.833	NA	0	NA	0	-180
17	1	17	26.412	19.312	0	2	93	4.532	1.889	NA	0.057	NA	0	0
18	1	18	26.355	19.312	0	2	65	4.589	1.833	NA	0.057	NA	180	180
19	1	19	26.584	19.369	0	2	65	4.825	2.044	NA	0.236	NA	14.036	-165.964
20	1	20	26.412	19.369	0	2	111	4.997	1.876	NA	0.172	NA	180	165.964
21	1	21	26.584	19.369	0	2	46	5.169	2.044	NA	0.172	NA	0	-180
22	1	22	26.641	19.369	0	2	46	5.226	2.1	NA	0.057	NA	0	0
23	1	23	26.698	19.483	0	2	37	5.354	2.138	NA	0.128	NA	63.435	63.435
24	1	24	26.584	19.598	0	2	65	5.516	2.012	NA	0.162	NA	135	71.565
25	1	25	26.698	19.712	0	2	65	5.678	2.119	NA	0.162	NA	45	-90
26	1	26	26.698	19.712	0	2	55	5.678	2.119	NA	0	NA	0	-45
27	1	27	26.698	19.712	0	2	18	5.678	2.119	NA	0	NA	0	0
