Nr	TID	PID	x [micron]	y [micron]	t [sec]	c [idx]	I [val]	Len [micron]	D2S [micron]	D2R [micron]	D2P [micron]	v [micron/sec]	? [deg]	?? [deg]
1	1	1	23.708	25	0	2	100	0	0	NA	NA	NA	NA	NA
2	1	2	23.966	25	0	2	60	0.258	0.258	NA	0.258	NA	0	NA
3	1	3	23.966	25	0	2	40	0.258	0.258	NA	0	NA	0	0
4	1	4	23.88	25	0	2	80	0.345	0.172	NA	0.086	NA	180	180
5	1	5	23.966	25.086	0	2	20	0.466	0.272	NA	0.122	NA	45	-135
6	1	6	23.708	24.828	0	2	60	0.832	0.172	NA	0.365	NA	-135	-180
7	1	7	23.708	24.828	0	2	50	0.832	0.172	NA	0	NA	0	135
8	1	8	23.536	25	0	2	60	1.075	0.172	NA	0.244	NA	135	135
9	1	9	23.622	25	0	2	10	1.162	0.086	NA	0.086	NA	0	-135
10	1	10	23.622	25	0	2	40	1.162	0.086	NA	0	NA	0	0
11	1	11	23.536	25	0	2	40	1.248	0.172	NA	0.086	NA	180	180
12	1	12	23.536	25	0	2	30	1.248	0.172	NA	0	NA	0	-180
13	1	13	23.536	25	0	2	0	1.248	0.172	NA	0	NA	0	0
14	1	14	23.45	24.914	0	2	10	1.369	0.272	NA	0.122	NA	-135	-135
15	1	15	23.45	24.914	0	2	80	1.369	0.272	NA	0	NA	0	135
16	1	16	23.45	24.914	0	2	100	1.369	0.272	NA	0	NA	0	0
17	1	17	23.45	24.914	0	2	40	1.369	0.272	NA	0	NA	0	0
18	1	18	23.622	23.966	0	2	80	2.332	1.037	NA	0.963	NA	-79.695	-79.695
19	1	19	23.966	23.966	0	2	20	2.677	1.065	NA	0.345	NA	0	79.695
20	1	20	23.708	23.277	0	2	140	3.413	1.723	NA	0.736	NA	-110.556	-110.556
21	1	21	23.88	23.363	0	2	50	3.605	1.646	NA	0.193	NA	26.565	137.121
22	1	22	23.708	23.536	0	2	70	3.849	1.464	NA	0.244	NA	135	108.435
23	1	23	23.88	23.277	0	2	50	4.16	1.731	NA	0.311	NA	-56.31	168.69
24	1	24	24.655	22.33	0	2	30	5.384	2.833	NA	1.224	NA	-50.711	5.599
