Nr	TID	PID	x [micron]	y [micron]	t [sec]	c [idx]	I [val]	Len [micron]	D2S [micron]	D2R [micron]	D2P [micron]	v [micron/sec]	? [deg]	?? [deg]
1	1	1	7.366	11.508	0	2	83	0	0	NA	NA	NA	NA	NA
2	1	2	7.366	11.508	0	2	65	0	0	NA	0	NA	0	NA
3	1	3	6.774	11.635	0	2	83	0.605	0.605	NA	0.605	NA	167.905	167.905
4	1	4	6.985	11.55	0	2	55	0.833	0.383	NA	0.228	NA	-21.801	170.293
5	1	5	7.366	11.804	0	2	55	1.29	0.296	NA	0.457	NA	33.69	55.491
6	1	6	7.112	11.931	0	2	65	1.574	0.493	NA	0.284	NA	153.435	119.745
7	1	7	7.112	11.804	0	2	74	1.7	0.39	NA	0.127	NA	-90	116.565
8	1	8	7.112	11.804	0	2	93	1.7	0.39	NA	0	NA	0	90
9	1	9	6.816	11.888	0	2	83	2.008	0.668	NA	0.308	NA	164.055	164.055
10	1	10	7.07	11.846	0	2	55	2.265	0.449	NA	0.257	NA	-9.462	-173.517
11	1	11	7.196	11.931	0	2	55	2.418	0.455	NA	0.152	NA	33.69	43.152
12	1	12	7.281	11.931	0	2	18	2.502	0.431	NA	0.085	NA	0	-33.69
13	1	13	7.366	11.804	0	2	18	2.655	0.296	NA	0.152	NA	-56.31	-56.31
14	1	14	7.577	11.888	0	2	37	2.882	0.435	NA	0.228	NA	21.801	78.111
15	1	15	7.535	11.846	0	2	46	2.942	0.378	NA	0.06	NA	-135	-156.801
16	1	16	7.788	11.888	0	2	37	3.199	0.569	NA	0.257	NA	9.462	144.462
17	1	17	7.746	12.058	0	2	65	3.373	0.668	NA	0.174	NA	104.036	94.574
18	1	18	7.873	12.396	0	2	27	3.735	1.022	NA	0.361	NA	69.444	-34.592
19	1	19	7.873	12.058	0	2	37	4.073	0.748	NA	0.338	NA	-90	-159.444
20	1	20	7.915	12.058	0	2	65	4.115	0.777	NA	0.042	NA	0	90
21	1	21	7.915	12.058	0	2	46	4.115	0.777	NA	0	NA	0	0
22	1	22	7.873	12.015	0	2	46	4.175	0.717	NA	0.06	NA	-135	-135
23	1	23	7.873	12.015	0	2	9	4.175	0.717	NA	0	NA	0	135
24	1	24	7.873	11.973	0	2	65	4.217	0.688	NA	0.042	NA	-90	-90
25	1	25	7.915	11.973	0	2	18	4.259	0.72	NA	0.042	NA	0	90
26	1	26	7.873	11.973	0	2	74	4.302	0.688	NA	0.042	NA	180	180
27	1	27	7.873	11.973	0	2	55	4.302	0.688	NA	0	NA	0	-180
28	1	28	8.169	12.058	0	2	46	4.609	0.973	NA	0.308	NA	15.945	15.945
29	1	29	8.211	12.1	0	2	37	4.669	1.032	NA	0.06	NA	45	29.055
30	1	30	8.211	12.1	0	2	55	4.669	1.032	NA	0	NA	0	-45
31	1	31	8.211	12.311	0	2	55	4.88	1.166	NA	0.211	NA	90	90
32	1	32	8.084	12.48	0	2	74	5.092	1.209	NA	0.211	NA	126.87	36.87
33	1	33	8.211	12.48	0	2	65	5.219	1.288	NA	0.127	NA	0	-126.87
34	1	34	8.253	12.734	0	2	27	5.476	1.513	NA	0.257	NA	80.538	80.538
35	1	35	8.253	12.734	0	2	0	5.476	1.513	NA	0	NA	0	-80.538
36	1	36	8.507	12.565	0	2	65	5.781	1.555	NA	0.305	NA	-33.69	-33.69
37	1	37	8.507	12.565	0	2	55	5.781	1.555	NA	0	NA	0	33.69
38	1	38	8.507	12.565	0	2	37	5.781	1.555	NA	0	NA	0	0
39	1	39	8.549	12.734	0	2	27	5.955	1.704	NA	0.174	NA	75.964	75.964
40	1	40	8.549	12.734	0	2	55	5.955	1.704	NA	0	NA	0	-75.964
41	1	41	8.76	12.692	0	2	37	6.17	1.829	NA	0.216	NA	-11.31	-11.31
42	1	42	8.718	12.692	0	2	46	6.213	1.797	NA	0.042	NA	180	-168.69
43	1	43	8.845	12.734	0	2	37	6.346	1.921	NA	0.134	NA	18.435	-161.565
44	1	44	9.268	12.522	0	2	27	6.819	2.156	NA	0.473	NA	-26.565	-45
45	1	45	9.225	12.396	0	2	74	6.953	2.061	NA	0.134	NA	-108.435	-81.87
46	1	46	8.845	12.396	0	2	37	7.333	1.725	NA	0.38	NA	180	-71.565
47	1	47	8.803	12.396	0	2	65	7.375	1.689	NA	0.042	NA	180	0
48	1	48	9.268	12.227	0	2	83	7.87	2.033	NA	0.495	NA	-19.983	160.017
49	1	49	9.268	12.227	0	2	65	7.87	2.033	NA	0	NA	0	19.983
50	1	50	9.183	12.269	0	2	46	7.965	1.97	NA	0.095	NA	153.435	153.435
51	2	1	13.495	12.184	0	2	167	0	0	NA	NA	NA	NA	NA
52	2	2	13.495	12.184	0	2	130	0	0	NA	0	NA	0	NA
53	2	3	13.495	12.184	0	2	158	0	0	NA	0	NA	0	0
54	2	4	13.495	12.184	0	2	121	0	0	NA	0	NA	0	0
55	2	5	13.664	12.184	0	2	83	0.169	0.169	NA	0.169	NA	0	0
56	2	6	13.579	12.142	0	2	74	0.264	0.095	NA	0.095	NA	-153.435	-153.435
57	2	7	13.579	12.142	0	2	27	0.264	0.095	NA	0	NA	0	153.435
58	2	8	13.41	12.058	0	2	74	0.453	0.152	NA	0.189	NA	-153.435	-153.435
59	2	9	13.495	12.058	0	2	130	0.537	0.127	NA	0.085	NA	0	153.435
60	2	10	13.283	12.058	0	2	111	0.749	0.246	NA	0.211	NA	180	180
61	2	11	13.283	12.058	0	2	102	0.749	0.246	NA	0	NA	0	-180
62	2	12	13.833	12.142	0	2	102	1.305	0.341	NA	0.556	NA	8.746	8.746
63	2	13	14.086	12.015	0	2	55	1.588	0.615	NA	0.284	NA	-26.565	-35.311
64	2	14	14.086	12.015	0	2	158	1.588	0.615	NA	0	NA	0	26.565
65	2	15	14.086	11.973	0	2	74	1.63	0.628	NA	0.042	NA	-90	-90
66	2	16	14.086	11.973	0	2	111	1.63	0.628	NA	0	NA	0	90
67	2	17	14.086	11.973	0	2	111	1.63	0.628	NA	0	NA	0	0
68	2	18	13.791	11.973	0	2	149	1.926	0.364	NA	0.296	NA	180	180
69	2	19	13.748	11.973	0	2	93	1.968	0.33	NA	0.042	NA	180	0
70	2	20	13.96	11.973	0	2	167	2.18	0.511	NA	0.211	NA	0	-180
71	2	21	13.96	11.973	0	2	121	2.18	0.511	NA	0	NA	0	0
72	2	22	13.917	11.973	0	2	139	2.222	0.473	NA	0.042	NA	180	180
73	2	23	14.129	11.973	0	2	102	2.433	0.668	NA	0.211	NA	0	-180
74	2	24	14.171	11.846	0	2	121	2.567	0.756	NA	0.134	NA	-71.565	-71.565
75	2	25	14.213	11.804	0	2	102	2.627	0.813	NA	0.06	NA	-45	26.565
76	2	26	14.213	11.804	0	2	139	2.627	0.813	NA	0	NA	0	45
77	2	27	14.213	11.804	0	2	111	2.627	0.813	NA	0	NA	0	0
78	2	28	14.171	11.888	0	2	102	2.721	0.738	NA	0.095	NA	116.565	116.565
79	2	29	14.298	11.888	0	2	111	2.848	0.856	NA	0.127	NA	0	-116.565
80	2	30	14.213	11.931	0	2	74	2.943	0.762	NA	0.095	NA	153.435	153.435
81	2	31	14.213	11.931	0	2	65	2.943	0.762	NA	0	NA	0	-153.435
82	2	32	14.298	11.973	0	2	102	3.037	0.83	NA	0.095	NA	26.565	26.565
83	2	33	14.34	12.015	0	2	46	3.097	0.862	NA	0.06	NA	45	18.435
84	2	34	14.594	12.1	0	2	74	3.364	1.102	NA	0.267	NA	18.435	-26.565
85	2	35	14.678	12.142	0	2	55	3.459	1.184	NA	0.095	NA	26.565	8.13
86	2	36	14.594	12.1	0	2	83	3.553	1.102	NA	0.095	NA	-153.435	-180
87	2	37	14.721	12.058	0	2	102	3.687	1.232	NA	0.134	NA	-18.435	135
88	2	38	14.721	11.931	0	2	65	3.814	1.252	NA	0.127	NA	-90	-71.565
89	2	39	14.847	11.888	0	2	83	3.948	1.385	NA	0.134	NA	-18.435	71.565
90	2	40	15.059	11.888	0	2	37	4.159	1.592	NA	0.211	NA	0	18.435
91	2	41	14.636	11.846	0	2	46	4.584	1.19	NA	0.425	NA	-174.289	-174.289
92	2	42	14.805	11.762	0	2	55	4.773	1.377	NA	0.189	NA	-26.565	147.724
93	2	43	14.805	11.762	0	2	74	4.773	1.377	NA	0	NA	0	26.565
94	2	44	14.763	11.804	0	2	65	4.833	1.324	NA	0.06	NA	135	135
95	2	45	14.763	11.804	0	2	139	4.833	1.324	NA	0	NA	0	-135
96	2	46	14.89	11.804	0	2	65	4.959	1.446	NA	0.127	NA	0	0
97	2	47	14.721	11.888	0	2	111	5.148	1.261	NA	0.189	NA	153.435	153.435
98	2	48	14.763	11.846	0	2	46	5.208	1.312	NA	0.06	NA	-45	161.565
99	2	49	14.847	11.846	0	2	18	5.293	1.394	NA	0.085	NA	0	45
100	2	50	14.847	11.593	0	2	65	5.546	1.476	NA	0.254	NA	-90	-90
101	3	1	20.3	12.142	0	2	93	0	0	NA	NA	NA	NA	NA
102	3	2	19.962	11.888	0	2	223	0.423	0.423	NA	0.423	NA	-143.13	NA
103	3	3	20.342	11.677	0	2	93	0.858	0.467	NA	0.435	NA	-29.055	114.075
104	3	4	20.3	11.804	0	2	130	0.992	0.338	NA	0.134	NA	108.435	137.49
105	3	5	20.3	11.762	0	2	93	1.034	0.38	NA	0.042	NA	-90	161.565
