Nr	CID	TID	PID	x [micron]	y [micron]	t [sec]	c [idx]	I [val]	Len [micron]	D2S [micron]	D2R [micron]	D2P [micron]	v [micron/sec]	? [deg]	?? [deg]
1	1	1	1	49.606	17.737	0	2	0	0	0	NA	NA	NA	NA	NA
2	1	1	2	49.501	17.685	0	2	11	0.117	0.117	NA	0.117	NA	-153.435	NA
3	1	1	3	48.979	17.841	0	2	0	0.662	0.636	NA	0.545	NA	163.301	-43.264
4	1	1	4	48.979	17.841	0	2	0	0.662	0.636	NA	0	NA	0	-163.301
5	1	1	5	48.979	17.998	0	2	0	0.819	0.679	NA	0.157	NA	90	90
6	1	1	6	48.718	17.998	0	2	11	1.08	0.926	NA	0.261	NA	180	90
7	1	1	7	48.822	17.528	0	2	0	1.562	0.811	NA	0.482	NA	-77.471	102.529
8	1	1	8	48.822	17.476	0	2	0	1.614	0.826	NA	0.052	NA	-90	-12.529
9	1	1	9	48.352	17.528	0	2	0	2.087	1.271	NA	0.473	NA	173.66	-96.34
10	1	1	10	48.404	17.371	0	2	0	2.252	1.256	NA	0.165	NA	-71.565	114.775
11	1	1	11	48.404	17.371	0	2	0	2.252	1.256	NA	0	NA	0	71.565
12	1	1	12	48.561	17.528	0	2	0	2.474	1.066	NA	0.222	NA	45	45
13	1	1	13	48.561	17.58	0	2	0	2.526	1.057	NA	0.052	NA	90	45
14	1	1	14	48.979	17.214	0	2	0	3.082	0.816	NA	0.555	NA	-41.186	-131.186
15	1	1	15	49.031	17.267	0	2	11	3.156	0.743	NA	0.074	NA	45	86.186
16	1	1	16	48.509	17.162	0	2	0	3.688	1.239	NA	0.533	NA	-168.69	146.31
17	1	1	17	48.979	17.319	0	2	0	4.184	0.753	NA	0.496	NA	18.435	-172.875
18	1	1	18	49.083	17.371	0	2	23	4.301	0.638	NA	0.117	NA	26.565	8.13
19	1	1	19	48.718	17.371	0	2	23	4.667	0.96	NA	0.366	NA	180	153.435
20	1	1	20	48.77	17.371	0	2	11	4.719	0.912	NA	0.052	NA	0	-180
21	1	1	21	48.822	17.423	0	2	0	4.793	0.844	NA	0.074	NA	45	45
22	1	1	22	48.509	17.267	0	2	0	5.143	1.194	NA	0.35	NA	-153.435	161.565
23	1	1	23	48.613	17.528	0	2	11	5.424	1.014	NA	0.281	NA	68.199	-138.366
24	1	1	24	48.509	17.528	0	2	0	5.529	1.117	NA	0.104	NA	180	111.801
25	1	1	25	48.404	17.528	0	2	11	5.633	1.22	NA	0.104	NA	180	0
26	1	1	26	48.457	17.528	0	2	0	5.686	1.168	NA	0.052	NA	0	-180
27	1	1	27	48.457	17.685	0	2	11	5.842	1.151	NA	0.157	NA	90	90
28	1	1	28	48.457	17.789	0	2	23	5.947	1.151	NA	0.104	NA	90	0
29	1	1	29	48.3	18.05	0	2	0	6.252	1.343	NA	0.305	NA	120.964	30.964
30	1	1	30	48.3	18.05	0	2	0	6.252	1.343	NA	0	NA	0	-120.964
31	1	1	31	48.3	18.05	0	2	0	6.252	1.343	NA	0	NA	0	0
32	1	1	32	48.143	18.207	0	2	0	6.473	1.537	NA	0.222	NA	135	135
33	1	1	33	48.143	18.207	0	2	11	6.473	1.537	NA	0	NA	0	-135
34	1	1	34	48.143	17.476	0	2	0	7.205	1.486	NA	0.731	NA	-90	-90
35	1	1	35	48.248	17.476	0	2	0	7.309	1.383	NA	0.104	NA	0	90
36	1	1	37	48.352	17.841	0	2	23	7.689	1.258	NA	0.38	NA	74.055	74.055
37	1	1	38	48.3	17.841	0	2	0	7.742	1.31	NA	0.052	NA	180	105.945
38	1	1	39	48.3	17.841	0	2	0	7.742	1.31	NA	0	NA	0	-180
39	1	1	40	48.195	17.841	0	2	11	7.846	1.414	NA	0.104	NA	180	180
40	1	1	41	48.3	17.946	0	2	23	7.994	1.323	NA	0.148	NA	45	-135
41	1	1	42	48.3	17.998	0	2	34	8.046	1.332	NA	0.052	NA	90	45
42	1	1	43	48.143	18.364	0	2	11	8.444	1.592	NA	0.398	NA	113.199	23.199
43	1	1	44	48.143	18.364	0	2	46	8.444	1.592	NA	0	NA	0	-113.199
44	1	1	45	48.039	18.364	0	2	11	8.549	1.688	NA	0.104	NA	180	180
45	1	1	46	48.039	18.364	0	2	23	8.549	1.688	NA	0	NA	0	-180
46	1	1	47	48.039	18.364	0	2	11	8.549	1.688	NA	0	NA	0	0
47	1	1	48	47.83	18.573	0	2	0	8.844	1.963	NA	0.296	NA	135	135
48	1	1	49	47.83	18.625	0	2	0	8.896	1.986	NA	0.052	NA	90	-45
49	1	2	1	50.181	17.005	0	2	0	0	0	NA	NA	NA	NA	NA
50	1	2	2	50.442	17.005	0	2	11	0.261	0.261	NA	0.261	NA	0	NA
51	1	2	3	50.024	17.058	0	2	0	0.682	0.165	NA	0.421	NA	172.875	172.875
52	1	2	4	49.972	17.162	0	2	0	0.799	0.261	NA	0.117	NA	116.565	-56.31
53	1	2	5	49.867	17.371	0	2	11	1.033	0.482	NA	0.234	NA	116.565	0
54	1	2	6	49.345	17.894	0	2	11	1.772	1.22	NA	0.739	NA	135	18.435
55	1	2	7	49.188	18.991	0	2	11	2.88	2.22	NA	1.108	NA	98.13	-36.87
56	1	2	8	49.397	19.095	0	2	0	3.114	2.232	NA	0.234	NA	26.565	-71.565
57	1	2	9	48.874	18.573	0	2	11	3.852	2.04	NA	0.739	NA	-135	-161.565
58	1	2	10	48.822	18.73	0	2	0	4.018	2.195	NA	0.165	NA	108.435	-116.565
59	1	2	11	49.083	18.468	0	2	0	4.387	1.829	NA	0.369	NA	-45	-153.435
60	1	2	12	49.71	18.207	0	2	0	5.066	1.29	NA	0.679	NA	-22.62	22.38
61	1	2	13	49.397	18.155	0	2	0	5.384	1.391	NA	0.318	NA	-170.538	-147.918
62	1	2	14	49.501	18.521	0	2	0	5.764	1.66	NA	0.38	NA	74.055	-115.408
63	1	2	15	50.128	18.573	0	2	11	6.394	1.568	NA	0.629	NA	4.764	-69.291
64	1	2	16	50.181	18.259	0	2	0	6.711	1.254	NA	0.318	NA	-80.538	-85.301
65	1	3	1	51.748	14.132	0	2	11	0	0	NA	NA	NA	NA	NA
66	1	3	2	50.964	14.132	0	2	11	0.784	0.784	NA	0.784	NA	180	NA
67	1	3	3	50.912	14.132	0	2	0	0.836	0.836	NA	0.052	NA	180	0
68	1	3	4	50.599	14.08	0	2	23	1.154	1.151	NA	0.318	NA	-170.538	9.462
69	1	3	5	50.39	14.08	0	2	0	1.363	1.359	NA	0.209	NA	180	-9.462
70	1	3	6	50.337	14.132	0	2	0	1.437	1.411	NA	0.074	NA	135	-45
71	1	3	7	50.546	14.132	0	2	0	1.646	1.202	NA	0.209	NA	0	-135
72	1	3	8	50.128	14.393	0	2	11	2.138	1.641	NA	0.493	NA	147.995	147.995
73	1	3	9	50.181	14.446	0	2	0	2.212	1.598	NA	0.074	NA	45	-102.995
74	1	3	10	49.972	14.237	0	2	0	2.508	1.779	NA	0.296	NA	-135	-180
75	1	3	11	49.972	14.602	0	2	0	2.874	1.837	NA	0.366	NA	90	-135
76	1	4	1	54.569	15.334	0	2	0	0	0	NA	NA	NA	NA	NA
77	1	4	2	54.465	15.334	0	2	11	0.104	0.104	NA	0.104	NA	180	NA
78	1	4	3	54.621	15.961	0	2	0	0.751	0.629	NA	0.646	NA	75.964	-104.036
79	1	4	4	54.83	16.065	0	2	0	0.984	0.777	NA	0.234	NA	26.565	-49.399
80	1	4	5	54.778	16.797	0	2	0	1.718	1.478	NA	0.733	NA	94.086	67.521
81	1	4	6	55.196	17.058	0	2	0	2.211	1.835	NA	0.493	NA	32.005	-62.08
82	1	4	7	55.196	17.319	0	2	0	2.472	2.082	NA	0.261	NA	90	57.995
83	1	5	1	55.301	17.423	0	2	0	0	0	NA	NA	NA	NA	NA
84	1	5	2	55.457	17.528	0	2	0	0.188	0.188	NA	0.188	NA	33.69	NA
85	1	5	3	55.248	17.632	0	2	0	0.422	0.215	NA	0.234	NA	153.435	119.745
86	1	5	4	55.196	17.632	0	2	0	0.474	0.234	NA	0.052	NA	180	26.565
87	1	5	5	55.196	17.737	0	2	0	0.579	0.33	NA	0.104	NA	90	-90
88	1	5	6	55.144	17.737	0	2	0	0.631	0.35	NA	0.052	NA	180	90
89	1	5	7	54.935	17.737	0	2	0	0.84	0.482	NA	0.209	NA	180	0
90	1	5	8	55.039	17.737	0	2	11	0.944	0.408	NA	0.104	NA	0	-180
91	1	5	9	54.935	17.319	0	2	0	1.375	0.38	NA	0.431	NA	-104.036	-104.036
92	1	5	10	54.987	17.319	0	2	11	1.428	0.33	NA	0.052	NA	0	104.036
93	1	5	11	55.144	17.267	0	2	0	1.593	0.222	NA	0.165	NA	-18.435	-18.435
94	1	5	12	54.203	17.632	0	2	0	2.602	1.117	NA	1.009	NA	158.749	177.184
95	1	5	13	54.151	17.371	0	2	0	2.868	1.151	NA	0.266	NA	-101.31	99.941
96	2	1	1	56.345	18.625	0	2	0	0	0	NA	NA	NA	NA	NA
97	2	1	2	56.293	18.625	0	2	0	0.052	0.052	NA	0.052	NA	180	NA
98	2	1	3	56.345	18.782	0	2	0	0.217	0.157	NA	0.165	NA	71.565	-108.435
99	2	1	4	56.345	18.939	0	2	0	0.374	0.313	NA	0.157	NA	90	18.435
100	2	1	5	56.136	18.991	0	2	0	0.59	0.421	NA	0.215	NA	165.964	75.964
101	2	1	6	55.666	18.834	0	2	11	1.085	0.711	NA	0.496	NA	-161.565	32.471
102	2	1	7	56.136	18.886	0	2	0	1.558	0.335	NA	0.473	NA	6.34	167.905
103	2	1	8	56.136	18.886	0	2	0	1.558	0.335	NA	0	NA	0	-6.34
104	2	1	9	56.032	18.625	0	2	0	1.84	0.313	NA	0.281	NA	-111.801	-111.801
105	2	1	10	56.032	18.625	0	2	0	1.84	0.313	NA	0	NA	0	111.801
106	2	1	11	55.875	18.521	0	2	0	2.028	0.482	NA	0.188	NA	-146.31	-146.31
107	2	1	12	55.718	18.416	0	2	0	2.216	0.661	NA	0.188	NA	-146.31	0
108	2	1	13	56.136	18.364	0	2	0	2.638	0.335	NA	0.421	NA	-7.125	139.185
109	2	1	14	55.614	18.364	0	2	0	3.16	0.777	NA	0.522	NA	180	-172.875
110	2	1	15	55.614	18.364	0	2	0	3.16	0.777	NA	0	NA	0	-180
111	2	1	16	55.771	18.259	0	2	0	3.348	0.681	NA	0.188	NA	-33.69	-33.69
112	2	1	17	55.457	18.573	0	2	0	3.792	0.89	NA	0.443	NA	135	168.69
113	2	1	18	55.614	18.73	0	2	0	4.013	0.739	NA	0.222	NA	45	-90
114	2	1	19	55.666	18.468	0	2	0	4.28	0.697	NA	0.266	NA	-78.69	-123.69
115	2	1	20	55.457	18.991	0	2	11	4.842	0.96	NA	0.563	NA	111.801	-169.509
116	2	1	21	55.457	18.573	0	2	0	5.26	0.89	NA	0.418	NA	-90	158.199
117	2	1	22	55.457	18.155	0	2	0	5.678	1.005	NA	0.418	NA	-90	0
118	2	1	23	55.353	18.521	0	2	0	6.059	0.998	NA	0.38	NA	105.945	-164.055
119	2	1	24	55.248	18.468	0	2	0	6.176	1.108	NA	0.117	NA	-153.435	100.62
