Nr	TID	PID	x [micron]	y [micron]	t [sec]	c [idx]	I [val]	Len [micron]	D2S [micron]	D2R [micron]	D2P [micron]	v [micron/sec]	? [deg]	?? [deg]
1	1	1	23.634	69.313	0	2	0	0	0	NA	NA	NA	NA	NA
2	1	2	23.802	69.481	0	2	0	0.237	0.237	NA	0.237	NA	45	NA
3	1	3	23.802	69.648	0	2	0	0.404	0.374	NA	0.167	NA	90	45
4	1	4	23.634	70.15	0	2	0	0.933	0.837	NA	0.529	NA	108.435	18.435
5	1	5	23.467	70.485	0	2	11	1.307	1.183	NA	0.374	NA	116.565	8.13
6	1	6	23.467	70.485	0	2	23	1.307	1.183	NA	0	NA	0	-116.565
7	1	7	23.132	70.987	0	2	0	1.911	1.747	NA	0.603	NA	123.69	123.69
8	1	8	23.132	70.819	0	2	0	2.078	1.587	NA	0.167	NA	-90	146.31
9	1	9	23.634	70.485	0	2	0	2.681	1.171	NA	0.603	NA	-33.69	56.31
10	1	10	23.969	69.815	0	2	0	3.429	0.603	NA	0.748	NA	-63.435	-29.745
11	1	11	24.806	69.648	0	2	0	4.283	1.218	NA	0.853	NA	-11.31	52.125
12	1	12	24.471	69.313	0	2	0	4.756	0.837	NA	0.473	NA	-135	-123.69
13	1	13	24.471	69.313	0	2	0	4.756	0.837	NA	0	NA	0	135
14	1	14	23.3	69.313	0	2	11	5.927	0.335	NA	1.171	NA	180	180
15	1	15	24.136	69.313	0	2	23	6.764	0.502	NA	0.837	NA	0	-180
16	1	16	23.802	69.481	0	2	0	7.138	0.237	NA	0.374	NA	153.435	153.435
17	1	17	24.471	69.648	0	2	0	7.828	0.901	NA	0.69	NA	14.036	-139.399
18	1	18	23.802	69.648	0	2	0	8.497	0.374	NA	0.669	NA	180	165.964
19	1	19	23.802	69.648	0	2	11	8.497	0.374	NA	0	NA	0	-180
20	1	20	24.304	69.313	0	2	0	9.1	0.669	NA	0.603	NA	-33.69	-33.69
21	1	21	23.802	69.146	0	2	0	9.629	0.237	NA	0.529	NA	-161.565	-127.875
22	1	22	23.802	69.815	0	2	0	10.299	0.529	NA	0.669	NA	90	-108.435
23	1	23	24.304	69.983	0	2	0	10.828	0.947	NA	0.529	NA	18.435	-71.565
24	1	24	24.471	69.481	0	2	0	11.357	0.853	NA	0.529	NA	-71.565	-90
25	1	25	24.471	69.313	0	2	11	11.524	0.837	NA	0.167	NA	-90	-18.435
26	1	26	24.973	69.983	0	2	11	12.361	1.497	NA	0.837	NA	53.13	143.13
27	1	27	23.969	69.983	0	2	23	13.365	0.748	NA	1.004	NA	180	126.87
28	1	28	23.969	69.983	0	2	0	13.365	0.748	NA	0	NA	0	-180
29	1	29	23.132	70.317	0	2	0	14.266	1.122	NA	0.901	NA	158.199	158.199
30	1	30	23.3	70.317	0	2	0	14.433	1.058	NA	0.167	NA	0	-158.199
31	1	31	23.802	70.317	0	2	0	14.935	1.018	NA	0.502	NA	0	0
32	1	32	23.634	70.317	0	2	0	15.103	1.004	NA	0.167	NA	180	180
33	1	33	23.969	70.987	0	2	0	15.851	1.706	NA	0.748	NA	63.435	-116.565
34	1	34	23.467	71.321	0	2	0	16.454	2.015	NA	0.603	NA	146.31	82.875
35	1	35	23.634	71.321	0	2	11	16.621	2.008	NA	0.167	NA	0	-146.31
36	1	36	23.634	71.321	0	2	0	16.621	2.008	NA	0	NA	0	0
37	1	37	23.3	71.154	0	2	0	16.996	1.871	NA	0.374	NA	-153.435	-153.435
38	1	38	22.798	71.154	0	2	0	17.498	2.022	NA	0.502	NA	180	-26.565
39	1	39	23.3	71.321	0	2	0	18.027	2.036	NA	0.529	NA	18.435	-161.565
40	1	40	22.63	71.489	0	2	0	18.717	2.396	NA	0.69	NA	165.964	147.529
41	1	41	22.296	71.991	0	2	0	19.32	2.993	NA	0.603	NA	123.69	-42.274
42	1	42	22.128	71.823	0	2	0	19.556	2.927	NA	0.237	NA	-135	101.31
43	1	43	21.125	71.823	0	2	11	20.56	3.549	NA	1.004	NA	180	-45
44	1	44	20.79	71.823	0	2	0	20.895	3.793	NA	0.335	NA	180	0
45	1	45	20.957	71.489	0	2	11	21.269	3.449	NA	0.374	NA	-63.435	116.565
46	1	46	20.623	71.656	0	2	0	21.643	3.816	NA	0.374	NA	153.435	-143.13
47	1	47	20.455	71.823	0	2	0	21.88	4.05	NA	0.237	NA	135	-18.435
48	1	48	20.957	71.823	0	2	0	22.382	3.67	NA	0.502	NA	0	-135
49	3	43	14.599	71.991	0	2	0	0	0	NA	NA	NA	NA	NA
50	3	44	14.599	71.991	0	2	0	0	0	NA	0	NA	0	NA
51	3	45	14.934	71.991	0	2	0	0.335	0.335	NA	0.335	NA	0	0
52	3	46	14.766	72.66	0	2	0	1.025	0.69	NA	0.69	NA	104.036	104.036
53	3	47	14.766	72.66	0	2	0	1.025	0.69	NA	0	NA	0	-104.036
54	3	48	14.432	72.66	0	2	0	1.359	0.69	NA	0.335	NA	180	180
55	3	1	14.432	72.66	0	2	0	1.359	0.69	NA	0	NA	0	-180
56	3	2	14.264	72.827	0	2	0	1.596	0.901	NA	0.237	NA	135	135
57	3	3	14.264	72.827	0	2	0	1.596	0.901	NA	0	NA	0	-135
58	3	4	14.599	72.827	0	2	11	1.93	0.837	NA	0.335	NA	0	0
59	3	5	14.599	72.827	0	2	0	1.93	0.837	NA	0	NA	0	0
60	3	6	14.599	72.827	0	2	0	1.93	0.837	NA	0	NA	0	0
61	3	7	14.264	72.827	0	2	0	2.265	0.901	NA	0.335	NA	180	180
62	3	8	14.264	72.827	0	2	0	2.265	0.901	NA	0	NA	0	-180
63	3	9	14.097	72.827	0	2	11	2.432	0.976	NA	0.167	NA	180	180
64	3	10	14.097	72.827	0	2	0	2.432	0.976	NA	0	NA	0	-180
65	3	11	13.595	72.995	0	2	0	2.962	1.42	NA	0.529	NA	161.565	161.565
66	3	12	13.93	73.162	0	2	11	3.336	1.349	NA	0.374	NA	26.565	-135
67	3	13	14.097	73.329	0	2	0	3.572	1.43	NA	0.237	NA	45	18.435
68	3	14	14.097	73.497	0	2	0	3.74	1.587	NA	0.167	NA	90	45
69	3	15	13.595	73.664	0	2	0	4.269	1.951	NA	0.529	NA	161.565	71.565
70	3	16	13.762	73.497	0	2	11	4.505	1.723	NA	0.237	NA	-45	153.435
71	3	17	13.595	73.329	0	2	11	4.742	1.673	NA	0.237	NA	-135	-90
72	3	18	13.093	73.329	0	2	11	5.244	2.015	NA	0.502	NA	180	-45
73	3	19	13.26	73.162	0	2	0	5.481	1.779	NA	0.237	NA	-45	135
74	3	20	13.762	72.995	0	2	0	6.01	1.307	NA	0.529	NA	-18.435	26.565
75	3	21	13.595	72.995	0	2	0	6.177	1.42	NA	0.167	NA	180	-161.565
76	3	22	13.93	72.995	0	2	0	6.512	1.207	NA	0.335	NA	0	-180
77	3	23	13.93	72.995	0	2	0	6.512	1.207	NA	0	NA	0	0
78	3	24	13.93	72.995	0	2	11	6.512	1.207	NA	0	NA	0	0
79	3	25	13.595	73.329	0	2	11	6.985	1.673	NA	0.473	NA	135	135
80	3	26	13.595	73.497	0	2	0	7.152	1.81	NA	0.167	NA	90	-45
81	3	27	13.595	73.497	0	2	11	7.152	1.81	NA	0	NA	0	-90
82	3	28	13.093	72.995	0	2	0	7.862	1.81	NA	0.71	NA	-135	-135
83	3	29	13.26	73.162	0	2	0	8.099	1.779	NA	0.237	NA	45	-180
84	3	30	13.762	73.162	0	2	11	8.601	1.439	NA	0.502	NA	0	-45
85	3	31	13.26	73.329	0	2	0	9.13	1.893	NA	0.529	NA	161.565	161.565
86	3	32	13.595	73.329	0	2	0	9.465	1.673	NA	0.335	NA	0	-161.565
87	3	33	13.762	72.995	0	2	0	9.839	1.307	NA	0.374	NA	-63.435	-63.435
88	3	34	13.595	72.995	0	2	23	10.006	1.42	NA	0.167	NA	180	-116.565
89	3	35	14.766	71.991	0	2	0	11.549	0.167	NA	1.543	NA	-40.601	139.399
90	3	36	13.762	72.158	0	2	11	12.566	0.853	NA	1.018	NA	170.538	-148.861
91	3	37	13.762	72.158	0	2	0	12.566	0.853	NA	0	NA	0	-170.538
92	3	38	14.432	72.995	0	2	0	13.638	1.018	NA	1.071	NA	51.34	51.34
93	3	39	13.762	72.493	0	2	23	14.474	0.976	NA	0.837	NA	-143.13	165.53
94	3	40	13.93	72.158	0	2	0	14.849	0.69	NA	0.374	NA	-63.435	79.695
95	3	41	13.762	72.827	0	2	0	15.538	1.183	NA	0.69	NA	104.036	167.471
96	3	42	13.595	72.325	0	2	0	16.068	1.058	NA	0.529	NA	-108.435	147.529
97	4	1	17.611	70.15	0	2	11	0	0	NA	NA	NA	NA	NA
98	4	2	18.615	70.485	0	2	11	1.058	1.058	NA	1.058	NA	18.435	NA
99	4	3	19.619	70.317	0	2	0	2.076	2.015	NA	1.018	NA	-9.462	-27.897
100	4	4	19.284	70.317	0	2	11	2.411	1.682	NA	0.335	NA	180	-170.538
101	4	5	19.117	69.815	0	2	0	2.94	1.543	NA	0.529	NA	-108.435	71.565
102	4	6	18.615	70.652	0	2	23	3.915	1.122	NA	0.976	NA	120.964	-130.601
103	4	7	18.447	69.815	0	2	0	4.769	0.901	NA	0.853	NA	-101.31	137.726
104	4	8	17.945	69.146	0	2	34	5.605	1.058	NA	0.837	NA	-126.87	-25.56
105	4	9	18.615	69.313	0	2	11	6.295	1.307	NA	0.69	NA	14.036	140.906
106	4	10	18.447	69.648	0	2	0	6.669	0.976	NA	0.374	NA	116.565	102.529
107	4	11	18.28	69.146	0	2	11	7.198	1.207	NA	0.529	NA	-108.435	135
108	4	12	18.615	69.146	0	2	0	7.533	1.42	NA	0.335	NA	0	108.435
109	4	13	18.615	69.313	0	2	11	7.7	1.307	NA	0.167	NA	90	90
110	4	14	18.615	69.481	0	2	0	7.868	1.207	NA	0.167	NA	90	0
111	4	15	18.615	70.15	0	2	23	8.537	1.004	NA	0.669	NA	90	0
112	4	16	18.447	69.481	0	2	11	9.227	1.071	NA	0.69	NA	-104.036	165.964
113	4	17	18.949	69.481	0	2	0	9.729	1.497	NA	0.502	NA	0	104.036
114	4	18	18.447	69.481	0	2	11	10.231	1.071	NA	0.502	NA	180	180
115	4	19	18.113	69.146	0	2	11	10.704	1.122	NA	0.473	NA	-135	45
116	4	20	18.113	69.146	0	2	11	10.704	1.122	NA	0	NA	0	135
117	4	21	18.113	69.313	0	2	0	10.871	0.976	NA	0.167	NA	90	90
