Nr	TID	PID	x [micron]	y [micron]	t [sec]	c [idx]	I [val]	Len [micron]	D2S [micron]	D2R [micron]	D2P [micron]	v [micron/sec]	? [deg]	?? [deg]
1	1	1	39.458	36.453	0	2	25	0	0	NA	NA	NA	NA	NA
2	1	2	39.458	36.453	0	2	0	0	0	NA	0	NA	0	NA
3	1	3	39.458	36.453	0	2	16	0	0	NA	0	NA	0	0
4	1	4	39.458	36.453	0	2	8	0	0	NA	0	NA	0	0
5	1	5	39.458	36.453	0	2	8	0	0	NA	0	NA	0	0
6	1	6	39.458	36.453	0	2	8	0	0	NA	0	NA	0	0
7	1	7	39.458	36.453	0	2	0	0	0	NA	0	NA	0	0
8	1	8	39.458	36.453	0	2	8	0	0	NA	0	NA	0	0
9	1	9	39.276	36.635	0	2	8	0.258	0.258	NA	0.258	NA	135	135
10	1	10	39.276	36.635	0	2	0	0.258	0.258	NA	0	NA	0	-135
11	1	11	38.912	36.635	0	2	8	0.622	0.576	NA	0.364	NA	180	180
12	1	12	38.821	36.726	0	2	8	0.751	0.694	NA	0.129	NA	135	-45
13	1	13	39.458	36.544	0	2	0	1.414	0.091	NA	0.663	NA	-15.945	-150.945
14	1	14	39.003	36.27	0	2	0	1.945	0.49	NA	0.531	NA	-149.036	-133.091
15	1	15	39.64	36.362	0	2	8	2.589	0.204	NA	0.644	NA	8.13	157.166
16	1	16	39.276	36.362	0	2	0	2.953	0.204	NA	0.364	NA	180	171.87
17	1	17	39.367	36.362	0	2	0	3.044	0.129	NA	0.091	NA	0	-180
18	1	18	38.729	36.544	0	2	0	3.707	0.734	NA	0.663	NA	164.055	164.055
19	1	19	39.185	36.544	0	2	8	4.163	0.288	NA	0.455	NA	0	-164.055
20	1	20	39.094	36.27	0	2	0	4.451	0.407	NA	0.288	NA	-108.435	-108.435
21	1	21	39.094	36.179	0	2	8	4.542	0.455	NA	0.091	NA	-90	18.435
22	1	22	38.912	36.179	0	2	0	4.724	0.611	NA	0.182	NA	180	-90
23	1	23	38.821	36.27	0	2	25	4.853	0.663	NA	0.129	NA	135	-45
24	1	24	38.638	36.453	0	2	8	5.11	0.82	NA	0.258	NA	135	0
25	1	25	38.638	36.453	0	2	8	5.11	0.82	NA	0	NA	0	-135
26	1	26	38.638	36.453	0	2	0	5.11	0.82	NA	0	NA	0	0
27	1	27	38.638	36.453	0	2	8	5.11	0.82	NA	0	NA	0	0
28	1	28	38.638	36.726	0	2	16	5.383	0.864	NA	0.273	NA	90	90
29	1	29	38.638	36.726	0	2	8	5.383	0.864	NA	0	NA	0	-90
30	1	30	38.456	36.908	0	2	0	5.641	1.1	NA	0.258	NA	135	135
31	1	31	38.274	36.544	0	2	8	6.048	1.187	NA	0.407	NA	-116.565	108.435
32	1	32	38.365	36.726	0	2	0	6.252	1.127	NA	0.204	NA	63.435	-180
33	1	33	38.365	36.817	0	2	8	6.343	1.152	NA	0.091	NA	90	26.565
34	1	34	38.365	36.817	0	2	8	6.343	1.152	NA	0	NA	0	-90
35	1	35	38.365	36.817	0	2	25	6.343	1.152	NA	0	NA	0	0
36	1	36	38.365	36.817	0	2	8	6.343	1.152	NA	0	NA	0	0
37	1	37	38.365	36.817	0	2	16	6.343	1.152	NA	0	NA	0	0
38	1	38	38.365	36.908	0	2	8	6.434	1.184	NA	0.091	NA	90	90
39	1	39	38.365	36.908	0	2	0	6.434	1.184	NA	0	NA	0	-90
40	1	40	38.365	36.908	0	2	16	6.434	1.184	NA	0	NA	0	0
41	1	41	38.365	37.09	0	2	16	6.616	1.265	NA	0.182	NA	90	90
42	1	42	38.547	37.09	0	2	8	6.798	1.112	NA	0.182	NA	0	-90
43	1	43	38.456	37.09	0	2	16	6.889	1.187	NA	0.091	NA	180	180
44	1	44	38.456	37.09	0	2	25	6.889	1.187	NA	0	NA	0	-180
45	1	45	38.456	37.09	0	2	25	6.889	1.187	NA	0	NA	0	0
46	1	46	38.456	37.09	0	2	16	6.889	1.187	NA	0	NA	0	0
47	1	47	38.729	37.09	0	2	0	7.163	0.968	NA	0.273	NA	0	0
48	2	1	31.99	27.163	0	2	8	0	0	NA	NA	NA	NA	NA
49	2	2	32.627	27.163	0	2	0	0.638	0.638	NA	0.638	NA	0	NA
50	2	3	32.536	27.163	0	2	25	0.729	0.546	NA	0.091	NA	180	180
51	2	4	34.358	27.892	0	2	16	2.69	2.477	NA	1.962	NA	21.801	-158.199
52	2	5	34.54	27.709	0	2	25	2.948	2.608	NA	0.258	NA	-45	-66.801
53	2	6	34.722	27.983	0	2	50	3.276	2.853	NA	0.328	NA	56.31	101.31
54	2	7	31.99	27.254	0	2	0	6.104	0.091	NA	2.828	NA	-165.069	138.621
55	2	8	29.349	26.89	0	2	0	8.77	2.655	NA	2.666	NA	-172.147	-7.078
56	2	9	27.072	26.434	0	2	0	11.092	4.972	NA	2.322	NA	-168.69	3.457
57	2	10	26.161	26.343	0	2	8	12.007	5.886	NA	0.915	NA	-174.289	-5.599
58	2	11	27.709	26.343	0	2	0	13.556	4.358	NA	1.548	NA	0	174.289
59	2	12	27.254	26.161	0	2	0	14.046	4.841	NA	0.49	NA	-158.199	-158.199
60	2	13	27.983	26.252	0	2	0	14.78	4.109	NA	0.734	NA	7.125	165.324
61	2	14	27.801	26.525	0	2	0	15.109	4.238	NA	0.328	NA	123.69	116.565
62	2	15	28.165	26.525	0	2	0	15.473	3.878	NA	0.364	NA	0	-123.69
63	2	16	26.617	26.434	0	2	0	17.024	5.423	NA	1.551	NA	-176.634	-176.634
64	2	17	27.892	26.252	0	2	0	18.312	4.198	NA	1.288	NA	-8.13	168.503
65	2	18	28.62	26.252	0	2	0	19.041	3.491	NA	0.729	NA	0	8.13
66	2	19	28.984	26.617	0	2	0	19.556	3.055	NA	0.515	NA	45	45
67	2	20	28.802	26.525	0	2	0	19.76	3.251	NA	0.204	NA	-153.435	161.565
68	2	21	29.258	26.343	0	2	0	20.25	2.853	NA	0.49	NA	-21.801	131.634
69	2	22	28.984	26.434	0	2	0	20.538	3.093	NA	0.288	NA	161.565	-176.634
70	2	23	29.713	26.708	0	2	0	21.316	2.322	NA	0.778	NA	20.556	-141.009
71	2	24	29.076	26.708	0	2	16	21.954	2.95	NA	0.638	NA	180	159.444
72	2	25	26.981	26.708	0	2	33	24.048	5.03	NA	2.095	NA	180	0
73	2	26	25.615	26.343	0	2	0	25.462	6.428	NA	1.414	NA	-165.069	14.931
74	2	27	25.888	26.343	0	2	0	25.735	6.157	NA	0.273	NA	0	165.069
75	2	28	27.254	26.343	0	2	0	27.102	4.806	NA	1.366	NA	0	0
76	2	29	27.072	26.343	0	2	0	27.284	4.986	NA	0.182	NA	180	180
77	2	30	26.89	26.252	0	2	0	27.487	5.181	NA	0.204	NA	-153.435	26.565
78	2	31	25.706	26.252	0	2	0	28.671	6.35	NA	1.184	NA	180	-26.565
79	2	32	23.52	26.161	0	2	8	30.859	8.529	NA	2.188	NA	-177.614	2.386
80	2	33	20.97	25.979	0	2	0	33.416	11.083	NA	2.557	NA	-175.914	1.7
81	3	1	23.611	26.434	0	2	8	0	0	NA	NA	NA	NA	NA
82	3	2	25.25	26.252	0	2	0	1.649	1.649	NA	1.649	NA	-6.34	NA
83	3	3	25.979	26.252	0	2	0	2.378	2.375	NA	0.729	NA	0	6.34
84	3	4	24.704	26.525	0	2	25	3.682	1.097	NA	1.304	NA	167.905	167.905
85	3	5	24.34	26.525	0	2	33	4.046	0.734	NA	0.364	NA	180	12.095
86	3	6	24.795	26.434	0	2	8	4.511	1.184	NA	0.464	NA	-11.31	168.69
87	3	7	24.795	26.252	0	2	0	4.693	1.198	NA	0.182	NA	-90	-78.69
88	3	8	25.433	26.343	0	2	0	5.337	1.824	NA	0.644	NA	8.13	98.13
89	3	9	25.797	26.343	0	2	0	5.701	2.188	NA	0.364	NA	0	-8.13
90	3	10	26.161	26.343	0	2	0	6.065	2.552	NA	0.364	NA	0	0
91	3	11	24.522	26.343	0	2	0	7.705	0.915	NA	1.639	NA	180	180
92	3	12	22.245	26.799	0	2	0	10.027	1.414	NA	2.322	NA	168.69	-11.31
93	3	13	21.516	27.345	0	2	108	10.937	2.284	NA	0.911	NA	143.13	-25.56
94	3	14	21.425	27.345	0	2	166	11.029	2.368	NA	0.091	NA	180	36.87
95	3	15	21.699	27.527	0	2	116	11.357	2.203	NA	0.328	NA	33.69	-146.31
96	4	1	36.999	25.159	0	2	0	0	0	NA	NA	NA	NA	NA
97	4	2	37.272	25.068	0	2	0	0.288	0.288	NA	0.288	NA	-18.435	NA
98	4	3	38.456	24.431	0	2	0	1.633	1.629	NA	1.345	NA	-28.301	-9.866
99	4	4	39.549	24.249	0	2	0	2.741	2.708	NA	1.108	NA	-9.462	18.838
100	4	5	40.551	24.34	0	2	0	3.747	3.645	NA	1.006	NA	5.194	14.657
101	4	6	41.826	24.977	0	2	0	5.172	4.83	NA	1.426	NA	26.565	21.371
102	4	7	42.555	24.977	0	2	0	5.901	5.559	NA	0.729	NA	0	-26.565
103	4	8	42.555	24.977	0	2	0	5.901	5.559	NA	0	NA	0	0
104	4	9	42.008	24.886	0	2	0	6.455	5.017	NA	0.554	NA	-170.538	-170.538
105	4	10	40.187	24.249	0	2	0	8.385	3.315	NA	1.93	NA	-160.71	9.828
106	4	11	39.276	23.975	0	2	0	9.335	2.566	NA	0.951	NA	-163.301	-2.591
107	4	12	37.181	23.611	0	2	0	11.462	1.559	NA	2.126	NA	-170.134	-6.833
108	4	13	35.451	23.793	0	2	0	13.202	2.065	NA	1.74	NA	173.991	-15.875
109	4	14	36.179	23.793	0	2	8	13.93	1.593	NA	0.729	NA	0	-173.991
110	4	15	36.088	24.066	0	2	16	14.218	1.423	NA	0.288	NA	108.435	108.435
111	4	16	35.906	23.884	0	2	0	14.476	1.679	NA	0.258	NA	-135	116.565
112	4	17	36.544	23.884	0	2	16	15.113	1.354	NA	0.638	NA	0	135
113	4	18	35.906	24.066	0	2	0	15.776	1.546	NA	0.663	NA	164.055	164.055
114	4	19	36.179	23.884	0	2	0	16.105	1.516	NA	0.328	NA	-33.69	162.255
115	4	20	35.724	23.793	0	2	0	16.569	1.869	NA	0.464	NA	-168.69	-135
116	4	21	36.27	23.611	0	2	0	17.145	1.711	NA	0.576	NA	-18.435	150.255
117	4	22	36.544	23.702	0	2	16	17.433	1.527	NA	0.288	NA	18.435	36.87
118	4	23	36.362	23.884	0	2	0	17.691	1.426	NA	0.258	NA	135	116.565
119	4	24	36.635	23.884	0	2	0	17.964	1.326	NA	0.273	NA	0	-135
120	4	25	36.453	23.975	0	2	0	18.168	1.304	NA	0.204	NA	153.435	153.435
121	4	26	37.09	23.975	0	2	0	18.805	1.187	NA	0.638	NA	0	-153.435
122	4	27	36.635	23.884	0	2	33	19.269	1.326	NA	0.464	NA	-168.69	-168.69
123	4	28	36.362	23.611	0	2	0	19.656	1.674	NA	0.386	NA	-135	33.69
124	4	29	35.906	23.702	0	2	0	20.12	1.821	NA	0.464	NA	168.69	-56.31
125	4	30	36.544	23.793	0	2	0	20.764	1.44	NA	0.644	NA	8.13	-160.56
126	4	31	35.815	23.884	0	2	0	21.499	1.74	NA	0.734	NA	172.875	164.745
127	4	32	35.724	23.793	0	2	0	21.627	1.869	NA	0.129	NA	-135	52.125
128	4	33	35.997	23.793	0	2	0	21.901	1.694	NA	0.273	NA	0	135
129	4	34	36.27	23.793	0	2	0	22.174	1.548	NA	0.273	NA	0	0
130	5	1	20.059	35.269	0	2	0	0	0	NA	NA	NA	NA	NA
131	5	2	19.968	35.36	0	2	0	0.129	0.129	NA	0.129	NA	135	NA
132	5	3	20.423	35.451	0	2	0	0.593	0.407	NA	0.464	NA	11.31	-123.69
133	5	4	20.15	35.269	0	2	0	0.922	0.091	NA	0.328	NA	-146.31	-157.62
134	5	5	20.423	35.178	0	2	0	1.21	0.376	NA	0.288	NA	-18.435	127.875
135	5	6	20.332	35.178	0	2	0	1.301	0.288	NA	0.091	NA	180	-161.565
136	5	7	19.695	34.813	0	2	8	2.035	0.583	NA	0.734	NA	-150.255	29.745
137	5	8	20.059	34.813	0	2	8	2.399	0.455	NA	0.364	NA	0	150.255
138	5	9	20.059	34.995	0	2	0	2.581	0.273	NA	0.182	NA	90	90
139	5	10	19.877	35.086	0	2	0	2.785	0.258	NA	0.204	NA	153.435	63.435
140	5	11	19.877	34.995	0	2	8	2.876	0.328	NA	0.091	NA	-90	116.565
141	5	12	19.148	34.813	0	2	16	3.627	1.018	NA	0.751	NA	-165.964	-75.964
142	5	13	19.239	34.904	0	2	0	3.756	0.897	NA	0.129	NA	45	-149.036
143	5	14	19.239	34.904	0	2	0	3.756	0.897	NA	0	NA	0	-45
144	5	15	19.422	34.904	0	2	0	3.938	0.734	NA	0.182	NA	0	0
145	5	16	19.148	34.995	0	2	8	4.226	0.951	NA	0.288	NA	161.565	161.565
146	5	17	19.331	34.995	0	2	0	4.408	0.778	NA	0.182	NA	0	-161.565
147	5	18	19.422	34.995	0	2	8	4.499	0.694	NA	0.091	NA	0	0
148	5	19	19.786	35.086	0	2	0	4.875	0.328	NA	0.376	NA	14.036	14.036
149	5	20	19.604	35.086	0	2	0	5.057	0.49	NA	0.182	NA	180	165.964
150	5	21	19.422	35.086	0	2	0	5.239	0.663	NA	0.182	NA	180	0
151	5	22	19.331	34.995	0	2	16	5.368	0.778	NA	0.129	NA	-135	45
152	5	23	19.331	34.995	0	2	0	5.368	0.778	NA	0	NA	0	135
153	5	24	19.148	34.904	0	2	0	5.572	0.981	NA	0.204	NA	-153.435	-153.435
154	5	25	19.513	34.904	0	2	0	5.936	0.657	NA	0.364	NA	0	153.435
155	5	26	19.513	34.904	0	2	8	5.936	0.657	NA	0	NA	0	0
156	5	27	19.604	34.995	0	2	16	6.065	0.531	NA	0.129	NA	45	45
157	5	28	19.786	35.086	0	2	0	6.268	0.328	NA	0.204	NA	26.565	-18.435
158	5	29	19.331	35.086	0	2	0	6.724	0.751	NA	0.455	NA	180	153.435
159	5	30	19.331	35.086	0	2	0	6.724	0.751	NA	0	NA	0	-180
160	5	31	19.331	35.086	0	2	0	6.724	0.751	NA	0	NA	0	0
161	5	32	19.331	35.178	0	2	0	6.815	0.734	NA	0.091	NA	90	90
162	5	33	19.331	35.36	0	2	0	6.997	0.734	NA	0.182	NA	90	0
163	5	34	19.148	35.269	0	2	0	7.201	0.911	NA	0.204	NA	-153.435	116.565
164	5	35	19.148	35.269	0	2	0	7.201	0.911	NA	0	NA	0	153.435
165	5	36	19.057	35.269	0	2	0	7.292	1.002	NA	0.091	NA	180	180
166	5	37	19.057	35.269	0	2	0	7.292	1.002	NA	0	NA	0	-180
167	5	38	19.239	35.178	0	2	0	7.495	0.825	NA	0.204	NA	-26.565	-26.565
168	5	39	19.239	35.178	0	2	0	7.495	0.825	NA	0	NA	0	26.565
169	5	40	19.239	35.178	0	2	0	7.495	0.825	NA	0	NA	0	0
170	5	41	19.422	35.178	0	2	8	7.677	0.644	NA	0.182	NA	0	0
171	5	42	19.422	35.178	0	2	0	7.677	0.644	NA	0	NA	0	0
172	5	43	19.513	35.178	0	2	8	7.768	0.554	NA	0.091	NA	0	0
173	5	44	19.786	34.995	0	2	0	8.097	0.386	NA	0.328	NA	-33.69	-33.69
174	5	45	19.513	35.451	0	2	0	8.628	0.576	NA	0.531	NA	120.964	154.654
175	5	46	19.513	35.451	0	2	0	8.628	0.576	NA	0	NA	0	-120.964
176	5	47	19.786	35.451	0	2	0	8.901	0.328	NA	0.273	NA	0	0
177	6	1	25.433	35.451	0	2	0	0	0	NA	NA	NA	NA	NA
178	6	2	25.524	35.451	0	2	25	0.091	0.091	NA	0.091	NA	0	NA
179	6	3	25.25	35.451	0	2	0	0.364	0.182	NA	0.273	NA	180	180
180	6	4	25.25	35.451	0	2	16	0.364	0.182	NA	0	NA	0	-180
181	6	5	25.25	35.451	0	2	33	0.364	0.182	NA	0	NA	0	0
182	6	6	25.615	35.542	0	2	33	0.74	0.204	NA	0.376	NA	14.036	14.036
183	6	7	25.888	35.451	0	2	8	1.028	0.455	NA	0.288	NA	-18.435	-32.471
184	6	8	25.888	35.269	0	2	16	1.21	0.49	NA	0.182	NA	-90	-71.565
185	6	9	25.888	35.269	0	2	8	1.21	0.49	NA	0	NA	0	90
186	6	10	26.161	35.178	0	2	16	1.498	0.778	NA	0.288	NA	-18.435	-18.435
187	6	11	25.979	35.178	0	2	25	1.68	0.611	NA	0.182	NA	180	-161.565
188	6	12	25.979	34.995	0	2	50	1.862	0.711	NA	0.182	NA	-90	90
189	6	13	26.525	34.631	0	2	8	2.519	1.366	NA	0.657	NA	-33.69	56.31
190	6	14	26.343	34.813	0	2	16	2.777	1.112	NA	0.258	NA	135	168.69
191	6	15	26.434	34.813	0	2	16	2.868	1.187	NA	0.091	NA	0	-135
192	6	16	26.343	34.813	0	2	33	2.959	1.112	NA	0.091	NA	180	180
193	6	17	26.161	34.995	0	2	58	3.216	0.859	NA	0.258	NA	135	-45
194	6	18	26.07	34.995	0	2	58	3.307	0.783	NA	0.091	NA	180	45
195	6	19	25.706	35.086	0	2	41	3.683	0.455	NA	0.376	NA	165.964	-14.036
196	6	20	25.524	35.086	0	2	33	3.865	0.376	NA	0.182	NA	180	14.036
197	6	21	25.615	35.086	0	2	100	3.956	0.407	NA	0.091	NA	0	-180
198	6	22	25.888	35.086	0	2	41	4.229	0.583	NA	0.273	NA	0	0
199	7	1	25.615	30.897	0	2	0	0	0	NA	NA	NA	NA	NA
200	7	2	25.706	30.897	0	2	33	0.091	0.091	NA	0.091	NA	0	NA
201	7	3	25.524	30.897	0	2	0	0.273	0.091	NA	0.182	NA	180	180
202	7	4	25.615	30.897	0	2	25	0.364	0	NA	0.091	NA	0	-180
203	7	5	25.25	30.897	0	2	8	0.729	0.364	NA	0.364	NA	180	180
204	7	6	25.25	30.897	0	2	16	0.729	0.364	NA	0	NA	0	-180
205	7	7	24.613	30.26	0	2	8	1.63	1.187	NA	0.902	NA	-135	-135
206	7	8	24.977	30.442	0	2	25	2.037	0.783	NA	0.407	NA	26.565	161.565
207	7	9	25.068	30.806	0	2	0	2.413	0.554	NA	0.376	NA	75.964	49.399
208	7	10	24.886	30.806	0	2	16	2.595	0.734	NA	0.182	NA	180	104.036
209	7	11	24.795	30.806	0	2	33	2.686	0.825	NA	0.091	NA	180	0
210	7	12	25.159	30.897	0	2	33	3.062	0.455	NA	0.376	NA	14.036	-165.964
211	7	13	25.068	30.715	0	2	8	3.265	0.576	NA	0.204	NA	-116.565	-130.601
212	7	14	25.25	30.624	0	2	8	3.469	0.455	NA	0.204	NA	-26.565	90
213	7	15	25.433	30.624	0	2	16	3.651	0.328	NA	0.182	NA	0	26.565
214	7	16	24.613	30.806	0	2	8	4.491	1.006	NA	0.84	NA	167.471	167.471
215	7	17	24.977	30.533	0	2	16	4.946	0.734	NA	0.455	NA	-36.87	155.659
216	7	18	25.341	30.624	0	2	8	5.322	0.386	NA	0.376	NA	14.036	50.906
217	7	19	24.977	30.988	0	2	16	5.837	0.644	NA	0.515	NA	135	120.964
218	7	20	24.886	31.626	0	2	25	6.481	1.03	NA	0.644	NA	98.13	-36.87
219	8	1	42.646	38.912	0	2	41	0	0	NA	NA	NA	NA	NA
220	8	2	43.192	39.276	0	2	66	0.657	0.657	NA	0.657	NA	33.69	NA
221	8	3	43.192	39.731	0	2	41	1.112	0.985	NA	0.455	NA	90	56.31
222	8	4	43.192	39.822	0	2	33	1.203	1.062	NA	0.091	NA	90	0
223	8	5	43.283	39.913	0	2	25	1.332	1.187	NA	0.129	NA	45	-45
224	8	6	43.192	40.096	0	2	66	1.536	1.304	NA	0.204	NA	116.565	71.565
225	8	7	43.465	40.187	0	2	50	1.824	1.516	NA	0.288	NA	18.435	-98.13
226	8	8	43.374	40.096	0	2	25	1.952	1.39	NA	0.129	NA	-135	-153.435
227	8	9	43.374	40.096	0	2	33	1.952	1.39	NA	0	NA	0	135
228	8	10	43.374	39.64	0	2	41	2.408	1.03	NA	0.455	NA	-90	-90
229	8	11	43.374	39.64	0	2	50	2.408	1.03	NA	0	NA	0	90
230	8	12	43.374	39.64	0	2	33	2.408	1.03	NA	0	NA	0	0
231	8	13	43.374	39.64	0	2	25	2.408	1.03	NA	0	NA	0	0
232	8	14	43.465	39.367	0	2	16	2.696	0.938	NA	0.288	NA	-71.565	-71.565
233	8	15	43.374	39.822	0	2	41	3.16	1.166	NA	0.464	NA	101.31	172.875
234	8	16	43.556	39.822	0	2	41	3.342	1.288	NA	0.182	NA	0	-101.31
235	8	17	43.556	39.822	0	2	8	3.342	1.288	NA	0	NA	0	0
236	8	18	44.012	40.096	0	2	16	3.873	1.808	NA	0.531	NA	30.964	30.964
237	8	19	44.012	40.096	0	2	16	3.873	1.808	NA	0	NA	0	-30.964
238	8	20	43.83	39.913	0	2	16	4.131	1.551	NA	0.258	NA	-135	-135
239	8	21	43.83	39.913	0	2	16	4.131	1.551	NA	0	NA	0	135
240	8	22	43.465	40.004	0	2	16	4.507	1.366	NA	0.376	NA	165.964	165.964
241	8	23	43.647	39.913	0	2	33	4.71	1.417	NA	0.204	NA	-26.565	167.471
242	8	24	44.012	39.913	0	2	33	5.074	1.694	NA	0.364	NA	0	26.565
243	8	25	44.012	39.913	0	2	25	5.074	1.694	NA	0	NA	0	0
244	8	26	44.012	39.913	0	2	25	5.074	1.694	NA	0	NA	0	0
245	8	27	43.739	39.822	0	2	41	5.362	1.423	NA	0.288	NA	-161.565	-161.565
246	8	28	44.012	39.822	0	2	25	5.636	1.642	NA	0.273	NA	0	161.565
247	8	29	44.012	39.731	0	2	16	5.727	1.593	NA	0.091	NA	-90	-90
248	8	30	43.83	39.549	0	2	0	5.984	1.345	NA	0.258	NA	-135	-45
249	8	31	43.921	39.64	0	2	50	6.113	1.469	NA	0.129	NA	45	-180
250	8	32	43.921	39.64	0	2	0	6.113	1.469	NA	0	NA	0	-45
251	8	33	43.647	39.822	0	2	8	6.442	1.354	NA	0.328	NA	146.31	146.31
252	8	34	43.465	39.913	0	2	41	6.645	1.294	NA	0.204	NA	153.435	7.125
253	8	35	43.83	39.731	0	2	25	7.052	1.44	NA	0.407	NA	-26.565	-180
254	8	36	43.739	39.731	0	2	8	7.144	1.366	NA	0.091	NA	180	-153.435
255	8	37	43.556	39.731	0	2	16	7.326	1.225	NA	0.182	NA	180	0
256	8	38	43.556	39.731	0	2	50	7.326	1.225	NA	0	NA	0	-180
257	8	39	43.556	39.64	0	2	41	7.417	1.166	NA	0.091	NA	-90	-90
258	8	40	43.739	39.64	0	2	41	7.599	1.313	NA	0.182	NA	0	90
259	8	41	44.012	39.913	0	2	8	7.985	1.694	NA	0.386	NA	45	45
260	8	42	44.012	40.096	0	2	8	8.167	1.808	NA	0.182	NA	90	45
261	8	43	44.103	40.096	0	2	33	8.259	1.878	NA	0.091	NA	0	-90
262	8	44	44.194	40.004	0	2	33	8.387	1.895	NA	0.129	NA	-45	-45
263	8	45	43.921	40.096	0	2	16	8.675	1.74	NA	0.288	NA	161.565	-153.435
264	8	46	44.103	39.549	0	2	16	9.251	1.591	NA	0.576	NA	-71.565	126.87
265	8	47	44.103	39.822	0	2	16	9.525	1.718	NA	0.273	NA	90	161.565
266	9	1	32.719	29.44	0	2	0	0	0	NA	NA	NA	NA	NA
267	9	2	32.536	29.622	0	2	8	0.258	0.258	NA	0.258	NA	135	NA
268	9	3	31.535	29.895	0	2	16	1.296	1.269	NA	1.038	NA	164.745	29.745
269	9	4	31.261	29.531	0	2	8	1.751	1.46	NA	0.455	NA	-126.87	68.385
270	10	1	26.343	31.717	0	2	33	0	0	NA	NA	NA	NA	NA
271	10	2	27.163	31.443	0	2	8	0.864	0.864	NA	0.864	NA	-18.435	NA
272	10	3	27.254	31.535	0	2	8	0.993	0.929	NA	0.129	NA	45	63.435
273	10	4	25.068	31.717	0	2	16	3.186	1.275	NA	2.193	NA	175.236	130.236
274	10	5	21.607	32.172	0	2	50	6.677	4.758	NA	3.491	NA	172.504	-2.732
275	10	6	21.425	31.717	0	2	41	7.167	4.918	NA	0.49	NA	-111.801	75.694
276	10	7	21.699	31.443	0	2	25	7.554	4.653	NA	0.386	NA	-45	66.801
277	10	8	22.154	31.99	0	2	116	8.265	4.198	NA	0.711	NA	50.194	95.194
278	11	1	30.168	29.895	0	2	0	0	0	NA	NA	NA	NA	NA
279	11	2	30.351	29.895	0	2	0	0.182	0.182	NA	0.182	NA	0	NA
280	11	3	30.533	30.077	0	2	0	0.44	0.407	NA	0.258	NA	45	45
281	11	4	30.533	30.077	0	2	16	0.44	0.407	NA	0	NA	0	-45
282	11	5	30.806	29.804	0	2	0	0.826	0.644	NA	0.386	NA	-45	-45
283	11	6	30.806	29.804	0	2	8	0.826	0.644	NA	0	NA	0	45
284	11	7	30.806	29.804	0	2	0	0.826	0.644	NA	0	NA	0	0
285	11	8	30.897	29.713	0	2	0	0.955	0.751	NA	0.129	NA	-45	-45
286	11	9	31.079	29.622	0	2	0	1.159	0.951	NA	0.204	NA	-26.565	18.435
287	11	10	30.897	29.531	0	2	8	1.362	0.815	NA	0.204	NA	-153.435	-126.87
288	12	1	37.637	29.713	0	2	0	0	0	NA	NA	NA	NA	NA
289	12	2	38.183	30.533	0	2	41	0.985	0.985	NA	0.985	NA	56.31	NA
290	12	3	38.638	30.806	0	2	8	1.516	1.483	NA	0.531	NA	30.964	-25.346
291	12	4	38.729	30.897	0	2	16	1.645	1.611	NA	0.129	NA	45	14.036
292	12	5	39.458	30.988	0	2	16	2.379	2.223	NA	0.734	NA	7.125	-37.875
293	12	6	41.644	31.808	0	2	41	4.714	4.522	NA	2.334	NA	20.556	13.431
294	12	7	42.372	32.081	0	2	16	5.492	5.295	NA	0.778	NA	20.556	0
295	13	1	41.553	39.549	0	2	58	0	0	NA	NA	NA	NA	NA
296	13	2	41.371	39.549	0	2	25	0.182	0.182	NA	0.182	NA	180	NA
297	13	3	41.006	39.549	0	2	25	0.546	0.546	NA	0.364	NA	180	0
298	13	4	41.006	39.549	0	2	8	0.546	0.546	NA	0	NA	0	-180
299	13	5	41.097	39.458	0	2	25	0.675	0.464	NA	0.129	NA	-45	-45
300	13	6	41.28	39.458	0	2	8	0.857	0.288	NA	0.182	NA	0	45
301	13	7	41.553	39.458	0	2	33	1.131	0.091	NA	0.273	NA	0	0
302	13	8	41.28	39.458	0	2	41	1.404	0.288	NA	0.273	NA	180	180
303	13	9	41.28	39.458	0	2	100	1.404	0.288	NA	0	NA	0	-180
304	13	10	41.28	39.458	0	2	8	1.404	0.288	NA	0	NA	0	0
305	13	11	41.28	39.458	0	2	25	1.404	0.288	NA	0	NA	0	0
306	13	12	41.188	39.64	0	2	16	1.607	0.376	NA	0.204	NA	116.565	116.565
307	13	13	40.824	39.64	0	2	33	1.972	0.734	NA	0.364	NA	180	63.435
308	13	14	40.824	39.64	0	2	33	1.972	0.734	NA	0	NA	0	-180
309	13	15	40.915	39.731	0	2	33	2.101	0.663	NA	0.129	NA	45	45
310	13	16	41.462	39.822	0	2	33	2.655	0.288	NA	0.554	NA	9.462	-35.538
311	13	17	41.462	39.822	0	2	25	2.655	0.288	NA	0	NA	0	-9.462
