Nr	TID	PID	x [micron]	y [micron]	t [sec]	c [idx]	I [val]	Len [micron]	D2S [micron]	D2R [micron]	D2P [micron]	v [micron/sec]	? [deg]	?? [deg]
1	1	1	13.232	30.988	0	2	33	0	0	NA	NA	NA	NA	NA
2	1	2	12.962	30.988	0	2	0	0.27	0.27	NA	0.27	NA	180	NA
3	1	3	12.962	30.988	0	2	0	0.27	0.27	NA	0	NA	0	-180
4	1	4	12.962	30.988	0	2	16	0.27	0.27	NA	0	NA	0	0
5	1	5	13.232	31.19	0	2	0	0.608	0.203	NA	0.338	NA	36.87	36.87
6	1	6	13.232	31.325	0	2	16	0.743	0.338	NA	0.135	NA	90	53.13
7	1	7	13.165	31.258	0	2	8	0.838	0.278	NA	0.095	NA	-135	135
8	1	8	13.165	31.258	0	2	8	0.838	0.278	NA	0	NA	0	135
9	1	9	13.165	31.258	0	2	8	0.838	0.278	NA	0	NA	0	0
10	1	10	13.03	31.19	0	2	16	0.989	0.286	NA	0.151	NA	-153.435	-153.435
11	1	11	13.165	31.19	0	2	25	1.124	0.213	NA	0.135	NA	0	153.435
12	1	12	12.625	31.325	0	2	8	1.681	0.695	NA	0.557	NA	165.964	165.964
13	1	13	12.827	31.325	0	2	25	1.883	0.527	NA	0.203	NA	0	-165.964
14	1	14	12.827	30.988	0	2	8	2.221	0.405	NA	0.338	NA	-90	-90
15	1	15	13.3	31.19	0	2	25	2.735	0.213	NA	0.514	NA	23.199	113.199
16	1	16	13.097	31.258	0	2	0	2.949	0.302	NA	0.213	NA	161.565	138.366
17	1	17	12.692	31.393	0	2	16	3.376	0.675	NA	0.427	NA	161.565	0
18	1	18	11.409	31.393	0	2	16	4.658	1.867	NA	1.283	NA	180	18.435
19	1	19	11.544	32.608	0	2	8	5.881	2.34	NA	1.223	NA	83.66	-96.34
20	2	1	31.19	28.49	0	2	16	0	0	NA	NA	NA	NA	NA
21	2	2	31.055	28.76	0	2	50	0.302	0.302	NA	0.302	NA	116.565	NA
22	2	3	30.313	28.692	0	2	16	1.048	0.901	NA	0.746	NA	-174.806	68.629
23	2	4	30.313	28.692	0	2	16	1.048	0.901	NA	0	NA	0	174.806
24	2	5	30.38	28.692	0	2	25	1.115	0.835	NA	0.068	NA	0	0
25	2	6	31.123	28.827	0	2	25	1.87	0.344	NA	0.755	NA	10.305	10.305
26	2	7	30.718	28.827	0	2	25	2.275	0.581	NA	0.405	NA	180	169.695
27	2	8	30.583	28.895	0	2	33	2.426	0.73	NA	0.151	NA	153.435	-26.565
28	2	9	30.718	28.827	0	2	16	2.577	0.581	NA	0.151	NA	-26.565	-180
29	2	10	30.65	28.827	0	2	33	2.644	0.637	NA	0.068	NA	180	-153.435
30	2	11	31.055	28.76	0	2	25	3.055	0.302	NA	0.411	NA	-9.462	170.538
31	2	12	31.19	28.827	0	2	25	3.206	0.338	NA	0.151	NA	26.565	36.027
32	2	13	31.393	28.962	0	2	8	3.449	0.514	NA	0.243	NA	33.69	7.125
33	2	14	31.46	28.827	0	2	25	3.6	0.432	NA	0.151	NA	-63.435	-97.125
34	2	15	31.393	28.962	0	2	8	3.751	0.514	NA	0.151	NA	116.565	180
35	2	16	31.123	29.368	0	2	25	4.238	0.88	NA	0.487	NA	123.69	7.125
36	2	17	31.46	29.165	0	2	66	4.632	0.727	NA	0.394	NA	-30.964	-154.654
37	2	18	31.123	29.165	0	2	25	4.969	0.678	NA	0.338	NA	180	-149.036
38	2	19	31.123	29.03	0	2	16	5.104	0.544	NA	0.135	NA	-90	90
39	2	20	29.705	28.962	0	2	0	6.524	1.559	NA	1.419	NA	-177.274	-87.274
40	2	21	28.017	28.895	0	2	0	8.213	3.199	NA	1.689	NA	-177.709	-0.436
41	2	22	25.654	28.22	0	2	0	10.67	5.543	NA	2.457	NA	-164.055	13.655
42	2	23	24.642	28.085	0	2	0	11.692	6.561	NA	1.022	NA	-172.405	-8.351
43	3	1	29.638	29.435	0	2	41	0	0	NA	NA	NA	NA	NA
44	3	2	27.95	28.76	0	2	16	1.818	1.818	NA	1.818	NA	-158.199	NA
45	3	3	26.33	28.49	0	2	8	3.46	3.44	NA	1.643	NA	-170.538	-12.339
46	3	4	24.912	28.355	0	2	8	4.885	4.848	NA	1.424	NA	-174.56	-4.022
47	3	5	23.629	28.22	0	2	0	6.174	6.13	NA	1.29	NA	-173.991	0.569
48	3	6	23.089	28.152	0	2	8	6.719	6.673	NA	0.544	NA	-172.875	1.116
49	4	1	20.659	31.73	0	2	25	0	0	NA	NA	NA	NA	NA
50	4	2	20.659	31.933	0	2	58	0.203	0.203	NA	0.203	NA	90	NA
51	4	3	19.443	31.46	0	2	33	1.506	1.245	NA	1.304	NA	-158.749	111.251
52	4	4	19.106	31.325	0	2	25	1.87	1.605	NA	0.364	NA	-158.199	0.551
53	4	5	18.903	31.798	0	2	16	2.384	1.757	NA	0.514	NA	113.199	-88.603
54	4	6	18.903	31.663	0	2	66	2.519	1.757	NA	0.135	NA	-90	156.801
55	4	7	19.443	31.46	0	2	41	3.096	1.245	NA	0.577	NA	-20.556	69.444
56	4	8	19.308	31.19	0	2	25	3.398	1.454	NA	0.302	NA	-116.565	-96.009
57	4	9	18.971	31.055	0	2	58	3.761	1.818	NA	0.364	NA	-158.199	-41.634
58	4	10	19.443	30.92	0	2	25	4.253	1.46	NA	0.491	NA	-15.945	142.253
59	4	11	18.701	30.988	0	2	0	4.999	2.094	NA	0.746	NA	174.806	-169.249
60	4	12	19.308	30.92	0	2	16	5.61	1.575	NA	0.611	NA	-6.34	178.854
61	4	13	19.578	30.92	0	2	41	5.88	1.35	NA	0.27	NA	0	6.34
62	4	14	19.443	30.92	0	2	8	6.015	1.46	NA	0.135	NA	180	180
63	4	15	18.836	30.718	0	2	16	6.656	2.085	NA	0.64	NA	-161.565	18.435
64	4	16	18.363	30.718	0	2	0	7.128	2.509	NA	0.473	NA	180	-18.435
65	4	17	18.296	30.583	0	2	0	7.279	2.627	NA	0.151	NA	-116.565	63.435
66	4	18	18.701	30.65	0	2	8	7.69	2.236	NA	0.411	NA	9.462	126.027
67	4	19	19.173	30.515	0	2	33	8.181	1.919	NA	0.491	NA	-15.945	-25.408
68	4	20	18.971	30.515	0	2	8	8.384	2.08	NA	0.203	NA	180	-164.055
69	4	21	18.836	30.515	0	2	8	8.519	2.191	NA	0.135	NA	180	0
70	4	22	18.633	30.785	0	2	0	8.856	2.235	NA	0.338	NA	126.87	-53.13
71	5	1	24.912	34.296	0	2	16	0	0	NA	NA	NA	NA	NA
72	5	2	25.654	32.811	0	2	41	1.661	1.661	NA	1.661	NA	-63.435	NA
73	5	3	25.182	33.216	0	2	25	2.283	1.113	NA	0.622	NA	139.399	-157.166
74	5	4	24.777	33.621	0	2	25	2.856	0.688	NA	0.573	NA	135	-4.399
75	5	5	24.844	32.946	0	2	8	3.534	1.352	NA	0.678	NA	-84.289	140.711
76	5	6	25.114	33.351	0	2	8	4.021	0.967	NA	0.487	NA	56.31	140.599
77	6	1	31.663	36.389	0	2	33	0	0	NA	NA	NA	NA	NA
78	6	2	29.3	36.524	0	2	8	2.367	2.367	NA	2.367	NA	176.73	NA
79	6	3	28.22	36.051	0	2	0	3.546	3.46	NA	1.179	NA	-156.371	26.9
80	6	4	27.207	36.119	0	2	0	4.561	4.464	NA	1.015	NA	176.186	-27.443
81	6	5	27.005	36.051	0	2	0	4.774	4.671	NA	0.213	NA	-161.565	22.249
82	6	6	26.059	35.984	0	2	0	5.722	5.618	NA	0.948	NA	-175.914	-14.349
83	6	7	24.034	35.781	0	2	8	7.757	7.653	NA	2.035	NA	-174.289	1.625
84	7	1	16.135	33.486	0	2	8	0	0	NA	NA	NA	NA	NA
85	7	2	17.756	33.688	0	2	0	1.633	1.633	NA	1.633	NA	7.125	NA
86	7	3	18.161	33.621	0	2	0	2.044	2.03	NA	0.411	NA	-9.462	-16.587
87	7	4	18.903	33.486	0	2	8	2.798	2.768	NA	0.755	NA	-10.305	-0.843
88	7	5	18.633	33.621	0	2	0	3.1	2.502	NA	0.302	NA	153.435	163.74
89	7	6	19.038	33.756	0	2	8	3.527	2.916	NA	0.427	NA	18.435	-135
90	7	7	18.431	33.756	0	2	0	4.135	2.311	NA	0.608	NA	180	161.565
91	7	8	18.093	33.688	0	2	8	4.479	1.968	NA	0.344	NA	-168.69	11.31
92	7	9	18.836	33.756	0	2	0	5.225	2.714	NA	0.746	NA	5.194	173.884
93	8	1	30.313	37.469	0	2	8	0	0	NA	NA	NA	NA	NA
94	8	2	30.313	37.469	0	2	0	0	0	NA	0	NA	0	NA
95	8	3	30.178	37.536	0	2	0	0.151	0.151	NA	0.151	NA	153.435	153.435
96	8	4	29.975	37.401	0	2	25	0.394	0.344	NA	0.243	NA	-146.31	60.255
97	8	5	29.773	37.401	0	2	16	0.597	0.544	NA	0.203	NA	180	-33.69
98	8	6	29.975	37.401	0	2	0	0.799	0.344	NA	0.203	NA	0	-180
99	8	7	29.908	37.199	0	2	0	1.013	0.487	NA	0.213	NA	-108.435	-108.435
100	8	8	30.043	37.199	0	2	0	1.148	0.382	NA	0.135	NA	0	108.435
101	8	9	30.178	37.064	0	2	0	1.339	0.427	NA	0.191	NA	-45	-45
102	8	10	30.245	36.794	0	2	8	1.617	0.678	NA	0.278	NA	-75.964	-30.964
103	8	11	30.65	36.929	0	2	16	2.044	0.637	NA	0.427	NA	18.435	94.399
104	8	12	30.178	36.659	0	2	25	2.589	0.821	NA	0.544	NA	-150.255	-168.69
105	8	13	30.65	36.726	0	2	8	3.066	0.816	NA	0.477	NA	8.13	158.385
106	8	14	30.245	36.726	0	2	16	3.471	0.746	NA	0.405	NA	180	171.87
107	8	15	30.178	36.659	0	2	8	3.566	0.821	NA	0.095	NA	-135	45
108	9	1	14.447	28.287	0	2	8	0	0	NA	NA	NA	NA	NA
109	9	2	14.447	28.287	0	2	0	0	0	NA	0	NA	0	NA
