Nr	TID	PID	x [micron]	y [micron]	t [sec]	c [idx]	I [val]	Len [micron]	D2S [micron]	D2R [micron]	D2P [micron]	v [micron/sec]	? [deg]	?? [deg]
1	1	1	30.115	24.812	0	2	16	0	0	NA	NA	NA	NA	NA
2	1	2	30.186	24.812	0	2	8	0.072	0.072	NA	0.072	NA	0	NA
3	1	3	30.401	24.31	0	2	0	0.617	0.578	NA	0.546	NA	-66.801	-66.801
4	1	4	30.545	23.88	0	2	0	1.071	1.026	NA	0.453	NA	-71.565	-4.764
5	1	5	29.828	23.665	0	2	25	1.819	1.182	NA	0.748	NA	-163.301	-91.736
6	1	6	29.757	23.092	0	2	41	2.396	1.757	NA	0.578	NA	-97.125	66.176
7	1	7	29.971	24.454	0	2	8	3.775	0.386	NA	1.378	NA	81.027	178.152
8	1	8	30.473	25.672	0	2	41	5.092	0.932	NA	1.317	NA	67.62	-13.408
9	1	9	30.401	26.174	0	2	25	5.599	1.391	NA	0.507	NA	98.13	30.51
10	1	10	30.33	26.89	0	2	50	6.319	2.089	NA	0.72	NA	95.711	-2.42
11	1	11	30.33	27.32	0	2	0	6.749	2.517	NA	0.43	NA	90	-5.711
12	1	12	29.9	27.607	0	2	41	7.266	2.803	NA	0.517	NA	146.31	56.31
13	1	13	29.398	28.682	0	2	8	8.452	3.935	NA	1.186	NA	115.017	-31.293
14	1	14	29.327	29.183	0	2	8	8.959	4.442	NA	0.507	NA	98.13	-16.887
15	1	15	29.542	29.971	0	2	16	9.776	5.191	NA	0.817	NA	74.745	-23.385
16	1	16	29.47	29.255	0	2	25	10.496	4.489	NA	0.72	NA	-95.711	-170.455
17	1	17	29.47	29.04	0	2	16	10.711	4.277	NA	0.215	NA	-90	5.711
18	1	18	29.47	28.825	0	2	8	10.926	4.064	NA	0.215	NA	-90	0
19	1	19	29.47	28.825	0	2	16	10.926	4.064	NA	0	NA	0	90
20	1	20	29.685	29.04	0	2	25	11.23	4.25	NA	0.304	NA	45	45
21	1	21	29.757	29.542	0	2	16	11.737	4.743	NA	0.507	NA	81.87	36.87
22	1	22	29.9	29.47	0	2	33	11.897	4.663	NA	0.16	NA	-26.565	-108.435
23	1	23	29.9	29.47	0	2	41	11.897	4.663	NA	0	NA	0	26.565
24	1	24	29.9	29.47	0	2	8	11.897	4.663	NA	0	NA	0	0
25	1	25	29.9	29.47	0	2	25	11.897	4.663	NA	0	NA	0	0
