Nr	TID	PID	x [micron]	y [micron]	t [sec]	c [idx]	I [val]	Len [micron]	D2S [micron]	D2R [micron]	D2P [micron]	v [micron/sec]	? [deg]	?? [deg]
1	1	1	9.14	30.148	0	2	87	0	0	NA	NA	NA	NA	NA
2	1	2	8.842	30.198	0	2	40	0.302	0.302	NA	0.302	NA	170.538	NA
3	1	3	8.842	30.198	0	2	107	0.302	0.302	NA	0	NA	0	-170.538
4	1	4	8.892	30.297	0	2	100	0.413	0.289	NA	0.111	NA	63.435	63.435
5	1	5	8.842	30.694	0	2	73	0.813	0.622	NA	0.4	NA	97.125	33.69
6	1	6	8.942	30.396	0	2	46	1.126	0.318	NA	0.314	NA	-71.565	-168.69
7	1	7	9.14	30.793	0	2	107	1.57	0.645	NA	0.444	NA	63.435	135
8	1	8	8.991	30.744	0	2	53	1.727	0.614	NA	0.157	NA	-161.565	135
9	1	9	8.991	30.744	0	2	87	1.727	0.614	NA	0	NA	0	161.565
10	1	10	9.388	30.992	0	2	53	2.195	0.879	NA	0.468	NA	32.005	32.005
11	1	11	9.289	30.992	0	2	60	2.294	0.856	NA	0.099	NA	180	147.995
12	1	12	9.239	30.992	0	2	80	2.344	0.849	NA	0.05	NA	180	0
13	1	13	9.239	31.091	0	2	60	2.443	0.948	NA	0.099	NA	90	-90
14	1	14	9.239	31.091	0	2	53	2.443	0.948	NA	0	NA	0	-90
15	1	15	8.594	31.091	0	2	13	3.088	1.089	NA	0.645	NA	180	180
16	1	16	8.644	31.091	0	2	26	3.137	1.065	NA	0.05	NA	0	-180
17	1	17	8.098	30.496	0	2	6	3.945	1.098	NA	0.808	NA	-132.51	-132.51
18	1	18	7.701	30.248	0	2	53	4.413	1.442	NA	0.468	NA	-147.995	-15.484
19	2	1	5.916	30.049	0	2	26	0	0	NA	NA	NA	NA	NA
20	2	2	5.668	29.851	0	2	26	0.318	0.318	NA	0.318	NA	-141.34	NA
21	2	3	6.263	29.851	0	2	87	0.913	0.4	NA	0.595	NA	0	141.34
22	2	4	6.362	30	0	2	46	1.092	0.449	NA	0.179	NA	56.31	56.31
23	2	5	6.56	30	0	2	53	1.29	0.647	NA	0.198	NA	0	-56.31
24	2	6	6.66	30.099	0	2	80	1.431	0.746	NA	0.14	NA	45	45
25	2	7	7.106	30.248	0	2	20	1.901	1.207	NA	0.471	NA	18.435	-26.565
26	2	8	7.057	30.446	0	2	20	2.106	1.208	NA	0.205	NA	104.036	85.601
27	2	9	6.957	30.198	0	2	67	2.373	1.052	NA	0.267	NA	-111.801	144.162
28	2	10	6.709	30.396	0	2	26	2.69	0.866	NA	0.318	NA	141.34	-106.858
29	2	11	6.709	30.446	0	2	93	2.74	0.887	NA	0.05	NA	90	-51.34
30	2	12	6.759	30.446	0	2	40	2.79	0.932	NA	0.05	NA	0	-90
31	2	13	6.808	30.446	0	2	87	2.839	0.977	NA	0.05	NA	0	0
32	2	14	6.957	30.496	0	2	53	2.996	1.133	NA	0.157	NA	18.435	18.435
33	2	15	7.057	30.744	0	2	40	3.263	1.336	NA	0.267	NA	68.199	49.764
34	2	16	7.057	30.545	0	2	127	3.462	1.244	NA	0.198	NA	-90	-158.199
35	2	17	7.057	30.545	0	2	20	3.462	1.244	NA	0	NA	0	90
36	2	18	7.057	30.545	0	2	26	3.462	1.244	NA	0	NA	0	0
37	2	19	7.007	30.297	0	2	53	3.715	1.119	NA	0.253	NA	-101.31	-101.31
38	2	20	6.56	30.297	0	2	67	4.161	0.691	NA	0.446	NA	180	-78.69
39	2	21	6.56	30.198	0	2	46	4.26	0.662	NA	0.099	NA	-90	90
40	2	22	6.808	30.248	0	2	73	4.513	0.915	NA	0.253	NA	11.31	101.31
41	2	23	7.007	30.297	0	2	80	4.718	1.119	NA	0.205	NA	14.036	2.726
42	2	24	6.709	30.297	0	2	53	5.015	0.832	NA	0.298	NA	180	165.964
43	2	25	6.759	30.297	0	2	87	5.065	0.879	NA	0.05	NA	0	-180
44	2	26	6.759	30.297	0	2	33	5.065	0.879	NA	0	NA	0	0
45	2	27	6.759	30.297	0	2	33	5.065	0.879	NA	0	NA	0	0
46	2	28	6.56	30.297	0	2	20	5.263	0.691	NA	0.198	NA	180	180
47	2	29	6.61	30.347	0	2	40	5.334	0.756	NA	0.07	NA	45	-135
48	2	30	6.759	30.347	0	2	46	5.482	0.894	NA	0.149	NA	0	-45
49	2	31	6.61	30.297	0	2	20	5.639	0.737	NA	0.157	NA	-161.565	-161.565
50	2	32	6.511	30	0	2	40	5.953	0.597	NA	0.314	NA	-108.435	53.13
51	3	1	4.279	30.595	0	2	13	0	0	NA	NA	NA	NA	NA
52	3	2	4.328	30.297	0	2	67	0.302	0.302	NA	0.302	NA	-80.538	NA
53	3	3	4.576	30	0	2	20	0.689	0.666	NA	0.387	NA	-50.194	30.343
54	3	4	4.031	30.248	0	2	20	1.289	0.427	NA	0.599	NA	155.556	-154.25
55	4	1	17.573	23.749	0	2	33	0	0	NA	NA	NA	NA	NA
56	4	2	17.474	23.799	0	2	6	0.111	0.111	NA	0.111	NA	153.435	NA
57	4	3	17.474	23.799	0	2	46	0.111	0.111	NA	0	NA	0	-153.435
58	4	4	17.127	23.749	0	2	13	0.462	0.446	NA	0.351	NA	-171.87	-171.87
59	4	5	17.127	23.551	0	2	46	0.66	0.489	NA	0.198	NA	-90	81.87
60	4	6	17.176	23.501	0	2	60	0.73	0.468	NA	0.07	NA	-45	45
61	4	7	17.077	23.6	0	2	46	0.871	0.518	NA	0.14	NA	135	180
62	4	8	17.127	23.699	0	2	20	0.982	0.449	NA	0.111	NA	63.435	-71.565
63	4	9	17.127	23.699	0	2	67	0.982	0.449	NA	0	NA	0	-63.435
64	4	10	17.275	23.551	0	2	40	1.192	0.358	NA	0.21	NA	-45	-45
65	4	11	17.672	23.352	0	2	26	1.636	0.409	NA	0.444	NA	-26.565	18.435
66	4	12	17.722	23.203	0	2	33	1.793	0.566	NA	0.157	NA	-71.565	-45
67	4	13	17.375	23.451	0	2	6	2.219	0.358	NA	0.427	NA	144.462	-143.973
68	4	14	17.623	23.303	0	2	0	2.509	0.449	NA	0.289	NA	-30.964	-175.426
69	4	15	17.821	23.104	0	2	33	2.789	0.691	NA	0.281	NA	-45	-14.036
70	4	16	18.02	23.055	0	2	40	2.994	0.826	NA	0.205	NA	-14.036	30.964
