Nr	TID	PID	x [micron]	y [micron]	t [sec]	c [idx]	I [val]	Len [micron]	D2S [micron]	D2R [micron]	D2P [micron]	v [micron/sec]	? [deg]	?? [deg]
1	1	1	22.919	14.825	0	2	37	0	0	NA	NA	NA	NA	NA
2	1	2	22.868	14.52	0	2	74	0.31	0.31	NA	0.31	NA	-99.462	NA
3	1	3	23.275	14.825	0	2	18	0.819	0.356	NA	0.509	NA	36.87	136.332
4	1	4	23.224	14.469	0	2	27	1.179	0.469	NA	0.36	NA	-98.13	-135
5	1	5	23.072	14.316	0	2	27	1.395	0.531	NA	0.216	NA	-135	-36.87
6	1	6	23.072	14.316	0	2	0	1.395	0.531	NA	0	NA	0	135
7	1	7	23.53	14.215	0	2	9	1.864	0.864	NA	0.469	NA	-12.529	-12.529
8	1	8	23.53	14.418	0	2	9	2.067	0.734	NA	0.204	NA	90	102.529
9	1	9	23.173	14.367	0	2	46	2.427	0.524	NA	0.36	NA	-171.87	98.13
10	1	10	23.173	14.062	0	2	18	2.733	0.805	NA	0.305	NA	-90	81.87
11	2	1	23.784	14.622	0	2	0	0	0	NA	NA	NA	NA	NA
12	2	2	23.224	15.436	0	2	9	0.988	0.988	NA	0.988	NA	124.509	NA
13	2	3	23.377	16.2	0	2	9	1.767	1.63	NA	0.779	NA	78.69	-45.818
14	2	4	23.784	16.098	0	2	18	2.187	1.476	NA	0.42	NA	-14.036	-92.726
15	2	5	23.835	16.098	0	2	0	2.238	1.477	NA	0.051	NA	0	14.036
16	2	6	23.326	16.505	0	2	18	2.89	1.938	NA	0.652	NA	141.34	141.34
17	2	7	23.275	16.658	0	2	0	3.05	2.099	NA	0.161	NA	108.435	-32.905
18	2	8	22.41	17.421	0	2	0	4.205	3.119	NA	1.154	NA	138.576	30.141
19	2	9	22.003	17.981	0	2	37	4.897	3.803	NA	0.692	NA	126.027	-12.549
20	2	10	21.799	18.338	0	2	46	5.307	4.213	NA	0.41	NA	119.745	-6.282
21	2	11	21.799	18.389	0	2	37	5.358	4.258	NA	0.051	NA	90	-29.745
22	2	12	22.104	18.083	0	2	46	5.79	3.847	NA	0.432	NA	-45	-135
23	2	13	21.646	18.236	0	2	37	6.273	4.199	NA	0.483	NA	161.565	-153.435
24	2	14	21.544	18.287	0	2	18	6.387	4.295	NA	0.114	NA	153.435	-8.13
25	2	15	21.29	18.287	0	2	18	6.641	4.433	NA	0.255	NA	180	26.565
26	2	16	21.341	18.49	0	2	0	6.851	4.576	NA	0.21	NA	75.964	-104.036
27	2	17	21.799	18.49	0	2	9	7.309	4.348	NA	0.458	NA	0	-75.964
28	2	18	22.104	18.439	0	2	0	7.619	4.171	NA	0.31	NA	-9.462	-9.462
29	2	19	21.901	18.847	0	2	27	8.074	4.626	NA	0.455	NA	116.565	126.027
30	2	20	22.003	18.745	0	2	74	8.218	4.492	NA	0.144	NA	-45	-161.565
31	2	21	21.952	19.05	0	2	9	8.528	4.793	NA	0.31	NA	99.462	144.462
32	2	22	22.003	18.847	0	2	0	8.738	4.585	NA	0.21	NA	-75.964	-175.426
33	2	23	21.646	18.643	0	2	0	9.148	4.554	NA	0.41	NA	-150.255	-74.291
34	2	24	21.799	18.592	0	2	9	9.309	4.439	NA	0.161	NA	-18.435	131.82
35	3	1	14.367	23.937	0	2	18	0	0	NA	NA	NA	NA	NA
36	3	2	14.825	23.835	0	2	37	0.469	0.469	NA	0.469	NA	-12.529	NA
37	3	3	14.673	23.733	0	2	37	0.653	0.367	NA	0.184	NA	-146.31	-133.781
38	3	4	14.724	23.886	0	2	27	0.814	0.36	NA	0.161	NA	71.565	-142.125
39	3	5	14.724	23.682	0	2	37	1.017	0.438	NA	0.204	NA	-90	-161.565
40	3	6	14.724	23.733	0	2	18	1.068	0.41	NA	0.051	NA	90	180
41	3	7	16.251	22.41	0	2	9	3.089	2.425	NA	2.021	NA	-40.914	-130.914
42	3	8	17.778	21.035	0	2	83	5.144	4.478	NA	2.054	NA	-41.987	-1.073
43	3	9	18.541	20.526	0	2	102	6.061	5.39	NA	0.918	NA	-33.69	8.297
44	3	10	19.05	19.916	0	2	55	6.856	6.173	NA	0.795	NA	-50.194	-16.504
45	3	11	18.796	20.323	0	2	102	7.337	5.716	NA	0.48	NA	122.005	172.2
46	3	12	17.269	21.086	0	2	83	9.044	4.067	NA	1.707	NA	153.435	31.43
47	3	13	17.37	21.035	0	2	37	9.158	4.176	NA	0.114	NA	-26.565	180
48	3	14	17.727	20.883	0	2	27	9.545	4.54	NA	0.388	NA	-23.199	3.366
49	3	15	17.829	20.679	0	2	65	9.773	4.753	NA	0.228	NA	-63.435	-40.236
50	3	16	18.592	20.323	0	2	37	10.616	5.56	NA	0.843	NA	-25.017	38.418
51	3	17	18.439	20.425	0	2	27	10.799	5.378	NA	0.184	NA	146.31	171.327
52	3	18	18.389	20.425	0	2	0	10.85	5.339	NA	0.051	NA	180	33.69
53	3	19	18.694	20.272	0	2	9	11.191	5.67	NA	0.341	NA	-26.565	153.435
