Nr	TID	PID	x [micron]	y [micron]	t [sec]	c [idx]	I [val]	Len [micron]	D2S [micron]	D2R [micron]	D2P [micron]	v [micron/sec]	? [deg]	?? [deg]
1	1	1	20.63	19.612	0	2	47.872	0	0	NA	NA	NA	NA	NA
2	1	2	20.984	19.612	0	2	41.577	0.354	0.354	NA	0.354	NA	0	NA
3	1	3	21.205	19.213	0	2	16	0.81	0.7	NA	0.456	NA	-60.945	-60.945
4	1	4	20.718	18.505	0	2	41	1.669	1.11	NA	0.859	NA	-124.509	-63.563
5	1	5	20.718	18.549	0	2	51.343	1.713	1.066	NA	0.044	NA	90	-145.491
6	1	6	20.718	18.549	0	2	34.966	1.713	1.066	NA	0	NA	0	-90
7	1	7	21.294	18.372	0	2	15.324	2.316	1.406	NA	0.602	NA	-17.103	-17.103
8	1	8	21.161	18.461	0	2	32.434	2.475	1.267	NA	0.16	NA	146.31	163.413
9	1	9	20.408	18.107	0	2	8.134	3.307	1.521	NA	0.832	NA	-154.799	58.891
10	1	10	20.851	18.461	0	2	51.829	3.874	1.172	NA	0.567	NA	38.66	-166.541
11	1	11	20.984	18.815	0	2	41.577	4.252	0.872	NA	0.378	NA	69.444	30.784
12	1	12	20.807	18.727	0	2	38.053	4.45	0.903	NA	0.198	NA	-153.435	137.121
13	1	13	20.807	18.815	0	2	64.676	4.538	0.816	NA	0.089	NA	90	-116.565
14	1	14	20.851	18.727	0	2	29.468	4.637	0.912	NA	0.099	NA	-63.435	-153.435
15	1	15	20.718	19.7	0	2	64.641	5.62	0.125	NA	0.983	NA	97.765	161.2
16	1	16	20.586	19.523	0	2	48.057	5.841	0.099	NA	0.221	NA	-126.87	135.365
17	1	17	20.763	19.523	0	2	40.66	6.018	0.16	NA	0.177	NA	0	126.87
18	1	18	20.453	19.302	0	2	16	6.399	0.357	NA	0.381	NA	-144.462	-144.462
19	1	19	20.763	19.966	0	2	43.385	7.132	0.378	NA	0.733	NA	64.983	-150.555
20	1	20	20.718	19.833	0	2	49.5	7.272	0.238	NA	0.14	NA	-108.435	-173.418
21	1	21	20.718	19.656	0	2	62.602	7.449	0.099	NA	0.177	NA	-90	18.435
22	1	22	20.763	19.7	0	2	0.87	7.511	0.16	NA	0.063	NA	45	135
23	1	23	22.4	21.825	0	2	1.166	10.194	2.834	NA	2.683	NA	52.374	7.374
24	1	24	23.772	22.577	0	2	56.564	11.759	4.321	NA	1.565	NA	28.74	-23.634
25	2	1	21.072	20.054	0	2	44.958	0	0	NA	NA	NA	NA	NA
26	2	2	21.117	20.054	0	2	15.255	0.044	0.044	NA	0.044	NA	0	NA
27	2	3	21.072	19.877	0	2	44.02	0.227	0.177	NA	0.182	NA	-104.036	-104.036
28	2	4	21.072	19.966	0	2	82.871	0.315	0.089	NA	0.089	NA	90	-165.964
29	2	5	20.94	19.877	0	2	37.395	0.475	0.221	NA	0.16	NA	-146.31	123.69
30	2	6	21.117	19.877	0	2	30.807	0.652	0.182	NA	0.177	NA	0	146.31
31	2	7	21.028	19.833	0	2	27.631	0.751	0.226	NA	0.099	NA	-153.435	-153.435
32	2	8	20.984	19.877	0	2	35.393	0.813	0.198	NA	0.063	NA	135	-71.565
33	2	9	20.94	20.187	0	2	36.873	1.126	0.188	NA	0.313	NA	98.13	-36.87
34	2	10	21.028	20.054	0	2	25.941	1.286	0.044	NA	0.16	NA	-56.31	-154.44
35	2	11	21.161	20.586	0	2	30.662	1.834	0.538	NA	0.547	NA	75.964	132.274
36	2	12	21.648	20.94	0	2	36.667	2.436	1.056	NA	0.602	NA	36.027	-39.936
37	2	13	21.958	21.072	0	2	37.693	2.773	1.349	NA	0.337	NA	23.199	-12.829
38	2	14	22.799	21.825	0	2	9.921	3.901	2.473	NA	1.128	NA	41.82	18.622
39	2	15	22.976	22.09	0	2	46.897	4.22	2.787	NA	0.319	NA	56.31	14.49
40	2	16	23.197	22.179	0	2	32.736	4.459	3.005	NA	0.238	NA	21.801	-34.509
41	2	17	23.374	22.489	0	2	49.243	4.816	3.35	NA	0.357	NA	60.255	38.454
