Nr	TID	PID	x [micron]	y [micron]	t [sec]	c [idx]	I [val]	Len [micron]	D2S [micron]	D2R [micron]	D2P [micron]	v [micron/sec]	? [deg]	?? [deg]
1	1	1	10.883	15.35	0	2	103.312	0	0	NA	NA	NA	NA	NA
2	1	2	10.897	15.35	0	2	47	0.013	0.013	NA	0.013	NA	0	NA
3	1	3	10.924	15.323	0	2	66	0.052	0.049	NA	0.038	NA	-45	-45
4	1	4	10.91	15.256	0	2	59.75	0.12	0.098	NA	0.069	NA	-101.31	-56.31
5	1	5	10.883	15.175	0	2	45	0.205	0.175	NA	0.085	NA	-108.435	-7.125
6	1	6	10.87	14.919	0	2	33	0.461	0.431	NA	0.256	NA	-93.013	15.422
7	1	7	11.26	14.529	0	2	4	1.013	0.903	NA	0.552	NA	-45	48.013
8	1	8	11.018	14.664	0	2	45	1.29	0.699	NA	0.277	NA	150.945	-164.055
9	1	9	11.018	14.785	0	2	40.75	1.411	0.581	NA	0.121	NA	90	-60.945
10	1	10	11.005	15	0	2	26.5	1.627	0.37	NA	0.216	NA	93.576	3.576
11	1	11	10.951	15.094	0	2	53.25	1.735	0.264	NA	0.108	NA	119.745	26.169
12	1	12	10.924	15.148	0	2	33	1.795	0.206	NA	0.06	NA	116.565	-3.18
13	1	13	10.91	15.162	0	2	19.5	1.814	0.19	NA	0.019	NA	135	18.435
14	1	14	10.91	15.162	0	2	63.938	1.814	0.19	NA	0	NA	0	-135
15	1	15	10.91	15.162	0	2	32.875	1.814	0.19	NA	0	NA	0	0
16	1	16	10.87	15.188	0	2	28.75	1.863	0.162	NA	0.049	NA	146.31	146.31
17	1	17	10.87	15.188	0	2	20.25	1.863	0.162	NA	0	NA	0	-146.31
18	1	18	10.857	15.296	0	2	18.188	1.971	0.06	NA	0.108	NA	97.125	97.125
19	1	19	11.179	15.067	0	2	24.25	2.367	0.409	NA	0.396	NA	-35.311	-132.436
20	2	1	13.197	10.803	0	2	65.625	0	0	NA	NA	NA	NA	NA
21	2	2	13.426	10.305	0	2	69.75	0.548	0.548	NA	0.548	NA	-65.323	NA
22	2	3	13.561	10.305	0	2	32.5	0.682	0.616	NA	0.135	NA	0	65.323
23	2	4	13.318	10.709	0	2	49.5	1.153	0.153	NA	0.471	NA	120.964	120.964
24	2	5	13.292	11.112	0	2	24.5	1.557	0.323	NA	0.404	NA	93.814	-27.15
25	2	6	13.157	11.22	0	2	74	1.73	0.419	NA	0.172	NA	141.34	47.526
26	2	7	13.157	11.247	0	2	107	1.757	0.446	NA	0.027	NA	90	-51.34
27	2	8	13.157	11.247	0	2	41	1.757	0.446	NA	0	NA	0	-90
28	2	9	13.17	11.301	0	2	82	1.812	0.498	NA	0.055	NA	75.964	75.964
29	2	10	13.13	11.368	0	2	102.75	1.891	0.569	NA	0.078	NA	120.964	45
30	2	11	13.049	11.677	0	2	41	2.21	0.887	NA	0.32	NA	104.621	-16.343
31	2	12	12.955	11.852	0	2	43.938	2.409	1.077	NA	0.199	NA	118.301	13.68
32	2	13	12.996	11.583	0	2	49.25	2.681	0.806	NA	0.272	NA	-81.469	160.23
33	2	14	12.996	11.583	0	2	45.125	2.681	0.806	NA	0	NA	0	81.469
34	2	15	12.969	11.543	0	2	49.5	2.73	0.774	NA	0.049	NA	-123.69	-123.69
35	2	16	12.888	11.543	0	2	57.25	2.81	0.802	NA	0.081	NA	180	-56.31
36	2	17	12.969	11.368	0	2	41.25	3.003	0.61	NA	0.193	NA	-65.225	114.775
37	2	18	12.901	12.215	0	2	82	3.853	1.443	NA	0.85	NA	94.538	159.763
38	2	19	12.942	12.457	0	2	78.25	4.099	1.674	NA	0.245	NA	80.538	-14
39	2	20	12.969	12.511	0	2	107	4.159	1.724	NA	0.06	NA	63.435	-17.103
40	2	21	12.996	12.673	0	2	70	4.322	1.881	NA	0.164	NA	80.538	17.103
41	2	22	12.794	12.579	0	2	36	4.545	1.821	NA	0.223	NA	-154.983	124.479
42	2	23	12.74	12.538	0	2	61.75	4.612	1.795	NA	0.067	NA	-143.13	11.853
43	2	24	12.7	12.094	0	2	69.75	5.058	1.384	NA	0.446	NA	-95.194	47.936
44	2	25	12.955	11.435	0	2	30.75	5.765	0.677	NA	0.707	NA	-68.806	26.388
45	2	26	13.359	11.112	0	2	63.625	6.282	0.349	NA	0.517	NA	-38.66	30.146
46	3	1	15.848	11.058	0	2	45	0	0	NA	NA	NA	NA	NA
47	3	2	15.861	11.126	0	2	78.938	0.069	0.069	NA	0.069	NA	78.69	NA
48	3	3	15.861	11.126	0	2	80.312	0.069	0.069	NA	0	NA	0	-78.69
49	3	4	15.915	11.005	0	2	71.75	0.201	0.086	NA	0.132	NA	-66.038	-66.038
50	3	5	15.888	10.722	0	2	71.875	0.485	0.339	NA	0.284	NA	-95.44	-29.403
51	3	6	15.901	10.709	0	2	41	0.504	0.354	NA	0.019	NA	-45	50.44
52	3	7	15.915	10.44	0	2	28.75	0.773	0.622	NA	0.269	NA	-87.138	-42.138
53	3	8	16.278	10.628	0	2	16	1.182	0.609	NA	0.409	NA	27.408	114.545
54	3	9	15.753	10.345	0	2	34.938	1.778	0.719	NA	0.596	NA	-151.699	-179.107
55	3	10	15.969	10.44	0	2	24.75	2.013	0.631	NA	0.235	NA	23.629	175.329
56	3	11	16.049	10.561	0	2	42.25	2.159	0.537	NA	0.146	NA	56.31	32.681
57	3	12	15.969	10.292	0	2	27.812	2.44	0.776	NA	0.281	NA	-106.699	-163.009
58	4	1	15.942	13.17	0	2	53.5	0	0	NA	NA	NA	NA	NA
59	4	2	16.184	13.386	0	2	25.75	0.324	0.324	NA	0.324	NA	41.634	NA
60	4	3	16.197	13.48	0	2	8	0.419	0.401	NA	0.095	NA	81.87	40.236
61	4	4	16.251	13.48	0	2	32.5	0.473	0.438	NA	0.054	NA	0	-81.87
62	4	5	16.52	13.426	0	2	24.5	0.747	0.632	NA	0.274	NA	-11.31	-11.31
63	4	6	16.534	13.426	0	2	65.5	0.761	0.645	NA	0.013	NA	0	11.31
64	4	7	16.561	13.318	0	2	59.75	0.872	0.636	NA	0.111	NA	-75.964	-75.964
65	4	8	16.561	13.305	0	2	23.625	0.885	0.633	NA	0.013	NA	-90	-14.036
66	4	9	16.695	13.197	0	2	32.625	1.057	0.754	NA	0.172	NA	-38.66	51.34
67	4	10	16.762	12.996	0	2	32.75	1.27	0.839	NA	0.213	NA	-71.565	-32.905
68	4	11	16.749	12.982	0	2	26.625	1.289	0.829	NA	0.019	NA	-135	-63.435
69	4	12	16.749	12.969	0	2	28.5	1.303	0.832	NA	0.013	NA	-90	45
70	4	13	16.655	12.081	0	2	28.75	2.196	1.302	NA	0.893	NA	-96.054	-6.054
71	5	1	10.076	12.727	0	2	28.625	0	0	NA	NA	NA	NA	NA
72	5	2	10.103	12.727	0	2	34.75	0.027	0.027	NA	0.027	NA	0	NA
73	5	3	10.049	12.78	0	2	14.125	0.103	0.06	NA	0.076	NA	135	135
74	5	4	9.942	12.7	0	2	20.25	0.238	0.137	NA	0.135	NA	-143.13	81.87
75	5	5	10.009	12.74	0	2	20.25	0.316	0.069	NA	0.078	NA	30.964	174.094
76	5	6	9.969	12.753	0	2	28.75	0.359	0.111	NA	0.043	NA	161.565	130.601
77	5	7	9.969	12.753	0	2	37	0.359	0.111	NA	0	NA	0	-161.565
78	5	8	10.184	12.538	0	2	33	0.663	0.217	NA	0.304	NA	-45	-45
79	5	9	10.735	12.35	0	2	32.75	1.246	0.759	NA	0.583	NA	-18.853	26.147
80	5	10	10.924	12.175	0	2	4	1.503	1.011	NA	0.257	NA	-42.879	-24.026
81	6	1	12.646	12.161	0	2	115	0	0	NA	NA	NA	NA	NA
