Nr	TID	PID	x [micron]	y [micron]	t [sec]	c [idx]	I [val]	Len [micron]	D2S [micron]	D2R [micron]	D2P [micron]	v [micron/sec]	? [deg]	?? [deg]
1	1	1	22.68	10.65	0	2	206.5	0	0	NA	NA	NA	NA	NA
2	1	2	22.68	10.65	0	2	226.5	0	0	NA	0	NA	0	NA
3	1	3	22.68	10.65	0	2	181.5	0	0	NA	0	NA	0	0
4	1	4	22.68	10.65	0	2	239.5	0	0	NA	0	NA	0	0
5	1	5	22.68	10.65	0	2	210	0	0	NA	0	NA	0	0
6	1	6	22.68	10.65	0	2	210	0	0	NA	0	NA	0	0
7	1	7	22.551	10.607	0	2	255	0.136	0.136	NA	0.136	NA	-161.565	-161.565
8	1	8	22.508	10.607	0	2	182	0.179	0.178	NA	0.043	NA	180	-18.435
9	1	9	22.378	10.607	0	2	190	0.309	0.305	NA	0.129	NA	180	0
10	1	10	22.378	10.607	0	2	218.5	0.309	0.305	NA	0	NA	0	-180
11	1	11	22.551	11.081	0	2	136	0.814	0.45	NA	0.505	NA	70.017	70.017
12	1	12	22.68	10.693	0	2	165	1.223	0.043	NA	0.409	NA	-71.565	-141.582
13	1	13	22.508	10.952	0	2	115	1.533	0.348	NA	0.311	NA	123.69	-164.745
14	1	14	22.551	10.736	0	2	226.75	1.753	0.155	NA	0.22	NA	-78.69	157.62
15	1	15	22.702	10.693	0	2	198.5	1.91	0.048	NA	0.157	NA	-15.945	62.745
16	1	16	22.659	10.823	0	2	188.125	2.047	0.174	NA	0.136	NA	108.435	124.38
17	1	17	22.96	11.017	0	2	203.25	2.405	0.461	NA	0.359	NA	32.735	-75.7
18	1	18	22.874	10.974	0	2	213.875	2.502	0.377	NA	0.096	NA	-153.435	173.83
19	1	19	22.917	10.974	0	2	230.625	2.545	0.401	NA	0.043	NA	0	153.435
20	1	20	23.068	11.017	0	2	150.875	2.702	0.534	NA	0.157	NA	15.945	15.945
21	1	21	22.96	11.038	0	2	169.25	2.812	0.479	NA	0.11	NA	168.69	152.745
22	1	22	22.96	11.038	0	2	86.25	2.812	0.479	NA	0	NA	0	-168.69
23	1	23	23.133	11.146	0	2	192.875	3.015	0.671	NA	0.203	NA	32.005	32.005
24	1	24	22.637	10.65	0	2	206.5	3.717	0.043	NA	0.701	NA	-135	-167.005
25	1	25	22.271	10.154	0	2	200.75	4.333	0.643	NA	0.617	NA	-126.469	8.531
26	1	26	22.098	9.788	0	2	121.75	4.738	1.04	NA	0.405	NA	-115.201	11.268
27	1	27	22.033	9.27	0	2	86.5	5.26	1.524	NA	0.521	NA	-97.125	18.076
28	1	28	21.732	8.688	0	2	94.75	5.915	2.179	NA	0.656	NA	-117.408	-20.283
29	1	29	21.3	8.408	0	2	41	6.43	2.633	NA	0.514	NA	-146.976	-29.569
30	2	1	23.952	11.965	0	2	134.812	0	0	NA	NA	NA	NA	NA
31	2	2	23.801	11.513	0	2	115.5	0.477	0.477	NA	0.477	NA	-108.435	NA
32	2	3	23.564	11.534	0	2	152.062	0.715	0.58	NA	0.238	NA	174.806	-76.759
33	2	4	23.564	11.383	0	2	136.25	0.866	0.7	NA	0.151	NA	-90	95.194
34	2	5	23.629	11.275	0	2	218.75	0.992	0.762	NA	0.126	NA	-59.036	30.964
35	2	6	23.887	11.793	0	2	57.75	1.57	0.184	NA	0.578	NA	63.435	122.471
36	2	7	23.931	12.246	0	2	90.5	2.025	0.281	NA	0.455	NA	84.56	21.125
37	2	8	23.866	12.181	0	2	119.625	2.117	0.232	NA	0.091	NA	-135	140.44
38	2	9	23.284	11.75	0	2	169.5	2.841	0.702	NA	0.724	NA	-143.471	-8.471
39	2	10	23.284	11.75	0	2	165.25	2.841	0.702	NA	0	NA	0	143.471
40	2	11	23.047	10.629	0	2	120.375	3.987	1.614	NA	1.146	NA	-101.944	-101.944
41	2	12	23.09	10.909	0	2	100.625	4.271	1.364	NA	0.284	NA	81.254	-176.802
42	2	13	23.198	10.995	0	2	123.5	4.409	1.229	NA	0.138	NA	38.66	-42.594
43	2	14	23.456	11.254	0	2	90.5	4.774	0.867	NA	0.366	NA	45	6.34
44	2	15	23.607	11.513	0	2	100.875	5.074	0.569	NA	0.3	NA	59.744	14.744
45	2	16	23.37	11.448	0	2	140.5	5.32	0.779	NA	0.246	NA	-164.745	135.512
46	2	17	23.37	11.426	0	2	140	5.341	0.793	NA	0.022	NA	-90	74.745
47	2	18	23.348	11.426	0	2	90.875	5.363	0.809	NA	0.022	NA	180	-90
48	2	19	23.198	11.405	0	2	144.75	5.515	0.94	NA	0.152	NA	-171.87	8.13
49	2	20	23.327	11.448	0	2	105	5.652	0.812	NA	0.136	NA	18.435	-169.695
50	2	21	23.154	11.448	0	2	140.125	5.824	0.951	NA	0.172	NA	180	161.565
51	2	22	23.348	11.556	0	2	90.25	6.046	0.73	NA	0.222	NA	29.055	-150.945
52	2	23	23.348	11.556	0	2	94.5	6.046	0.73	NA	0	NA	0	-29.055
53	2	24	23.435	11.556	0	2	123.75	6.132	0.66	NA	0.086	NA	0	0
54	2	25	23.392	11.426	0	2	109	6.269	0.778	NA	0.136	NA	-108.435	-108.435
55	2	26	23.413	11.405	0	2	165.125	6.299	0.778	NA	0.03	NA	-45	63.435
56	2	27	23.413	11.405	0	2	121.625	6.299	0.778	NA	0	NA	0	45
