Nr	TID	PID	x [micron]	y [micron]	t [sec]	c [idx]	I [val]	Len [micron]	D2S [micron]	D2R [micron]	D2P [micron]	v [micron/sec]	? [deg]	?? [deg]
1	1	1	20.503	8.447	0	2	255	0	0	NA	NA	NA	NA	NA
2	1	2	20.547	8.447	0	2	255	0.044	0.044	NA	0.044	NA	0	NA
3	1	3	20.59	8.447	0	2	255	0.087	0.087	NA	0.044	NA	0	0
4	1	4	20.59	8.447	0	2	255	0.087	0.087	NA	0	NA	0	0
5	1	5	20.59	8.447	0	2	255	0.087	0.087	NA	0	NA	0	0
6	1	6	20.59	8.447	0	2	255	0.087	0.087	NA	0	NA	0	0
7	1	7	20.329	8.447	0	2	255	0.348	0.174	NA	0.261	NA	180	180
8	1	8	19.937	8.752	0	2	255	0.844	0.643	NA	0.496	NA	142.125	-37.875
9	1	9	19.937	9.013	0	2	255	1.106	0.8	NA	0.261	NA	90	-52.125
10	1	10	20.025	9.013	0	2	234.199	1.193	0.741	NA	0.087	NA	0	-90
11	1	11	20.025	9.013	0	2	254.268	1.193	0.741	NA	0	NA	0	0
12	1	12	19.981	8.926	0	2	255	1.29	0.709	NA	0.097	NA	-116.565	-116.565
13	1	13	19.981	8.926	0	2	255	1.29	0.709	NA	0	NA	0	116.565
14	1	14	19.937	9.013	0	2	255	1.387	0.8	NA	0.097	NA	116.565	116.565
15	1	15	19.763	8.882	0	2	212.211	1.605	0.858	NA	0.218	NA	-143.13	100.305
16	1	16	19.894	8.926	0	2	254.328	1.743	0.775	NA	0.138	NA	18.435	161.565
17	1	17	19.894	8.97	0	2	253.273	1.786	0.803	NA	0.044	NA	90	71.565
18	1	18	19.85	8.97	0	2	255	1.83	0.836	NA	0.044	NA	180	90
19	1	19	19.372	9.231	0	2	132.357	2.375	1.376	NA	0.545	NA	151.39	-28.61
20	1	20	19.589	9.274	0	2	254.294	2.597	1.233	NA	0.222	NA	11.31	-140.08
21	1	21	19.589	9.274	0	2	228.468	2.597	1.233	NA	0	NA	0	-11.31
22	1	22	19.676	9.274	0	2	244.347	2.684	1.169	NA	0.087	NA	0	0
