Nr	TID	PID	x [micron]	y [micron]	t [sec]	c [idx]	I [val]	Len [micron]	D2S [micron]	D2R [micron]	D2P [micron]	v [micron/sec]	? [deg]	?? [deg]
1	1	1	13.523	16.802	0	2	12.398	0	0	NA	NA	NA	NA	NA
2	1	2	13.671	16.949	0	2	108.939	0.208	0.208	NA	0.208	NA	45	NA
3	1	3	13.56	16.839	0	2	76.906	0.365	0.052	NA	0.156	NA	-135	-180
4	1	4	13.708	16.876	0	2	143.756	0.517	0.198	NA	0.152	NA	14.036	149.036
5	1	5	13.744	16.839	0	2	116.31	0.569	0.224	NA	0.052	NA	-45	-59.036
6	1	6	13.634	17.318	0	2	85.813	1.06	0.527	NA	0.492	NA	102.995	147.995
7	1	7	13.671	16.802	0	2	75.148	1.577	0.147	NA	0.517	NA	-85.914	171.091
8	1	8	13.671	16.802	0	2	86.08	1.577	0.147	NA	0	NA	0	85.914
9	1	9	13.744	16.802	0	2	92.194	1.651	0.221	NA	0.074	NA	0	0
10	1	10	13.597	16.655	0	2	38.759	1.859	0.165	NA	0.208	NA	-135	-135
11	1	11	14.002	16.544	0	2	74.405	2.279	0.544	NA	0.42	NA	-15.255	119.745
12	1	12	13.45	16.618	0	2	25.986	2.837	0.198	NA	0.557	NA	172.405	-172.34
13	1	13	13.634	16.618	0	2	33.026	3.021	0.215	NA	0.184	NA	0	-172.405
14	1	14	13.929	16.581	0	2	46.472	3.318	0.462	NA	0.297	NA	-7.125	-7.125
15	1	15	13.892	16.544	0	2	12.394	3.37	0.45	NA	0.052	NA	-135	-127.875
16	1	16	13.818	16.507	0	2	41.755	3.453	0.417	NA	0.082	NA	-153.435	-18.435
17	1	17	13.818	16.471	0	2	43.037	3.489	0.444	NA	0.037	NA	-90	63.435
18	1	18	13.708	16.323	0	2	76.658	3.674	0.513	NA	0.184	NA	-126.87	-36.87
19	1	19	13.892	16.213	0	2	46.297	3.888	0.695	NA	0.215	NA	-30.964	95.906
