Nr	TID	PID	x [micron]	y [micron]	t [sec]	c [idx]	I [val]	Len [micron]	D2S [micron]	D2R [micron]	D2P [micron]	v [micron/sec]	? [deg]	?? [deg]
1	1	1	17.697	27.068	0	2	251.667	0	0	NA	NA	NA	NA	NA
2	1	2	17.67	26.878	0	2	255	0.192	0.192	NA	0.192	NA	-98.13	NA
3	1	3	17.642	26.878	0	2	254.417	0.219	0.198	NA	0.027	NA	180	-81.87
4	1	4	17.588	26.769	0	2	231.25	0.341	0.318	NA	0.121	NA	-116.565	63.435
5	1	5	17.588	26.742	0	2	242.5	0.368	0.344	NA	0.027	NA	-90	26.565
6	1	6	17.588	26.742	0	2	227.222	0.368	0.344	NA	0	NA	0	90
7	1	7	17.588	26.633	0	2	255	0.477	0.448	NA	0.109	NA	-90	-90
8	1	8	17.588	26.633	0	2	254.333	0.477	0.448	NA	0	NA	0	90
9	1	9	17.697	26.443	0	2	246.917	0.696	0.625	NA	0.219	NA	-60.255	-60.255
10	1	10	17.697	26.443	0	2	255	0.696	0.625	NA	0	NA	0	60.255
11	1	11	17.697	26.362	0	2	247.333	0.777	0.706	NA	0.081	NA	-90	-90
12	1	12	17.697	26.362	0	2	238.667	0.777	0.706	NA	0	NA	0	90
13	1	13	17.67	26.606	0	2	159.917	1.023	0.463	NA	0.246	NA	96.34	96.34
14	1	14	17.67	26.552	0	2	167.778	1.077	0.517	NA	0.054	NA	-90	173.66
15	1	15	17.67	26.552	0	2	180.417	1.077	0.517	NA	0	NA	0	90
16	1	16	17.67	26.47	0	2	243.667	1.159	0.598	NA	0.081	NA	-90	-90
17	1	17	17.67	26.498	0	2	239.083	1.186	0.571	NA	0.027	NA	90	180
18	1	18	17.67	26.498	0	2	197.361	1.186	0.571	NA	0	NA	0	-90
19	1	19	17.724	26.525	0	2	175	1.247	0.544	NA	0.061	NA	26.565	26.565
20	1	20	17.724	26.525	0	2	191.75	1.247	0.544	NA	0	NA	0	-26.565
21	1	21	17.67	26.525	0	2	231.25	1.301	0.544	NA	0.054	NA	180	180
22	1	22	17.67	26.525	0	2	183.167	1.301	0.544	NA	0	NA	0	-180
23	1	23	17.67	26.525	0	2	238.917	1.301	0.544	NA	0	NA	0	0
24	1	24	17.67	26.525	0	2	238.333	1.301	0.544	NA	0	NA	0	0
25	1	25	17.642	26.525	0	2	212.5	1.328	0.546	NA	0.027	NA	180	180
26	1	26	17.642	26.47	0	2	254.417	1.383	0.6	NA	0.054	NA	-90	90
27	1	27	17.588	26.335	0	2	238.333	1.529	0.741	NA	0.146	NA	-111.801	-21.801
28	1	28	17.588	26.335	0	2	238.333	1.529	0.741	NA	0	NA	0	111.801
29	1	29	17.561	26.498	0	2	217.083	1.694	0.586	NA	0.165	NA	99.462	99.462
30	1	30	17.561	26.498	0	2	254.417	1.694	0.586	NA	0	NA	0	-99.462
31	1	31	17.534	26.416	0	2	249.444	1.78	0.672	NA	0.086	NA	-108.435	-108.435
32	1	32	17.534	26.416	0	2	254.333	1.78	0.672	NA	0	NA	0	108.435
33	1	33	17.534	26.443	0	2	237.75	1.807	0.646	NA	0.027	NA	90	90
34	1	34	17.507	26.335	0	2	255	1.919	0.758	NA	0.112	NA	-104.036	165.964
35	1	35	17.452	26.226	0	2	255	2.041	0.877	NA	0.121	NA	-116.565	-12.529
36	1	36	17.507	26.307	0	2	255	2.138	0.784	NA	0.098	NA	56.31	172.875
37	1	37	17.507	26.389	0	2	191.528	2.22	0.705	NA	0.081	NA	90	33.69
38	1	38	17.507	26.389	0	2	255	2.22	0.705	NA	0	NA	0	-90
39	1	39	17.615	26.09	0	2	250.694	2.538	0.981	NA	0.318	NA	-70.017	-70.017
40	1	40	17.452	25.846	0	2	190.833	2.832	1.247	NA	0.294	NA	-123.69	-53.673
41	1	41	17.507	26.036	0	2	251.083	3.029	1.05	NA	0.198	NA	74.055	-162.255
42	1	42	17.697	26.253	0	2	247.417	3.318	0.815	NA	0.289	NA	48.814	-25.241
43	1	43	17.697	26.226	0	2	217.306	3.345	0.842	NA	0.027	NA	-90	-138.814
44	1	44	17.697	26.28	0	2	213.083	3.4	0.788	NA	0.054	NA	90	180
45	1	45	17.642	26.117	0	2	249	3.572	0.952	NA	0.172	NA	-108.435	161.565
46	1	46	17.642	26.28	0	2	255	3.734	0.79	NA	0.163	NA	90	-161.565
47	1	47	17.507	26.144	0	2	241.861	3.927	0.943	NA	0.192	NA	-135	135
48	1	48	17.615	25.764	0	2	246.806	4.322	1.306	NA	0.395	NA	-74.055	60.945
49	1	49	17.724	25.764	0	2	255	4.431	1.304	NA	0.109	NA	0	74.055
50	1	50	17.724	25.737	0	2	248.167	4.458	1.331	NA	0.027	NA	-90	-90
51	1	51	17.887	25.628	0	2	255	4.654	1.452	NA	0.196	NA	-33.69	56.31
52	1	52	18.05	25.384	0	2	222.5	4.948	1.721	NA	0.294	NA	-56.31	-22.62
53	1	53	18.023	25.221	0	2	208.167	5.113	1.876	NA	0.165	NA	-99.462	-43.152
54	1	54	17.996	25.221	0	2	253	5.14	1.871	NA	0.027	NA	180	-80.538
55	1	55	18.104	25.194	0	2	243.667	5.252	1.918	NA	0.112	NA	-14.036	165.964
56	1	56	18.158	25.004	0	2	250.139	5.45	2.115	NA	0.198	NA	-74.055	-60.018
57	1	57	18.213	24.841	0	2	248.75	5.621	2.286	NA	0.172	NA	-71.565	2.49
58	1	58	18.267	24.705	0	2	246.944	5.768	2.431	NA	0.146	NA	-68.199	3.366
59	1	59	18.43	24.569	0	2	169.333	5.98	2.604	NA	0.212	NA	-39.806	28.393
60	1	60	18.131	24.379	0	2	230.667	6.334	2.724	NA	0.354	NA	-147.529	-107.723
61	1	61	18.457	24.406	0	2	173.25	6.661	2.768	NA	0.327	NA	4.764	152.292
62	1	62	18.294	24.46	0	2	152.833	6.833	2.675	NA	0.172	NA	161.565	156.801
63	1	63	18.131	24.868	0	2	244.417	7.272	2.243	NA	0.439	NA	111.801	-49.764
64	1	64	18.131	25.031	0	2	204	7.435	2.083	NA	0.163	NA	90	-21.801
65	1	65	17.968	24.759	0	2	228.083	7.752	2.325	NA	0.317	NA	-120.964	149.036
66	1	66	17.996	24.786	0	2	240.278	7.79	2.301	NA	0.038	NA	45	165.964
67	1	67	18.05	24.895	0	2	239	7.911	2.202	NA	0.121	NA	63.435	18.435
68	1	68	18.05	24.976	0	2	253.25	7.993	2.121	NA	0.081	NA	90	26.565
69	1	69	17.996	25.357	0	2	231.667	8.377	1.737	NA	0.384	NA	98.13	8.13
70	1	70	17.996	25.085	0	2	251.667	8.649	2.005	NA	0.272	NA	-90	171.87
71	1	71	17.941	25.221	0	2	230.667	8.795	1.863	NA	0.146	NA	111.801	-158.199
72	1	72	17.914	25.302	0	2	255	8.881	1.779	NA	0.086	NA	108.435	-3.366
73	1	73	17.914	25.302	0	2	231.25	8.881	1.779	NA	0	NA	0	-108.435
74	1	74	17.86	25.248	0	2	246.111	8.958	1.827	NA	0.077	NA	-135	-135
75	1	75	17.86	25.248	0	2	255	8.958	1.827	NA	0	NA	0	135
76	1	76	17.833	25.248	0	2	253.361	8.985	1.825	NA	0.027	NA	180	180
77	1	77	17.778	25.248	0	2	238.333	9.039	1.822	NA	0.054	NA	180	0
78	1	78	17.751	25.248	0	2	254.806	9.066	1.821	NA	0.027	NA	180	0
79	1	79	17.968	25.112	0	2	244.583	9.323	1.975	NA	0.256	NA	-32.005	147.995
80	1	80	17.724	25.139	0	2	255	9.569	1.929	NA	0.246	NA	173.66	-154.335
81	1	81	17.914	25.275	0	2	254.333	9.802	1.806	NA	0.234	NA	35.538	-138.122
82	2	1	15.85	23.265	0	2	224.75	0	0	NA	NA	NA	NA	NA
83	2	2	15.85	23.102	0	2	255	0.163	0.163	NA	0.163	NA	-90	NA
84	2	3	15.687	22.939	0	2	255	0.393	0.364	NA	0.23	NA	-135	-45
85	2	4	15.714	22.396	0	2	255	0.937	0.88	NA	0.544	NA	-87.138	47.862
86	2	5	15.659	21.663	0	2	255	1.673	1.614	NA	0.735	NA	-94.236	-7.099
87	2	6	16.203	20.902	0	2	255	2.607	2.389	NA	0.935	NA	-54.462	39.774
88	2	7	16.203	20.902	0	2	255	2.607	2.389	NA	0	NA	0	54.462
89	2	8	16.203	20.902	0	2	255	2.607	2.389	NA	0	NA	0	0
90	2	9	16.665	20.386	0	2	255	3.3	2.992	NA	0.693	NA	-48.18	-48.18
91	2	10	16.909	20.114	0	2	255	3.665	3.324	NA	0.365	NA	-48.013	0.167
