Nr	TID	PID	x [micron]	y [micron]	t [sec]	c [idx]	I [val]	Len [micron]	D2S [micron]	D2R [micron]	D2P [micron]	v [micron/sec]	? [deg]	?? [deg]
1	1	1	15.371	32.224	0	2	75.111	0	0	NA	NA	NA	NA	NA
2	1	2	15.413	32.096	0	2	72.333	0.135	0.135	NA	0.135	NA	-71.565	NA
3	1	3	15.328	32.082	0	2	54.5	0.222	0.149	NA	0.087	NA	-170.538	-98.973
4	1	4	15.257	32.153	0	2	45.833	0.323	0.135	NA	0.101	NA	135	-54.462
5	1	5	15.242	32.182	0	2	87.917	0.355	0.135	NA	0.032	NA	116.565	-18.435
6	1	6	15.1	32.025	0	2	43.833	0.567	0.337	NA	0.212	NA	-132.274	111.161
7	1	7	15.1	31.996	0	2	115.5	0.595	0.354	NA	0.029	NA	-90	42.274
8	1	8	15.157	31.454	0	2	26.444	1.14	0.799	NA	0.545	NA	-83.991	6.009
9	1	9	15.2	31.597	0	2	93.222	1.289	0.65	NA	0.149	NA	73.301	157.292
10	1	10	15.257	31.511	0	2	67.333	1.392	0.722	NA	0.103	NA	-56.31	-129.611
11	1	11	15.171	31.597	0	2	29.222	1.513	0.658	NA	0.121	NA	135	-168.69
12	1	12	15.171	31.611	0	2	66	1.527	0.645	NA	0.014	NA	90	-45
13	1	13	15.128	31.64	0	2	113.083	1.578	0.633	NA	0.051	NA	146.31	56.31
14	1	14	15.299	31.939	0	2	80.611	1.923	0.294	NA	0.345	NA	60.255	-86.055
15	1	15	15.998	31.568	0	2	16	2.714	0.908	NA	0.791	NA	-27.951	-88.206
16	1	16	16.169	31.141	0	2	49	3.175	1.346	NA	0.461	NA	-68.199	-40.248
17	1	17	16.141	30.955	0	2	73.111	3.362	1.484	NA	0.188	NA	-98.746	-30.548
18	1	18	16.183	31.069	0	2	96.278	3.484	1.412	NA	0.122	NA	69.444	168.19
19	1	19	16.34	31.027	0	2	44	3.647	1.541	NA	0.163	NA	-15.255	-84.699
20	1	20	16.326	31.041	0	2	75.194	3.667	1.521	NA	0.02	NA	135	150.255
21	1	21	16.269	31.098	0	2	67.083	3.748	1.441	NA	0.081	NA	135	0
22	1	22	16.255	31.112	0	2	44	3.768	1.421	NA	0.02	NA	135	0
23	1	23	16.34	31.126	0	2	51.833	3.855	1.465	NA	0.087	NA	9.462	-125.538
24	1	24	16.34	31.169	0	2	76.667	3.897	1.433	NA	0.043	NA	90	80.538
25	1	25	16.212	31.155	0	2	9.333	4.026	1.361	NA	0.129	NA	-173.66	96.34
26	1	26	16.141	31.397	0	2	38	4.279	1.13	NA	0.253	NA	106.39	-79.951
27	1	27	16.141	31.611	0	2	43.667	4.493	0.984	NA	0.214	NA	90	-16.39
28	1	28	16.312	31.64	0	2	89.667	4.666	1.108	NA	0.173	NA	9.462	-80.538
29	1	29	16.298	31.397	0	2	57.5	4.909	1.242	NA	0.243	NA	-93.366	-102.829
30	1	30	16.298	31.469	0	2	52	4.981	1.196	NA	0.071	NA	90	-176.634
31	1	31	16.454	31.511	0	2	43.889	5.143	1.297	NA	0.163	NA	15.255	-74.745
32	1	32	16.383	31.625	0	2	10.667	5.278	1.176	NA	0.135	NA	122.005	106.75
33	1	33	16.412	31.896	0	2	41.75	5.55	1.091	NA	0.272	NA	83.991	-38.014
34	1	34	16.597	32.395	0	2	49.333	6.082	1.238	NA	0.532	NA	69.624	-14.367
35	1	35	16.996	32.253	0	2	33	6.506	1.626	NA	0.424	NA	-19.654	-89.277
36	1	36	16.982	32.324	0	2	45.333	6.579	1.614	NA	0.073	NA	101.31	120.964
37	1	37	17.067	32.41	0	2	73.75	6.7	1.707	NA	0.121	NA	45	-56.31
38	1	38	17.153	32.395	0	2	54.833	6.787	1.791	NA	0.087	NA	-9.462	-54.462
39	1	39	17.082	32.467	0	2	54.5	6.888	1.728	NA	0.101	NA	135	144.462
40	1	40	16.982	32.324	0	2	33.917	7.062	1.614	NA	0.174	NA	-124.992	100.008
41	1	41	17.01	32.41	0	2	65.111	7.152	1.65	NA	0.09	NA	71.565	-163.443
42	1	42	17.039	32.509	0	2	46.333	7.256	1.692	NA	0.104	NA	74.055	2.49
43	1	43	17.167	32.509	0	2	71	7.384	1.819	NA	0.128	NA	0	-74.055
44	1	44	17.182	32.381	0	2	58.917	7.513	1.818	NA	0.129	NA	-83.66	-83.66
45	1	45	17.296	32.424	0	2	13.333	7.635	1.935	NA	0.122	NA	20.556	104.216
46	1	46	17.538	32.595	0	2	49	7.932	2.199	NA	0.297	NA	35.218	14.662
47	1	47	17.395	32.509	0	2	33	8.098	2.045	NA	0.166	NA	-149.036	175.746
48	2	1	15.043	32.752	0	2	93.472	0	0	NA	NA	NA	NA	NA
49	2	2	15.057	32.795	0	2	43.667	0.045	0.045	NA	0.045	NA	71.565	NA
50	2	3	15.442	33.864	0	2	54.917	1.182	1.182	NA	1.137	NA	70.201	-1.364
51	2	4	15.627	33.75	0	2	60.5	1.399	1.157	NA	0.218	NA	-31.608	-101.809
52	2	5	15.542	33.693	0	2	33.889	1.502	1.065	NA	0.103	NA	-146.31	-114.702
53	2	6	15.542	33.622	0	2	33	1.573	1.003	NA	0.071	NA	-90	56.31
54	2	7	15.542	33.493	0	2	16	1.702	0.894	NA	0.128	NA	-90	0
