Nr	TID	PID	x [micron]	y [micron]	t [sec]	c [idx]	I [val]	Len [micron]	D2S [micron]	D2R [micron]	D2P [micron]	v [micron/sec]	? [deg]	?? [deg]
1	1	1	25.628	16.902	0	2	74	0	0	NA	NA	NA	NA	NA
2	1	2	25.628	17.099	0	2	65.833	0.198	0.198	NA	0.198	NA	90	NA
3	1	3	25.684	17.269	0	2	70.167	0.376	0.371	NA	0.179	NA	71.565	-18.435
4	1	4	25.684	17.156	0	2	140.25	0.489	0.26	NA	0.113	NA	-90	-161.565
5	1	5	25.571	17.692	0	2	109.972	1.038	0.793	NA	0.548	NA	101.889	-168.111
6	1	6	25.6	17.58	0	2	89.333	1.154	0.678	NA	0.116	NA	-75.964	-177.852
7	1	7	25.6	17.664	0	2	116.917	1.239	0.763	NA	0.085	NA	90	165.964
8	1	8	25.6	17.692	0	2	163.444	1.267	0.791	NA	0.028	NA	90	0
9	1	9	25.543	17.58	0	2	82.25	1.393	0.683	NA	0.126	NA	-116.565	153.435
10	1	10	25.487	17.749	0	2	89.167	1.572	0.859	NA	0.179	NA	108.435	-135
11	1	11	25.12	18.935	0	2	90.5	2.813	2.096	NA	1.242	NA	107.199	-1.236
12	1	12	25.12	19.048	0	2	102.75	2.926	2.206	NA	0.113	NA	90	-17.199
13	1	13	25.233	19.104	0	2	109.5	3.053	2.238	NA	0.126	NA	26.565	-63.435
14	1	14	25.317	19.048	0	2	50.944	3.155	2.169	NA	0.102	NA	-33.69	-60.255
15	1	15	25.233	18.992	0	2	124.944	3.256	2.127	NA	0.102	NA	-146.31	-112.62
16	1	16	25.035	19.02	0	2	82.5	3.456	2.199	NA	0.2	NA	171.87	-41.82
17	1	17	25.091	19.048	0	2	123.222	3.519	2.212	NA	0.063	NA	26.565	-145.305
18	1	18	25.035	19.133	0	2	135	3.621	2.308	NA	0.102	NA	123.69	97.125
19	1	19	25.007	19.246	0	2	87.861	3.737	2.425	NA	0.116	NA	104.036	-19.654
20	1	20	25.007	19.246	0	2	107.278	3.737	2.425	NA	0	NA	0	-104.036
21	1	21	24.414	20.036	0	2	154.167	4.726	3.362	NA	0.988	NA	126.87	126.87
22	1	22	24.385	21.053	0	2	88	5.743	4.333	NA	1.017	NA	91.591	-35.279
23	1	23	24.159	21.759	0	2	91.722	6.484	5.074	NA	0.741	NA	107.745	16.154
24	1	24	24.414	22.183	0	2	69.694	6.978	5.419	NA	0.494	NA	59.036	-48.708
25	1	25	24.301	22.154	0	2	91.917	7.095	5.418	NA	0.116	NA	-165.964	135
26	1	26	24.357	22.324	0	2	74	7.273	5.569	NA	0.179	NA	71.565	-122.471
27	1	27	24.329	22.296	0	2	115.083	7.313	5.548	NA	0.04	NA	-135	153.435
28	1	28	24.188	22.183	0	2	83.583	7.494	5.474	NA	0.181	NA	-141.34	-6.34
29	1	29	24.498	22.832	0	2	30	8.214	6.037	NA	0.72	NA	64.44	-154.22
30	1	30	24.159	22.719	0	2	105.917	8.571	6	NA	0.357	NA	-161.565	133.995
31	1	31	24.329	22.691	0	2	76.917	8.743	5.933	NA	0.172	NA	-9.462	152.103
32	1	32	24.329	23.002	0	2	33.917	9.054	6.237	NA	0.311	NA	90	99.462
33	1	33	24.385	23.03	0	2	50.056	9.117	6.253	NA	0.063	NA	26.565	-63.435
34	1	34	24.301	22.719	0	2	113.556	9.439	5.967	NA	0.322	NA	-105.255	-131.82
35	1	35	24.329	22.832	0	2	60	9.555	6.071	NA	0.116	NA	75.964	-178.781
36	1	36	24.159	22.663	0	2	57.333	9.795	5.945	NA	0.24	NA	-135	149.036
37	1	37	24.385	22.38	0	2	66	10.156	5.618	NA	0.362	NA	-51.34	83.66
38	1	38	24.244	22.522	0	2	100.028	10.356	5.788	NA	0.2	NA	135	-173.66
39	1	39	24.357	22.437	0	2	101.5	10.497	5.679	NA	0.141	NA	-36.87	-171.87
40	1	40	24.583	22.776	0	2	117.25	10.905	5.966	NA	0.407	NA	56.31	93.18
41	1	41	24.385	22.973	0	2	77.556	11.184	6.197	NA	0.28	NA	135	78.69
42	1	42	24.414	23.086	0	2	63	11.301	6.303	NA	0.116	NA	75.964	-59.036
43	1	43	24.216	23.002	0	2	71.5	11.516	6.261	NA	0.215	NA	-156.801	127.235
44	1	44	24.329	23.058	0	2	125.333	11.642	6.292	NA	0.126	NA	26.565	-176.634
45	1	45	24.611	23.34	0	2	32.75	12.041	6.519	NA	0.399	NA	45	18.435
46	2	1	23.482	17.749	0	2	96.167	0	0	NA	NA	NA	NA	NA
47	2	2	23.369	17.749	0	2	117	0.113	0.113	NA	0.113	NA	180	NA
48	2	3	23.369	17.721	0	2	82.611	0.141	0.116	NA	0.028	NA	-90	90
49	2	4	23.256	17.749	0	2	74	0.258	0.226	NA	0.116	NA	165.964	-104.036
50	2	5	23.228	17.551	0	2	65.25	0.457	0.322	NA	0.2	NA	-98.13	95.906
51	2	6	23.397	17.608	0	2	43.639	0.636	0.165	NA	0.179	NA	18.435	116.565
52	2	7	23.143	17.325	0	2	42.333	1.016	0.542	NA	0.38	NA	-131.987	-150.422
53	2	8	23.51	17.354	0	2	80.667	1.384	0.396	NA	0.368	NA	4.399	136.386
54	2	9	23.482	17.297	0	2	82.528	1.447	0.452	NA	0.063	NA	-116.565	-120.964
55	2	10	23.538	17.382	0	2	35.222	1.549	0.371	NA	0.102	NA	56.31	172.875
56	2	11	23.538	17.354	0	2	77.556	1.577	0.399	NA	0.028	NA	-90	-146.31
57	2	12	23.538	17.212	0	2	70.056	1.718	0.54	NA	0.141	NA	-90	0
58	2	13	23.538	17.212	0	2	39.806	1.718	0.54	NA	0	NA	0	90
59	2	14	23.566	17.043	0	2	69.833	1.89	0.711	NA	0.172	NA	-80.538	-80.538
60	2	15	23.369	17.636	0	2	65	2.515	0.16	NA	0.625	NA	108.435	-171.027
61	2	16	23.369	17.918	0	2	125.167	2.798	0.204	NA	0.282	NA	90	-18.435
62	2	17	23.369	17.551	0	2	75.028	3.165	0.228	NA	0.367	NA	-90	-180
63	2	18	23.453	17.438	0	2	80	3.306	0.312	NA	0.141	NA	-53.13	36.87
64	2	19	23.312	17.325	0	2	66.917	3.487	0.456	NA	0.181	NA	-141.34	-88.21
65	2	20	23.256	17.382	0	2	45.167	3.567	0.431	NA	0.08	NA	135	-83.66
66	2	21	23.143	17.862	0	2	66.861	4.06	0.357	NA	0.493	NA	103.241	-31.759
67	2	22	23.312	17.636	0	2	61.861	4.342	0.204	NA	0.282	NA	-53.13	-156.371
68	3	1	25.43	24.668	0	2	74.75	0	0	NA	NA	NA	NA	NA
69	3	2	25.289	25.882	0	2	49.25	1.223	1.223	NA	1.223	NA	96.633	NA
70	3	3	25.317	27.492	0	2	69.833	2.832	2.826	NA	1.61	NA	88.995	-7.638
71	3	4	25.402	26.588	0	2	61.278	3.74	1.921	NA	0.908	NA	-84.644	-173.639
72	3	5	25.035	25.091	0	2	68.333	5.281	0.579	NA	1.541	NA	-103.782	-19.137
73	3	6	25.289	25.374	0	2	94.75	5.661	0.72	NA	0.38	NA	48.013	151.794
74	3	7	25.176	25.148	0	2	58.306	5.914	0.543	NA	0.253	NA	-116.565	-164.578
75	3	8	25.148	25.374	0	2	69.833	6.141	0.76	NA	0.228	NA	97.125	-146.31
76	3	9	25.148	25.374	0	2	129.25	6.141	0.76	NA	0	NA	0	-97.125
77	3	10	25.204	25.317	0	2	125.083	6.221	0.688	NA	0.08	NA	-45	-45
78	3	11	25.148	24.329	0	2	24.75	7.211	0.441	NA	0.99	NA	-93.27	-48.27
79	3	12	25.402	24.272	0	2	77.917	7.472	0.396	NA	0.26	NA	-12.529	80.742
80	3	13	25.459	24.583	0	2	72.667	7.787	0.089	NA	0.316	NA	79.695	92.224
81	3	14	25.459	24.583	0	2	64.417	7.787	0.089	NA	0	NA	0	-79.695
82	3	15	25.402	24.64	0	2	100.806	7.867	0.04	NA	0.08	NA	135	135
83	3	16	25.374	24.696	0	2	90.5	7.93	0.063	NA	0.063	NA	116.565	-18.435
84	3	17	25.515	25.035	0	2	57.5	8.298	0.377	NA	0.367	NA	67.38	-49.185
85	3	18	25.459	25.826	0	2	152.667	9.09	1.158	NA	0.793	NA	94.086	26.705
86	3	19	25.233	26.447	0	2	143.444	9.751	1.79	NA	0.661	NA	109.983	15.897
87	3	20	25.43	26.588	0	2	208.167	9.994	1.92	NA	0.243	NA	35.538	-74.445
88	3	21	25.233	26.447	0	2	184.639	10.237	1.79	NA	0.243	NA	-144.462	-180
89	3	22	25.402	26.277	0	2	153.444	10.477	1.61	NA	0.24	NA	-45	99.462
90	3	23	25.402	26.277	0	2	127.806	10.477	1.61	NA	0	NA	0	45
91	3	24	24.978	27.153	0	2	50.833	11.449	2.526	NA	0.973	NA	115.821	115.821
92	3	25	25.374	26.955	0	2	141.667	11.891	2.288	NA	0.442	NA	-26.565	-142.386
93	3	26	25.459	26.729	0	2	119.75	12.133	2.062	NA	0.241	NA	-69.444	-42.879
94	3	27	25.459	26.701	0	2	132	12.161	2.033	NA	0.028	NA	-90	-20.556
95	3	28	25.459	26.701	0	2	75.417	12.161	2.033	NA	0	NA	0	90
96	3	29	25.346	26.814	0	2	158.333	12.321	2.148	NA	0.16	NA	135	135
97	3	30	25.346	26.814	0	2	134.75	12.321	2.148	NA	0	NA	0	-135
98	3	31	25.12	26.927	0	2	147.5	12.573	2.28	NA	0.253	NA	153.435	153.435
99	3	32	25.204	27.181	0	2	111.333	12.841	2.524	NA	0.268	NA	71.565	-81.87
100	3	33	25.204	27.181	0	2	74.167	12.841	2.524	NA	0	NA	0	-71.565
101	3	34	25.12	27.577	0	2	86.5	13.246	2.925	NA	0.404	NA	102.095	102.095
102	3	35	25.176	27.492	0	2	125.083	13.347	2.835	NA	0.102	NA	-56.31	-158.405
103	3	36	25.289	26.701	0	2	97.167	14.146	2.038	NA	0.799	NA	-81.87	-25.56
104	3	37	25.176	26.56	0	2	79.333	14.327	1.909	NA	0.181	NA	-128.66	-46.79
105	3	38	25.204	27.294	0	2	147.333	15.062	2.636	NA	0.735	NA	87.797	-143.543
106	3	39	24.894	28.085	0	2	64.417	15.911	3.459	NA	0.85	NA	111.448	23.65
107	3	40	24.837	28.537	0	2	73.833	16.367	3.914	NA	0.455	NA	97.125	-14.323
108	3	41	24.753	28.508	0	2	86.417	16.456	3.9	NA	0.089	NA	-161.565	101.31
109	3	42	25.148	27.577	0	2	111.167	17.468	2.922	NA	1.012	NA	-67.011	94.554
110	3	43	25.204	27.068	0	2	127.75	17.98	2.411	NA	0.511	NA	-83.66	-16.649
111	3	44	25.289	26.899	0	2	169.25	18.169	2.235	NA	0.189	NA	-63.435	20.225
112	3	45	25.289	27.012	0	2	59.083	18.282	2.348	NA	0.113	NA	90	153.435
113	3	46	24.95	27.379	0	2	96	18.782	2.753	NA	0.5	NA	132.709	42.709
114	3	47	25.12	27.577	0	2	78.25	19.042	2.925	NA	0.26	NA	49.399	-83.311
115	3	48	25.148	27.633	0	2	52.278	19.105	2.979	NA	0.063	NA	63.435	14.036
116	3	49	24.865	28.113	0	2	70.083	19.662	3.491	NA	0.557	NA	120.466	57.031
117	3	50	24.922	28.48	0	2	97.194	20.034	3.846	NA	0.371	NA	81.254	-39.212
118	3	51	24.865	28.763	0	2	82.5	20.322	4.134	NA	0.288	NA	101.31	20.056
119	3	52	24.753	28.904	0	2	46.333	20.502	4.29	NA	0.181	NA	128.66	27.35
120	3	53	24.865	28.904	0	2	49.25	20.615	4.274	NA	0.113	NA	0	-128.66
121	4	1	21.985	21.053	0	2	154.5	0	0	NA	NA	NA	NA	NA
122	4	2	21.957	21.081	0	2	160.889	0.04	0.04	NA	0.04	NA	135	NA
123	4	3	21.703	21.335	0	2	141.306	0.399	0.399	NA	0.359	NA	135	0
124	4	4	21.703	21.335	0	2	145.611	0.399	0.399	NA	0	NA	0	-135
125	4	5	21.731	21.222	0	2	169.25	0.516	0.305	NA	0.116	NA	-75.964	-75.964
