Nr	TID	PID	x [micron]	y [micron]	t [sec]	c [idx]	I [val]	Len [micron]	D2S [micron]	D2R [micron]	D2P [micron]	v [micron/sec]	? [deg]	?? [deg]
1	1	1	22.846	13.229	0	2	255	0	0	NA	NA	NA	NA	NA
2	1	2	22.846	13.464	0	2	255	0.236	0.236	NA	0.236	NA	90	NA
3	1	3	23.356	13.974	0	2	255	0.957	0.904	NA	0.722	NA	45	-45
4	1	4	23.474	14.21	0	2	255	1.221	1.165	NA	0.263	NA	63.435	18.435
5	1	5	23.513	14.249	0	2	255	1.276	1.219	NA	0.056	NA	45	-18.435
6	1	6	23.474	14.759	0	2	255	1.788	1.655	NA	0.512	NA	94.399	49.399
7	1	7	23.474	14.759	0	2	255	1.788	1.655	NA	0	NA	0	-94.399
8	1	8	23.474	14.759	0	2	255	1.788	1.655	NA	0	NA	0	0
9	1	9	23.474	14.759	0	2	255	1.788	1.655	NA	0	NA	0	0
10	1	10	23.474	14.759	0	2	255	1.788	1.655	NA	0	NA	0	0
11	1	11	23.474	14.759	0	2	255	1.788	1.655	NA	0	NA	0	0
12	1	12	23.199	15.309	0	2	173	2.402	2.11	NA	0.614	NA	116.565	116.565
13	1	13	23.709	15.034	0	2	255	2.982	2.002	NA	0.58	NA	-28.301	-144.866
14	1	14	23.788	15.427	0	2	255	3.382	2.392	NA	0.4	NA	78.69	106.991
15	1	15	23.788	15.427	0	2	185	3.382	2.392	NA	0	NA	0	-78.69
16	1	16	23.513	16.016	0	2	235	4.032	2.866	NA	0.65	NA	115.017	115.017
17	1	17	23.513	15.859	0	2	255	4.189	2.713	NA	0.157	NA	-90	154.983
18	1	18	23.513	15.859	0	2	255	4.189	2.713	NA	0	NA	0	90
19	1	19	23.945	16.447	0	2	255	4.919	3.401	NA	0.73	NA	53.746	53.746
20	1	20	23.945	16.447	0	2	255	4.919	3.401	NA	0	NA	0	-53.746
21	1	21	23.945	16.447	0	2	255	4.919	3.401	NA	0	NA	0	0
22	1	22	23.945	16.447	0	2	255	4.919	3.401	NA	0	NA	0	0
23	1	23	23.788	16.487	0	2	255	5.081	3.392	NA	0.162	NA	165.964	165.964
24	1	24	23.827	15.937	0	2	255	5.632	2.881	NA	0.551	NA	-85.914	108.122
25	1	25	23.827	15.937	0	2	218.5	5.632	2.881	NA	0	NA	0	85.914
26	1	26	23.827	15.937	0	2	218.5	5.632	2.881	NA	0	NA	0	0
27	1	27	23.827	15.937	0	2	223	5.632	2.881	NA	0	NA	0	0
28	1	28	23.866	16.33	0	2	255	6.026	3.265	NA	0.394	NA	84.289	84.289
29	1	29	23.906	16.604	0	2	212.5	6.304	3.538	NA	0.278	NA	81.87	-2.42
30	1	30	24.22	16.958	0	2	235	6.777	3.974	NA	0.473	NA	48.366	-33.503
31	1	31	24.023	18.449	0	2	255	8.281	5.352	NA	1.504	NA	97.496	49.129
32	1	32	23.945	19.038	0	2	255	8.875	5.913	NA	0.594	NA	97.595	0.099
33	1	33	24.22	20.451	0	2	255	10.315	7.352	NA	1.44	NA	78.996	-18.598
34	1	34	24.102	21.825	0	2	182	11.694	8.688	NA	1.379	NA	94.899	15.903
35	1	35	24.337	21.707	0	2	223	11.957	8.609	NA	0.263	NA	-26.565	-121.464
