Nr	TID	Points	Min x [micron]	Max x [micron]	Mean x [micron]	SD x [micron]	Min y [micron]	Max y [micron]	Mean y [micron]	SD y [micron]	Dur [sec]	c [idx]	Min I [val]	Max I [val]	Mean I [val]	SD I [val]	Len [micron]	Min D2S [micron]	Max D2S [micron]	Mean D2S [micron]	SD D2S [micron]	Min D2R [micron]	Max D2R [micron]	Mean D2R [micron]	SD D2R [micron]	Min D2P [micron]	Max D2P [micron]	Mean D2P [micron]	SD D2P [micron]	Min v [micron/sec]	Max v [micron/sec]	Mean v [micron/sec]	SD v [micron/sec]	Min ? [deg]	Max ? [deg]	Mean ? [deg]	SD ? [deg]	Min ?? [deg]	Max ?? [deg]	Mean ?? [deg]	SD ?? [deg]
1	1	81	28.837	30.095	29.37	0.196	37.251	40.396	38.793	0.591	0	2	115.167	255	186.243	35.718	15.824	0	1.815	0.493	0.403	NA	NA	NA	NA	0	1.234	0.198	0.243	NA	NA	NA	NA	-171.87	180	2.211	84.802	-172.875	180	-6.499	103.241
2	2	81	26.95	29.82	28.066	0.591	39.295	41.693	39.778	0.55	0	2	38.25	246.75	155.947	49.834	12.508	0	2.708	2.014	0.65	NA	NA	NA	NA	0	1.219	0.156	0.232	NA	NA	NA	NA	-172.875	180	26.154	94.145	-180	180	22.785	100.022
3	3	74	28.444	29.781	29.305	0.296	35.442	38.627	36.95	0.862	0	2	33.5	233.528	124.886	38.465	17.137	0	3.2	1.54	0.87	NA	NA	NA	NA	0	0.973	0.235	0.178	NA	NA	NA	NA	-165.964	180	8.292	90.634	-180	175.601	-21.988	99.196
4	4	11	33.87	34.302	34.009	0.143	15.274	15.824	15.477	0.174	0	2	84	210.5	136.111	42.541	1.57	0	0.552	0.249	0.168	NA	NA	NA	NA	0	0.46	0.157	0.159	NA	NA	NA	NA	-19.983	153.435	73.349	65.91	-146.31	150.584	7.048	111.868
5	5	81	27.265	28.248	27.646	0.202	17.593	19.677	18.777	0.654	0	2	81.111	255	194.115	43.561	8.814	0	1.967	1.127	0.6	NA	NA	NA	NA	0	0.529	0.11	0.125	NA	NA	NA	NA	-161.565	180	24.364	94.892	-180	180	-3.418	95.803
6	6	81	34.066	35.481	35.009	0.289	43.737	44.288	44.106	0.127	0	2	45.306	195.194	119.33	35.479	7.508	0	0.873	0.471	0.136	NA	NA	NA	NA	0	0.827	0.094	0.147	NA	NA	NA	NA	-171.87	180	19.944	76.731	-180	180	-6.835	94.657
7	7	81	26.085	29.388	27.75	0.904	26.085	29.702	27.735	0.916	0	2	47.917	244.583	139.024	50.449	17.039	0	3.682	1.524	0.991	NA	NA	NA	NA	0	1.11	0.213	0.251	NA	NA	NA	NA	-168.111	180	27.026	86.954	-180	180	6.622	96.491
8	8	12	26.989	28.051	27.327	0.423	25.692	27.972	27.186	0.903	0	2	110.972	216.861	160.757	34.939	4.032	0	2.463	0.857	0.982	NA	NA	NA	NA	0	1.141	0.367	0.365	NA	NA	NA	NA	-90	111.801	-13.268	76.058	-160.233	139.108	-36.373	103.855
9	9	20	33.358	33.712	33.47	0.101	20.385	23.058	21.586	0.539	0	2	113.333	255	198.574	35.332	6.079	0	2.015	0.876	0.417	NA	NA	NA	NA	0	1.339	0.32	0.385	NA	NA	NA	NA	-90	180	33.38	86.602	-153.435	180	29.164	113.437
10	10	80	33.005	34.42	33.595	0.375	41.339	43.148	42.303	0.543	0	2	41.167	187.5	100.037	31.098	9.407	0	1.259	0.655	0.272	NA	NA	NA	NA	0	0.567	0.119	0.142	NA	NA	NA	NA	-161.565	180	34.172	85.511	-180	180	1.009	97.126
11	11	32	29.506	32.611	31.407	0.809	28.248	34.105	32.107	1.582	0	2	70.583	223.167	151.223	40.418	7.576	0	6.63	4.304	1.771	NA	NA	NA	NA	0	1.102	0.244	0.243	NA	NA	NA	NA	-108.435	104.036	40.785	54.291	-118.61	175.601	6.546	62.8
12	12	13	34.577	39.609	36.498	1.735	36.7	44.878	39.476	2.919	0	2	52.167	183.861	115.744	38.493	11.373	0	9.446	3.247	3.361	NA	NA	NA	NA	0.362	1.821	0.948	0.468	NA	NA	NA	NA	-147.995	73.301	26.063	76.228	-167.005	170.272	0.781	76.384
13	13	7	33.476	33.673	33.583	0.063	23.687	24.237	23.872	0.195	0	2	63	250.139	156.095	74.363	1.025	0	0.317	0.223	0.114	NA	NA	NA	NA	0	0.41	0.171	0.139	NA	NA	NA	NA	-123.69	135	-7.665	100.074	-61.699	161.565	39.398	92.283
14	14	55	26.007	26.596	26.332	0.201	30.882	31.747	31.333	0.166	0	2	45	197.25	109.443	36.379	4.828	0	0.92	0.497	0.163	NA	NA	NA	NA	0	0.517	0.089	0.116	NA	NA	NA	NA	-153.435	180	1.811	74.845	-180	180	-11.221	94.125
15	15	23	28.012	29.034	28.571	0.363	39.413	41.103	40.469	0.427	0	2	38.528	218.056	111.37	39.708	6.138	0	1.45	0.684	0.385	NA	NA	NA	NA	0	0.945	0.279	0.255	NA	NA	NA	NA	-128.66	180	25.569	93.691	-161.565	161.565	-21.181	93.782
16	16	4	32.336	35.599	34.056	1.374	31.904	34.027	32.995	0.909	0	2	49.5	217.194	108.375	76.392	3.905	0	3.893	1.857	1.647	NA	NA	NA	NA	1.032	1.619	1.302	0.296	NA	NA	NA	NA	-150.945	-139.635	-146.128	5.838	-11.31	8.169	-1.571	13.774
17	17	13	27.972	29.663	29.112	0.472	20.149	23.412	22.099	1.05	0	2	85.75	175.917	132.389	24.819	6.541	0	2.738	1.464	0.938	NA	NA	NA	NA	0.176	1.876	0.545	0.5	NA	NA	NA	NA	-124.992	82.875	-11.567	94.91	-143.13	29.745	-18.338	47.386
18	18	35	32.965	34.066	33.21	0.216	14.999	18.458	17.091	0.732	0	2	40.25	250.694	169.256	53.231	5.532	0	3.51	2.163	0.729	NA	NA	NA	NA	0	1.234	0.163	0.262	NA	NA	NA	NA	-101.31	180	34.036	65.804	-173.29	140.194	-0.241	77.482
19	19	41	31.235	33.987	33.092	0.808	37.644	39.806	39.011	0.393	0	2	15.556	140.111	65.833	28.526	12.196	0	3.2	2.336	0.815	NA	NA	NA	NA	0	0.775	0.305	0.167	NA	NA	NA	NA	-165.964	180	-0.062	97.336	-169.695	175.553	-16.735	116.849
