Nr	TID	PID	x [micron]	y [micron]	t [sec]	c [idx]	I [val]	Len [micron]	D2S [micron]	D2R [micron]	D2P [micron]	v [micron/sec]	? [deg]	?? [deg]
1	1	1	16.698	11.599	0	2	16	0	0	NA	NA	NA	NA	NA
2	1	2	16.898	11.999	0	2	115	0.447	0.447	NA	0.447	NA	63.435	NA
3	1	3	17.398	12.699	0	2	82	1.307	1.304	NA	0.86	NA	54.462	-8.973
4	1	4	17.298	13.249	0	2	49.5	1.866	1.756	NA	0.559	NA	100.305	45.843
5	1	5	17.298	13.149	0	2	82.5	1.966	1.662	NA	0.1	NA	-90	169.695
6	1	6	17.148	13.249	0	2	99	2.147	1.71	NA	0.18	NA	146.31	-123.69
7	1	7	17.148	13.049	0	2	128	2.346	1.518	NA	0.2	NA	-90	123.69
8	1	8	17.098	12.999	0	2	66	2.417	1.456	NA	0.071	NA	-135	-45
9	1	9	16.948	12.749	0	2	119.75	2.709	1.177	NA	0.292	NA	-120.964	14.036
10	1	10	16.948	12.599	0	2	82	2.859	1.031	NA	0.15	NA	-90	30.964
11	1	11	16.948	12.599	0	2	82.5	2.859	1.031	NA	0	NA	0	90
12	1	12	16.798	12.399	0	2	49	3.109	0.806	NA	0.25	NA	-126.87	-126.87
13	1	13	16.948	12.249	0	2	86.25	3.321	0.696	NA	0.212	NA	-45	81.87
14	1	14	16.948	12.249	0	2	111.25	3.321	0.696	NA	0	NA	0	45
15	1	15	16.848	12.249	0	2	103	3.421	0.667	NA	0.1	NA	180	180
16	1	16	16.748	12.349	0	2	100.75	3.562	0.752	NA	0.141	NA	135	-45
17	1	17	16.748	12.349	0	2	103	3.562	0.752	NA	0	NA	0	-135
18	1	18	16.698	12.349	0	2	107	3.612	0.75	NA	0.05	NA	180	180
19	1	19	16.798	12.399	0	2	182	3.724	0.806	NA	0.112	NA	26.565	-153.435
20	1	20	16.698	12.299	0	2	132	3.865	0.7	NA	0.141	NA	-135	-161.565
21	1	21	16.798	12.099	0	2	66	4.089	0.51	NA	0.224	NA	-63.435	71.565
22	1	22	16.798	12.099	0	2	66	4.089	0.51	NA	0	NA	0	63.435
23	1	23	16.848	11.949	0	2	78.25	4.247	0.381	NA	0.158	NA	-71.565	-71.565
24	1	24	16.648	11.999	0	2	66	4.453	0.403	NA	0.206	NA	165.964	-122.471
25	1	25	16.998	12.249	0	2	107	4.883	0.716	NA	0.43	NA	35.538	-130.426
26	1	26	17.048	12.349	0	2	90.5	4.995	0.828	NA	0.112	NA	63.435	27.897
27	1	27	16.848	12.099	0	2	41	5.315	0.522	NA	0.32	NA	-128.66	167.905
28	1	28	17.098	12.399	0	2	33	5.706	0.894	NA	0.39	NA	50.194	178.854
29	1	29	16.848	12.499	0	2	115.5	5.975	0.912	NA	0.269	NA	158.199	108.004
30	1	30	16.998	12.849	0	2	41	6.356	1.285	NA	0.381	NA	66.801	-91.397
31	1	31	17.148	13.349	0	2	61.75	6.878	1.807	NA	0.522	NA	73.301	6.499
32	1	32	17.348	14.548	0	2	53.25	8.094	3.02	NA	1.216	NA	80.538	7.237
33	2	1	17.848	13.499	0	2	74	0	0	NA	NA	NA	NA	NA
34	2	2	17.998	13.999	0	2	66	0.522	0.522	NA	0.522	NA	73.301	NA
35	2	3	18.048	14.099	0	2	49.5	0.634	0.632	NA	0.112	NA	63.435	-9.866
36	2	4	18.048	14.099	0	2	57.5	0.634	0.632	NA	0	NA	0	-63.435
37	2	5	18.048	14.099	0	2	74	0.634	0.632	NA	0	NA	0	0
38	2	6	18.148	14.299	0	2	66	0.857	0.854	NA	0.224	NA	63.435	63.435
39	2	7	18.248	15.098	0	2	90.5	1.663	1.649	NA	0.806	NA	82.875	19.44
40	2	8	18.448	15.198	0	2	82.5	1.887	1.803	NA	0.224	NA	26.565	-56.31
41	2	9	18.248	14.848	0	2	107	2.29	1.408	NA	0.403	NA	-119.745	-146.31
42	2	10	18.348	14.948	0	2	41	2.432	1.534	NA	0.141	NA	45	164.745
43	2	11	18.348	15.748	0	2	57.25	3.231	2.305	NA	0.8	NA	90	45
44	2	12	17.998	14.998	0	2	16	4.059	1.507	NA	0.828	NA	-115.017	154.983
45	2	13	18.098	14.898	0	2	49	4.2	1.422	NA	0.141	NA	-45	70.017
46	2	14	18.198	15.198	0	2	132	4.517	1.735	NA	0.316	NA	71.565	116.565
47	2	15	18.448	15.698	0	2	90.5	5.076	2.28	NA	0.559	NA	63.435	-8.13
48	2	16	18.448	15.898	0	2	57.5	5.276	2.474	NA	0.2	NA	90	26.565
49	2	17	18.398	16.148	0	2	33	5.53	2.706	NA	0.255	NA	101.31	11.31
50	2	18	18.398	16.198	0	2	66	5.58	2.755	NA	0.05	NA	90	-11.31
51	2	19	18.098	16.648	0	2	57.5	6.121	3.16	NA	0.541	NA	123.69	33.69
52	2	20	18.448	16.998	0	2	49	6.616	3.551	NA	0.495	NA	45	-78.69
53	3	1	19.698	22.598	0	2	33	0	0	NA	NA	NA	NA	NA
54	3	2	19.548	22.548	0	2	86.25	0.158	0.158	NA	0.158	NA	-161.565	NA
55	3	3	19.548	22.548	0	2	49.25	0.158	0.158	NA	0	NA	0	161.565
56	3	4	19.498	21.948	0	2	82	0.76	0.68	NA	0.602	NA	-94.764	-94.764
57	3	5	19.148	22.048	0	2	103	1.124	0.778	NA	0.364	NA	164.055	-101.182
58	3	6	19.098	21.948	0	2	115.5	1.236	0.884	NA	0.112	NA	-116.565	79.38
59	3	7	19.048	21.948	0	2	78	1.286	0.919	NA	0.05	NA	180	-63.435
60	3	8	19.148	21.998	0	2	82.5	1.398	0.814	NA	0.112	NA	26.565	-153.435
61	3	9	19.098	21.998	0	2	49	1.448	0.848	NA	0.05	NA	180	153.435
62	3	10	19.148	22.198	0	2	82.5	1.654	0.68	NA	0.206	NA	75.964	-104.036
63	3	11	19.048	22.248	0	2	94.5	1.766	0.738	NA	0.112	NA	153.435	77.471
64	3	12	19.098	22.148	0	2	148.5	1.877	0.75	NA	0.112	NA	-63.435	143.13
65	3	13	18.948	22.198	0	2	82.5	2.035	0.85	NA	0.158	NA	161.565	-135
66	3	14	18.548	22.048	0	2	65.75	2.463	1.275	NA	0.427	NA	-159.444	38.991
67	3	15	18.998	22.598	0	2	33	3.173	0.7	NA	0.711	NA	50.711	-149.845
68	3	16	19.048	22.598	0	2	74	3.223	0.65	NA	0.05	NA	0	-50.711
69	3	17	19.448	22.848	0	2	53.25	3.695	0.354	NA	0.472	NA	32.005	32.005
70	3	18	19.098	22.448	0	2	74	4.226	0.618	NA	0.531	NA	-131.186	-163.191
71	3	19	18.898	22.348	0	2	82.5	4.45	0.838	NA	0.224	NA	-153.435	-22.249
72	3	20	18.798	22.348	0	2	82.5	4.55	0.934	NA	0.1	NA	180	-26.565
73	3	21	19.048	22.448	0	2	86.75	4.819	0.667	NA	0.269	NA	21.801	-158.199
74	3	22	19.098	22.498	0	2	82	4.89	0.608	NA	0.071	NA	45	23.199
