Nr	TID	PID	x [micron]	y [micron]	t [sec]	c [idx]	I [val]	Len [micron]	D2S [micron]	D2R [micron]	D2P [micron]	v [micron/sec]	? [deg]	?? [deg]
1	1	1	14.289	12.451	0	2	167	0	0	NA	NA	NA	NA	NA
2	1	2	15.137	12.216	0	2	83	0.88	0.88	NA	0.88	NA	-15.524	NA
3	1	3	15.844	11.98	0	2	18	1.625	1.625	NA	0.745	NA	-18.435	-2.911
4	1	4	16.975	11.603	0	2	0	2.817	2.817	NA	1.192	NA	-18.435	0
5	1	5	18.53	11.226	0	2	55	4.417	4.414	NA	1.6	NA	-13.627	4.808
6	1	6	18.812	11.085	0	2	0	4.733	4.725	NA	0.316	NA	-26.565	-12.938
7	2	1	18.059	7.504	0	2	233	0	0	NA	NA	NA	NA	NA
8	2	2	18.059	7.504	0	2	255	0	0	NA	0	NA	0	NA
9	2	3	18.059	7.504	0	2	223	0	0	NA	0	NA	0	0
10	2	4	18.106	7.598	0	2	233	0.105	0.105	NA	0.105	NA	63.435	63.435
11	2	5	18.106	7.598	0	2	195	0.105	0.105	NA	0	NA	0	-63.435
12	2	6	18.106	7.598	0	2	255	0.105	0.105	NA	0	NA	0	0
13	2	7	18.294	7.645	0	2	195	0.3	0.275	NA	0.194	NA	14.036	14.036
14	2	8	18.294	7.645	0	2	102	0.3	0.275	NA	0	NA	0	-14.036
15	2	9	18.294	7.645	0	2	111	0.3	0.275	NA	0	NA	0	0
16	2	10	18.294	7.598	0	2	214	0.347	0.254	NA	0.047	NA	-90	-90
17	2	11	18.341	7.598	0	2	195	0.394	0.298	NA	0.047	NA	0	90
18	2	12	18.53	7.551	0	2	139	0.588	0.474	NA	0.194	NA	-14.036	-14.036
19	2	13	18.812	7.504	0	2	111	0.875	0.754	NA	0.287	NA	-9.462	4.574
20	2	14	18.765	7.692	0	2	167	1.069	0.731	NA	0.194	NA	104.036	113.499
21	2	15	18.907	8.069	0	2	93	1.472	1.019	NA	0.403	NA	69.444	-34.592
22	2	16	18.718	7.928	0	2	158	1.707	0.784	NA	0.236	NA	-143.13	147.426
23	2	17	18.765	7.928	0	2	149	1.754	0.824	NA	0.047	NA	0	143.13
