Nr	TID	PID	x [micron]	y [micron]	t [sec]	c [idx]	I [val]	Len [micron]	D2S [micron]	D2R [micron]	D2P [micron]	v [micron/sec]	? [deg]	?? [deg]
1	1	1	19.697	25.086	0	2	81	0	0	NA	NA	NA	NA	NA
2	1	2	20.106	25.004	0	2	34	0.416	0.416	NA	0.416	NA	-11.31	NA
3	1	3	19.697	25.168	0	2	46	0.856	0.082	NA	0.44	NA	158.199	169.509
4	1	4	19.452	25.249	0	2	128	1.114	0.294	NA	0.258	NA	161.565	3.366
5	1	5	19.534	26.066	0	2	163	1.935	0.993	NA	0.821	NA	84.289	-77.276
6	1	6	19.861	27.291	0	2	139	3.202	2.211	NA	1.268	NA	75.069	-9.221
7	1	7	20.269	28.27	0	2	34	4.264	3.235	NA	1.061	NA	67.38	-7.688
8	1	8	20.269	27.699	0	2	174	4.835	2.674	NA	0.572	NA	-90	-157.38
9	1	9	20.269	27.699	0	2	209	4.835	2.674	NA	0	NA	0	90
10	1	10	20.269	27.699	0	2	174	4.835	2.674	NA	0	NA	0	0
11	1	11	20.514	27.78	0	2	163	5.093	2.815	NA	0.258	NA	18.435	18.435
12	1	12	20.269	26.148	0	2	128	6.745	1.206	NA	1.651	NA	-98.531	-116.966
13	1	13	20.269	26.148	0	2	151	6.745	1.206	NA	0	NA	0	98.531
14	1	14	20.269	26.229	0	2	128	6.826	1.278	NA	0.082	NA	90	90
15	1	15	20.269	26.474	0	2	209	7.071	1.501	NA	0.245	NA	90	0
16	1	16	20.269	26.474	0	2	116	7.071	1.501	NA	0	NA	0	-90
17	1	17	20.106	27.291	0	2	58	7.904	2.242	NA	0.833	NA	101.31	101.31
18	1	18	20.351	27.536	0	2	209	8.25	2.535	NA	0.346	NA	45	-56.31
19	1	19	20.351	27.372	0	2	255	8.414	2.378	NA	0.163	NA	-90	-135
20	1	20	20.351	27.372	0	2	163	8.414	2.378	NA	0	NA	0	90
21	1	21	20.351	27.372	0	2	174	8.414	2.378	NA	0	NA	0	0
22	1	22	20.759	27.699	0	2	58	8.936	2.82	NA	0.523	NA	38.66	38.66
23	1	23	20.759	27.78	0	2	46	9.018	2.896	NA	0.082	NA	90	51.34
24	1	24	20.432	27.78	0	2	104	9.345	2.793	NA	0.327	NA	180	90
25	1	25	20.432	28.025	0	2	104	9.589	3.03	NA	0.245	NA	90	-90
26	1	26	20.514	28.025	0	2	104	9.671	3.051	NA	0.082	NA	0	-90
27	1	27	20.514	28.025	0	2	93	9.671	3.051	NA	0	NA	0	0
28	1	28	20.759	28.025	0	2	11	9.916	3.125	NA	0.245	NA	0	0
29	1	29	19.452	27.291	0	2	11	11.415	2.218	NA	1.499	NA	-150.642	-150.642
30	1	30	19.452	27.291	0	2	11	11.415	2.218	NA	0	NA	0	150.642
31	1	31	19.452	27.291	0	2	0	11.415	2.218	NA	0	NA	0	0
32	2	1	21.739	29.168	0	2	46	0	0	NA	NA	NA	NA	NA
33	2	2	21.575	28.597	0	2	46	0.594	0.594	NA	0.594	NA	-105.945	NA
34	2	3	22.065	29.25	0	2	11	1.411	0.337	NA	0.816	NA	53.13	159.075
35	2	4	22.065	29.25	0	2	58	1.411	0.337	NA	0	NA	0	-53.13
36	2	5	22.065	29.25	0	2	23	1.411	0.337	NA	0	NA	0	0
37	2	6	22.065	29.25	0	2	11	1.411	0.337	NA	0	NA	0	0
38	2	7	21.82	29.413	0	2	34	1.705	0.258	NA	0.294	NA	146.31	146.31
39	2	8	22.147	29.087	0	2	46	2.167	0.416	NA	0.462	NA	-45	168.69
40	2	9	22.065	29.087	0	2	0	2.249	0.337	NA	0.082	NA	180	-135
41	2	10	22.065	29.005	0	2	23	2.33	0.365	NA	0.082	NA	-90	90
42	2	11	22.065	29.005	0	2	11	2.33	0.365	NA	0	NA	0	90
43	2	12	22.392	28.842	0	2	0	2.696	0.73	NA	0.365	NA	-26.565	-26.565
44	2	13	22.473	29.005	0	2	11	2.878	0.753	NA	0.183	NA	63.435	90
45	2	14	22.473	29.005	0	2	23	2.878	0.753	NA	0	NA	0	-63.435
46	2	15	22.31	29.25	0	2	58	3.173	0.577	NA	0.294	NA	123.69	123.69
