Nr	CID	TID	PID	x [micron]	y [micron]	t [sec]	c [idx]	I [val]	Len [micron]	D2S [micron]	D2R [micron]	D2P [micron]	v [micron/sec]	? [deg]	?? [deg]
1	1	1	1	7.366	11.508	0	2	83	0	0	NA	NA	NA	NA	NA
2	1	1	2	7.366	11.508	0	2	65	0	0	NA	0	NA	0	NA
3	1	1	3	6.774	11.635	0	2	83	0.605	0.605	NA	0.605	NA	167.905	167.905
4	1	1	4	6.985	11.55	0	2	55	0.833	0.383	NA	0.228	NA	-21.801	170.293
5	1	1	5	7.366	11.804	0	2	55	1.29	0.296	NA	0.457	NA	33.69	55.491
6	1	1	6	7.112	11.931	0	2	65	1.574	0.493	NA	0.284	NA	153.435	119.745
7	1	1	7	7.112	11.804	0	2	74	1.7	0.39	NA	0.127	NA	-90	116.565
8	1	1	8	7.112	11.804	0	2	93	1.7	0.39	NA	0	NA	0	90
9	1	1	9	6.816	11.888	0	2	83	2.008	0.668	NA	0.308	NA	164.055	164.055
10	1	1	10	7.07	11.846	0	2	55	2.265	0.449	NA	0.257	NA	-9.462	-173.517
11	1	1	11	7.196	11.931	0	2	55	2.418	0.455	NA	0.152	NA	33.69	43.152
12	1	1	12	7.281	11.931	0	2	18	2.502	0.431	NA	0.085	NA	0	-33.69
13	1	1	13	7.366	11.804	0	2	18	2.655	0.296	NA	0.152	NA	-56.31	-56.31
14	1	1	14	7.577	11.888	0	2	37	2.882	0.435	NA	0.228	NA	21.801	78.111
15	1	1	15	7.535	11.846	0	2	46	2.942	0.378	NA	0.06	NA	-135	-156.801
16	1	1	16	7.788	11.888	0	2	37	3.199	0.569	NA	0.257	NA	9.462	144.462
17	1	1	17	7.746	12.058	0	2	65	3.373	0.668	NA	0.174	NA	104.036	94.574
18	1	1	18	7.873	12.396	0	2	27	3.735	1.022	NA	0.361	NA	69.444	-34.592
19	1	1	19	7.873	12.058	0	2	37	4.073	0.748	NA	0.338	NA	-90	-159.444
20	1	1	20	7.915	12.058	0	2	65	4.115	0.777	NA	0.042	NA	0	90
21	1	1	21	7.915	12.058	0	2	46	4.115	0.777	NA	0	NA	0	0
22	1	1	22	7.873	12.015	0	2	46	4.175	0.717	NA	0.06	NA	-135	-135
23	1	1	23	7.873	12.015	0	2	9	4.175	0.717	NA	0	NA	0	135
24	1	1	24	7.873	11.973	0	2	65	4.217	0.688	NA	0.042	NA	-90	-90
25	1	1	25	7.915	11.973	0	2	18	4.259	0.72	NA	0.042	NA	0	90
26	1	1	26	7.873	11.973	0	2	74	4.302	0.688	NA	0.042	NA	180	180
27	1	1	27	7.873	11.973	0	2	55	4.302	0.688	NA	0	NA	0	-180
28	1	1	28	8.169	12.058	0	2	46	4.609	0.973	NA	0.308	NA	15.945	15.945
29	1	1	29	8.211	12.1	0	2	37	4.669	1.032	NA	0.06	NA	45	29.055
30	1	1	30	8.211	12.1	0	2	55	4.669	1.032	NA	0	NA	0	-45
31	1	1	31	8.211	12.311	0	2	55	4.88	1.166	NA	0.211	NA	90	90
32	1	1	32	8.084	12.48	0	2	74	5.092	1.209	NA	0.211	NA	126.87	36.87
33	1	1	33	8.211	12.48	0	2	65	5.219	1.288	NA	0.127	NA	0	-126.87
34	1	1	34	8.253	12.734	0	2	27	5.476	1.513	NA	0.257	NA	80.538	80.538
35	1	1	35	8.253	12.734	0	2	0	5.476	1.513	NA	0	NA	0	-80.538
36	1	1	36	8.507	12.565	0	2	65	5.781	1.555	NA	0.305	NA	-33.69	-33.69
37	1	1	37	8.507	12.565	0	2	55	5.781	1.555	NA	0	NA	0	33.69
38	1	1	38	8.507	12.565	0	2	37	5.781	1.555	NA	0	NA	0	0
39	1	1	39	8.549	12.734	0	2	27	5.955	1.704	NA	0.174	NA	75.964	75.964
40	1	1	40	8.549	12.734	0	2	55	5.955	1.704	NA	0	NA	0	-75.964
41	1	1	41	8.76	12.692	0	2	37	6.17	1.829	NA	0.216	NA	-11.31	-11.31
42	1	1	42	8.718	12.692	0	2	46	6.213	1.797	NA	0.042	NA	180	-168.69
43	1	1	43	8.845	12.734	0	2	37	6.346	1.921	NA	0.134	NA	18.435	-161.565
44	1	1	44	9.268	12.522	0	2	27	6.819	2.156	NA	0.473	NA	-26.565	-45
45	1	1	45	9.225	12.396	0	2	74	6.953	2.061	NA	0.134	NA	-108.435	-81.87
46	1	1	46	8.845	12.396	0	2	37	7.333	1.725	NA	0.38	NA	180	-71.565
47	1	1	47	8.803	12.396	0	2	65	7.375	1.689	NA	0.042	NA	180	0
48	1	1	48	9.268	12.227	0	2	83	7.87	2.033	NA	0.495	NA	-19.983	160.017
49	1	1	49	9.268	12.227	0	2	65	7.87	2.033	NA	0	NA	0	19.983
50	1	1	50	9.183	12.269	0	2	46	7.965	1.97	NA	0.095	NA	153.435	153.435
51	1	2	1	13.495	12.184	0	2	167	0	0	NA	NA	NA	NA	NA
52	1	2	2	13.495	12.184	0	2	130	0	0	NA	0	NA	0	NA
53	1	2	3	13.495	12.184	0	2	158	0	0	NA	0	NA	0	0
54	1	2	4	13.495	12.184	0	2	121	0	0	NA	0	NA	0	0
55	1	2	5	13.664	12.184	0	2	83	0.169	0.169	NA	0.169	NA	0	0
56	1	2	6	13.579	12.142	0	2	74	0.264	0.095	NA	0.095	NA	-153.435	-153.435
57	1	2	7	13.579	12.142	0	2	27	0.264	0.095	NA	0	NA	0	153.435
58	1	2	8	13.41	12.058	0	2	74	0.453	0.152	NA	0.189	NA	-153.435	-153.435
59	1	2	9	13.495	12.058	0	2	130	0.537	0.127	NA	0.085	NA	0	153.435
60	1	2	10	13.283	12.058	0	2	111	0.749	0.246	NA	0.211	NA	180	180
61	1	2	11	13.283	12.058	0	2	102	0.749	0.246	NA	0	NA	0	-180
62	1	2	12	13.833	12.142	0	2	102	1.305	0.341	NA	0.556	NA	8.746	8.746
63	1	2	13	14.086	12.015	0	2	55	1.588	0.615	NA	0.284	NA	-26.565	-35.311
64	1	2	14	14.086	12.015	0	2	158	1.588	0.615	NA	0	NA	0	26.565
65	1	2	15	14.086	11.973	0	2	74	1.63	0.628	NA	0.042	NA	-90	-90
66	1	2	16	14.086	11.973	0	2	111	1.63	0.628	NA	0	NA	0	90
67	1	2	17	14.086	11.973	0	2	111	1.63	0.628	NA	0	NA	0	0
68	1	2	18	13.791	11.973	0	2	149	1.926	0.364	NA	0.296	NA	180	180
69	1	2	19	13.748	11.973	0	2	93	1.968	0.33	NA	0.042	NA	180	0
70	1	2	20	13.96	11.973	0	2	167	2.18	0.511	NA	0.211	NA	0	-180
71	1	2	21	13.96	11.973	0	2	121	2.18	0.511	NA	0	NA	0	0
72	1	2	22	13.917	11.973	0	2	139	2.222	0.473	NA	0.042	NA	180	180
73	1	2	23	14.129	11.973	0	2	102	2.433	0.668	NA	0.211	NA	0	-180
74	1	2	24	14.171	11.846	0	2	121	2.567	0.756	NA	0.134	NA	-71.565	-71.565
75	1	2	25	14.213	11.804	0	2	102	2.627	0.813	NA	0.06	NA	-45	26.565
76	1	2	26	14.213	11.804	0	2	139	2.627	0.813	NA	0	NA	0	45
77	1	2	27	14.213	11.804	0	2	111	2.627	0.813	NA	0	NA	0	0
78	1	2	28	14.171	11.888	0	2	102	2.721	0.738	NA	0.095	NA	116.565	116.565
79	1	2	29	14.298	11.888	0	2	111	2.848	0.856	NA	0.127	NA	0	-116.565
80	1	2	30	14.213	11.931	0	2	74	2.943	0.762	NA	0.095	NA	153.435	153.435
81	1	2	31	14.213	11.931	0	2	65	2.943	0.762	NA	0	NA	0	-153.435
82	1	2	32	14.298	11.973	0	2	102	3.037	0.83	NA	0.095	NA	26.565	26.565
83	1	2	33	14.34	12.015	0	2	46	3.097	0.862	NA	0.06	NA	45	18.435
84	1	2	34	14.594	12.1	0	2	74	3.364	1.102	NA	0.267	NA	18.435	-26.565
85	1	2	35	14.678	12.142	0	2	55	3.459	1.184	NA	0.095	NA	26.565	8.13
86	1	2	36	14.594	12.1	0	2	83	3.553	1.102	NA	0.095	NA	-153.435	-180
87	1	2	37	14.721	12.058	0	2	102	3.687	1.232	NA	0.134	NA	-18.435	135
88	1	2	38	14.721	11.931	0	2	65	3.814	1.252	NA	0.127	NA	-90	-71.565
89	1	2	39	14.847	11.888	0	2	83	3.948	1.385	NA	0.134	NA	-18.435	71.565
90	1	2	40	15.059	11.888	0	2	37	4.159	1.592	NA	0.211	NA	0	18.435
91	1	2	41	14.636	11.846	0	2	46	4.584	1.19	NA	0.425	NA	-174.289	-174.289
92	1	2	42	14.805	11.762	0	2	55	4.773	1.377	NA	0.189	NA	-26.565	147.724
93	1	2	43	14.805	11.762	0	2	74	4.773	1.377	NA	0	NA	0	26.565
94	1	2	44	14.763	11.804	0	2	65	4.833	1.324	NA	0.06	NA	135	135
95	1	2	45	14.763	11.804	0	2	139	4.833	1.324	NA	0	NA	0	-135
96	1	2	46	14.89	11.804	0	2	65	4.959	1.446	NA	0.127	NA	0	0
97	1	2	47	14.721	11.888	0	2	111	5.148	1.261	NA	0.189	NA	153.435	153.435
98	1	2	48	14.763	11.846	0	2	46	5.208	1.312	NA	0.06	NA	-45	161.565
99	1	2	49	14.847	11.846	0	2	18	5.293	1.394	NA	0.085	NA	0	45
100	1	2	50	14.847	11.593	0	2	65	5.546	1.476	NA	0.254	NA	-90	-90
101	1	3	1	20.3	12.142	0	2	93	0	0	NA	NA	NA	NA	NA
102	1	3	2	19.962	11.888	0	2	223	0.423	0.423	NA	0.423	NA	-143.13	NA
103	1	3	3	20.342	11.677	0	2	93	0.858	0.467	NA	0.435	NA	-29.055	114.075
104	1	3	4	20.3	11.804	0	2	130	0.992	0.338	NA	0.134	NA	108.435	137.49
105	1	3	5	20.3	11.762	0	2	93	1.034	0.38	NA	0.042	NA	-90	161.565
106	1	3	6	20.173	11.593	0	2	121	1.245	0.564	NA	0.211	NA	-126.87	-36.87
107	1	3	7	20.131	11.677	0	2	37	1.34	0.495	NA	0.095	NA	116.565	-116.565
108	1	3	8	20.258	11.846	0	2	130	1.551	0.299	NA	0.211	NA	53.13	-63.435
109	1	3	9	20.427	11.762	0	2	93	1.74	0.401	NA	0.189	NA	-26.565	-79.695
110	1	3	10	20.342	11.719	0	2	37	1.835	0.425	NA	0.095	NA	-153.435	-126.87
111	1	3	11	22.54	12.734	0	2	37	4.255	2.317	NA	2.421	NA	24.775	178.21
112	1	3	12	22.287	12.649	0	2	102	4.523	2.05	NA	0.267	NA	-161.565	173.66
113	1	4	1	12.184	13.241	0	2	65	0	0	NA	NA	NA	NA	NA
114	1	4	2	12.565	13.41	0	2	46	0.416	0.416	NA	0.416	NA	23.962	NA
115	1	4	3	12.565	13.41	0	2	121	0.416	0.416	NA	0	NA	0	-23.962
116	1	4	4	12.818	13.368	0	2	93	0.673	0.647	NA	0.257	NA	-9.462	-9.462
117	1	4	5	12.565	13.326	0	2	55	0.931	0.39	NA	0.257	NA	-170.538	-161.075
118	1	4	6	13.241	13.157	0	2	102	1.628	1.06	NA	0.697	NA	-14.036	156.501
119	1	4	7	13.452	13.241	0	2	83	1.855	1.268	NA	0.228	NA	21.801	35.838
120	1	4	8	13.283	13.241	0	2	55	2.024	1.099	NA	0.169	NA	180	158.199
121	1	4	9	13.664	13.326	0	2	37	2.414	1.482	NA	0.39	NA	12.529	-167.471
122	1	5	1	20.765	12.734	0	2	74	0	0	NA	NA	NA	NA	NA
123	1	5	2	21.103	12.607	0	2	46	0.361	0.361	NA	0.361	NA	-20.556	NA
124	1	5	3	20.934	12.522	0	2	18	0.55	0.271	NA	0.189	NA	-153.435	-132.879
125	1	5	4	21.146	12.142	0	2	37	0.985	0.704	NA	0.435	NA	-60.945	92.49
126	1	5	5	21.103	12.438	0	2	37	1.284	0.449	NA	0.299	NA	98.13	159.075
127	1	5	6	21.103	12.734	0	2	27	1.58	0.338	NA	0.296	NA	90	-8.13
128	1	5	7	20.85	12.818	0	2	18	1.848	0.12	NA	0.267	NA	161.565	71.565
129	1	5	8	20.977	12.522	0	2	65	2.169	0.299	NA	0.322	NA	-66.801	131.634
130	1	5	9	20.934	12.396	0	2	37	2.303	0.378	NA	0.134	NA	-108.435	-41.634
131	1	5	10	20.765	12.142	0	2	74	2.608	0.592	NA	0.305	NA	-123.69	-15.255
132	1	6	1	18.271	13.072	0	2	55	0	0	NA	NA	NA	NA	NA
133	1	6	2	18.356	13.03	0	2	46	0.095	0.095	NA	0.095	NA	-26.565	NA
134	1	6	3	18.821	13.283	0	2	37	0.624	0.589	NA	0.53	NA	28.61	55.176
135	1	6	4	19.497	13.41	0	2	37	1.312	1.272	NA	0.688	NA	10.62	-17.991
136	1	6	5	18.821	13.368	0	2	46	1.99	0.624	NA	0.678	NA	-176.424	172.957
137	1	6	6	19.243	13.537	0	2	18	2.445	1.078	NA	0.455	NA	21.801	-161.775
138	1	6	7	18.483	13.326	0	2	55	3.235	0.33	NA	0.79	NA	-164.476	173.723
139	1	6	8	18.736	13.368	0	2	18	3.492	0.551	NA	0.257	NA	9.462	173.938
140	1	6	9	18.736	13.326	0	2	27	3.534	0.53	NA	0.042	NA	-90	-99.462
141	1	7	1	14.932	12.607	0	2	9	0	0	NA	NA	NA	NA	NA
142	1	7	2	15.312	13.579	0	2	37	1.044	1.044	NA	1.044	NA	68.629	NA
143	1	7	3	15.101	13.622	0	2	18	1.26	1.028	NA	0.216	NA	168.69	100.061
144	1	7	4	15.101	13.537	0	2	27	1.344	0.945	NA	0.085	NA	-90	101.31
145	1	7	5	14.974	14.636	0	2	46	2.45	2.029	NA	1.106	NA	96.582	-173.418
146	1	7	6	14.805	14.763	0	2	9	2.662	2.159	NA	0.211	NA	143.13	46.548
147	1	8	1	15.228	12.142	0	2	27	0	0	NA	NA	NA	NA	NA
148	1	8	2	16.115	12.565	0	2	46	0.983	0.983	NA	0.983	NA	25.463	NA
149	1	8	3	15.989	12.522	0	2	55	1.117	0.851	NA	0.134	NA	-161.565	172.972
150	1	8	4	15.989	12.522	0	2	74	1.117	0.851	NA	0	NA	0	161.565
151	1	8	5	16.285	12.565	0	2	46	1.416	1.138	NA	0.299	NA	8.13	8.13
152	1	8	6	16.073	12.776	0	2	37	1.715	1.057	NA	0.299	NA	135	126.87
153	1	8	7	16.115	12.438	0	2	27	2.055	0.936	NA	0.341	NA	-82.875	142.125
154	1	8	8	16.242	12.692	0	2	46	2.339	1.154	NA	0.284	NA	63.435	146.31
155	1	9	1	23.259	12.565	0	2	55	0	0	NA	NA	NA	NA	NA
156	1	9	2	21.864	12.607	0	2	46	1.396	1.396	NA	1.396	NA	178.264	NA
157	1	9	3	19.455	12.227	0	2	18	3.835	3.819	NA	2.439	NA	-171.027	10.708
158	1	9	4	17.214	11.973	0	2	65	6.089	6.074	NA	2.255	NA	-173.541	-2.514
159	1	9	5	17.849	12.269	0	2	177	6.789	5.419	NA	0.7	NA	25.017	-161.442
160	1	9	6	16.707	12.227	0	2	37	7.931	6.561	NA	1.142	NA	-177.879	157.104
161	1	10	1	17.214	13.41	0	2	37	0	0	NA	NA	NA	NA	NA
162	1	10	2	17.553	13.495	0	2	37	0.349	0.349	NA	0.349	NA	14.036	NA
163	1	10	3	17.51	13.833	0	2	46	0.689	0.516	NA	0.341	NA	97.125	83.089
164	1	10	4	17.553	13.622	0	2	55	0.905	0.399	NA	0.216	NA	-78.69	-175.815
165	1	10	5	17.426	13.495	0	2	37	1.084	0.228	NA	0.179	NA	-135	-56.31
166	1	10	6	17.806	13.495	0	2	27	1.465	0.598	NA	0.38	NA	0	135
167	1	10	7	17.426	13.368	0	2	18	1.866	0.216	NA	0.401	NA	-161.565	-161.565
168	1	10	8	17.679	13.368	0	2	18	2.119	0.467	NA	0.254	NA	0	161.565
169	1	10	9	17.51	13.579	0	2	46	2.39	0.341	NA	0.271	NA	128.66	128.66
170	1	10	10	18.102	13.579	0	2	9	2.982	0.904	NA	0.592	NA	0	-128.66
171	1	10	11	17.764	13.41	0	2	18	3.36	0.55	NA	0.378	NA	-153.435	-153.435
172	1	10	12	17.13	13.283	0	2	0	4.006	0.152	NA	0.647	NA	-168.69	-15.255
173	1	11	1	17.849	12.734	0	2	102	0	0	NA	NA	NA	NA	NA
174	1	11	2	17.595	12.649	0	2	102	0.267	0.267	NA	0.267	NA	-161.565	NA
175	1	11	3	17.764	12.692	0	2	111	0.442	0.095	NA	0.174	NA	14.036	175.601
176	1	11	4	19.201	12.649	0	2	255	1.879	1.355	NA	1.438	NA	-1.685	-15.721
177	1	11	5	17.975	12.522	0	2	111	3.112	0.246	NA	1.232	NA	-174.094	-172.409
178	1	11	6	18.144	12.649	0	2	139	3.323	0.308	NA	0.211	NA	36.87	-149.036
179	1	11	7	18.102	12.692	0	2	111	3.383	0.257	NA	0.06	NA	135	98.13
180	1	11	8	17.426	12.692	0	2	18	4.059	0.425	NA	0.676	NA	180	45
181	1	11	9	18.694	12.818	0	2	111	5.334	0.85	NA	1.274	NA	5.711	-174.289
182	1	11	10	18.525	12.734	0	2	111	5.523	0.676	NA	0.189	NA	-153.435	-159.146
183	1	11	11	18.948	13.072	0	2	102	6.064	1.15	NA	0.541	NA	38.66	-167.905
184	1	11	12	18.229	12.522	0	2	37	6.969	0.435	NA	0.905	NA	-142.595	178.746
185	1	12	1	21.357	12.903	0	2	37	0	0	NA	NA	NA	NA	NA
186	1	12	2	20.047	12.353	0	2	65	1.421	1.421	NA	1.421	NA	-157.249	NA
187	1	12	3	19.582	12.565	0	2	9	1.932	1.807	NA	0.511	NA	155.556	-47.195
188	1	12	4	19.92	12.734	0	2	27	2.31	1.447	NA	0.378	NA	26.565	-128.991
189	1	12	5	20.216	12.522	0	2	27	2.673	1.203	NA	0.364	NA	-35.538	-62.103
190	1	12	6	19.497	12.649	0	2	37	3.403	1.877	NA	0.73	NA	169.992	-154.47
191	1	12	7	20.3	12.311	0	2	55	4.274	1.211	NA	0.871	NA	-22.834	167.174
192	1	12	8	23.597	12.269	0	2	46	7.572	2.328	NA	3.297	NA	-0.735	22.099
193	1	12	9	24.147	11.635	0	2	37	8.411	3.065	NA	0.839	NA	-49.086	-48.351
194	1	13	1	14.594	9.902	0	2	46	0	0	NA	NA	NA	NA	NA
195	1	13	2	14.721	9.944	0	2	177	0.134	0.134	NA	0.134	NA	18.435	NA
196	1	13	3	14.847	9.986	0	2	46	0.267	0.267	NA	0.134	NA	18.435	0
197	1	13	4	14.721	10.282	0	2	55	0.589	0.401	NA	0.322	NA	113.199	94.764
