Nr	TID	PID	x [micron]	y [micron]	t [sec]	c [idx]	I [val]	Len [micron]	D2S [micron]	D2R [micron]	D2P [micron]	v [micron/sec]	? [deg]	?? [deg]
1	1	1	16.872	24.758	0	2	55	0	0	NA	NA	NA	NA	NA
2	1	2	17.09	24.758	0	2	102	0.218	0.218	NA	0.218	NA	0	NA
3	1	3	17.264	24.497	0	2	242	0.532	0.471	NA	0.314	NA	-56.31	-56.31
4	1	4	17.438	24.497	0	2	74	0.706	0.624	NA	0.174	NA	0	56.31
5	1	5	17.656	24.497	0	2	46	0.924	0.827	NA	0.218	NA	0	0
6	1	6	17.656	24.497	0	2	65	0.924	0.827	NA	0	NA	0	0
7	1	7	17.656	24.497	0	2	55	0.924	0.827	NA	0	NA	0	0
8	1	8	18.353	24.104	0	2	27	1.724	1.619	NA	0.8	NA	-29.358	-29.358
9	2	1	15.521	25.542	0	2	65	0	0	NA	NA	NA	NA	NA
10	2	2	15.521	25.542	0	2	46	0	0	NA	0	NA	0	NA
11	2	3	15.739	25.542	0	2	74	0.218	0.218	NA	0.218	NA	0	0
12	2	4	15.739	25.542	0	2	9	0.218	0.218	NA	0	NA	0	0
13	2	5	15.565	25.542	0	2	9	0.392	0.044	NA	0.174	NA	180	180
14	2	6	15.565	25.542	0	2	74	0.392	0.044	NA	0	NA	0	-180
15	2	7	15.434	25.542	0	2	93	0.523	0.087	NA	0.131	NA	180	180
16	2	8	15.739	25.542	0	2	46	0.828	0.218	NA	0.305	NA	0	-180
17	2	9	15.957	25.281	0	2	65	1.168	0.508	NA	0.34	NA	-50.194	-50.194
18	2	10	15.521	25.324	0	2	55	1.606	0.218	NA	0.438	NA	174.289	-135.516
19	3	1	13.43	24.671	0	2	9	0	0	NA	NA	NA	NA	NA
20	3	2	13.43	24.671	0	2	37	0	0	NA	0	NA	0	NA
21	3	3	13.386	24.584	0	2	46	0.097	0.097	NA	0.097	NA	-116.565	-116.565
22	3	4	13.343	24.54	0	2	46	0.159	0.157	NA	0.062	NA	-135	-18.435
23	3	5	13.561	24.54	0	2	55	0.377	0.185	NA	0.218	NA	0	135
24	3	6	13.648	24.584	0	2	37	0.474	0.235	NA	0.097	NA	26.565	26.565
25	3	7	13.43	24.497	0	2	55	0.709	0.174	NA	0.235	NA	-158.199	175.236
26	3	8	13.996	24.54	0	2	74	1.277	0.581	NA	0.568	NA	4.399	162.597
27	3	9	14.127	24.714	0	2	46	1.495	0.698	NA	0.218	NA	53.13	48.731
28	3	10	13.866	24.627	0	2	27	1.77	0.438	NA	0.276	NA	-161.565	145.305
29	3	11	14.214	24.714	0	2	121	2.13	0.785	NA	0.359	NA	14.036	175.601
30	3	12	14.258	24.714	0	2	65	2.173	0.829	NA	0.044	NA	0	-14.036
31	3	13	14.127	24.932	0	2	46	2.427	0.745	NA	0.254	NA	120.964	120.964
32	3	14	14.432	24.714	0	2	65	2.802	1.003	NA	0.375	NA	-35.538	-156.501
33	3	15	13.866	24.976	0	2	9	3.426	0.532	NA	0.624	NA	155.225	-169.237
34	3	16	13.866	24.758	0	2	55	3.644	0.444	NA	0.218	NA	-90	114.775
35	3	17	13.866	24.845	0	2	74	3.731	0.469	NA	0.087	NA	90	180
36	3	18	13.779	24.889	0	2	9	3.828	0.411	NA	0.097	NA	153.435	63.435
37	3	19	13.343	24.845	0	2	65	4.266	0.195	NA	0.438	NA	-174.289	32.276
