Nr	TID	PID	x [micron]	y [micron]	t [sec]	c [idx]	I [val]	Len [micron]	D2S [micron]	D2R [micron]	D2P [micron]	v [micron/sec]	? [deg]	?? [deg]
1	1	1	20.233	32.144	0	2	195	0	0	NA	NA	NA	NA	NA
2	1	2	20.175	32.202	0	2	177	0.082	0.082	NA	0.082	NA	135	NA
3	1	3	20.175	32.202	0	2	158	0.082	0.082	NA	0	NA	0	-135
4	1	4	20.175	32.202	0	2	214	0.082	0.082	NA	0	NA	0	0
5	1	5	20.175	32.202	0	2	195	0.082	0.082	NA	0	NA	0	0
6	1	6	20.233	32.202	0	2	121	0.14	0.058	NA	0.058	NA	0	0
7	1	7	20.233	32.144	0	2	65	0.198	0	NA	0.058	NA	-90	-90
8	1	8	19.885	32.086	0	2	121	0.552	0.353	NA	0.353	NA	-170.538	-80.538
9	1	9	20.117	32.086	0	2	158	0.784	0.13	NA	0.232	NA	0	170.538
10	1	10	20.291	32.086	0	2	111	0.958	0.082	NA	0.174	NA	0	0
11	1	11	20.291	32.086	0	2	149	0.958	0.082	NA	0	NA	0	0
12	1	12	20.291	32.086	0	2	111	0.958	0.082	NA	0	NA	0	0
13	1	13	20.524	32.434	0	2	27	1.377	0.411	NA	0.419	NA	56.31	56.31
14	1	14	20.059	31.737	0	2	74	2.215	0.442	NA	0.838	NA	-123.69	180
15	1	15	20.001	31.505	0	2	74	2.455	0.68	NA	0.24	NA	-104.036	19.654
16	1	16	19.943	31.214	0	2	18	2.751	0.974	NA	0.296	NA	-101.31	2.726
17	1	17	19.943	31.214	0	2	27	2.751	0.974	NA	0	NA	0	101.31
18	1	18	19.827	31.04	0	2	55	2.961	1.176	NA	0.209	NA	-123.69	-123.69
19	1	19	20.059	31.098	0	2	65	3.2	1.06	NA	0.24	NA	14.036	137.726
20	2	1	21.628	32.492	0	2	251	0	0	NA	NA	NA	NA	NA
21	2	2	20.524	31.156	0	2	65	1.733	1.733	NA	1.733	NA	-129.56	NA
22	2	3	21.512	32.028	0	2	102	3.051	0.479	NA	1.317	NA	41.424	170.983
23	2	4	21.976	32.376	0	2	9	3.632	0.367	NA	0.581	NA	36.87	-4.554
24	2	5	21.744	32.492	0	2	111	3.891	0.116	NA	0.26	NA	153.435	116.565
25	2	6	21.628	32.318	0	2	83	4.101	0.174	NA	0.209	NA	-123.69	82.875
26	2	7	21.744	32.086	0	2	65	4.361	0.423	NA	0.26	NA	-63.435	60.255
