Nr	TID	PID	x [micron]	y [micron]	t [sec]	c [idx]	I [val]	Len [micron]	D2S [micron]	D2R [micron]	D2P [micron]	v [micron/sec]	? [deg]	?? [deg]
1	1	1	25.299	17.877	0	2	0	0	0	NA	NA	NA	NA	NA
2	1	2	25.299	17.877	0	2	0	0	0	NA	0	NA	0	NA
3	1	3	25.222	17.723	0	2	0	0.173	0.173	NA	0.173	NA	-116.565	-116.565
4	1	4	25.222	17.723	0	2	0	0.173	0.173	NA	0	NA	0	116.565
5	1	5	25.222	17.723	0	2	0	0.173	0.173	NA	0	NA	0	0
6	1	6	25.067	17.723	0	2	0	0.327	0.279	NA	0.155	NA	180	180
7	1	7	24.68	17.568	0	2	0	0.744	0.691	NA	0.416	NA	-158.199	21.801
8	1	8	24.68	17.568	0	2	0	0.744	0.691	NA	0	NA	0	158.199
9	1	9	24.68	17.568	0	2	0	0.744	0.691	NA	0	NA	0	0
10	1	10	24.99	17.568	0	2	0	1.053	0.437	NA	0.309	NA	0	0
11	1	11	24.99	17.568	0	2	11	1.053	0.437	NA	0	NA	0	0
12	1	12	24.603	17.645	0	2	11	1.447	0.733	NA	0.394	NA	168.69	168.69
13	1	13	24.294	18.109	0	2	0	2.005	1.031	NA	0.557	NA	123.69	-45
14	1	14	24.294	18.109	0	2	0	2.005	1.031	NA	0	NA	0	-123.69
15	1	15	24.294	17.8	0	2	0	2.314	1.008	NA	0.309	NA	-90	-90
16	1	16	24.526	17.645	0	2	0	2.593	0.807	NA	0.279	NA	-33.69	56.31
17	1	17	24.526	17.645	0	2	0	2.593	0.807	NA	0	NA	0	33.69
18	1	18	24.603	17.491	0	2	0	2.766	0.796	NA	0.173	NA	-63.435	-63.435
19	1	19	24.603	17.413	0	2	0	2.843	0.836	NA	0.077	NA	-90	-26.565
20	1	20	24.603	17.413	0	2	0	2.843	0.836	NA	0	NA	0	90
21	1	21	24.603	17.336	0	2	0	2.92	0.881	NA	0.077	NA	-90	-90
22	1	22	24.68	17.336	0	2	0	2.997	0.822	NA	0.077	NA	0	90
23	1	23	24.835	17.336	0	2	0	3.152	0.713	NA	0.155	NA	0	0
24	1	24	24.835	17.336	0	2	0	3.152	0.713	NA	0	NA	0	0
25	1	25	24.835	17.336	0	2	0	3.152	0.713	NA	0	NA	0	0
26	1	26	24.835	17.259	0	2	0	3.229	0.773	NA	0.077	NA	-90	-90
27	1	27	24.835	17.259	0	2	11	3.229	0.773	NA	0	NA	0	90
28	1	28	24.835	17.182	0	2	0	3.307	0.836	NA	0.077	NA	-90	-90
29	1	29	25.144	17.104	0	2	0	3.625	0.788	NA	0.319	NA	-14.036	75.964
30	1	30	25.222	16.872	0	2	0	3.87	1.008	NA	0.244	NA	-71.565	-57.529
31	1	31	25.222	16.872	0	2	0	3.87	1.008	NA	0	NA	0	71.565
32	1	32	25.222	16.872	0	2	0	3.87	1.008	NA	0	NA	0	0
33	1	33	25.222	16.872	0	2	0	3.87	1.008	NA	0	NA	0	0
34	1	34	25.222	16.95	0	2	0	3.947	0.931	NA	0.077	NA	90	90
35	1	35	24.912	16.872	0	2	0	4.266	1.077	NA	0.319	NA	-165.964	104.036
36	1	36	25.144	16.95	0	2	0	4.51	0.94	NA	0.244	NA	18.435	-175.601
37	1	37	24.835	17.645	0	2	0	5.272	0.519	NA	0.761	NA	113.962	95.528
38	1	38	24.758	17.413	0	2	11	5.516	0.713	NA	0.244	NA	-108.435	137.603
