Nr	TID	PID	x [micron]	y [micron]	t [sec]	c [idx]	I [val]	Len [micron]	D2S [micron]	D2R [micron]	D2P [micron]	v [micron/sec]	? [deg]	?? [deg]
1	1	1	27.775	37.192	0	2	34	0	0	NA	NA	NA	NA	NA
2	1	2	28.518	37.109	0	2	23	0.748	0.748	NA	0.748	NA	-6.34	NA
3	1	3	28.849	37.192	0	2	0	1.089	1.074	NA	0.341	NA	14.036	20.376
4	1	4	28.849	37.274	0	2	11	1.171	1.077	NA	0.083	NA	90	75.964
5	1	5	28.849	37.357	0	2	0	1.254	1.086	NA	0.083	NA	90	0
6	1	6	29.262	37.44	0	2	11	1.675	1.507	NA	0.421	NA	11.31	-78.69
7	1	7	29.262	37.44	0	2	0	1.675	1.507	NA	0	NA	0	-11.31
8	1	8	28.766	37.274	0	2	0	2.197	0.995	NA	0.522	NA	-161.565	-161.565
9	1	9	27.197	37.026	0	2	23	3.786	0.601	NA	1.589	NA	-171.027	-9.462
10	1	10	25.132	36.366	0	2	0	5.954	2.769	NA	2.168	NA	-162.255	8.772
11	1	11	25.132	34.796	0	2	23	7.524	3.567	NA	1.569	NA	-90	72.255
12	1	12	25.297	34.961	0	2	23	7.758	3.334	NA	0.234	NA	45	135
13	1	13	25.214	35.209	0	2	23	8.019	3.238	NA	0.261	NA	108.435	63.435
14	1	14	25.132	35.209	0	2	11	8.101	3.304	NA	0.083	NA	180	71.565
15	1	15	25.132	35.044	0	2	23	8.267	3.406	NA	0.165	NA	-90	90
16	1	16	25.545	35.953	0	2	23	9.265	2.551	NA	0.998	NA	65.556	155.556
17	1	17	25.462	35.622	0	2	11	9.605	2.795	NA	0.341	NA	-104.036	-169.592
18	1	18	25.462	35.457	0	2	11	9.77	2.891	NA	0.165	NA	-90	14.036
19	1	19	25.627	35.374	0	2	0	9.955	2.813	NA	0.185	NA	-26.565	63.435
20	1	20	25.462	35.457	0	2	11	10.14	2.891	NA	0.185	NA	153.435	180
21	1	21	25.462	35.292	0	2	11	10.305	2.993	NA	0.165	NA	-90	116.565
22	1	22	25.462	35.044	0	2	11	10.553	3.156	NA	0.248	NA	-90	0
23	1	23	25.462	35.044	0	2	11	10.553	3.156	NA	0	NA	0	90
24	1	24	25.38	34.548	0	2	11	11.055	3.567	NA	0.502	NA	-99.462	-99.462
25	1	25	25.049	34.135	0	2	0	11.584	4.095	NA	0.529	NA	-128.66	-29.197
26	1	26	25.049	34.714	0	2	0	12.162	3.684	NA	0.578	NA	90	-141.34
27	1	27	25.049	34.796	0	2	23	12.245	3.629	NA	0.083	NA	90	0
28	1	28	25.545	35.209	0	2	23	12.89	2.984	NA	0.645	NA	39.806	-50.194
29	1	29	25.545	35.209	0	2	11	12.89	2.984	NA	0	NA	0	-39.806
30	1	30	25.38	35.374	0	2	11	13.124	3.007	NA	0.234	NA	135	135
31	1	31	25.132	35.374	0	2	23	13.372	3.208	NA	0.248	NA	180	45
32	1	32	25.38	35.374	0	2	11	13.619	3.007	NA	0.248	NA	0	-180
33	1	33	25.875	35.622	0	2	11	14.174	2.464	NA	0.554	NA	26.565	26.565
34	1	34	25.875	35.87	0	2	23	14.421	2.314	NA	0.248	NA	90	63.435
35	1	35	25.958	36.118	0	2	34	14.683	2.111	NA	0.261	NA	71.565	-18.435
36	1	36	25.958	36.118	0	2	11	14.683	2.111	NA	0	NA	0	-71.565
37	1	37	25.875	36.118	0	2	46	14.765	2.182	NA	0.083	NA	180	180
38	1	38	25.875	36.118	0	2	34	14.765	2.182	NA	0	NA	0	-180
39	1	39	26.123	35.787	0	2	0	15.178	2.168	NA	0.413	NA	-53.13	-53.13
40	1	40	26.04	36.118	0	2	0	15.519	2.04	NA	0.341	NA	104.036	157.166
41	1	41	25.875	35.87	0	2	11	15.817	2.314	NA	0.298	NA	-123.69	132.274
42	1	42	25.958	35.787	0	2	11	15.933	2.297	NA	0.117	NA	-45	78.69
43	1	43	26.04	35.953	0	2	23	16.118	2.132	NA	0.185	NA	63.435	108.435
44	1	44	26.04	36.2	0	2	11	16.366	1.998	NA	0.248	NA	90	26.565
45	1	45	25.627	35.622	0	2	0	17.077	2.66	NA	0.711	NA	-125.538	144.462
46	1	46	25.545	35.622	0	2	23	17.159	2.727	NA	0.083	NA	180	-54.462
47	1	47	25.627	35.292	0	2	0	17.5	2.867	NA	0.341	NA	-75.964	104.036
48	1	48	25.545	35.044	0	2	11	17.761	3.096	NA	0.261	NA	-108.435	-32.471
49	2	1	21.497	34.714	0	2	0	0	0	NA	NA	NA	NA	NA
50	2	2	21.415	33.475	0	2	11	1.242	1.242	NA	1.242	NA	-93.814	NA
51	2	3	21.58	33.392	0	2	0	1.426	1.324	NA	0.185	NA	-26.565	67.249
52	2	4	21.58	33.309	0	2	11	1.509	1.407	NA	0.083	NA	-90	-63.435
53	2	5	21.58	33.309	0	2	11	1.509	1.407	NA	0	NA	0	90
54	2	6	21.745	33.392	0	2	0	1.694	1.345	NA	0.185	NA	26.565	26.565
55	2	7	21.91	33.64	0	2	0	1.992	1.151	NA	0.298	NA	56.31	29.745
56	2	8	21.91	33.64	0	2	0	1.992	1.151	NA	0	NA	0	-56.31
57	2	9	22.075	33.475	0	2	11	2.225	1.367	NA	0.234	NA	-45	-45
58	2	10	22.158	33.227	0	2	11	2.486	1.627	NA	0.261	NA	-71.565	-26.565
59	2	11	21.745	33.805	0	2	0	3.197	0.942	NA	0.711	NA	125.538	-162.897
60	2	12	21.91	33.805	0	2	23	3.362	0.998	NA	0.165	NA	0	-125.538
61	2	13	22.241	33.888	0	2	0	3.703	1.111	NA	0.341	NA	14.036	14.036
62	2	14	21.91	33.805	0	2	0	4.043	0.998	NA	0.341	NA	-165.964	-180
63	2	15	22.075	33.722	0	2	0	4.228	1.148	NA	0.185	NA	-26.565	139.399
64	2	16	21.993	33.392	0	2	0	4.569	1.412	NA	0.341	NA	-104.036	-77.471
65	2	17	21.58	33.722	0	2	0	5.098	0.995	NA	0.529	NA	141.34	-114.624
66	2	18	21.993	33.888	0	2	0	5.542	0.963	NA	0.445	NA	21.801	-119.539
67	2	19	21.58	33.888	0	2	11	5.955	0.83	NA	0.413	NA	180	158.199
68	2	20	22.241	34.135	0	2	0	6.661	0.942	NA	0.706	NA	20.556	-159.444
69	2	21	21.993	33.475	0	2	23	7.367	1.334	NA	0.706	NA	-110.556	-131.112
70	2	22	22.075	34.301	0	2	0	8.197	0.711	NA	0.83	NA	84.289	-165.155
71	2	23	21.828	34.631	0	2	0	8.61	0.341	NA	0.413	NA	126.87	42.58
72	2	24	21.91	34.631	0	2	0	8.693	0.421	NA	0.083	NA	0	-126.87
73	2	25	22.075	34.383	0	2	0	8.991	0.666	NA	0.298	NA	-56.31	-56.31
74	3	1	22.241	31.905	0	2	11	0	0	NA	NA	NA	NA	NA
75	3	2	22.241	31.905	0	2	23	0	0	NA	0	NA	0	NA
76	3	3	22.323	31.988	0	2	11	0.117	0.117	NA	0.117	NA	45	45
77	3	4	22.323	31.988	0	2	11	0.117	0.117	NA	0	NA	0	-45
78	3	5	22.323	32.07	0	2	11	0.199	0.185	NA	0.083	NA	90	90
79	3	6	22.323	32.07	0	2	11	0.199	0.185	NA	0	NA	0	-90
80	3	7	22.406	32.236	0	2	11	0.384	0.369	NA	0.185	NA	63.435	63.435
81	3	8	22.406	32.401	0	2	0	0.549	0.522	NA	0.165	NA	90	26.565
82	3	9	21.91	31.905	0	2	69	1.25	0.33	NA	0.701	NA	-135	135
83	3	10	22.158	31.988	0	2	46	1.511	0.117	NA	0.261	NA	18.435	153.435
84	3	11	22.241	32.236	0	2	0	1.773	0.33	NA	0.261	NA	71.565	53.13
85	3	12	22.241	32.236	0	2	0	1.773	0.33	NA	0	NA	0	-71.565
86	3	13	22.241	32.401	0	2	11	1.938	0.496	NA	0.165	NA	90	90
87	3	14	22.323	32.649	0	2	11	2.199	0.748	NA	0.261	NA	71.565	-18.435
88	3	15	22.323	32.236	0	2	0	2.612	0.341	NA	0.413	NA	-90	-161.565
89	3	16	22.406	32.649	0	2	0	3.033	0.762	NA	0.421	NA	78.69	168.69
90	3	17	22.406	32.731	0	2	0	3.116	0.842	NA	0.083	NA	90	11.31
91	3	18	22.488	32.318	0	2	104	3.537	0.482	NA	0.421	NA	-78.69	-168.69
92	3	19	22.654	32.401	0	2	11	3.722	0.645	NA	0.185	NA	26.565	105.255
93	3	20	22.571	32.401	0	2	0	3.804	0.596	NA	0.083	NA	180	153.435
94	3	21	22.406	32.483	0	2	0	3.989	0.601	NA	0.185	NA	153.435	-26.565
95	3	22	22.406	32.483	0	2	11	3.989	0.601	NA	0	NA	0	-153.435
96	3	23	22.323	32.153	0	2	11	4.33	0.261	NA	0.341	NA	-104.036	-104.036
97	3	24	22.488	32.318	0	2	11	4.563	0.482	NA	0.234	NA	45	149.036
98	3	25	22.654	32.483	0	2	11	4.797	0.711	NA	0.234	NA	45	0
99	3	26	22.406	32.483	0	2	0	5.045	0.601	NA	0.248	NA	180	135
100	3	27	22.571	32.401	0	2	46	5.229	0.596	NA	0.185	NA	-26.565	153.435
101	3	28	22.571	32.318	0	2	0	5.312	0.529	NA	0.083	NA	-90	-63.435
102	3	29	22.571	32.318	0	2	0	5.312	0.529	NA	0	NA	0	90
103	3	30	22.571	32.318	0	2	11	5.312	0.529	NA	0	NA	0	0
104	3	31	22.241	32.483	0	2	34	5.681	0.578	NA	0.369	NA	153.435	153.435
105	3	32	22.241	32.731	0	2	0	5.929	0.826	NA	0.248	NA	90	-63.435
106	3	33	22.488	32.153	0	2	69	6.558	0.35	NA	0.629	NA	-66.801	-156.801
107	3	34	22.406	32.401	0	2	46	6.82	0.522	NA	0.261	NA	108.435	175.236
108	3	35	22.323	32.236	0	2	46	7.004	0.341	NA	0.185	NA	-116.565	135
109	3	36	22.323	32.236	0	2	58	7.004	0.341	NA	0	NA	0	116.565
110	3	37	22.241	31.988	0	2	81	7.265	0.083	NA	0.261	NA	-108.435	-108.435
111	3	38	22.158	31.74	0	2	255	7.527	0.185	NA	0.261	NA	-108.435	0
112	3	39	21.993	30.666	0	2	46	8.613	1.264	NA	1.086	NA	-98.746	9.689
113	3	40	21.415	30.005	0	2	34	9.491	2.072	NA	0.878	NA	-131.186	-32.44
114	3	41	21.002	29.344	0	2	11	10.27	2.845	NA	0.779	NA	-122.005	9.181
115	3	42	20.836	29.179	0	2	0	10.504	3.066	NA	0.234	NA	-135	-12.995
116	3	43	20.919	28.849	0	2	104	10.845	3.33	NA	0.341	NA	-75.964	59.036
117	3	44	21.497	30.584	0	2	11	12.673	1.516	NA	1.828	NA	71.565	147.529
118	3	45	22.241	32.566	0	2	0	14.79	0.661	NA	2.117	NA	69.444	-2.121
119	3	46	23.645	34.961	0	2	0	17.567	3.363	NA	2.777	NA	59.621	-9.823
120	3	47	24.223	37.357	0	2	34	20.031	5.801	NA	2.464	NA	76.43	16.809
121	3	48	25.958	39.835	0	2	23	23.056	8.758	NA	3.025	NA	55.008	-21.422
122	4	1	19.68	30.749	0	2	0	0	0	NA	NA	NA	NA	NA
123	4	2	20.176	30.831	0	2	34	0.502	0.502	NA	0.502	NA	9.462	NA
124	4	3	20.176	30.831	0	2	11	0.502	0.502	NA	0	NA	0	-9.462
125	4	4	20.093	30.914	0	2	0	0.619	0.445	NA	0.117	NA	135	135
126	4	5	20.671	31.657	0	2	104	1.561	1.345	NA	0.942	NA	52.125	-82.875
127	4	6	20.093	30.831	0	2	11	2.569	0.421	NA	1.008	NA	-124.992	-177.117
128	4	7	20.176	30.584	0	2	11	2.831	0.522	NA	0.261	NA	-71.565	53.427
129	4	8	20.341	31.327	0	2	34	3.592	0.878	NA	0.762	NA	77.471	149.036
130	4	9	20.01	30.584	0	2	34	4.406	0.369	NA	0.814	NA	-113.962	168.566
131	4	10	20.423	31.079	0	2	11	5.051	0.814	NA	0.645	NA	50.194	164.157
132	4	11	20.671	31.657	0	2	11	5.68	1.345	NA	0.629	NA	66.801	16.607
133	4	12	21.332	32.153	0	2	0	6.506	2.168	NA	0.826	NA	36.87	-29.932
134	5	1	20.093	28.023	0	2	23	0	0	NA	NA	NA	NA	NA
135	5	2	20.176	28.023	0	2	0	0.083	0.083	NA	0.083	NA	0	NA
136	5	3	20.258	28.188	0	2	0	0.267	0.234	NA	0.185	NA	63.435	63.435
137	5	4	19.845	28.188	0	2	46	0.68	0.298	NA	0.413	NA	180	116.565
138	5	5	20.341	28.684	0	2	46	1.381	0.706	NA	0.701	NA	45	-135
139	5	6	20.506	28.931	0	2	0	1.679	0.998	NA	0.298	NA	56.31	11.31
140	5	7	20.589	29.344	0	2	11	2.1	1.412	NA	0.421	NA	78.69	22.38
141	5	8	20.836	29.51	0	2	0	2.398	1.662	NA	0.298	NA	33.69	-45
142	5	9	21.084	30.005	0	2	58	2.952	2.216	NA	0.554	NA	63.435	29.745
143	5	10	21.084	29.923	0	2	23	3.035	2.143	NA	0.083	NA	-90	-153.435
144	5	11	20.836	29.427	0	2	0	3.589	1.589	NA	0.554	NA	-116.565	-26.565
145	5	12	20.836	29.427	0	2	11	3.589	1.589	NA	0	NA	0	116.565
146	5	13	20.836	29.427	0	2	0	3.589	1.589	NA	0	NA	0	0
147	5	14	20.836	29.427	0	2	0	3.589	1.589	NA	0	NA	0	0
148	5	15	20.919	29.84	0	2	23	4.01	1.996	NA	0.421	NA	78.69	78.69
149	5	16	21.084	30.501	0	2	174	4.691	2.669	NA	0.681	NA	75.964	-2.726
150	5	17	21.167	30.749	0	2	128	4.952	2.93	NA	0.261	NA	71.565	-4.399
151	5	18	21.167	30.005	0	2	23	5.696	2.255	NA	0.743	NA	-90	-161.565
152	5	19	21.497	30.418	0	2	0	6.225	2.777	NA	0.529	NA	51.34	141.34
153	5	20	21.332	30.501	0	2	34	6.409	2.771	NA	0.185	NA	153.435	102.095
154	5	21	21.167	30.253	0	2	221	6.707	2.475	NA	0.298	NA	-123.69	82.875
155	5	22	21.249	30.171	0	2	69	6.824	2.439	NA	0.117	NA	-45	78.69
156	5	23	21.332	30.501	0	2	23	7.165	2.771	NA	0.341	NA	75.964	120.964
157	5	24	21.415	30.253	0	2	0	7.426	2.592	NA	0.261	NA	-71.565	-147.529
158	5	25	21.497	30.336	0	2	11	7.543	2.706	NA	0.117	NA	45	116.565
159	6	1	20.176	30.418	0	2	23	0	0	NA	NA	NA	NA	NA
160	6	2	19.597	29.757	0	2	0	0.878	0.878	NA	0.878	NA	-131.186	NA
161	6	3	19.928	29.757	0	2	11	1.208	0.706	NA	0.33	NA	0	131.186
162	6	4	20.341	29.344	0	2	0	1.793	1.086	NA	0.584	NA	-45	-45
163	6	5	20.176	29.014	0	2	46	2.162	1.404	NA	0.369	NA	-116.565	-71.565
164	6	6	20.506	29.179	0	2	34	2.531	1.282	NA	0.369	NA	26.565	143.13
165	6	7	20.671	29.097	0	2	0	2.716	1.412	NA	0.185	NA	-26.565	-53.13
166	6	8	21.497	29.51	0	2	46	3.64	1.604	NA	0.924	NA	26.565	53.13
167	7	1	20.01	33.805	0	2	11	0	0	NA	NA	NA	NA	NA
168	7	2	17.78	31.244	0	2	11	3.396	3.396	NA	3.396	NA	-131.055	NA
169	7	3	17.45	29.51	0	2	0	5.162	5.001	NA	1.766	NA	-100.784	30.271
170	7	4	16.624	28.601	0	2	0	6.39	6.209	NA	1.228	NA	-132.274	-31.489
171	8	1	20.919	26.619	0	2	11	0	0	NA	NA	NA	NA	NA
172	8	2	20.836	26.866	0	2	0	0.261	0.261	NA	0.261	NA	108.435	NA
173	8	3	21.249	27.197	0	2	0	0.79	0.666	NA	0.529	NA	38.66	-69.775
174	8	4	21.167	27.94	0	2	0	1.538	1.345	NA	0.748	NA	96.34	57.68
175	8	5	21.828	27.94	0	2	0	2.199	1.604	NA	0.661	NA	0	-96.34
176	8	6	21.497	28.271	0	2	0	2.666	1.75	NA	0.467	NA	135	135
177	8	7	21.662	28.271	0	2	0	2.831	1.812	NA	0.165	NA	0	-135
178	8	8	21.497	28.518	0	2	11	3.129	1.986	NA	0.298	NA	123.69	123.69
179	8	9	21.497	28.518	0	2	11	3.129	1.986	NA	0	NA	0	-123.69
180	8	10	21.993	28.271	0	2	0	3.683	1.97	NA	0.554	NA	-26.565	-26.565
181	8	11	22.158	28.271	0	2	11	3.849	2.065	NA	0.165	NA	0	26.565
182	8	12	21.993	28.518	0	2	0	4.146	2.182	NA	0.298	NA	123.69	123.69
183	8	13	21.497	28.518	0	2	0	4.642	1.986	NA	0.496	NA	180	56.31
184	8	14	21.745	28.766	0	2	11	4.992	2.301	NA	0.35	NA	45	-135
185	8	15	21.91	28.684	0	2	0	5.177	2.291	NA	0.185	NA	-26.565	-71.565
186	8	16	21.91	29.675	0	2	46	6.168	3.213	NA	0.991	NA	90	116.565
187	9	1	25.958	39.257	0	2	0	0	0	NA	NA	NA	NA	NA
188	9	2	26.04	38.596	0	2	11	0.666	0.666	NA	0.666	NA	-82.875	NA
189	9	3	25.793	37.687	0	2	34	1.608	1.578	NA	0.942	NA	-105.255	-22.38
190	9	4	26.206	38.183	0	2	23	2.253	1.102	NA	0.645	NA	50.194	155.45
