Nr	TID	PID	x [micron]	y [micron]	t [sec]	c [idx]	I [val]	Len [micron]	D2S [micron]	D2R [micron]	D2P [micron]	v [micron/sec]	? [deg]	?? [deg]
1	1	1	21.588	27.309	0	2	0	0	0	NA	NA	NA	NA	NA
2	1	2	21.588	27.309	0	2	0	0	0	NA	0	NA	0	NA
3	1	3	21.665	27.309	0	2	0	0.077	0.077	NA	0.077	NA	0	0
4	1	4	21.665	27.309	0	2	0	0.077	0.077	NA	0	NA	0	0
5	1	5	22.284	27.618	0	2	0	0.769	0.761	NA	0.691	NA	26.565	26.565
6	1	6	22.516	27.695	0	2	0	1.013	1.005	NA	0.244	NA	18.435	-8.13
7	1	7	22.825	27.85	0	2	0	1.359	1.35	NA	0.346	NA	26.565	8.13
8	1	8	22.67	27.463	0	2	23	1.775	1.093	NA	0.416	NA	-111.801	-138.366
9	1	9	23.057	27.541	0	2	0	2.169	1.487	NA	0.394	NA	11.31	123.111
10	1	10	22.67	27.773	0	2	0	2.62	1.178	NA	0.451	NA	149.036	137.726
11	1	11	22.207	27.077	0	2	0	3.456	0.661	NA	0.836	NA	-123.69	87.274
12	1	12	22.207	27.154	0	2	0	3.534	0.637	NA	0.077	NA	90	-146.31
13	1	13	22.129	27.154	0	2	0	3.611	0.563	NA	0.077	NA	180	90
14	1	14	22.129	27.154	0	2	11	3.611	0.563	NA	0	NA	0	-180
15	1	15	22.284	27.618	0	2	0	4.1	0.761	NA	0.489	NA	71.565	71.565
16	1	16	22.361	27.618	0	2	0	4.177	0.833	NA	0.077	NA	0	-71.565
17	1	17	22.902	27.85	0	2	0	4.766	1.421	NA	0.589	NA	23.199	23.199
18	1	18	23.598	27.927	0	2	11	5.466	2.103	NA	0.7	NA	6.34	-16.858
19	1	19	23.289	28.314	0	2	0	5.961	1.976	NA	0.495	NA	128.66	122.32
20	1	20	23.443	28.005	0	2	0	6.307	1.982	NA	0.346	NA	-63.435	167.905
21	1	21	23.907	28.005	0	2	0	6.771	2.421	NA	0.464	NA	0	63.435
22	1	22	24.603	28.159	0	2	11	7.483	3.133	NA	0.713	NA	12.529	12.529
23	1	23	24.448	28.314	0	2	23	7.702	3.032	NA	0.219	NA	135	122.471
