Nr	TID	PID	x [micron]	y [micron]	t [sec]	c [idx]	I [val]	Len [micron]	D2S [micron]	D2R [micron]	D2P [micron]	v [micron/sec]	? [deg]	?? [deg]
1	1	1	17.659	34.553	0	2	0	0	0	NA	NA	NA	NA	NA
2	1	2	17.659	34.553	0	2	9	0	0	NA	0	NA	0	NA
3	1	3	17.472	34.553	0	2	9	0.187	0.187	NA	0.187	NA	180	180
4	1	4	16.474	34.304	0	2	0	1.215	1.21	NA	1.028	NA	-165.964	14.036
5	1	5	16.661	34.366	0	2	4	1.412	1.015	NA	0.197	NA	18.435	-175.601
6	1	6	15.913	33.93	0	2	9	2.278	1.854	NA	0.866	NA	-149.744	-168.179
7	1	7	15.975	33.93	0	2	4	2.341	1.795	NA	0.062	NA	0	149.744
8	1	8	15.975	33.992	0	2	0	2.403	1.774	NA	0.062	NA	90	90
9	1	9	15.975	33.992	0	2	13	2.403	1.774	NA	0	NA	0	-90
10	1	10	15.726	34.055	0	2	0	2.66	1.996	NA	0.257	NA	165.964	165.964
11	1	11	15.664	34.055	0	2	18	2.723	2.056	NA	0.062	NA	180	14.036
12	1	12	15.477	34.055	0	2	13	2.91	2.238	NA	0.187	NA	180	0
13	1	13	15.477	34.117	0	2	27	2.972	2.225	NA	0.062	NA	90	-90
14	1	14	15.477	34.179	0	2	13	3.034	2.214	NA	0.062	NA	90	0
15	1	15	15.726	34.117	0	2	13	3.291	1.981	NA	0.257	NA	-14.036	-104.036
16	1	16	16.412	34.117	0	2	13	3.977	1.321	NA	0.686	NA	0	14.036
17	1	17	16.599	33.618	0	2	0	4.51	1.413	NA	0.533	NA	-69.444	-69.444
18	1	18	17.534	33.431	0	2	0	5.463	1.129	NA	0.954	NA	-11.31	58.134
19	1	19	17.347	33.431	0	2	0	5.65	1.165	NA	0.187	NA	180	-168.69
20	1	20	17.097	33.369	0	2	0	5.907	1.311	NA	0.257	NA	-165.964	14.036
21	1	21	17.347	33.244	0	2	0	6.186	1.346	NA	0.279	NA	-26.565	139.399
22	1	22	17.347	33.307	0	2	0	6.249	1.285	NA	0.062	NA	90	116.565
23	1	23	17.472	33.307	0	2	0	6.373	1.261	NA	0.125	NA	0	-90
24	1	24	17.721	33.244	0	2	0	6.63	1.311	NA	0.257	NA	-14.036	-14.036
25	1	25	16.848	33.556	0	2	0	7.557	1.285	NA	0.927	NA	160.346	174.382
26	1	26	16.038	33.681	0	2	0	8.377	1.841	NA	0.82	NA	171.254	10.908
27	2	1	11.923	33.618	0	2	0	0	0	NA	NA	NA	NA	NA
28	2	2	11.923	33.618	0	2	0	0	0	NA	0	NA	0	NA
29	2	3	11.549	33.805	0	2	0	0.418	0.418	NA	0.418	NA	153.435	153.435
