Nr	TID	PID	x [micron]	y [micron]	t [sec]	c [idx]	I [val]	Len [micron]	D2S [micron]	D2R [micron]	D2P [micron]	v [micron/sec]	? [deg]	?? [deg]
1	1	1	14.579	25.812	0	2	0	0	0	NA	NA	NA	NA	NA
2	1	2	15.102	25.094	0	2	0	0.888	0.888	NA	0.888	NA	-53.973	NA
3	1	3	15.298	24.179	0	2	8	1.823	1.784	NA	0.935	NA	-77.905	-23.933
4	1	4	15.167	23.722	0	2	0	2.299	2.171	NA	0.475	NA	-105.945	-28.04
5	1	5	15.363	23.722	0	2	0	2.495	2.232	NA	0.196	NA	0	105.945
6	1	6	15.69	23.134	0	2	8	3.167	2.899	NA	0.672	NA	-60.945	-60.945
7	1	7	15.624	23.396	0	2	0	3.436	2.633	NA	0.269	NA	104.036	164.982
8	1	8	15.102	23.461	0	2	0	3.963	2.408	NA	0.527	NA	172.875	68.839
9	1	9	14.71	23.2	0	2	0	4.434	2.615	NA	0.471	NA	-146.31	40.815
10	1	10	14.841	23.2	0	2	8	4.564	2.625	NA	0.131	NA	0	146.31
11	2	1	15.298	25.224	0	2	8	0	0	NA	NA	NA	NA	NA
12	2	2	15.102	25.224	0	2	0	0.196	0.196	NA	0.196	NA	180	NA
13	2	3	15.102	24.702	0	2	0	0.718	0.558	NA	0.522	NA	-90	90
14	2	4	14.906	25.159	0	2	8	1.216	0.397	NA	0.497	NA	113.199	-156.801
15	2	5	14.514	24.898	0	2	8	1.687	0.849	NA	0.471	NA	-146.31	100.491
16	2	6	14.841	24.963	0	2	0	2.02	0.527	NA	0.333	NA	11.31	157.62
17	2	7	14.775	24.832	0	2	16	2.166	0.653	NA	0.146	NA	-116.565	-127.875
18	2	8	15.232	24.898	0	2	8	2.627	0.333	NA	0.462	NA	8.13	124.695
19	2	9	15.167	23.983	0	2	0	3.544	1.248	NA	0.917	NA	-94.086	-102.216
20	2	10	15.494	24.31	0	2	0	4.006	0.935	NA	0.462	NA	45	139.086
21	2	11	15.167	23.853	0	2	16	4.568	1.378	NA	0.562	NA	-125.538	-170.538
22	2	12	15.559	23.918	0	2	0	4.965	1.332	NA	0.397	NA	9.462	135
23	2	13	15.494	23.853	0	2	0	5.057	1.385	NA	0.092	NA	-135	-144.462
24	2	14	15.102	23.722	0	2	8	5.47	1.515	NA	0.413	NA	-161.565	-26.565
25	2	15	15.559	23.722	0	2	8	5.927	1.525	NA	0.457	NA	0	161.565
26	2	16	14.71	23.983	0	2	0	6.816	1.373	NA	0.888	NA	162.897	162.897
27	2	17	15.167	23.983	0	2	0	7.273	1.248	NA	0.457	NA	0	-162.897
28	2	18	14.971	23.983	0	2	8	7.469	1.283	NA	0.196	NA	180	180
29	2	19	15.167	23.853	0	2	0	7.704	1.378	NA	0.235	NA	-33.69	146.31
30	2	20	15.167	23.722	0	2	0	7.835	1.508	NA	0.131	NA	-90	-56.31
31	2	21	15.363	24.832	0	2	0	8.962	0.397	NA	1.127	NA	79.992	169.992
32	2	22	14.579	26.008	0	2	8	10.375	1.063	NA	1.413	NA	123.69	43.698
33	2	23	14.841	25.551	0	2	33	10.901	0.562	NA	0.527	NA	-60.255	176.055
34	2	24	14.971	25.551	0	2	8	11.032	0.462	NA	0.131	NA	0	60.255
35	2	25	14.579	25.159	0	2	16	11.586	0.721	NA	0.554	NA	-135	-135
36	2	26	14.71	25.224	0	2	0	11.732	0.588	NA	0.146	NA	26.565	161.565
37	2	27	14.71	25.224	0	2	8	11.732	0.588	NA	0	NA	0	-26.565
38	2	28	14.71	25.224	0	2	0	11.732	0.588	NA	0	NA	0	0
39	2	29	14.906	25.028	0	2	25	12.009	0.438	NA	0.277	NA	-45	-45
40	2	30	14.906	24.506	0	2	8	12.532	0.818	NA	0.522	NA	-90	-45
41	2	31	15.102	24.375	0	2	8	12.767	0.871	NA	0.235	NA	-33.69	56.31
42	2	32	14.971	24.44	0	2	0	12.913	0.849	NA	0.146	NA	153.435	-172.875
43	2	33	15.167	24.179	0	2	8	13.24	1.053	NA	0.327	NA	-53.13	153.435
44	2	34	15.494	24.179	0	2	8	13.566	1.063	NA	0.327	NA	0	53.13
45	2	35	15.428	24.245	0	2	8	13.659	0.988	NA	0.092	NA	135	135
46	2	36	14.841	24.571	0	2	16	14.331	0.797	NA	0.672	NA	150.945	15.945
47	2	37	14.841	24.506	0	2	8	14.396	0.851	NA	0.065	NA	-90	119.055
48	2	38	14.71	24.179	0	2	8	14.748	1.199	NA	0.352	NA	-111.801	-21.801
49	2	39	15.037	24.179	0	2	0	15.074	1.077	NA	0.327	NA	0	111.801
50	2	40	14.645	24.179	0	2	8	15.466	1.232	NA	0.392	NA	180	180
51	2	41	14.906	24.179	0	2	0	15.727	1.116	NA	0.261	NA	0	-180
52	2	42	14.841	24.179	0	2	8	15.793	1.141	NA	0.065	NA	180	180
53	2	43	14.841	24.767	0	2	0	16.38	0.646	NA	0.588	NA	90	-90
54	2	44	15.102	25.289	0	2	0	16.965	0.207	NA	0.584	NA	63.435	-26.565
55	2	45	14.71	25.747	0	2	8	17.567	0.786	NA	0.602	NA	130.601	67.166
56	3	1	12.62	20.522	0	2	0	0	0	NA	NA	NA	NA	NA
57	3	2	13.273	18.498	0	2	0	2.127	2.127	NA	2.127	NA	-72.121	NA
58	3	3	14.057	16.212	0	2	0	4.543	4.543	NA	2.416	NA	-71.075	1.046
59	3	4	15.428	13.143	0	2	25	7.905	7.896	NA	3.362	NA	-65.925	5.151
60	3	5	15.951	12.49	0	2	33	8.742	8.696	NA	0.836	NA	-51.34	14.584
61	3	6	15.82	12.555	0	2	0	8.888	8.586	NA	0.146	NA	153.435	-155.225
62	3	7	15.885	12.294	0	2	25	9.157	8.853	NA	0.269	NA	-75.964	130.601
63	3	8	15.82	12.947	0	2	8	9.813	8.224	NA	0.656	NA	95.711	171.674
64	3	9	15.167	13.469	0	2	8	10.65	7.499	NA	0.836	NA	141.34	45.63
