Nr	TID	PID	x [micron]	y [micron]	t [sec]	c [idx]	I [val]	Len [micron]	D2S [micron]	D2R [micron]	D2P [micron]	v [micron/sec]	? [deg]	?? [deg]
1	1	1	10.285	25.874	0	2	69	0	0	NA	NA	NA	NA	NA
2	1	2	10.182	25.77	0	2	83	0.146	0.146	NA	0.146	NA	-135	NA
3	1	3	10.337	25.925	0	2	13	0.365	0.073	NA	0.219	NA	45	180
4	1	4	9.975	25.977	0	2	41	0.73	0.326	NA	0.365	NA	171.87	126.87
5	1	5	10.13	25.822	0	2	27	0.949	0.163	NA	0.219	NA	-45	143.13
6	1	6	10.182	25.77	0	2	13	1.022	0.146	NA	0.073	NA	-45	0
7	1	7	10.182	25.719	0	2	13	1.074	0.186	NA	0.052	NA	-90	-45
8	1	8	10.285	25.719	0	2	27	1.177	0.155	NA	0.103	NA	0	90
9	1	9	10.646	26.132	0	2	55	1.726	0.444	NA	0.549	NA	48.814	48.814
10	1	10	10.646	26.132	0	2	13	1.726	0.444	NA	0	NA	0	-48.814
11	1	11	10.595	26.235	0	2	27	1.841	0.476	NA	0.115	NA	116.565	116.565
12	1	12	10.595	26.39	0	2	27	1.996	0.602	NA	0.155	NA	90	-26.565
13	1	13	10.44	26.286	0	2	13	2.182	0.441	NA	0.186	NA	-146.31	123.69
14	1	14	10.491	26.08	0	2	41	2.395	0.292	NA	0.213	NA	-75.964	70.346
15	1	15	10.491	26.132	0	2	111	2.446	0.331	NA	0.052	NA	90	165.964
16	1	16	10.44	25.977	0	2	69	2.61	0.186	NA	0.163	NA	-108.435	161.565
17	1	17	10.182	26.441	0	2	83	3.141	0.577	NA	0.531	NA	119.055	-132.51
18	1	18	10.182	26.286	0	2	83	3.296	0.426	NA	0.155	NA	-90	150.945
19	1	19	10.182	26.235	0	2	27	3.348	0.376	NA	0.052	NA	-90	0
20	1	20	10.285	26.235	0	2	55	3.451	0.361	NA	0.103	NA	0	90
21	1	21	10.13	26.132	0	2	27	3.637	0.301	NA	0.186	NA	-146.31	-146.31
22	1	22	9.82	26.338	0	2	13	4.009	0.657	NA	0.372	NA	146.31	-67.38
23	1	23	9.459	26.286	0	2	13	4.374	0.923	NA	0.365	NA	-171.87	41.82
24	1	24	9.562	26.286	0	2	27	4.477	0.832	NA	0.103	NA	0	171.87
25	1	25	9.459	26.286	0	2	13	4.581	0.923	NA	0.103	NA	180	180
26	1	26	9.459	26.286	0	2	27	4.581	0.923	NA	0	NA	0	-180
27	1	27	9.562	26.441	0	2	27	4.767	0.919	NA	0.186	NA	56.31	56.31
28	1	28	9.304	26.596	0	2	13	5.068	1.218	NA	0.301	NA	149.036	92.726
29	1	29	9.304	26.338	0	2	0	5.326	1.085	NA	0.258	NA	-90	120.964
30	1	30	9.098	26.699	0	2	69	5.742	1.446	NA	0.416	NA	119.745	-150.255
31	1	31	8.994	26.699	0	2	55	5.845	1.532	NA	0.103	NA	180	60.255
32	1	32	9.046	26.545	0	2	55	6.008	1.409	NA	0.163	NA	-71.565	108.435
33	1	33	9.201	26.441	0	2	13	6.194	1.224	NA	0.186	NA	-33.69	37.875
34	1	34	9.046	26.493	0	2	0	6.358	1.385	NA	0.163	NA	161.565	-164.745
35	1	35	8.943	26.803	0	2	0	6.684	1.632	NA	0.326	NA	108.435	-53.13
36	1	36	8.788	26.751	0	2	27	6.847	1.735	NA	0.163	NA	-161.565	90
37	2	1	3.007	24.686	0	2	55	0	0	NA	NA	NA	NA	NA
38	2	2	3.007	24.686	0	2	0	0	0	NA	0	NA	0	NA
39	2	3	2.749	24.531	0	2	13	0.301	0.301	NA	0.301	NA	-149.036	-149.036
40	2	4	2.439	24.428	0	2	13	0.627	0.624	NA	0.326	NA	-161.565	-12.529
41	2	5	1.871	23.912	0	2	0	1.395	1.374	NA	0.767	NA	-137.726	23.839
42	2	6	1.665	24.015	0	2	27	1.626	1.5	NA	0.231	NA	153.435	-68.839
43	2	7	1.665	23.964	0	2	13	1.677	1.524	NA	0.052	NA	-90	116.565
44	2	8	1.974	23.912	0	2	13	1.991	1.29	NA	0.314	NA	-9.462	80.538
45	2	9	0.374	23.912	0	2	0	3.591	2.744	NA	1.6	NA	180	-170.538
46	3	1	10.646	28.196	0	2	13	0	0	NA	NA	NA	NA	NA
47	3	2	10.646	28.196	0	2	0	0	0	NA	0	NA	0	NA
48	3	3	10.44	28.196	0	2	69	0.206	0.206	NA	0.206	NA	180	180
49	3	4	10.543	28.196	0	2	27	0.31	0.103	NA	0.103	NA	0	-180
50	3	5	10.543	28.196	0	2	13	0.31	0.103	NA	0	NA	0	0
51	3	6	10.182	27.887	0	2	55	0.786	0.558	NA	0.476	NA	-139.399	-139.399
52	3	7	10.388	27.887	0	2	27	0.992	0.403	NA	0.206	NA	0	139.399
53	3	8	10.182	27.887	0	2	0	1.199	0.558	NA	0.206	NA	180	180
54	3	9	10.182	27.887	0	2	69	1.199	0.558	NA	0	NA	0	-180
55	3	10	10.595	27.938	0	2	13	1.615	0.263	NA	0.416	NA	7.125	7.125
56	3	11	10.337	27.99	0	2	0	1.878	0.372	NA	0.263	NA	168.69	161.565
57	3	12	10.182	27.887	0	2	0	2.064	0.558	NA	0.186	NA	-146.31	45
58	3	13	10.44	27.783	0	2	27	2.342	0.462	NA	0.278	NA	-21.801	124.509
59	3	14	10.543	27.835	0	2	83	2.457	0.376	NA	0.115	NA	26.565	48.366
60	3	15	10.749	27.887	0	2	27	2.67	0.326	NA	0.213	NA	14.036	-12.529
61	3	16	10.233	27.732	0	2	0	3.209	0.622	NA	0.539	NA	-163.301	-177.337
62	3	17	10.595	27.783	0	2	97	3.574	0.416	NA	0.365	NA	8.13	171.431
63	3	18	9.924	27.783	0	2	41	4.245	0.832	NA	0.671	NA	180	171.87
64	3	19	10.13	27.887	0	2	27	4.476	0.602	NA	0.231	NA	26.565	-153.435
65	4	1	12.401	28.867	0	2	0	0	0	NA	NA	NA	NA	NA
66	4	2	12.608	28.971	0	2	13	0.231	0.231	NA	0.231	NA	26.565	NA
67	4	3	12.504	28.867	0	2	41	0.377	0.103	NA	0.146	NA	-135	-161.565
68	4	4	12.246	28.971	0	2	27	0.655	0.186	NA	0.278	NA	158.199	-66.801
69	4	5	12.763	29.125	0	2	13	1.194	0.444	NA	0.539	NA	16.699	-141.499
70	4	6	12.556	28.713	0	2	27	1.655	0.219	NA	0.462	NA	-116.565	-133.264
71	4	7	12.608	28.867	0	2	13	1.819	0.206	NA	0.163	NA	71.565	-171.87
72	4	8	12.608	28.919	0	2	41	1.87	0.213	NA	0.052	NA	90	18.435
73	4	9	12.401	28.919	0	2	27	2.077	0.052	NA	0.206	NA	180	90
74	4	10	12.298	28.919	0	2	0	2.18	0.115	NA	0.103	NA	180	0
75	4	11	12.866	28.919	0	2	41	2.748	0.467	NA	0.568	NA	0	-180
76	4	12	13.072	28.919	0	2	27	2.954	0.673	NA	0.206	NA	0	0
77	4	13	12.969	28.971	0	2	55	3.07	0.577	NA	0.115	NA	153.435	153.435
78	4	14	13.124	28.971	0	2	0	3.225	0.73	NA	0.155	NA	0	-153.435
79	4	15	13.021	28.661	0	2	55	3.551	0.653	NA	0.326	NA	-108.435	-108.435
80	4	16	12.504	28.816	0	2	27	4.09	0.115	NA	0.539	NA	163.301	-88.264
81	4	17	12.814	28.816	0	2	41	4.4	0.416	NA	0.31	NA	0	-163.301
82	4	18	12.659	28.919	0	2	41	4.586	0.263	NA	0.186	NA	146.31	146.31
83	4	19	12.969	28.919	0	2	13	4.895	0.57	NA	0.31	NA	0	-146.31
