Nr	TID	PID	x [micron]	y [micron]	t [sec]	c [idx]	I [val]	Len [micron]	D2S [micron]	D2R [micron]	D2P [micron]	v [micron/sec]	? [deg]	?? [deg]
1	1	1	23.699	22.023	0	2	255	0	0	NA	NA	NA	NA	NA
2	1	2	23.699	22.023	0	2	242	0	0	NA	0	NA	0	NA
3	1	3	23.699	22.023	0	2	255	0	0	NA	0	NA	0	0
4	1	4	23.699	22.023	0	2	255	0	0	NA	0	NA	0	0
5	1	5	23.699	22.023	0	2	255	0	0	NA	0	NA	0	0
6	1	6	23.699	22.079	0	2	158	0.056	0.056	NA	0.056	NA	90	90
7	1	7	23.476	22.135	0	2	255	0.286	0.25	NA	0.23	NA	165.964	75.964
8	1	8	23.643	22.191	0	2	214	0.463	0.177	NA	0.177	NA	18.435	-147.529
9	1	9	23.029	22.358	0	2	93	1.1	0.749	NA	0.637	NA	164.745	146.31
10	1	10	23.085	22.358	0	2	149	1.156	0.7	NA	0.056	NA	0	-164.745
11	1	11	23.14	22.526	0	2	214	1.332	0.752	NA	0.177	NA	71.565	71.565
12	1	12	23.196	22.526	0	2	255	1.388	0.711	NA	0.056	NA	0	-71.565
13	1	13	23.196	22.805	0	2	149	1.667	0.93	NA	0.279	NA	90	90
14	1	14	22.805	22.861	0	2	255	2.062	1.225	NA	0.395	NA	171.87	81.87
15	1	15	23.14	22.805	0	2	74	2.402	0.961	NA	0.34	NA	-9.462	178.668
16	1	16	23.029	22.805	0	2	255	2.514	1.03	NA	0.112	NA	180	-170.538
17	1	17	23.029	22.805	0	2	255	2.514	1.03	NA	0	NA	0	-180
18	1	18	23.14	22.861	0	2	242	2.639	1.007	NA	0.125	NA	26.565	26.565
19	1	19	23.196	22.861	0	2	255	2.695	0.977	NA	0.056	NA	0	-26.565
20	1	20	23.196	22.861	0	2	167	2.695	0.977	NA	0	NA	0	0
21	1	21	23.14	22.749	0	2	233	2.82	0.916	NA	0.125	NA	-116.565	-116.565
22	1	22	23.029	22.749	0	2	195	2.931	0.988	NA	0.112	NA	180	-63.435
23	1	23	23.14	22.749	0	2	195	3.043	0.916	NA	0.112	NA	0	-180
24	1	24	23.308	22.749	0	2	130	3.211	0.825	NA	0.168	NA	0	0
25	1	25	23.252	22.805	0	2	121	3.29	0.901	NA	0.079	NA	135	135
26	1	26	23.085	22.861	0	2	186	3.466	1.039	NA	0.177	NA	161.565	26.565
27	1	27	23.085	22.861	0	2	111	3.466	1.039	NA	0	NA	0	-161.565
28	1	28	22.917	22.694	0	2	149	3.703	1.03	NA	0.237	NA	-135	-135
29	1	29	22.917	22.805	0	2	139	3.815	1.106	NA	0.112	NA	90	-135
30	1	30	22.917	22.805	0	2	139	3.815	1.106	NA	0	NA	0	-90
31	1	31	23.029	23.029	0	2	74	4.065	1.208	NA	0.25	NA	63.435	63.435
32	1	32	22.917	23.085	0	2	83	4.19	1.318	NA	0.125	NA	153.435	90
33	1	33	22.917	22.526	0	2	158	4.748	0.93	NA	0.559	NA	-90	116.565
34	1	34	23.252	22.638	0	2	130	5.102	0.76	NA	0.353	NA	18.435	108.435
35	1	35	23.364	22.917	0	2	93	5.402	0.955	NA	0.301	NA	68.199	49.764
