Nr	TID	PID	x [micron]	y [micron]	t [sec]	I [val]	Len [micron]	D2S [micron]	D2R [micron]	D2P [micron]	v [micron/sec]	? [deg]	?? [deg]
1	1	1	35.031	16.663	0	0	0	0	NA	NA	NA	NA	NA
2	1	2	25.049	16.636	0	0	9.981	9.981	NA	9.981	NA	-179.843	NA
3	1	3	30.063	14.968	0	0	15.265	5.249	NA	5.284	NA	-18.404	161.439
4	1	4	31.457	14.831	0	0	16.667	4.016	NA	1.401	NA	-5.599	12.804
5	2	1	35.031	16.545	0	0	0	0	NA	NA	NA	NA	NA
6	2	2	34.338	16.499	0	0	0.694	0.694	NA	0.694	NA	-176.236	NA
7	2	3	33.9	16.499	0	0	1.132	1.131	NA	0.438	NA	180	-3.764
8	2	4	33.253	16.481	0	0	1.779	1.779	NA	0.647	NA	-178.386	1.614
9	2	5	32.533	16.49	0	0	2.499	2.498	NA	0.72	NA	179.275	-2.339
10	2	6	31.612	16.444	0	0	3.421	3.42	NA	0.922	NA	-177.166	3.559
11	3	1	35.049	16.289	0	0	0	0	NA	NA	NA	NA	NA
12	3	2	34.21	16.28	0	0	0.839	0.839	NA	0.839	NA	-179.377	NA
13	3	3	33.554	16.298	0	0	1.495	1.495	NA	0.657	NA	178.409	-2.214
14	3	4	33.007	16.335	0	0	2.043	2.042	NA	0.548	NA	176.186	-2.223
15	3	5	32.433	16.344	0	0	2.618	2.617	NA	0.574	NA	179.091	2.905
16	3	6	31.694	16.344	0	0	3.356	3.355	NA	0.738	NA	180	0.909
17	3	7	31.202	16.399	0	0	3.851	3.848	NA	0.495	NA	173.66	-6.34
18	3	8	30.528	16.472	0	0	4.53	4.525	NA	0.678	NA	173.83	0.17
19	4	1	35.04	16.639	0	0	0	0	NA	NA	NA	NA	NA
20	4	2	33.448	16.177	0	0	1.658	1.658	NA	1.658	NA	-163.824	NA
21	4	3	31.491	16.42	0	0	3.63	3.556	NA	1.972	NA	172.919	-23.257
22	4	4	29.024	15.8	0	0	6.174	6.074	NA	2.544	NA	-165.897	21.184
23	4	6	25.049	16.493	0	0	10.208	9.992	NA	4.034	NA	170.112	-23.991
24	4	7	30.032	16.238	0	0	15.197	5.023	NA	4.99	NA	-2.932	-173.044
25	4	8	35.028	15.897	0	0	20.204	0.741	NA	5.007	NA	-3.897	-0.965
26	4	9	31.722	15.873	0	0	23.51	3.405	NA	3.306	NA	-179.579	-175.681
27	4	10	31.722	15.873	0	0	23.51	3.405	NA	3.306	NA	-179.579	-175.681
28	4	11	31.722	15.873	0	0	23.51	3.405	NA	3.306	NA	-179.579	-175.681
